ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	learn yoga wanna live fit shape quit job promise fat	2.0	2.0	3.0	4	'wanna' 'quit' 'job' 'promise'	2	"[(""'wanna'"", ""'want'""), (""'quit'"", ""'leave'"")]"	2	'wanna' 'fat'
1	dot dick joke nut dramatic phat bmv type liberal repeat	1.0	2.8	2.0	3	'dramatic' 'liberal' 'repeat'	6	"[(""'dot'"", ""'dot'""), (""'dick'"", ""'dick'""), (""'joke'"", ""'joke'""), (""'nut'"", ""'nut'""), (""'dramatic'"", ""'dramatic'""), (""'phat'"", ""'phat'"")]"	2	'phat' 'bmv'
2	drink coffee alcohol soda coke whiskey starbucks detox addiction latte	2.0	2.0	3.0	2	'detox' 'addiction'	2	"[(""'soda'"", ""'coke'""), (""'latte'"", ""'coffee'"")]"	0	
3	tweet twitter instagram facebook gossip socialmedia unfollow phone platform addicted	3.0	2.0	3.0	2	'phone' 'addicted'	1	"[(""'tweet'"", ""'twitter'"")]"	0	
4	food pizza chicken taco chipotle meal breakfast recipe gluten mcdonald	2.6	2.0	3.0	2	'gluten' 'mcdonald'	7	"[(""'pizza'"", ""'pizza'""), (""'chicken'"", ""'chicken'""), (""'taco'"", ""'taco'""), (""'chipotle'"", ""'chipotle'""), (""'meal'"", ""'meal'""), (""'breakfast'"", ""'breakfast'""), (""'recipe'"", ""'recipe'"")]"	0	
5	workout fitness join treadmill fitbit gymlife golf motivation runchat fitnessmotivation	3.0	2.0	3.0	1	'golf'	2	"[(""'fitness'"", ""'fitnessmotivation'""), (""'runchat'"", ""'motivation'"")]"	0	
6	music listen concert dance mixtape band soundtrack sing musician drum	3.0	2.0	3.0	2	'mixtape' 'drum'	2	"[(""'music'"", ""'soundtrack'""), (""'listen'"", ""'sing'"")]"	0	
7	blog netflix mondayblog podcast rachelclarkgiveaway blogge blogging simpson facebook friends	2.0	2.0	2.2	3	'mondayblog' 'rachelclarkgiveaway' 'simpson'	3	"[(""'blog'"", ""'blogge'""), (""'blog'"", ""'blogging'""), (""'blogge'"", ""'blogging'"")]"	3	'mondayblog' 'rachelclarkgiveaway' 'blogge'
8	success plan goals step obstacle task achievable realistic hesitation streak	3.0	2.0	3.0	2	'hesitation' 'streak'	5	"[(""'success'"", ""'achievable'""), (""'plan'"", ""'goals'""), (""'step'"", ""'task'""), (""'obstacle'"", ""'hesitation'""), (""'streak'"", ""'realistic'"")]"	0	
9	sleep nap morning noon sunrise hibernate routine habit snooze evening	2.0	2.0	3.0	3	'hibernate' 'routine' 'habit'	2	"[(""'sleep'"", ""'snooze'""), (""'nap'"", ""'snooze'"")]"	0	
10	gainz diet fat pretzel loseweight healthy tweak dropthebabyweight twinkie shed	2.0	2.0	2.0	2	'pretzel' 'twinkie'	2	"[(""'loseweight'"", ""'shed'""), (""'dropthebabyweight'"", ""'shed'"")]"	2	'gainz' 'dropthebabyweight'
11	god pray jesus prayer faith bible bless miracle church hug	3.0	2.0	3.0	1	'hug'	2	"[(""'pray'"", ""'prayer'""), (""'bible'"", ""'bible'"")]"	0	
12	christmas clean room organize apartment stuff folder gift roommate loveyourlife	2.0	2.2	3.0	2	'gift' 'loveyourlife'	1	"[(""'room'"", ""'apartment'"")]"	0	
13	january newyearnewme calendar newyearseve birthday cyclical sunday jesusyear jules gregorian	2.0	2.0	3.0	2	'jules' 'jesusyear'	2	"[(""'january'"", ""'gregorian'""), (""'newyearnewme'"", ""'newyearseve'"")]"	2	'newyearnewme' 'jesusyear'
14	game watch laker hockey playoff yankees cheer favorite fuel teamless	2.0	3.0	3.0	2	'fuel' 'teamless'	2	"[(""'game'"", ""'playoff'""), (""'cheer'"", ""'cheer'"")]"	0	
15	selfie portrait evar ordinarylife foley shatter disposable editing nude jim	1.2	3.0	2.0	5	'evar' 'foley' 'shatter' 'disposable' 'jim'	2	"[(""'selfie'"", ""'portrait'""), (""'shatter'"", ""'disposable'"")]"	2	'evar' 'foley'
16	thank pretty bath sexymonday nana enjoy cute beautiful grateful heart	1.0	2.0	3.0	2	'sexymonday' 'nana'	3	"[(""'thank'"", ""'grateful'""), (""'pretty'"", ""'beautiful'""), (""'cute'"", ""'beautiful'"")]"	1	'sexymonday'
17	chapter publisher challenge thrones amreade novel bible cupid newauthor godslovechat	1.2	3.0	2.0	2	'cupid' 'godslovechat'	2	"[(""'novel'"", ""'chapter'""), (""'bible'"", ""'chapter'"")]"	2	'amreade' 'godslovechat'
18	pack shoe sock sneaker fashion legging dress wardrobe underwear sweat	2.8	2.0	3.0	2	'sweat' 'pack'	1	"[(""'shoe'"", ""'sneaker'"")]"	0	
19	hard lie honest truth govenment fascist secret propaganda confession adventuresinchemistry	2.0	2.6	2.2	1	'adventuresinchemistry'	2	"[(""'lie'"", ""'confession'""), (""'honest'"", ""'truth'"")]"	2	'govenment' 'adventuresinchemistry'
