ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	super self hoe january mix ordinarylife save hit damn piss	2.0	1.8	2.6	2	'damn' 'piss'	5	"[(""'super'"", ""'save'""), (""'self'"", ""'ordinarylife'""), (""'hoe'"", ""'hit'""), (""'january'"", ""'mix'""), (""'damn'"", ""'piss'"")]"	1	'piss'
1	friend society workout instead health step lot fitness quit week	2.8	1.6	2.6	1	'society'	2	"[(""'workout'"", ""'fitness'""), (""'health'"", ""'fitness'"")]"	0	
2	stay woman hour meet friend girl fail twice accomplish fitness	2.8	2.2	2.8	2	'fail' 'twice'	3	"[(""'stay'"", ""'meet'""), (""'woman'"", ""'girl'""), (""'accomplish'"", ""'fitness'"")]"	0	
3	instagram facebook peace emotion earth wit truth patients black tennis	2.4	1.6	3.0	2	'patients' 'tennis'	2	"[(""'instagram'"", ""'facebook'""), (""'peace'"", ""'truth'"")]"	0	
4	arm high human writing finish action shoe buy mouth pure	2.4	2.6	3.0	2	'shoe' 'buy'	8	"[(""'arm'"", ""'arm'""), (""'high'"", ""'high'""), (""'human'"", ""'human'""), (""'writing'"", ""'writing'""), (""'finish'"", ""'finish'""), (""'action'"", ""'action'""), (""'shoe'"", ""'shoe'""), (""'buy'"", ""'buy'"")]"	0	
5	kiss harmony lmfao nipple currently unproductive page cardio chafe dramatically	2.2	2.0	2.6	2	'lmfao' 'nipple'	6	"[(""'kiss'"", ""'kiss'""), (""'harmony'"", ""'harmony'""), (""'lmfao'"", ""'lmfao'""), (""'nipple'"", ""'nipple'""), (""'currently'"", ""'currently'""), (""'unproductive'"", ""'unproductive'"")]"	1	'lmfao'
6	stay gym gain focus read look cookie hand study parent	2.6	2.0	2.8	2	'cookie' 'parent'	2	"[(""'stay'"", ""'study'""), (""'gain'"", ""'cookie'"")]"	0	
7	loosen juice path enjoy condescend writerslife christmas idk properly bacon	2.0	2.2	2.8	2	'idk' 'bacon'	4	"[(""'loosen'"", ""'loosen'""), (""'writerslife'"", ""'writerslife'""), (""'christmas'"", ""'christmas'""), (""'bacon'"", ""'bacon'"")]"	1	'idk'
8	jammed list hopefully bae shape weight wheel turbo order coilover	2.4	1.8	2.8	2	'hopefully' 'bae'	4	"[(""'jammed'"", ""'coilover'""), (""'bae'"", ""'order'""), (""'shape'"", ""'wheel'""), (""'hopefully'"", ""'turbo'"")]"	0	
9	home buy real phone record deserve hahaha successfully fit training	2.2	2.2	2.8	1	'hahaha'	7	"[(""'home'"", ""'home'""), (""'buy'"", ""'buy'""), (""'real'"", ""'real'""), (""'phone'"", ""'phone'""), (""'record'"", ""'record'""), (""'deserve'"", ""'deserve'""), (""'hahaha'"", ""'hahaha'"")]"	0	
10	res workinn lazyy imaa ready asf delete wage shall high	2.6	1.6	2.2	2	'delete' 'res'	2	"[(""'res'"", ""'workinn'""), (""'imaa'"", ""'imaa'"")]"	2	'res' 'asf'
11	learn bad weight gym week way read lmfao kiss watch	2.0	2.2	2.6	2	'kiss' 'lmfao'	3	"[(""'week'"", ""'week'""), (""'read'"", ""'read'""), (""'weight'"", ""'weight'"")]"	1	'lmfao'
12	true rid listen fucking self alcohol job bud focused term	2.2	2.6	2.8	1	'fucking'	5	"[(""'true'"", ""'fucking'""), (""'rid'"", ""'term'""), (""'listen'"", ""'bud'""), (""'self'"", ""'focused'""), (""'alcohol'"", ""'job'"")]"	0	
