ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	nutrient solution nacl element rich boron strength synthetic closed hydroponic	3.0	2.0	3.0	2	'closed' 'strength'	0	[]	1	'nacl'
1	concentration total fresh soluble solid ion exceed dissolve leachate dominant	3.0	2.0	3.0	3	'total' 'dominant' 'exceed'	1	"[(""'solid'"", ""'soluble'"")]"	1	'leachate'
2	production gap begin coffee cranberry cocoa cacao constantly ouagadougou bog	2.0	2.0	3.0	5	'production' 'gap' 'begin' 'bog' 'ouagadougou'	1	"[(""'cocoa'"", ""'cacao'"")]"	1	'ouagadougou'
3	salt drainage leach subsurface tolerant drain humid migration ditch waterlogging	3.0	1.0	3.0	2	'humid' 'migration'	2	"[(""'drain'"", ""'drainage'""), (""'ditch'"", ""'drain'"")]"	0	
4	root activity shoot length protein sugar gene antioxidant enzyme fiber	3.0	1.8	3.0	2	'activity' 'length'	0	[]	1	'shoot'
5	produce indicator like pathogen survival chain gradient virus reaction organism	3.0	2.0	3.0	1	'like'	0	[]	1	'like'
6	stress drought tolerance recovery compartment spi spei warning tam rewatere	3.0	1.8	2.6	5	'compartment' 'rewatere' 'tam' 'spi' 'spei'	1	"[(""'spi'"", ""'spei'"")]"	4	'rewatere' 'spi' 'spei' 'tam'
7	sample mass standard material phase extraction sampling category liquid deviation	3.0	2.0	3.0	2	'category' 'deviation'	1	"[(""'sample'"", ""'sampling'"")]"	0	
8	efficiency resource water freshwater vulnerability competition withdrawal usage charge externality	3.0	1.8	3.0	2	'charge' 'externality'	1	"[(""'water'"", ""'freshwater'"")]"	1	'externality'
9	soil depth carbon layer profile microbial soc pool respiration amend	3.0	2.0	3.0	1	'amend'	2	"[(""'soc'"", ""'soil'""), (""'pool'"", ""'layer'"")]"	1	'soc'
10	irrigated pattern approximately water article trap internet iot mound moth	2.0	2.0	3.0	3	'article' 'internet' 'iot'	0	[]	1	'approximately'
11	region great arid suitable history mena sat volga campo karoo	2.0	2.0	3.0	2	'sat' 'great'	3	"[(""'volga'"", ""'region'""), (""'campo'"", ""'karoo'""), (""'mena'"", ""'region'"")]"	2	'mena' 'sat'
12	development term sub miss estate ofr sdg com water kilometer	2.0	2.0	2.0	3	'sub' 'miss' 'com'	2	"[(""'sub'"", ""'ofr'""), (""'com'"", ""'sdg'"")]"	4	'ofr' 'sdg' 'sub' 'com'
13	process ecosystem cycle function service million hectare aquatic century agroecosystem	3.0	2.0	3.0	4	'million' 'hectare' 'century' 'service'	0	[]	1	'hectare'
14	simulation scenario project sugarcane run replace rcp ethanol dependence ensemble	2.0	2.0	3.0	2	'run' 'replace'	0	[]	1	'rcp'
15	quality information seasonal structure poor harvesting rainwater wqi maximise entropy	2.4	2.0	3.0	3	'poor' 'entropy' 'maximise'	1	"[(""'quality'"", ""'wqi'"")]"	1	'wqi'
16	salinity cotton dryland texas chickpea peanut lint sodicity quinoa induction	2.2	2.0	3.0	1	'induction'	1	"[(""'cotton'"", ""'lint'"")]"	1	'sodicity'
17	leaf relative leave stem transpiration transport stomatal chlorophyll conductance photosynthetic	3.0	1.6	3.0	1	'relative'	1	"[(""'leaf'"", ""'leaves'"")]"	1	'stomatal'
18	type rainfall biomass event intensity aboveground wpi scs stemflow cessation	3.0	2.0	3.0	3	'cessation' 'event' 'type'	0	[]	2	'wpi' 'scs'
19	increase decrease california stock county san coast juan sacramento sjv	2.0	1.6	3.0	3	'increase' 'decrease' 'stock'	2	"[(""'san'"", ""'sacramento'""), (""'sjv'"", ""'san joaquin valley'"")]"	1	'sjv'
20	input relationship variability climatic output vineyard position dimension weir train	2.0	2.0	3.0	2	'train' 'weir'	0	[]	1	'weir'
21	drip planting date furrow mulch row fertigation plastic bed space	3.0	2.0	3.0	3	'date' 'plastic' 'space'	3	"[(""'drip'"", ""'fertigation'""), (""'row'"", ""'furrow'""), (""'bed'"", ""'space'"")]"	1	'fertigation'
22	estimate local community optimum bio increment reserve break replacement mobilize	2.0	1.8	3.0	1	'break'	1	"[(""'reserve'"", ""'replacement'"")]"	1	'bio'
23	crop evapotranspiration requirement schedule cwp cwr iwp cir teff specialty	3.0	2.0	3.0	1	'specialty'	1	"[(""'cwp'"", ""'cwr'"")]"	4	'cwp' 'cwr' 'iwp' 'cir'
24	rice cultivation flood rainfed paddy percent lowland arsenic flooding upland	3.0	1.6	3.0	2	'percent' 'arsenic'	1	"[(""'flood'"", ""'flooding'"")]"	1	'arsenic'
25	content acid oil olive compound vine foliar sunflower grape wine	3.0	2.0	3.0	1	'sunflower'	1	"[(""'olive'"", ""'oil'"")]"	0	
26	reduce difference single damage store drop core favourable displacement weevil	2.0	2.0	3.0	3	'weevil' 'favourable' 'store'	0	[]	1	'weevil'
27	risk human consumption health ecological exposure public reclaimed age pathway	3.0	2.0	3.0	2	'age' 'reclaimed'	0	[]	1	'reclaimed'
28	change climate adaptation urban landscape plan stream expansion city channel	3.0	2.0	3.0	2	'stream' 'channel'	1	"[(""'city'"", ""'urban'"")]"	1	'stream'
29	time available pot initial series place domain enriched swb potting	2.0	2.0	3.0	2	'swb' 'potting'	1	"[(""'pot'"", ""'potting'"")]"	1	'swb'
30	agricultural factor resistance antibiotic mobile diffusion propagation arg args sulfamethoxazole	3.0	1.8	3.0	3	'mobile' 'arg' 'args'	1	"[(""'arg'"", ""'args'"")]"	2	'arg' 'args'
31	disease pest bacterial resistant infection nursery insect severity agent incidence	3.0	1.2	3.0	2	'nursery' 'agent'	2	"[(""'disease'"", ""'infection'""), (""'pest'"", ""'insect'"")]"	0	
32	source population line lake selection criterion east parent restoration landrace	2.0	2.0	3.0	3	'line' 'lake' 'east'	2	"[(""'source'"", ""'parent'""), (""'line'"", ""'landrace'"")]"	1	'line'
33	temperature precipitation canopy daily trend pressure weather air station light	3.0	2.0	3.0	4	'canopy' 'light' 'station' 'trend'	0	[]	1	'canopy'
34	value mean annual uniformity quarter percentile dmp biennial geometric chia	2.0	1.6	3.0	2	'dmp' 'chia'	2	"[(""'biennial'"", ""'annual'""), (""'percentile'"", ""'quartile'"")]"	2	'dmp' 'chia'
35	year variable state hand step feature pradesh loess lag yearly	2.0	1.2	3.0	2	'hand' 'loess'	1	"[(""'year'"", ""'yearly'"")]"	1	'loess'
36	model datum index coefficient vegetation network regression equation linear prediction	3.0	2.0	3.0	1	'vegetation'	5	"[(""'model'"", ""'equation'""), (""'datum'"", ""'data'""), (""'index'"", ""'coefficient'""), ('is not an exact match', ""('network' is not an exact match""), (""'regression'"", ""'equation'"")]"	1	'datum'
37	parameter distribution spatial map catchment resolution ordinary krige thematic kriging	3.0	1.6	3.0	1	'ordinary'	1	"[(""'krige'"", ""'kriging'"")]"	1	'krige'
38	farmer farm technology policy decision farming adoption income household knowledge	3.0	1.8	3.0	5	'technology' 'policy' 'income' 'household' 'knowledge'	1	"[(""'farm'"", ""'farming'"")]"	0	
39	medium sprinkler head filter micro tank operate kpa tube pivot	3.0	2.0	3.0	3	'head' 'operate' 'kpa'	2	"[(""'micro'"", ""'sprinkler'""), (""'head'"", ""'sprinkler'"")]"	1	'kpa'
40	water loss face proportion mix horizon enrichment grade injection selenium	2.0	2.4	3.0	4	'face' 'grade' 'injection' 'selenium'	0	[]	0	
41	detect unit bacteria culture spray slope isolate coli spp strain	3.0	1.8	3.0	2	'slope' 'spray'	2	"[(""'coli'"", ""'bacteria'""), (""'spp'"", ""'strain'"")]"	1	'spp'
42	research variety hybrid trial program national genetic breeding international university	3.0	1.6	3.0	4	'trial' 'program' 'university' 'international'	2	"[(""'research'"", ""'trial'""), (""'breeding'"", ""'program'"")]"	0	
43	cropping corn soybean sorghum forage bean lettuce barley red legume	3.0	1.2	3.0	1	'red'	3	"[(""'corn'"", ""'corn'""), (""'soybean'"", ""'soybean'""), (""'bean'"", ""'bean'"")]"	1	'red'
44	relate form tissue toxicity pepper screen tobacco micronutrient architecture capsicum	2.0	2.0	3.0	2	'screen' 'architecture'	1	"[(""'capsicum'"", ""'pepper'"")]"	0	
45	month contribution sow june mid sowing monthly july april august	3.0	1.0	3.0	3	'contribution' 'sow' 'sowing'	2	"[(""'sow'"", ""'sowing'""), (""'month'"", ""'monthly'"")]"	1	'mid'
46	chemical saline mineral extract amendment gypsum saturation reclamation brackish saturate	3.0	1.2	3.0	4	'saturate' 'amendment' 'reclamation' 'extract'	1	"[(""'saturate'"", ""'saturation'"")]"	1	'saturate'
47	yield grain ppm spike marketable fertile lodging giza wueg sakha	2.8	2.0	2.4	4	'ppm' 'wueg' 'giza' 'sakha'	0	[]	2	'wueg' 'sakha'
48	tree weed orchard pre post herbicide old rootstock apple mature	3.0	1.6	3.0	3	'pre' 'post' 'old'	1	"[(""'pre'"", ""'post'"")]"	2	'pre' 'post'
49	supply demand optimal allocation price optimization uncertainty maximize probability module	3.0	1.4	3.0	0		2	"[(""'optimization'"", ""'maximize'""), (""'uncertainty'"", ""'probability'"")]"	1	'module'
50	plant growth potato substrate tuber inoculation container amf peat strawberry	3.0	1.8	3.0	2	'amf' 'strawberry'	2	"[(""'plant'"", ""'tuber'""), (""'inoculation'"", ""'amf'"")]"	1	'amf'
51	cultivar mixture turfgrass turf course tall shade intermediate hard fescue	3.0	1.8	3.0	3	'tall' 'hard' 'shade'	1	"[(""'turf'"", ""'turfgrass'"")]"	0	
52	environment genotype zone scheme frequency desert fungus sudan cassava gezira	2.0	2.0	3.0	0		2	"[(""'cassava'"", ""'gezira'""), (""'sudan'"", ""'gezira'"")]"	1	'gezira'
53	variation measurement flux heat dominate pulse partition sink dimensional island	2.0	2.0	3.0	2	'island' 'dominate'	1	"[(""'sink'"", ""'island'"")]"	1	'dominate'
54	period decline storage end duration peak cold clone restriction iwue	2.0	2.0	3.0	4	'cold' 'iwue' 'clone' 'restriction'	1	"[(""'clone'"", ""'iwue'"")]"	1	'iwue'
55	grow season dry wet normal hot warm rainy bulb spell	2.0	2.0	3.0	2	'bulb' 'spell'	1	"[(""'wet'"", ""'rainy'"")]"	1	'spell'
56	management practice point erosion mechanical eco shp submodel calculator rusle	2.0	2.0	3.0	3	'calculator' 'shp' 'submodel'	1	"[(""'rusle'"", ""'erosion'"")]"	2	'shp' 'rusle'
57	field open governorate asparagus prefecture bund fallowe inclination rzwqm door	2.0	2.0	2.0	4	'asparagus' 'inclination' 'rzwqm' 'door'	2	"[(""'prefecture'"", ""'governorate'""), (""'bund'"", ""'field'"")]"	2	'rzwqm' 'fallowe'
58	control wue emitter watering clogging outdoor clog anti die app	2.0	1.6	2.0	2	'die' 'app'	1	"[(""'clog'"", ""'clogging'"")]"	1	'wue'
59	groundwater aquifer evaporation deep recharge shallow table drinking pump depletion	3.0	1.8	3.0	2	'table' 'drinking'	2	"[(""'deep'"", ""'shallow'""), (""'recharge'"", ""'depletion'"")]"	1	'table'
60	straw biochar stability remove column zinc aggregate retain acre incorporation	3.0	2.0	3.0	2	'zinc' 'acre'	0	[]	0	
61	application specie trait behavior marker qtl horticultural banana chromosome loci	3.0	2.0	3.0	2	'banana' 'behavior'	2	"[(""'marker'"", ""'qtl'""), (""'loci'"", ""'chromosome'"")]"	1	'specie'
62	level limit permissible glucan mcl mpl beaver water fmc edb	2.0	2.0	3.0	2	'beaver' 'water'	3	"[(""'mcl'"", ""'mpl'""), (""'fmc'"", ""'mpl'""), (""'mcl'"", ""'fmc'"")]"	4	'mcl' 'mpl' 'fmc' 'edb'
63	seed fruit stage number weight harvest early seedling height late	3.0	1.4	3.0	3	'number' 'weight' 'height'	1	"[(""'seed'"", ""'seedling'"")]"	4	'stage' 'number' 'weight' 'height'
64	group rain feed animal livestock nutrition consume body dairy intake	3.0	1.6	3.0	2	'rain' 'body'	2	"[(""'feed'"", ""'consume'""), (""'animal'"", ""'livestock'"")]"	0	
65	ratio clay conductivity hydraulic sandy loam sodium percentage sand texture	3.0	1.8	3.0	2	'sodium' 'percentage'	2	"[(""'sand'"", ""'sandy'""), (""'clay'"", ""'loam'"")]"	1	'loam'
66	test non movement vertical people inadequate downward republic kendall inoculated	2.0	3.0	3.0	3	'kendall' 'inoculated' 'republic'	0	[]	2	'non' 'kendall'
67	recommend product market industry grower protection regulation european right export	3.0	2.0	3.0	2	'protection' 'right'	0	[]	1	'grower'
68	fertilizer plot emission ha⁻¹ nitrate manure release co₂ dose urea	3.0	1.6	3.0	2	'ha⁻¹' 'plot'	2	"[(""'ha⁻¹'"", ""'co₂'""), (""'urea'"", ""'manure'"")]"	1	'ha⁻¹'
69	analysis component correlation sensitivity cluster principal matrix variance budget path	3.0	2.0	3.0	2	'budget' 'path'	2	"[(""'principal'"", ""'component'""), (""'variance'"", ""'matrix'"")]"	0	
70	water residue removal retention situ sorption loading dissipation nebraska biofuel	3.0	2.0	3.0	2	'nebraska' 'biofuel'	2	"[(""'situ'"", ""'sorption'""), (""'removal'"", ""'dissipation'"")]"	1	'situ'
71	nitrogen uptake fertilization phosphorus potassium fix fixation remobilization malt phosphorous	3.0	1.0	3.0	1	'malt'	1	"[(""'phosphorus'"", ""'phosphorous'"")]"	1	'phosphorous'
72	greenhouse tomato set water half inhibit tap dilution jordan serial	2.0	2.4	3.0	3	'set' 'jordan' 'serial'	0	[]	3	'jordan' 'set' 'half'
73	land cover cultivate forest watershed degradation habitat cropland grassland farmland	3.0	1.0	3.0	1	'degradation'	0	[]	1	'watershed'
74	water green canal reuse footprint punjab blue roof delivery irrigator	2.0	2.0	3.0	3	'delivery' 'punjab' 'roof'	1	"[(""'canal'"", ""'irrigator'"")]"	1	'irrigator'
75	high low density class stand color uniform coverage hill appearance	2.0	1.8	3.0	5	'class' 'color' 'appearance' 'stand' 'hill'	1	"[(""'high'"", ""'hill'"")]"	1	'stand'
76	river basin sediment discharge hydrological dam delta fish downstream streamflow	3.0	2.0	3.0	1	'fish'	0	[]	1	'hydrological'
77	rate infiltration pond generation advance section shape boundary arable buffer	2.0	2.0	3.0	1	'shape'	1	"[(""'infiltration'"", ""'buffer'"")]"	1	'arable'
78	wastewater treat vegetable metal heavy effluent contamination pollution waste load	3.0	1.0	3.0	2	'vegetable' 'metal'	2	"[(""'wastewater'"", ""'effluent'""), (""'pollution'"", ""'contamination'"")]"	2	'wastewater' 'effluent'
79	potential water actual web etₐ predawn pet aet eta prb	2.0	1.8	2.0	3	'web' 'prb' 'pet'	0	[]	1	'etₐ'
80	irrigate degree swc angle unirrigated gdd latitude nonirrigate csa respiratory	2.2	1.0	3.0	4	'respiratory' 'degree' 'latitude' 'angle'	2	"[(""'irrigate'"", ""'unirrigated'""), (""'irrigate'"", ""'nonirrigate'"")]"	3	'swc' 'gdd' 'csa'
81	irrigation supplemental automatic controller pressurized presowe fsr preplante oxygation pillow	2.2	1.8	2.0	1	'pillow'	2	"[(""'preplante'"", ""'presowe'""), (""'oxygation'"", ""'pillow'"")]"	4	'presowe' 'oxygation' 'fsr' 'preplante'
82	flow reach moderate threshold sap mpa meter preferential velocity flush	2.8	2.0	3.0	3	'preferential' 'sap' 'mpa'	1	"[(""'mpa'"", ""'meter'"")]"	1	'mpa'
83	organic matter size location correlate fraction diversity abundance inorganic particle	3.0	2.0	3.0	2	'location' 'correlate'	1	"[(""'inorganic'"", ""'organic'"")]"	1	'correlate'
84	treatment receive prd egg wwtp i₁₀₀ coppice wsi i₅₀ ctl	1.8	2.2	2.0	2	'egg' 'coppice'	1	"[(""'i₁₀₀'"", ""'i₅₀'"")]"	2	'i₁₀₀' 'i₅₀'
85	apply volume interval transfer min imt water presentation rafsanjan radiative	2.0	2.0	3.0	3	'presentation' 'rafsanjan' 'water'	0	[]	3	'imt' 'rafsanjan' 'radiative'
