ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	gym workout fitness treat fit month healthy drink word smoke	3.0	1.2	2.6	2	'treat' 'smoke'	4	"[(""'gym'"", ""'workout'""), (""'treat'"", ""'smoke'""), (""'fitness'"", ""'fit'""), (""'month'"", ""'word'"")]"	1	'word'
1	dot dick heb laptop competitive chillin bmv nut announcement ironic	1.4	2.4	2.0	4	'dick' 'heb' 'nut' 'bmv'	5	"[(""'dot'"", ""'dot'""), (""'dick'"", ""'dick'""), (""'heb'"", ""'heb'""), (""'laptop'"", ""'laptop'""), (""'competitive'"", ""'competitive'"")]"	2	'heb' 'bmv'
2	food chicken meal chipotle taco gluten recipe mcdonald sandwich restaurant	3.0	2.0	2.0	1	'mcdonald'	3	"[(""'food'"", ""'meal'""), (""'chicken'"", ""'taco'""), (""'chipotle'"", ""'mcdonald'"")]"	2	'chipotle' 'mcdonald'
3	loose skinny pretzel skinnyjeansbestfriend loseweight diet cliche weightloss tweak starve	3.0	1.2	2.0	3	'cliche' 'tweak' 'starve'	1	[('loseweight', 'lose')]	1	'skinnyjeansbestfriend'
4	twitter onebluelenz socialmedia follower instagram startup retweet delete code iwantobehip	3.0	1.4	2.0	2	'onebluelenz' 'iwantobehip'	1	"[(""'(twitter"", 'socialmedia')]"	2	'onebluelenz' 'iwantobehip'
5	nap wake morning sleeping hibernate makeup habit ijustneedsleep languish dogslife	3.0	1.8	2.0	2	'makeup' 'dogslife'	2	"[(""'nap'"", ""'sleeping'""), (""'wake'"", ""'hibernate'"")]"	1	'ijustneedsleep'
6	game baseball hockey yankees playoff leagueoflegend cheer state favorite indy	3.0	1.6	2.0	2	'leagueoflegend' 'cheer'	4	"[(""'game'"", ""'playoff'""), (""'baseball'"", ""'yankees'""), (""'hockey'"", ""'indy'""), (""'leagueoflegend'"", ""'game'"")]"	1	'leagueoflegend'
7	book reading novel publisher challenge picturebook thrones kindle ebooks schedule	3.0	1.4	3.0	2	'schedule' 'picturebook'	2	"[(""'novel'"", ""'picturebook'""), (""'ebooks'"", ""'kindle'"")]"	1	'thrones'
8	thank flawless sexymonday bath shb graduation enjoy beautiful boy job	2.6	2.2	2.0	1	'shb'	2	[('thank', 'enjoy'), ('flawless', 'beautiful')]	2	'shb' 'sexymonday'
9	pack legging wardrobe warm sneaker underwear sweatpant fashion figfit flatass	3.0	1.2	2.2	2	'pack' 'flatass'	3	"[(""'pack'"", ""'wardrobe'""), (""'legging'"", ""'sweatpant'""), (""'underwear'"", ""'figfit'"")]"	1	'flatass'
10	concert soundtrack song cydonia mixtape sing gaga musically duet recordsbeat	3.0	1.0	2.0	3	'cydonia' 'recordsbeat' 'gaga'	0	[]	1	'cydonia'
11	drink alcohol party vodka hangover champagne tequila timetogetserious spending noodle	3.0	1.4	2.0	3	'spending' 'noodle' 'timetogetserious'	2	"[(""'drink'"", ""'alcohol'""), (""'party'"", ""'noodle'"")]"	1	'timetogetserious'
12	goals motivation castle realistic level happenings hunters gabe target stage	2.2	1.6	2.0	3	'castle' 'hunters' 'gabe'	3	"[(""'goals'"", ""'target'""), (""'level'"", ""'stage'""), (""'hunters'"", ""'happenings'"")]"	1	'gabe'
13	god prayer bible faith hillsong john bless fiery hebrews johnathan	3.0	1.6	2.4	3	'hillsong' 'john' 'johnathan'	2	"[(""'john'"", ""'johnathan'""), (""'hebrews'"", ""'john'"")]"	1	'johnathan'
14	selfie portrait evar nude introversion jim harbaugh ordinarylife foley disposable	1.6	2.6	2.0	4	'evar' 'jim' 'harbaugh' 'foley'	4	"[(""'selfie'"", ""'portrait'""), (""'jim'"", ""'harbaugh'""), (""'foley'"", ""'jim'""), (""'ordinarylife'"", ""'evar'"")]"	2	'evar' 'jim'
15	bae girlfriend virginity wifey starbswiththegirl marriage maury nikki queen impregnate	2.8	1.2	2.0	0		1	"[(""'bae'"", ""'girlfriend'"")]"	1	'starbswiththegirl'
