ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	performer pimental amusement realityengine meteosat cruel incorporated convolution assertaine multiprocessor	1.0	3.0	1.0	6	'pimental' 'realityengine' 'meteosat' 'convolution' 'assertaine' 'multiprocessor'	0	[]	8	'pimental' 'realityengine' 'meteosat' 'cruel' 'incorporated' 'convolution' 'assertaine' 'multiprocessor'
1	christian christians heaven sin love bible easter prayer resurrection christ	3.0	2.0	3.0	0		3	"[(""'christian'"", ""'christians'""), (""'heaven'"", ""'resurrection'""), (""'bible'"", ""'christ'"")]"	0	
2	atf fbi museum terrorism missile enclose surrender affair bosnia backing	1.8	3.0	3.0	2	'enclose' 'surrender'	0	[]	5	'enclose' 'surrender' 'affair' 'bosnia' 'backing'
3	performer pimental realityengine incorporated abundance meteosat startrek convolution coefficient multiprocessor	1.0	3.0	1.0	4	'pimental' 'realityengine' 'startrek' 'meteosat'	0	[]	8	'pimental' 'realityengine' 'incorporated' 'meteosat' 'startrek' 'convolution' 'coefficient' 'multiprocessor'
4	window application manager display set font motif problem event user	2.6	2.6	3.0	2	'problem' 'event'	0	[]	0	
5	ryan prediction talent performer chop cup realityengine multiprocessor pimental thumb	1.0	3.0	2.2	0		1	"[(""'ryan'"", ""'pimental'"")]"	3	'multiprocessor' 'pimental' 'realityengine'
6	display window font thank graphic color screen file advance client	2.0	3.0	3.0	1	'thank'	0	[]	2	'thank' 'client'
7	team game max player play win cup end fan air	2.2	2.0	3.0	2	max air	0	[]	2	'max' 'air'
8	presentation seminar authors sphere address warfare presentations byoh shiek visualization	1.0	1.8	3.0	5	'seminar' 'sphere' 'warfare' 'byoh' 'shiek'	1	"[(""'presentation'"", ""'presentations'"")]"	4	'sphere' 'address' 'byoh' 'shiek'
9	ride cool helmet car boom nuclear shift road horse engine	1.2	2.8	3.0	2	'boom' 'nuclear'	0	[]	4	'boom' 'nuclear' 'shift' 'engine'
10	team cup fan abc roger toronto player sport game pen	2.0	2.0	3.0	2	abc pen	0	[]	4	'abc' 'pen' 'roger' 'toronto'
11	graphic graphics thank site gif advance email hello domain location	1.2	2.0	3.0	1	'advance'	1	"[(""'graphic'"", ""'graphics'"")]"	1	'advance'
12	clipper chip phone announcement key white house communication government legal	2.0	2.6	3.0	2	'white' 'house'	1	"[(""'white'"", ""'house'"")]"	0	
13	study sensitivity msg food effect headache medical disease cause flavor	2.0	2.8	3.0	2	'msg' 'flavor'	0	[]	1	'msg'
14	daily humor promise ignorance kent performer proud pimental realityengine tammy	1.0	3.0	3.0	3	'kent' 'pimental' 'realityengine'	0	[]	2	'ignorance' 'realityengine'
15	disk file image problem use windows input case model error	2.0	2.6	3.0	2	'case' 'model'	1	"[(""'error'"", ""'problem'"")]"	0	
16	advance anybody gif viewer thank compile archie indiana download animation	1.0	3.0	3.0	3	'advance' 'compile' 'indiana'	0	[]	6	'gif' 'viewer' 'compile' 'indiana' 'download' 'animation'
17	gun libertarian economic tax crime sales spending ban amendment legal	2.2	2.4	3.0	0		0	[]	0	
18	performer pimental multiprocessor incorporated correspnde smattering realityengine drawings meteosat twosie	1.0	3.0	1.0	3	'pimental' 'correspnde' 'twosie'	0	[]	2	'correspnde' 'twosie'
19	right law state amendment second use mean government case people	3.0	2.0	3.0	2	'use' 'mean'	4	"[(""'right'"", ""'use'""), (""'law'"", ""'amendment'""), (""'state'"", ""'government'""), (""'second'"", ""'amendment'"")]"	2	'use' 'mean'
20	buy car monitor printer price manual service wire cheap portable	2.0	2.0	3.0	2	manual service	0	[]	7	'monitor' 'printer' 'manual' 'service' 'wire' 'cheap' 'portable'
21	genocide today turks mountain escape shoot single soul population homeland	1.6	3.0	3.0	2	'mountain' 'soul'	0	[]	4	'mountain' 'single' 'soul' 'homeland'
22	car temperature speed mile time light tire high rotate limit	2.8	2.0	3.0	2	temperature limit	0	[]	0	
23	team player game play year good hit win bad fan	3.0	2.0	3.0	0		0	[]	0	
24	clinic ussr sensitivity risk resident bush taste concentrate nuclear health	1.2	3.0	3.0	0		0	[]	0	
25	jewish university history professor jews stanford century power greek new	2.6	2.0	3.0	1	'power'	1	"[(""'jewish'"", ""'jews'"")]"	0	
26	card monitor chip scsi drive video use mac windows fast	2.0	2.8	3.0	2	'use' 'fast'	1	"[(""'card'"", ""'chip'"")]"	3	'scsi' 'use' 'fast'
27	gun law file secretly space information san allege year anti	1.0	3.0	3.0	3	'file' 'space' 'san'	0	[]	6	'file' 'secretly' 'space' 'san' 'year' 'anti'
28	isa slot performance board slow upgrade motherboard bus spec cpu	3.0	2.0	3.0	3	'isa' 'slot' 'bus'	1	"[(""'isa'"", ""'spec'"")]"	3	'isa' 'slot' 'bus'
29	god good jesus time man day thing behold betray crucifixion	3.0	2.0	3.0	2	'time' 'day'	1	"[(""'god'"", ""'jesus'"")]"	0	
30	people know time like come right think look tell want	2.0	2.0	3.0	1	'right'	0	[]	0	
31	god law church islam islamic christ marriage world bosnia jewish	2.8	2.0	3.0	2	'world' 'bosnia'	1	"[(""'islam'"", ""'islamic'"")]"	0	
32	morality atheists objective islam islamic keith political moral jon definition	3.0	2.0	3.0	2	'keith' 'jon'	1	"[(""'morality'"", ""'moral'"")]"	1	'definition'
33	use version available machine key bit number write software code	3.0	3.0	3.0	0		1	"[(""'bit'"", ""'bit'"")]"	0	
34	drive problem disk hard boot cable scsi quantum error duo	2.0	2.2	3.0	1	'duo'	0	[]	2	'quantum' 'duo'
35	chip clipper serial modem bit scsi speed board fast apple	2.0	2.8	3.0	1	'apple'	0	[]	0	
36	god truth argument true believe christians evidence arrogance reason claim	3.0	2.0	3.0	1	'arrogance'	2	"[(""'god'"", ""'true'""), (""'truth'"", ""'true'"")]"	0	
37	game team bob jeff copy gary minnesota john chicago mike	2.0	3.0	3.0	3	copy minnesota john	0	[]	3	'copy' 'minnesota' 'chicago'
38	performer pimental incorporated smattering realityengine monterey abundance meteosat publically winn	1.0	3.0	1.6	4	'pimental' 'realityengine' 'publically' 'winn'	0	[]	3	'pimental' 'publically' 'winn'
39	card video mouse driver diamond ati ultra switch instal setting	1.4	2.8	2.4	6	'diamond' 'ati' 'ultra' 'switch' 'instal' 'setting'	0	[]	3	'driver' 'instal' 'setting'
40	gun swinburne christian good problem humanism prometheus like hitler love	1.6	3.0	3.0	2	'swinburne' 'hitler'	0	[]	2	'swinburne' 'hitler'
41	sale offer sell interested condition shipping price brand forsale trade	3.0	2.0	3.0	0		1	"[(""'sale'"", ""'forsale'"")]"	0	
42	mail space sci internet news security content faq message key	2.6	2.2	3.0	2	'sci' 'faq'	0	[]	0	
43	announcement walker systems newsreader corporation clipper shelf tcp corporate lobbying	1.6	3.0	3.0	3	'walker' 'clipper' 'shelf'	0	[]	0	
44	space power use high info include satellite image strategic thrust	3.0	2.4	3.0	3	'info' 'include' 'use'	0	[]	0	
45	performer pimental incorporated winn handicap smattering amusement danke laze booboo	1.0	3.0	1.0	6	'pimental' 'incorporated' 'winn' 'danke' 'laze' 'booboo'	0	[]	9	'pimental' 'incorporated' 'winn' 'handicap' 'smattering' 'amusement' 'danke' 'laze' 'booboo'
46	question god exist religion life believe good use morality thing	3.0	2.0	3.0	1	'use'	1	"[(""'exist'"", ""'believe'"")]"	0	
47	think year work thank question program need try want government	2.0	2.8	3.0	2	'year' 'program'	0	[]	0	
48	performer pimental incorporated sum smattering undecidable nonexclusive laze mythic realityengine	1.0	3.0	1.6	5	'pimental' 'incorporated' 'undecidable' 'nonexclusive' 'laze'	0	[]	7	'pimental' 'incorporated' 'undecidable' 'nonexclusive' 'laze' 'mythic' 'realityengine'
49	israel peace gun crime control state syria death fbi civilian	2.0	2.0	3.0	2	'syria' 'fbi'	0	[]	0	
