label_id	label
1	 light regimes 
2	 GMO 
3	 NDVI
4	 Rhoeadales 
5	 fishery production 
6	 coastal zone management 
7	 agricultural pollution 
8	agricultural productivity 
9	 Isatis tinctoria 
10	dioxins 
11	 butyric acid 
12	 viruses 
13	 Bruguiera 
14	 Eriobotrya japonica 
15	 silviculture 
16	 Pyrenophora
17	 iron 
18	 obesity 
19	 financial inclusion 
20	cattle 
21	Diaporthe 
22	 soil fertility
23	 trials
24	 Jordan 
25	Kentucky bluegrass 
26	nivalenol 
27	textiles 
28	 sesame 
29	growth rings 
30	agricultural sector 
31	 plant ecology
32	Punica granatum 
33	 trachea 
34	 fish ponds
35	 certification 
36	 conventional farming 
37	 calorimetry 
38	 soil resources
39	 agricultural runoff 
40	 Betula pendula 
41	 erythrocytes 
42	 Sorghum halepense
43	 outdoor cropping 
44	 Citrullus lanatus
45	 harvesters 
46	antibiotic resistance 
47	 ground cover plants 
48	 agronomic traits 
49	 ion exchange
50	 participatory approaches 
51	 daidzein 
52	 leaf area index 
53	 business models 
54	synthetic pyrethrins 
55	 fishery resources
56	Humulus lupulus 
57	 Lumbricus rubellus 
58	 animal welfare 
59	storms 
60	 aconitic acid 
61	 relay cropping 
62	Ascophyllum nodosum 
63	 gelation 
64	 vaccines 
65	 phenolic content 
66	 coasts 
67	 dendroecology 
68	 Fusarium 
69	 Pica pica 
70	 Neoaplectana carpocapsae 
71	 blended fertilizers 
72	 hoses 
73	 moisture meters 
74	 pepper 
75	 superovulation 
76	 uterine cervix
77	Saskatchewan 
78	 social consciousness
79	zoning 
80	 streams
81	 sweet potatoes 
82	 Podicipediformes 
83	 rams 
84	 Sclerotinia sclerotiorum 
85	 vegetable legumes
86	 spikelets 
87	 Cucurbita 
88	 cross-breeding 
89	 monoclonal antibodies
90	 pulp 
91	 Cucumis melo 
92	hail damage 
93	 sinapic acid 
94	Russia 
95	 soil factors 
96	 leishmaniasis 
97	 adventitious roots
98	 South Carolina 
99	hand washing 
100	United Arab Emirates 
101	 structures 
102	 molecular weight
103	 burning 
104	 anthropogenic factors 
105	 Euphorbiaceae
106	 milk products
107	 size
108	 carbofuran 
109	 microbiological risk assessment 
110	 bonuses 
111	 crop forecasting 
112	 interviews 
113	 Pinus echinata
114	drying 
115	 Xenopus laevis 
116	 Legionella
117	 alfisols 
118	pressure 
119	 defence mechanisms 
120	 business management 
121	 vocational education 
122	ornithine 
123	 mediterranean zone
124	 orthophotography 
125	 MODIS
126	 laser radiation 
127	 civil engineering 
128	 whole grain foods 
129	 forest trees 
130	 Variichthys jamoerensis 
131	 sinigrin 
132	 agricultural population 
133	 stable isotopes
134	field crops 
135	 antennae 
136	 haze 
137	 guanidines 
138	 Citrus limon 
139	 water retention 
140	 Acacia nilotica 
141	 interspecific competition 
142	 montmorillonitic soils 
143	 feed production 
144	 wheat bran 
145	 monosodium glutamate 
146	Africa South of Sahara 
147	 adventitious roots 
148	Botryosphaeria 
149	buffering capacity 
150	Ananas comosus 
151	 Calamus (Palmae)
152	 Orobanche ramosa
153	 sporangia 
154	 syrups 
155	 botany
156	sucrose 
157	 Vetiveria zizanioides 
158	nutrient interactions 
159	 palmitic acid 
160	 tagging 
161	 Triticum
162	 fruit drop
163	 mountain soils 
164	 Hirschmanniella oryzae
165	soil properties 
166	 coagulating 
167	 tilling 
168	land use 
169	 blueberries 
170	 Eulaliopsis 
171	 groundwater assessment 
172	 Methanobacteriaceae
173	 hulls 
174	 Elateridae 
175	 calorific value 
176	 forcing 
177	 feeding value
178	 household expenditure 
179	 haploidy 
180	 Leucaena 
181	 total organic carbon
182	 digesta 
