ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	guitar everyday learn yes black school big sugar gym motto	2.0	2.6	3.0	4	'sugar' 'gym' 'motto' 'black'	0	[]	1	'motto'
1	smoking gain waste fat ticket lose husband way newyearnewme cookie	2.0	2.0	3.0	4	'husband' 'way' 'ticket' 'cookie'	1	"[(""'gain'"", ""'lose'"")]"	1	'newyearnewme'
2	priority effort lose pound watch realistic moment reality super chicken	2.0	2.0	3.0	2	'chicken' 'super'	3	"[(""'lose'"", ""'pound'""), (""'reality'"", ""'realistic'""), (""'moment'"", ""'watch'"")]"	1	'super'
3	party fail simply half track better york tall channel idk	2.0	2.6	3.0	3	'york' 'tall' 'idk'	0	[]	1	'idk'
4	share star monday tone definitely come effect homeless learn shit	2.0	2.0	2.2	2	'definitely' 'shit'	0	[]	1	'shit'
5	fresh family oop spend eve calendar app yesterday healthy rockin	2.0	2.0	2.4	3	'oop' 'yesterday' 'app'	1	"[(""'yesterday'"", ""'eve'"")]"	3	'oop' 'eve' 'rockin'
6	stuff pack dick buy adventure music haha attitude goal save	2.0	2.0	2.2	2	'music' 'haha'	0	[]	0	
7	completely fake candy begin pop email trust battle deal emotion	2.0	2.0	3.0	2	'candy' 'pop'	1	"[(""'begin'"", ""'start'"")]"	0	
8	travel fucking burn draw tattoo internship band course settle delete	1.4	2.0	2.2	0		1	"[(""'burn'"", ""'delete'"")]"	1	'fucking'
9	habit catch season home difference break wife sleep popular healthy	2.0	2.0	3.0	1	'popular'	0	[]	0	
10	chuck paper special lie state lmao watch dead blair netflix	2.0	2.0	3.0	3	'watch' 'netflix' 'blair'	0	[]	1	'lmao'
11	control water clothe box physically mentally res read baseball tough	2.0	2.0	2.0	4	'read' 'res' 'box' 'baseball'	0	[]	2	'clothe' 'res'
12	fast beat involve able truth advice winter instagram potato twitter	1.6	2.0	3.0	4	'winter' 'potato' 'instagram' 'twitter'	0	[]	0	
13	mistake meet long accept fuck sorry passion great niggas release	2.0	2.0	2.0	2	'fuck' 'niggas'	0	[]	1	'niggas'
14	house asshole mouth consider little today creative drop free heart	2.0	2.0	2.8	3	'consider' 'little' 'today'	0	[]	1	'asshole'
15	ball song weight hear energy toilet believe challenge increase god	2.0	2.0	3.0	2	'toilet' 'god'	0	[]	1	'toilet'
16	instead shoe sock treat visit community officially crack rich earth	2.0	3.0	3.0	4	'shoe' 'sock' 'treat' 'crack'	0	[]	0	
17	car january complain birthday guy amazing use look laugh bad	2.0	2.0	3.0	4	'car' 'use' 'look' 'laugh'	3	"[(""'car'"", ""'use'""), (""'laugh'"", ""'amazing'""), (""'complain'"", ""'bad'"")]"	1	'january'
18	baby early active bit shoot clear fall gym bullshit goal	2.0	2.0	2.4	1	'bullshit'	0	[]	1	'bullshit'
19	hashtag week favorite gossip meat reason tonight watch team text	2.0	2.0	3.0	2	'meat' 'reason'	0	[]	0	
20	open photo problem level block quit publish cup hair film	2.0	2.0	3.0	2	'cup' 'hair'	0	[]	3	'cup' 'hair' 'film'
21	ready complete dance true afraid dad chorgrapher mom god dream	2.0	1.8	3.0	1	'dance'	1	"[(""'mom'"", ""'dad'"")]"	1	'chorgrapher'
22	cat dog kill choose country friend pretty raise selfie nye	1.6	2.0	3.0	3	'pretty' 'selfie' 'nye'	0	[]	1	'nye'
23	past hurt thought cool happiness deep store feeling stress sex	2.0	2.0	3.0	2	'store' 'sex'	0	[]	1	'sex'
24	suck blame adult rule discover eve chocolate routine studio month	2.0	2.0	3.0	2	'chocolate' 'eve'	0	[]	1	'eve'
25	hot old online anymore carry zero pic tweet notice fuck	2.0	2.0	2.2	3	'fuck' 'carry' 'zero'	1	"[(""'pic'"", ""'tweet'"")]"	0	
26	organize learn ride code hashtagoftheweek socialmedia tennis emotional patient mess	2.0	2.0	3.0	4	'tennis' 'emotional' 'patient' 'mess'	0	[]	1	'hashtagoftheweek'
27	guess matter literally book peace juice responsible drama beer arm	1.6	2.6	3.0	1	'beer'	0	[]	0	
28	win video hang hopefully respect stay episode till friend pass	2.0	2.0	3.0	2	'video' 'episode'	0	[]	1	'till'
29	workout limit boyfriend cook got especially foot goals push fear	2.0	2.0	3.0	1	'cook'	0	[]	1	'got'
30	sport night late bible use remove position cliche book lose	2.0	2.0	3.0	2	'bible' 'book'	1	"[(""'book'"", ""'bible'"")]"	1	'cliche'
31	concert joke quiet mixtape ass volunteer upset master allow help	2.0	2.0	3.0	1	'ass'	0	[]	1	'ass'
32	daily support facebook action public planet decide judge create pocket	2.0	2.0	3.0	2	'pocket' 'facebook'	1	"[(""'decide'"", ""'judge'"")]"	1	'pocket'
33	smoke right supper club cigarette focus count accomplish body aim	2.0	2.0	3.0	3	'supper' 'count' 'body'	1	"[(""'cigarette'"", ""'smoke'"")]"	1	'supper'
34	ppl hug remember age place white read eve ahead membership	2.0	2.0	3.0	2	'read' 'white'	2	"[(""'ppl'"", ""'membership'""), (""'hug'"", ""'eve'"")]"	1	'ppl'
35	nap forgive forget drunk live number power minute gift encouragement	2.0	2.0	3.0	2	'number' 'minute'	0	[]	0	
