ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	super self hoe january mix ordinarylife save hit damn piss	1.0	3.0	2.0	3	'hoe' 'piss' 'damn'	1	"[(""'self'"", ""'ordinarylife'"")]"	3	'hoe' 'ordinarylife' 'piss'
1	friend society workout instead health step lot fitness quit week	2.0	2.0	3.0	3	'society' 'quit' 'week'	2	"[(""'workout'"", ""'fitness'""), (""'health'"", ""'fitness'"")]"	1	'lot'
2	stay woman hour meet friend girl fail twice accomplish fitness	2.0	3.0	3.0	3	'fail' 'twice' 'fitness'	1	"[(""'woman'"", ""'girl'"")]"	0	
3	instagram facebook peace emotion earth wit truth patients black tennis	1.0	3.0	3.0	2	'patients' 'tennis'	1	"[(""'instagram'"", ""'facebook'"")]"	0	
4	arm high human writing finish action shoe buy mouth pure	1.0	3.0	3.0	2	'high' 'pure'	8	"[(""'arm'"", ""'arm'""), (""'high'"", ""'high'""), (""'human'"", ""'human'""), (""'writing'"", ""'writing'""), (""'finish'"", ""'finish'""), (""'action'"", ""'action'""), (""'shoe'"", ""'shoe'""), (""'buy'"", ""'buy'"")]"	0	
5	kiss harmony lmfao nipple currently unproductive page cardio chafe dramatically	1.0	3.0	3.0	4	'lmfao' 'nipple' 'chafe' 'cardio'	6	"[(""'kiss'"", ""'kiss'""), (""'harmony'"", ""'harmony'""), (""'lmfao'"", ""'lmfao'""), (""'nipple'"", ""'nipple'""), (""'currently'"", ""'currently'""), (""'unproductive'"", ""'unproductive'"")]"	1	'lmfao'
6	stay gym gain focus read look cookie hand study parent	1.0	3.0	3.0	3	'cookie' 'hand' 'parent'	2	"[(""'stay'"", ""'focus'""), (""'gain'"", ""'study'"")]"	0	
7	loosen juice path enjoy condescend writerslife christmas idk properly bacon	1.0	3.0	2.8	3	'loosen' 'condescend' 'idk'	1	"[(""'idk'"", ""'idk'"")]"	1	'idk'
8	jammed list hopefully bae shape weight wheel turbo order coilover	1.0	3.0	3.0	4	'hopefully' 'bae' 'shape' 'weight'	0	[]	2	'bae' 'coilover'
9	home buy real phone record deserve hahaha successfully fit training	1.0	3.0	3.0	2	'hahaha' 'deserve'	1	"[(""'hahaha'"", ""'hahaha'"")]"	0	
10	res workinn lazyy imaa ready asf delete wage shall high	1.0	3.0	1.0	5	'lazyy' 'delete' 'asf' 'shall' 'imaa'	2	"[(""'res'"", ""'ready'""), (""'imaa'"", ""'asf'"")]"	4	'workinn' 'lazyy' 'imaa' 'asf'
11	learn bad weight gym week way read lmfao kiss watch	1.6	3.0	3.0	3	'bad' 'lmfao' 'kiss'	1	"[(""'kiss'"", ""'kiss'"")]"	1	'lmfao'
12	true rid listen fucking self alcohol job bud focused term	1.0	3.0	2.0	2	'fucking' 'bud'	8	"[(""'true'"", ""'true'""), (""'rid'"", ""'rid'""), (""'listen'"", ""'listen'""), (""'fucking'"", ""'fucking'""), (""'self'"", ""'self'""), (""'alcohol'"", ""'alcohol'""), (""'job'"", ""'job'""), (""'bud'"", ""'"")]"	0	
13	bible smoke jesus appreciated draw dont bud fucking workout harbaugh	1.0	3.0	2.0	5	'workout' 'harbaugh' 'appreciated' 'dont' 'fucking'	1	"[(""'bible'"", ""'jesus'"")]"	1	'fucking'
14	meet bitch game bite poorly ready pack weird pic girl	1.0	3.0	2.0	3	'bitch' 'poorly' 'weird'	1	"[(""'bitch'"", ""'girl'"")]"	3	'bitch' 'weird' 'poorly'
15	movie bad workout nervous change shy correct decide hour thankful	1.0	3.0	3.0	4	'bad' 'shy' 'correct' 'thankful'	7	"[(""'movie'"", ""'movie'""), (""'bad'"", ""'bad'""), (""'workout'"", ""'workout'""), (""'nervous'"", ""'nervous'""), (""'change'"", ""'change'""), (""'shy'"", ""'shy'""), (""'correct'"", ""'correct'"")]"	0	
16	spend gain positive right week funny gym twitter bed hoe	1.0	3.0	3.0	3	'twitter' 'bed' 'hoe'	2	"[(""'spend'"", ""'gain'""), (""'right'"", ""'right'"")]"	1	'hoe'
17	wine person book lot nye miss lesson read swollen gym	1.0	3.0	3.0	3	'nye' 'swollen' 'gym'	1	"[(""'person'"", ""'miss'"")]"	2	'nye' 'swollen'
18	week grow club eve hour concert supper read smoke control	1.0	3.0	3.0	3	'grow' 'smoke' 'control'	2	"[(""'week'"", ""'hour'""), (""'supper'"", ""'eve'"")]"	0	
19	negative actually success teach publish pinterest gambling kenny imponderabilia content	1.0	3.0	3.0	3	'kenny' 'imponderabilia' 'gambling'	1	"[(""'publish'"", ""'content'"")]"	1	'imponderabilia'
20	hate come relationship hahaha burrito soundtrack use amazing typo complete	1.0	3.0	3.0	3	'hahaha' 'burrito' 'typo'	7	"[(""'hate'"", ""'hate'""), (""'come'"", ""'come'""), (""'relationship'"", ""'relationship'""), (""'hahaha'"", ""'hahaha'""), (""'burrito'"", ""'burrito'""), (""'soundtrack'"", ""'soundtrack'""), (""'use'"", ""'use'"")]"	2	'hahaha' 'typo'
21	vine play cause treat dance better finally dedicated drunk jesus	1.0	3.0	3.0	3	'treat' 'drunk' 'jesus'	7	"[(""'play'"", ""'play'""), (""'cause'"", ""'cause'""), (""'treat'"", ""'treat'""), (""'dance'"", ""'dance'""), (""'better'"", ""'better'""), (""'finally'"", ""'finally'""), (""'dedicated'"", ""'dedicated'"")]"	0	
22	finally self wish story mistake serve titie laugh grow smoke	1.2	3.0	2.6	2	'titie' 'smoke'	6	"[(""'wish'"", ""'wish'""), (""'story'"", ""'story'""), (""'mistake'"", ""'mistake'""), (""'serve'"", ""'serve'""), (""'laugh'"", ""'laugh'""), (""'grow'"", ""'grow'"")]"	1	'titie'
23	gym weight social book goal lose healthy welcome god everyday	2.0	2.6	3.0	4	'social' 'book' 'welcome' 'god'	1	"[(""'weight'"", ""'lose'"")]"	0	
24	guess yeah heck mile february pile morning memory penny squat	1.0	3.0	3.0	2	'heck' 'squat'	1	"[(""'mile'"", ""'pile'"")]"	0	
25	wales page cotswolds lake calendar naw ready chore complain film	1.0	3.0	3.0	5	'page' 'calendar' 'chore' 'complain' 'film'	1	"[(""'wales'"", ""'naw'"")]"	1	'naw'
26	punctuation future drive old sound thank treat wish sleep listen	1.0	3.0	3.0	2	'sleep' 'old'	8	"[(""'punctuation'"", ""'punctuation'""), (""'future'"", ""'future'""), (""'drive'"", ""'drive'""), (""'old'"", ""'old'""), (""'sound'"", ""'sound'""), (""'thank'"", ""'thank'""), (""'treat'"", ""'treat'""), (""'wish'"", ""'"")]"	0	
27	reduce sock job account mad follower bitches oregon culture indulge	1.0	3.0	2.0	3	'sock' 'bitches' 'oregon'	8	"[(""'reduce'"", ""'reduce'""), (""'sock'"", ""'sock'""), (""'job'"", ""'job'""), (""'account'"", ""'account'""), (""'mad'"", ""'mad'""), (""'follower'"", ""'follower'""), (""'bitches'"", ""'bitches'""), (""'oregon'"", ""'ore"")]"	1	'bitches'
28	week bikini haha relationship happen patience friend lol yoga personal	1.0	3.0	3.0	3	'bikini' 'haha' 'lol'	1	"[(""'haha'"", ""'lol'"")]"	0	
29	exercise world careful way goal learn stay list fit care	2.0	2.4	3.0	2	'world' 'list'	1	"[(""'care'"", ""'careful'"")]"	0	
30	button head help pain car hug glamour drink laugh mystery	1.0	3.0	3.0	2	'car' 'glamour'	2	"[(""'head'"", ""'pain'""), (""'drink'"", ""'laugh'"")]"	0	
