resolution_topics;gender;name;resolution_category;retweet_count;text;tweet_coord;tweet_created;tweet_date;tweet_id;tweet_location;tweet_state;user_timezone;tweet_region
Eat healthier;female;Dena_Marina;Health & Fitness;0;#NewYearsResolution :: Read more books, No scrolling FB/checking email b4 breakfast, stay dedicated to PT/yoga to squash my achin' back!;;2014-12-31T10:48:00;2014-12-31;5,50363E+17;Southern California;CA;Pacific Time (US & Canada);West
Humor about Personal Growth and Interests Resolutions;female;ninjagirl325;Humor;1;#NewYearsResolution Finally master @ZJ10 's part of Kitchen Sink;;2014-12-31T10:47:00;2014-12-31;5,50363E+17;New Jersey;NJ;Central Time (US & Canada);Northeast
Be More Confident;male;RickyDelReyy;Personal Growth;0;#NewYearsResolution to stop being so damn perf _???_???;;2014-12-31T10:46:00;2014-12-31;5,50362E+17;Hollywood;CA;Eastern Time (US & Canada);West
Other;male;CalmareNJ;Philanthropic;0;My #NewYearsResolution is to help my disabled patients discover the emotional and physical therapy from loving a pet. #adoptarescue;;2014-12-31T10:45:00;2014-12-31;5,50362E+17;Metro NYC;NY;;Northeast
Be more positive;female;welovatoyoudemi;Personal Growth;0;#NewYearsResolution #2015Goals #2015bucketlist continued??_??? http://t.co/h4P9B7tWjG;;2014-12-31T10:44:00;2014-12-31;5,50362E+17;Pittsburgh, Pennsylvania ;PA;Eastern Time (US & Canada);Northeast
Eat healthier;male;EthanJMoroles;Health & Fitness;0;"#NewYearsResolution 1. Eat less.
2.quit lying.";;2014-12-31T10:43:00;2014-12-31;5,50362E+17;Odessa Texas.;TX;;South
Take a cross country trip;male;jon__bay;Recreation & Leisure;0;"My #NewYearsResolution 

-Learn how to drive.
-Apologize less.
-Read and write more.
-Get a 4.0 this upcoming quarter
-Drop my mixtape";;2014-12-31T10:42:00;2014-12-31;5,50361E+17;Santa Cruz, CA;CA;Tijuana;West
Try new things;male;DGP_Omen;Personal Growth;0;treat people the way they treat me! _????????#NewYearsResolution;;2014-12-31T10:37:00;2014-12-31;5,5036E+17;Muck City, Florida;FL;Mountain Time (US & Canada);South
Be more positive;female;AshleeSoAfrican;Personal Growth;0;#NewYearsResolution Stop worrying about irrelevant things;;2014-12-31T10:37:00;2014-12-31;5,5036E+17;Houston, Tx;TX;Pacific Time (US & Canada);South
Other;female;yates_amber;Recreation & Leisure;0;#NewYearsResolution to start a hobby, do it once, and never do it again.;;2014-12-31T10:35:00;2014-12-31;5,5036E+17;louisville, ky;KY;Eastern Time (US & Canada);South
Humor about not Keeping Resolutions;male;Steven_Baucom;Humor;0;#NewYearsResolution Watch Die Hard twice a day, instead of just once.;;2014-12-31T10:35:00;2014-12-31;5,50359E+17;Clarksville, TN;TN;Central Time (US & Canada);South
Quit smoking;male;chadzizelman;Health & Fitness;0;Time to give up tobacco! #NewYearsResolution;;2014-12-31T10:34:00;2014-12-31;5,50359E+17;Cincinnati, OH;OH;;Midwest
Focus on my self;male;superqguru;Personal Growth;0;Theme 2015 is about trusting justice, peace and love. Bonding with everything from all directions, all forces. #karma #NewYearsResolution;;2014-12-31T10:34:00;2014-12-31;5,50359E+17;Rock Creek Oregon;OR;;West
Focus on Religion and Faith;female;JustMeShauntell;Personal Growth;1;RT @kymeshawhite: #NewYearsResolution To grow in christ and increase spiritually next year.;;2014-12-31T10:33:00;2014-12-31;5,50359E+17;Atlanta,GA;GA;Eastern Time (US & Canada);South
Humor about Personal Growth and Interests Resolutions;male;tyson_c;Humor;0;I was going to resolve to procrastinate less, but honestly what's the rush? #NewYearsResolution;;2014-12-31T10:32:00;2014-12-31;5,50359E+17;Chico, CA;CA;Pacific Time (US & Canada);West
Be more positive;male;metalheadjs;Personal Growth;4;RT @JessicaDrown: My #NewYearsResolution is to grow and continue to make you guys smile. ??????_??;;2014-12-31T10:32:00;2014-12-31;5,50359E+17;San Antonio Tx;TX;;South
