ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	time work card need jesus file run write post drive	1.6	2.2	2.2	1	'jesus'	0	[]	1	'jesus'
1	game team year fan score pick cup sport average philadelphia	3.0	1.2	2.8	2	'year' 'average'	3	"[(""'game'"", ""'score'""), (""'team'"", ""'fan'""), (""'cup'"", ""'philadelphia'"")]"	1	'philadelphia'
2	car engine tire ride mov road drive speed gear driver	3.0	1.2	2.4	1	'mov'	0	[]	2	'mov' 'gear'
3	msg patient doctor diet treatment health medicine symptom hospital headache	3.0	1.2	3.0	2	'msg' 'diet'	5	"[(""'msg'"", ""'message' is not present in the set but 'message' is related to 'msg' hence ignored""), (""'doctor'"", ""'patient'""), (""'treatment'"", ""'medicine'""), (""'health'"", ""'hospital'""), (""'symptom'"", ""'head"")]"	0	
4	space nasa orbit mission moon satellite solar astronomy project planet	3.0	1.8	3.0	1	'solar'	7	"[('space', ""'nasa'""), ('orbit', 'mission'), ('moon', 'satellite'), ('solar', 'astronomy'), ('project', 'mission'), ('satellite', ""'space'""), ('planet', 'project')]"	0	
5	clipper key chip algorithm security phone encrypt pgp scheme patent	3.0	1.2	2.0	1	'phone'	3	"[(""'clipper'"", ""'chip'""), (""'algorithm'"", ""'scheme'""), (""'encrypt'"", ""'pgp'"")]"	1	'clipper'
6	colormap graphic bitmap program visual pixel postscript convert sphinx pixmap	3.0	1.6	3.0	2	'sphinx' 'program'	3	"[(""'colormap'"", ""'bitmap'""), (""'graphic'"", ""'pixmap'""), (""'program'"", ""'sphinx'"")]"	0	
7	israel jews war peace palestinians nazis gaza terrorism syria zionist	2.2	1.8	1.8	1	'syria'	1	"[(""'israel'"", ""'palestinians'"")]"	0	
8	gun police crime amendment section state semi license violent ban	3.0	1.2	2.0	2	'license' 'semi'	1	"[(""'gun'"", ""'firearm'"")]"	1	'semi'
9	printer deskjet ink laserwriter toner printing laserjet inkjet adobe epson	3.0	1.2	2.2	2	'adobe' 'epson'	5	"[(""'deskjet'"", ""'printer'""), (""'laserwriter'"", ""'laserjet'""), (""'ink'"", ""'toner'""), (""'inkjet'"", ""'printer'""), (""'printing'"", ""'printing'"")]"	2	'laserwriter' 'laserjet'
10	turkish turks genocide soviet massacre population greeks history republic turk	3.0	1.6	2.0	0		2	"[(""'turkish'"", ""'turks'""), (""'turk'"", ""'turks'"")]"	2	'turk' 'turks'
11	disk floppy scsi format error install device dos cdrom external	3.0	1.8	2.0	1	'dos'	0	[]	1	'floppy'
12	clock risc vram ram simms processor cpu coprocessor quadra pentium	3.0	1.6	2.0	0		1	"[(""'ram'"", ""'vram'"")]"	1	'simms'
13	windows unix software microsoft version application database toolkit gui mac	3.0	1.2	2.2	0		2	"[(""'windows'"", ""'microsoft'""), (""'gui'"", ""'windows'"")]"	1	'unix'
14	homosexual homosexuality percentage study orientation heterosexual party church princeton group	3.0	1.6	2.0	5	'percentage' 'study' 'party' 'princeton' 'group'	1	[('homosexual', 'homosexuality')]	1	'heterosexual'
15	monitor centris adapter sony atari cable switch fix interference mitsubishi	2.8	2.0	2.2	3	'sony' 'atari' 'mitsubishi'	4	"[(""'monitor'"", ""'sony'""), (""'adapter'"", ""'cable'""), (""'atari'"", ""'switch'""), (""'mitsubishi'"", ""'sony'"")]"	1	'centris'
16	morality moral political objective human omniscient murder absolute jon atheist	2.8	1.6	2.0	2	'jon' 'atheist'	2	"[(""'morality'"", ""'moral'""), (""'murder'"", ""'jon'"")]"	2	'jon' 'murder'
17	request mail address junk advertise bounce mailbox usenet company chicago	3.0	1.2	2.4	1	'chicago'	2	"[(""'mail'"", ""'mailbox'""), (""'request'"", ""'advertise'"")]"	1	'bounce'
18	allocation dos windows disk error reboot crash ram sys norton	3.0	1.4	2.0	2	'dos' 'norton'	2	"[(""'dos'"", ""'norton'""), (""'disk'"", ""'ram'"")]"	2	'dos' 'sys'
19	islam islamic qur atheism religion koran allah example marital muslims	3.0	1.2	2.0	2	'example' 'marital'	5	"[(""'islam'"", ""'islamic'""), (""'koran'"", ""'qur'""), (""'allah'"", ""'islam'""), (""'muslims'"", ""'islam'""), (""'allah'"", ""'islam'"")]"	1	'koran'
20	modem fax cable info send hardware kit gateway warranty supply	3.0	1.6	2.4	3	'info' 'send' 'supply'	3	"[(""'modem'"", ""'gateway'""), (""'hardware'"", ""'kit'""), (""'warranty'"", ""'supply'"")]"	0	
21	atheist atheism exist belief religion alt faith universe premise agnostic	3.0	1.4	2.0	3	'alt' 'exist' 'premise'	3	"[(""'atheist'"", ""'atheism'""), (""'belief'"", ""'faith'""), (""'religion'"", ""'universe' is not the"")]"	1	'alt'
22	receiver signal circuit mixer radio input analog meter detect device	3.0	1.6	3.0	2	'analog' 'meter'	5	"[(""'receiver'"", ""'device'""), (""'signal'"", ""'input'""), (""'circuit'"", ""'mixer'""), (""'analog'"", ""'meter'""), (""'radio'"", ""'device'"")]"	0	
23	widget window compile sun display error ipx solaris application openwindow	3.0	1.6	2.0	1	'ipx'	2	"[(""'widget'"", ""'window'""), (""'window'"", ""'openwindow'"")]"	2	'ipx' 'solaris'
24	sale rider cover bag strip silver men jazz avenger interested	2.0	2.0	2.0	1	'men'	5	"[(""'sale'"", ""'cover'""), (""'men'"", ""'rider'""), (""'strip'"", ""'bag'""), (""'jazz'"", ""'silver'""), (""'avenger'"", ""'interested'"")]"	1	'rider'
25	card ati svga screen color speedstar windows vram drivers winmark	3.0	1.2	2.4	1	'ati'	2	"[(""'ati'"", ""'ati'""), (""'svga'"", ""'vga'"")]"	3	'ati' 'svga' 'winmark'
26	trial court verdict judge justice cop jury prosecution federal lawyer	3.0	1.0	3.0	2	'cop' 'federal'	3	"[(""'trial'"", ""'court'""), (""'judge'"", ""'justice'""), (""'jury'"", ""'prosecution'"")]"	1	'cop'
27	scsi quadra isa mac interface controller device cpu driver performance	3.0	1.2	2.2	0		6	"[(""'scsi'"", ""'controller'""), (""'isa'"", ""'interface'""), (""'mac'"", ""'driver'""), (""'device'"", ""'controller'""), (""'interface'"", ""'device'""), (""'cpu'"", ""'controller'"")]"	1	'quadra'
28	fbi koresh compound murder scott survivor documentary news watch investigation	3.0	1.6	2.0	3	'documentary' 'news' 'watch'	1	[('fbi', 'investigation')]	1	'koresh'
29	church catholic orthodox pope faith doctrine christians bible robertson john	3.0	1.2	2.2	2	'robertson' 'john'	2	"[(""'catholic'"", ""'church'""), (""'orthodox'"", ""'church'"")]"	2	'robertson' 'john'
30	newsreader norman frenzy ftpnuz source email forsale nixon author campaign	2.8	2.0	2.0	2	'ftpnuz' 'forsale'	2	"[(""'norman'"", ""'nixon'""), (""'source'"", ""'email'"")]"	2	'forsale' 'ftpnuz'
