ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	time work card need jesus file run write post drive	1.0	3.0	3.0	3	'jesus' 'file' 'post'	1	"[(""'post'"", ""'write'"")]"	0	
1	game team year fan score pick cup sport average philadelphia	3.0	2.8	3.0	2	'average' 'philadelphia'	3	"[(""'game'"", ""'sport'""), (""'fan'"", ""'fan'""), (""'cup'"", ""'cup'"")]"	0	
2	car engine tire ride mov road drive speed gear driver	3.0	2.0	3.0	1	'mov'	2	"[(""'car'"", ""'ride'""), (""'drive'"", ""'driver'"")]"	1	'mov'
3	msg patient doctor diet treatment health medicine symptom hospital headache	3.0	2.0	3.0	2	'msg' 'headache'	8	"[(""'patient'"", ""'patient'""), (""'doctor'"", ""'doctor'""), (""'diet'"", ""'diet'""), (""'treatment'"", ""'treatment'""), (""'health'"", ""'health'""), (""'medicine'"", ""'medicine'""), (""'symptom'"", ""'symptom'""), (""'hospital'"", ""'"")]"	0	
4	space nasa orbit mission moon satellite solar astronomy project planet	3.0	2.2	3.0	2	'project' 'solar'	5	"[(""'space'"", ""'orbit'""), (""'nasa'"", ""'mission'""), (""'moon'"", ""'satellite'""), (""'solar'"", ""'astronomy'""), (""'project'"", ""'planet'"")]"	0	
5	clipper key chip algorithm security phone encrypt pgp scheme patent	3.0	2.2	3.0	3	'clipper' 'phone' 'patent'	2	"[(""'algorithm'"", ""'scheme'""), (""'pgp'"", ""'encrypt'"")]"	0	
6	colormap graphic bitmap program visual pixel postscript convert sphinx pixmap	3.0	2.0	3.0	2	'program' 'sphinx'	1	"[(""'bitmap'"", ""'pixmap'"")]"	0	
7	israel jews war peace palestinians nazis gaza terrorism syria zionist	3.0	2.0	3.0	2	'nazis' 'syria'	2	"[(""'israel'"", ""'zionist'""), (""'jews'"", ""'zionist'"")]"	0	
8	gun police crime amendment section state semi license violent ban	3.0	2.0	3.0	3	'section' 'semi' 'license'	2	"[(""'gun'"", ""'semi'""), (""'license'"", ""'ban'"")]"	0	
9	printer deskjet ink laserwriter toner printing laserjet inkjet adobe epson	3.0	2.0	3.0	2	'adobe' 'epson'	7	"[(""'printer'"", ""'printer'""), (""'deskjet'"", ""'deskjet'""), (""'ink'"", ""'ink'""), (""'laserwriter'"", ""'laserwriter'""), (""'toner'"", ""'toner'""), (""'printing'"", ""'printing'""), (""'laserjet'"", ""'"")]"	0	
10	turkish turks genocide soviet massacre population greeks history republic turk	2.4	2.0	3.0	2	'soviet' 'republic'	2	"[(""'turkish'"", ""'turk'""), (""'genocide'"", ""'massacre'"")]"	0	
11	disk floppy scsi format error install device dos cdrom external	3.0	2.6	3.0	3	'error' 'install' 'dos'	2	"[(""'disk'"", ""'floppy'""), (""'install'"", ""'device'"")]"	0	
12	clock risc vram ram simms processor cpu coprocessor quadra pentium	3.0	2.0	3.0	2	'clock' 'quadra'	1	"[(""'processor'"", ""'cpu'"")]"	0	
13	windows unix software microsoft version application database toolkit gui mac	2.4	2.0	3.0	2	'mac' 'unix'	2	"[(""'windows'"", ""'gui'""), (""'application'"", ""'software'"")]"	0	
14	homosexual homosexuality percentage study orientation heterosexual party church princeton group	2.0	2.0	3.0	4	'party' 'church' 'princeton' 'group'	2	"[(""'homosexual'"", ""'homosexuality'""), (""'princeton'"", ""'study'"")]"	0	
15	monitor centris adapter sony atari cable switch fix interference mitsubishi	2.0	3.0	3.0	4	'centris' 'atari' 'fix' 'interference'	7	"[(""'monitor'"", ""'monitor'""), (""'centris'"", ""'centris'""), (""'adapter'"", ""'adapter'""), (""'sony'"", ""'sony'""), (""'atari'"", ""'atari'""), (""'cable'"", ""'cable'""), (""'switch'"", ""'switch'"")]"	0	
16	morality moral political objective human omniscient murder absolute jon atheist	2.0	2.0	3.0	2	'jon' 'atheist'	2	"[(""'morality'"", ""'moral'""), (""'absolute'"", ""'omniscient'"")]"	0	
17	request mail address junk advertise bounce mailbox usenet company chicago	2.0	2.0	3.0	2	'advertise' 'chicago'	1	"[(""'mail'"", ""'mailbox'"")]"	0	
18	allocation dos windows disk error reboot crash ram sys norton	3.0	2.0	3.0	1	'norton'	2	"[(""'dos'"", ""'windows'""), (""'sys'"", ""'norton'"")]"	0	
19	islam islamic qur atheism religion koran allah example marital muslims	3.0	2.0	3.0	2	'example' 'marital'	2	"[(""'islam'"", ""'islamic'""), (""'qur'"", ""'koran'"")]"	2	'qur' 'koran'
20	modem fax cable info send hardware kit gateway warranty supply	2.2	3.0	3.0	2	'info' 'supply'	1	"[(""'modem'"", ""'gateway'"")]"	0	
21	atheist atheism exist belief religion alt faith universe premise agnostic	3.0	2.0	3.0	2	'alt' 'premise'	2	"[(""'atheist'"", ""'atheism'""), (""'belief'"", ""'faith'"")]"	0	
22	receiver signal circuit mixer radio input analog meter detect device	3.0	2.0	3.0	2	'meter' 'device'	2	"[(""'receiver'"", ""'device'""), (""'input'"", ""'signal'"")]"	0	
23	widget window compile sun display error ipx solaris application openwindow	2.0	2.2	3.0	3	'sun' 'ipx' 'solaris'	1	"[(""'window'"", ""'openwindow'"")]"	0	
24	sale rider cover bag strip silver men jazz avenger interested	1.0	3.0	3.0	2	'jazz' 'interested'	1	"[(""'sale'"", ""'interested'"")]"	0	
25	card ati svga screen color speedstar windows vram drivers winmark	3.0	2.4	3.0	2	'speedstar' 'winmark'	2	"[(""'card'"", ""'svga'""), (""'vram'"", ""'vram'"")]"	0	
26	trial court verdict judge justice cop jury prosecution federal lawyer	3.0	2.0	3.0	2	'cop' 'federal'	3	"[(""'court'"", ""'judge'""), (""'jury'"", ""'verdict'""), (""'prosecution'"", ""'lawyer'"")]"	0	
27	scsi quadra isa mac interface controller device cpu driver performance	3.0	2.6	3.0	2	'quadra' 'cpu'	2	"[(""'scsi'"", ""'controller'""), (""'mac'"", ""'quadra'"")]"	0	
28	fbi koresh compound murder scott survivor documentary news watch investigation	3.0	3.0	3.0	2	'scott' 'watch'	2	"[(""'fbi'"", ""'investigation'""), (""'survivor'"", ""'compound'"")]"	0	
29	church catholic orthodox pope faith doctrine christians bible robertson john	3.0	2.0	3.0	2	'robertson' 'john'	7	"[(""'church'"", ""'church'""), (""'catholic'"", ""'catholic'""), (""'orthodox'"", ""'orthodox'""), (""'pope'"", ""'pope'""), (""'faith'"", ""'faith'""), (""'doctrine'"", ""'doctrine'""), (""'christians'"", ""'christians'"")]"	0	
30	newsreader norman frenzy ftpnuz source email forsale nixon author campaign	1.2	3.0	3.0	4	'frenzy' 'ftpnuz' 'forsale' 'nixon'	1	"[(""'newsreader'"", ""'ftpnuz'"")]"	2	'ftpnuz' 'forsale'
31	mouse com button driver modem logitech card pin apple fix	2.0	3.0	3.0	3	'com' 'pin' 'fix'	2	"[(""'mouse'"", ""'logitech'""), (""'fix'"", ""'driver'"")]"	2	'com' 'pin'
32	font panel text type print printer char phonetic mac slant	2.6	2.0	3.0	4	'panel' 'phonetic' 'mac' 'slant'	3	"[(""'font'"", ""'type'""), (""'print'"", ""'printer'""), (""'char'"", ""'phonetic'"")]"	0	
33	jesus god sin shall faith bible lord paul christian testimony	3.0	2.0	3.0	3	'shall' 'paul' 'testimony'	2	"[(""'jesus'"", ""'lord'""), (""'bible'"", ""'testimony'"")]"	0	
34	objective morality value subjective observable mathew definition frank freedom theory	2.0	2.2	3.0	2	'mathew' 'frank'	3	"[(""'definition'"", ""'definition'""), (""'mathew'"", ""'mathew'""), (""'frank'"", ""'frank'"")]"	2	'mathew' 'frank'
35	rushdie islam islamic muslim secular book qur muslims religion mohammed	3.0	2.0	3.0	2	'secular' 'book'	2	"[(""'islam'"", ""'muslim'""), (""'muslims'"", ""'muslim'"")]"	1	'qur'
36	motherboard sale kit bios supply serial connector floppy ram upgrade	3.0	2.8	3.0	1	'sale'	2	"[(""'motherboard'"", ""'bios'""), (""'ram'"", ""'upgrade'"")]"	0	
37	helmet piece fit ride suit paint want bat protection damage	2.0	2.2	3.0	3	'bat' 'paint' 'want'	2	"[(""'helmet'"", ""'protection'""), (""'fit'"", ""'suit'"")]"	0	
38	ftp site gateway download zip package sipp freeware unix tutorial	2.4	2.8	3.0	3	'sipp' 'freeware' 'tutorial'	4	"[(""'ftp'"", ""'gateway'""), (""'download'"", ""'zip'""), (""'package'"", ""'sipp'""), (""'freeware'"", ""'tutorial'"")]"	0	
39	truth absolute belief arrogant faith scripture interpretation evangelical blindly deny	3.0	2.0	3.0	2	'arrogant' 'deny'	4	"[(""'truth'"", ""'absolute'""), (""'belief'"", ""'faith'""), (""'scripture'"", ""'interpretation'""), (""'blindly'"", ""'deny'"")]"	0	
40	atf blast compound fbi raid military flame deer initial happen	2.0	2.6	3.0	3	'deer' 'initial' 'happen'	1	"[(""'raid'"", ""'military'"")]"	0	
41	polygon algorithm spline draw triangle delaunay triangulation mesh concave geometric	3.0	2.0	3.0	3	'spline' 'draw' 'concave'	2	"[(""'triangle'"", ""'triangulation'""), (""'draw'"", ""'polygon'"")]"	0	
42	apartment come shout neighbor building kill crowd door live soldier	2.0	3.0	3.0	4	'shout' 'kill' 'crowd' 'soldier'	5	"[(""'apartment'"", ""'building'""), (""'come'"", ""'live'""), (""'shout'"", ""'shout'""), (""'kill'"", ""'kill'""), (""'door'"", ""'door'"")]"	0	
43	science methodology scientific gene theory study psychology scientist genetically evolution	3.0	2.0	3.0	2	'methodology' 'psychology'	2	"[(""'science'"", ""'scientific'""), (""'gene'"", ""'genetically'"")]"	0	
44	number line telephone ring hook yellow wire device fax caller	2.4	2.0	3.0	2	'yellow' 'number'	1	"[(""'telephone'"", ""'caller'"")]"	0	
45	president job secretary russia senior package congress fund school government	2.0	3.0	3.0	2	'package' 'school'	3	"[(""'president'"", ""'government'""), (""'job'"", ""'secretary'""), (""'congress'"", ""'government'"")]"	0	
46	mormon jews mormons church persecution joseph worship christian secular authority	3.0	2.0	3.0	2	'secular' 'authority'	1	"[(""'mormon'"", ""'mormons'"")]"	0	
47	split newsgroup article alt crossposte sci newgroup news forum read	3.0	2.0	3.0	3	'alt' 'crossposte' 'newgroup'	2	"[(""'newsgroup'"", ""'news'""), (""'newgroup'"", ""'newsgroup'"")]"	1	'crossposte'
