ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	learn yoga wanna live fit shape quit job promise fat	3.0	2.4	2.8	1	'fat'	3	"[(""'learn'"", ""'promise'""), (""'fit'"", ""'shape'""), (""'quit'"", ""'job'"")]"	0	
1	dot dick joke nut dramatic phat bmv type liberal repeat	2.0	1.8	2.4	2	'liberal' 'repeat'	3	"[(""'dot'"", ""'dramatic'""), (""'phat'"", ""'type'""), (""'liberal'"", ""'repeat'"")]"	0	
2	drink coffee alcohol soda coke whiskey starbucks detox addiction latte	3.0	2.6	3.0	2	'detox' 'addiction'	2	"[(""'coffee'"", ""'latte'""), (""'whiskey'"", ""'alcohol'"")]"	0	
3	tweet twitter instagram facebook gossip socialmedia unfollow phone platform addicted	2.8	1.8	3.0	1	'phone'	3	"[(""'twitter'"", ""'platform'""), (""'instagram'"", ""'platform'""), (""'facebook'"", ""'platform'"")]"	0	
4	food pizza chicken taco chipotle meal breakfast recipe gluten mcdonald	2.8	2.2	3.0	2	'gluten' 'mcdonald'	5	"[(""'food'"", ""'meal'""), (""'pizza'"", ""'taco'""), (""'chicken'"", ""'taco'""), (""'chipotle'"", ""'meal'""), (""'gluten'"", ""'recipe'"")]"	0	
5	workout fitness join treadmill fitbit gymlife golf motivation runchat fitnessmotivation	2.8	2.2	3.0	1	'golf'	2	"[(""'workout'"", ""'fitness'""), (""'treadmill'"", ""'fitness'"")]"	0	
6	music listen concert dance mixtape band soundtrack sing musician drum	3.0	1.6	3.0	0		5	"[(""'music'"", ""'musician'""), (""'listen'"", ""'sing'""), (""'band'"", ""'mixtape'""), (""'soundtrack'"", ""'dance'""), (""'concert'"", ""'soundtrack'"")]"	0	
7	blog netflix mondayblog podcast rachelclarkgiveaway blogge blogging simpson facebook friends	2.6	2.8	2.4	3	'simpson' 'facebook' 'friends'	2	"[(""'blog'"", ""'blogging'""), (""'blog'"", ""'blogge'"")]"	0	
8	success plan goals step obstacle task achievable realistic hesitation streak	3.0	2.2	3.0	1	'hesitation'	3	"[(""'success'"", ""'achievable'""), (""'goals'"", ""'task'""), (""'hesitation'"", ""'streak'"")]"	0	
9	sleep nap morning noon sunrise hibernate routine habit snooze evening	2.6	1.8	3.0	0		2	"[(""'sleep'"", ""'nap'""), (""'morning'"", ""'evening'"")]"	0	
10	gainz diet fat pretzel loseweight healthy tweak dropthebabyweight twinkie shed	3.0	2.0	2.4	1	'twinkie'	3	"[(""'gainz'"", ""'loseweight'""), (""'fat'"", ""'shed'""), (""'pretzel'"", ""'twinkie'"")]"	3	'gainz' 'pretzel' 'twinkie'
11	god pray jesus prayer faith bible bless miracle church hug	3.0	1.6	3.0	1	'hug'	2	"[(""'god'"", ""'jesus'""), (""'pray'"", ""'prayer'"")]"	0	
12	christmas clean room organize apartment stuff folder gift roommate loveyourlife	2.4	1.6	2.8	2	'folder' 'loveyourlife'	1	"[(""'christmas'"", ""'gift'"")]"	0	
13	january newyearnewme calendar newyearseve birthday cyclical sunday jesusyear jules gregorian	2.6	2.6	2.8	1	'jesusyear'	3	"[(""'january'"", ""'newyearnewme'""), (""'newyearseve'"", ""'jesusyear'""), (""'birthday'"", ""'gregorian'"")]"	1	'newyearnewme'
14	game watch laker hockey playoff yankees cheer favorite fuel teamless	2.4	1.6	2.8	1	'fuel'	2	"[(""'game'"", ""'playoff'""), (""'cheer'"", ""'favorite'"")]"	0	
15	selfie portrait evar ordinarylife foley shatter disposable editing nude jim	2.0	2.0	2.8	1	'jim'	1	"[(""'selfie'"", ""'portrait'"")]"	0	
16	thank pretty bath sexymonday nana enjoy cute beautiful grateful heart	2.2	2.2	3.0	0		3	"[(""'thank'"", ""'grateful'""), (""'pretty'"", ""'beautiful'""), (""'cute'"", ""'beautiful'"")]"	0	
17	chapter publisher challenge thrones amreade novel bible cupid newauthor godslovechat	2.2	1.8	2.4	2	'cupid' 'newauthor'	3	"[(""'chapter'"", ""'novel'""), (""'godslovechat'"", ""'love'""), (""'publisher'"", ""'newauthor'"")]"	0	
18	pack shoe sock sneaker fashion legging dress wardrobe underwear sweat	3.0	2.2	3.0	1	'sweat'	6	"[(""'sock'"", ""'sock'""), (""'sneaker'"", ""'sneaker'""), (""'fashion'"", ""'fashion'""), (""'legging'"", ""'legging'""), (""'dress'"", ""'dress'""), (""'wardrobe'"", ""'wardro"")]"	0	
19	hard lie honest truth govenment fascist secret propaganda confession adventuresinchemistry	2.6	1.4	3.0	1	'adventuresinchemistry'	2	"[(""'truth'"", ""'honest'""), (""'fascist'"", ""'secret'"")]"	0	
20	forgive mistake forget blame excuse apology forgiveness regret guilty unpette	2.8	2.2	3.0	1	'unpette'	2	"[(""'forgive'"", ""'forgiveness'""), (""'mistake'"", ""'unpette'"")]"	0	
21	family father mom resolutions sheep taxpayer mombiz sonoma hangry bournemouth	3.0	2.6	2.8	2	'hangry' 'bournemouth'	6	"[(""'family'"", ""'family'""), (""'father'"", ""'father'""), (""'mom'"", ""'mom'""), (""'resolutions'"", ""'resolutions'""), (""'sheep'"", ""'sheep'""), (""'taxpayer'"", ""'taxpayer'"")]"	0	
22	travel adventure boat vacation trip flight ride york iceland hike	2.4	2.0	3.0	0		2	"[(""'travel'"", ""'trip'""), (""'vacation'"", ""'trip'"")]"	0	
23	friend friendship sister needafriend london dwl friendzone sweetie pony relationships	2.8	2.6	2.6	3	'london' 'dwl' 'pony'	5	"[(""'friend'"", ""'friendship'""), (""'friend'"", ""'friendzone'""), (""'friend'"", ""'needafriend'""), (""'friend'"", ""'sweetie'""), (""'friend'"", ""'relationships'"")]"	2	'dwl' 'needafriend'
24	bitch dick feminist motherfucker timb rapper bitchez badder hate rape	2.6	2.0	2.4	1	'timb'	2	"[(""'bitch'"", ""'bitchez'""), (""'feminist'"", ""'feminist'"")]"	5	'bitchez' 'timb' 'bitch' 'dick' 'motherfucker'
