ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	concentration control nutrient solution weed germination herbicide nacl spray foliar	3.0	2.0	3.0	2	'control' 'solution'	0	[]	1	'nacl'
1	area source variability runoff district sediment cultivate expansion cropland width	2.2	3.0	3.0	0		0	[]	0	
2	irrigate wastewater treat effluent reuse sewage freshwater industrial reclaimed municipal	3.0	2.0	3.0	1	'irrigate'	1	"[(""'reclaimed'"", ""'reuse'"")]"	0	
3	land food risk vegetable metal country human health heavy contamination	2.0	2.0	3.0	2	'metal' 'country'	0	[]	2	'metal' 'contamination'
4	root dry leaf fruit number weight leave matter shoot stem	3.0	2.0	2.6	3	'number' 'weight' 'leave'	4	"[(""'root'"", ""'root'""), (""'leaf'"", ""'leaf'""), (""'fruit'"", ""'fruit'""), (""'stem'"", ""'stem'"")]"	2	'leave' 'matter'
5	site variation maximum relationship daily seasonal indicator age cucumber eto	1.6	3.0	3.0	1	'eto'	0	[]	1	'eto'
6	stress content activity sugar moderate chlorophyll soluble approximately antioxidant enzyme	1.0	3.0	3.0	3	'chlorophyll' 'soluble' 'approximately'	0	[]	0	
7	different analysis sample test component group sensitivity extraction cluster sampling	2.8	2.2	3.0	2	'different' 'test'	1	"[(""'sample'"", ""'sampling'"")]"	0	
8	water efficiency resource wue consumption depletion footprint right iwue allocate	3.0	2.0	3.0	1	'right'	1	"[(""'wue'"", ""'iwue'"")]"	2	'wue' 'iwue'
9	soil depth organic moisture layer profile conductivity infiltration fraction soc	3.0	2.0	3.0	1	'conductivity'	0	[]	0	
10	level non irrigated pattern cycle volume mass normal flush greece	1.0	3.0	1.6	1	'greece'	0	[]	2	'non' 'greece'
11	production region arid problem suitable climatic dryland hot salinization humid	3.0	2.0	3.0	9	'production' 'region' 'problem' 'suitable' 'climatic' 'dryland' 'hot' 'salinization' 'humid'	0	[]	0	
12	zone clay sandy loam sub sand lysimeter fine mixed kg⁻¹	2.0	2.0	3.0	3	'sub' 'lysimeter' 'kg⁻¹'	1	"[(""'sandy'"", ""'sand'"")]"	5	'sub' 'lysimeter' 'fine' 'mixed' 'kg⁻¹'
13	respectively regime ha⁻¹ ecosystem saving gain mid million hectare ton	1.0	3.0	1.0	2	'ha⁻¹' 'mid'	0	[]	3	'ha⁻¹' 'mid' 'ton'
14	ratio benefit storage return operation sugarcane power pump generation punjab	2.0	3.0	3.0	3	'power' 'pump' 'generation'	0	[]	0	
15	rate net structure transpiration hydraulic stomatal transport conductance photosynthetic regulation	3.0	2.0	3.0	3	'rate' 'net' 'structure'	0	[]	0	
16	high low salinity record evaporation alfalfa class mixture turfgrass white	2.0	3.0	3.0	2	'class' 'mixture'	0	[]	4	'class' 'mixture' 'turfgrass' 'white'
17	irrigation surface drip drainage saline canal deep subsurface shallow table	2.8	2.0	3.0	1	'table'	0	[]	1	'table'
18	average type biomass cover annual potato event fish pond movement	2.0	3.0	3.0	2	'event' 'average'	0	[]	0	
19	increase decrease population decline habitat california stock incorporation agroecosystem fixation	2.0	2.0	3.0	2	'incorporation' 'stock'	1	"[(""'increase'"", ""'decline'"")]"	2	'incorporation' 'fixation'
20	quality loss information ground form suitability vineyard county fuel century	2.0	3.0	3.0	3	'form' 'fuel' 'century'	0	[]	0	
21	seed cotton planting date furrow mulch row interval fertigation week	3.0	2.4	3.0	0		0	[]	0	
22	application apply fertilizer plot design manure recommend mineral release block	2.0	2.0	3.0	3	'application' 'apply' 'recommend'	0	[]	0	
23	crop research rainfall requirement winter month schedule optimum june supplemental	2.0	2.8	3.0	2	'winter' 'month'	0	[]	0	
24	grow season wet tillage summer spring conventional residue end rotation	3.0	2.2	3.0	1	'end'	0	[]	0	
25	treatment cultivar acid oil protein sensor extract compound tuber sunflower	1.8	3.0	3.0	2	'sensor' 'extract'	0	[]	0	
26	reduce project sprinkler pressure single contribution intensity damage place peak	1.4	3.0	3.0	3	'project' 'sprinkler' 'peak'	0	[]	0	
27	development farm local farming scheme product income household market sector	3.0	2.0	3.0	2	'development' 'scheme'	1	"[(""'farm'"", ""'farming'"")]"	0	
28	change groundwater climate river flow basin aquifer reservoir lake adaptation	3.0	2.0	3.0	0		0	[]	0	
29	potential time term scale energy available medium receive pot consume	2.0	2.0	3.0	1	'pot'	1	"[(""'potential'"", ""'pot'"")]"	1	'pot'
30	agricultural factor landscape wetland watershed tank guideline transformation section shape	2.2	3.0	3.0	5	'factor' 'guideline' 'transformation' 'section' 'shape'	0	[]	0	
31	value estimate range mean measurement coefficient correlation standard equation prediction	3.0	2.2	3.0	2	'coefficient' 'correlation'	0	[]	0	
32	drought environment salt variety genotype tolerance trait line resistance hybrid	3.0	2.0	3.0	3	'variety' 'line' 'hybrid'	0	[]	0	
33	temperature period relative precipitation canopy trend flux weather air heat	3.0	2.0	3.0	3	'period' 'canopy' 'trend'	1	"[(""'temperature'"", ""'heat'"")]"	0	
34	produce community disease detect microbial removal diversity bacteria lettuce pathogen	3.0	2.0	3.0	2	'community' 'diversity'	0	[]	0	
35	method variable size location set state forest like particle plantation	1.0	3.0	3.0	2	'forest' 'plantation'	0	[]	0	
36	base datum index difference evapotranspiration spatial green vegetation network regression	2.0	3.0	3.0	8	'base' 'datum' 'index' 'difference' 'regression' 'evapotranspiration' 'spatial' 'network'	0	[]	0	
37	great parameter reduction distribution cost relate discharge waste initial catchment	2.0	3.0	3.0	10	'great' 'parameter' 'reduction' 'distribution' 'cost' 'relate' 'discharge' 'waste' 'initial' 'catchment'	0	[]	0	
38	management farmer practice technology corn soybean conservation adoption bean knowledge	3.0	2.0	3.0	4	'management' 'practice' 'adoption' 'knowledge'	1	"[(""'corn'"", ""'bean'"")]"	0	
39	growth deficit stage harvest early late vegetative flowering pre post	2.6	2.2	3.0	4	'deficit' 'stage' 'pre' 'post'	0	[]	5	'stage' 'early' 'late' 'pre' 'post'
40	density capacity reach forage rain feed retention erosion behavior proportion	2.0	2.4	3.0	2	'reach' 'behavior'	0	[]	0	
41	year specie grass hydrological head slope legume grassland native perennial	2.0	2.0	3.0	4	'year' 'hydrological' 'head' 'slope'	1	"[(""'grass'"", ""'grassland'"")]"	2	'hydrological' 'legume'
42	field emission carbon greenhouse flood global paddy degree co₂ province	3.0	2.2	3.0	2	'flood' 'province'	1	"[(""'co₂'"", ""'carbon'"")]"	0	
43	rice maize cropping cultivation rainfed lowland upland fallow cereal aerobic	3.0	2.0	3.0	1	'fallow'	1	"[(""'rice'"", ""'cereal'"")]"	0	
44	plant uptake substrate tissue pepper symptom host strawberry micronutrient translocation	3.0	2.6	3.0	3	'pepper' 'symptom' 'host'	0	[]	0	
45	day input tomato limit percent recovery vine culture open output	1.0	3.0	3.0	6	'day' 'percent' 'recovery' 'vine' 'culture' 'open'	0	[]	0	
46	total nitrogen process chemical fertilization nitrate leach phosphorus sodium point	3.0	2.2	3.0	3	'total' 'process' 'point'	0	[]	0	
47	yield grain wheat sorghum correlate unit percentage straw barley gap	3.0	2.0	3.0	3	'correlate' 'unit' 'percentage'	2	"[(""'wheat'"", ""'grain'""), (""'barley'"", ""'grain'"")]"	6	'correlate' 'unit' 'percentage' 'straw' 'barley' 'gap'
48	tree seedling orchard olive frequency old rootstock apple mature citrus	2.0	2.6	3.0	0		0	[]	0	
49	model supply demand simulation scenario policy decision function optimal regional	3.0	3.0	3.0	0		2	"[(""'model'"", ""'model'""), (""'supply'"", ""'demand'"")]"	0	
