ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	tell fuck promise follow dignity machine glass prostitution late stuff	1.8	2.4	2.0	1	'glass'	1	"[(""'follow'"", ""'promise'"")]"	1	'fuck'
1	diggin dosen't mandatory mcdonalds crash sec o'connell deodorant gal kinda	1.0	2.4	2.0	1	'kinda'	1	"[(""'diggin'"", ""'diggin'"")]"	3	'diggin' 'dosen't' 'kinda'
2	sec write antother know guy bishop list tail tomorrow self	1.6	2.4	2.0	1	'self'	1	"[(""'tail'"", ""'list'"")]"	1	'antother'
3	write hope holiday pre cause woman eve excuse maybe gogh	1.4	2.0	2.4	2	'pre' 'gogh'	1	"[(""'pre'"", ""'eve'"")]"	2	'pre' 'gogh'
4	post book pizza appreciate sub vlog buy suck game number	1.8	2.2	2.6	0		1	"[(""'post'"", ""'vlog'"")]"	1	'suck'
5	thank hoe base hot hispanic hater shine pierce accept stay	1.6	2.0	2.2	2	'hoe' 'hater'	1	"[(""'thank'"", ""'accept'"")]"	2	'hoe' 'hater'
6	quit eve hard expand tweet guy game quote destroy workout	2.0	2.0	2.4	1	'workout'	1	"[(""'quit'"", ""'quit'"")]"	0	
7	healthy boyfriend eve past thank exercise offer pic exactly ppl	1.8	2.2	2.2	2	'eve' 'exactly'	1	"[(""'exactly'"", ""'exactly'"")]"	2	'ppl' 'eve'
8	justin stick grass consideration create smash loosen theirs nomeat folk	1.4	2.6	2.2	3	'justin' 'nomeat' 'folk'	1	"[(""'nomeat'"", ""'grass'"")]"	1	'nomeat'
9	close blake lively progress difference support traditional realistic home pizza	1.8	2.2	3.0	2	'blake' 'pizza'	1	"[(""'home'"", ""'home'"")]"	0	
10	fun share set goal eve month literally idgaf sleepy tour	1.8	2.4	2.0	2	'idgaf' 'sleepy'	1	"[(""'fun'"", ""'tour'"")]"	1	'idgaf'
11	supper smoke club hope cigarette quit judge suck newyear blog	2.0	2.0	3.0	2	'newyear' 'blog'	6	"[(""'supper'"", ""'supper'""), (""'smoke'"", ""'smoke'""), (""'club'"", ""'club'""), (""'hope'"", ""'hope'""), (""'cigarette'"", ""'cigarette'""), (""'quit'"", ""'quit'"")]"	1	'newyear'
12	eve resolve quit gregory travel publish end bad peck craigslist	1.4	2.2	2.4	3	'gregory' 'peck' 'craigslist'	1	"[(""'end'"", ""'quit'"")]"	0	
13	actually workout joke fit come chastity market learn deli bring	2.0	2.0	2.8	1	'chastity'	2	"[(""'actually'"", ""'come'""), (""'fit'"", ""'workout'"")]"	2	'chastity' 'deli'
14	gym game school minute tell tbh book hold past hate	1.8	2.6	2.4	2	'tbh' 'hate'	0	[]	1	'tbh'
15	way crush goals figure priority clutter medium popular non beginnings	2.0	2.0	3.0	3	'medium' 'popular' 'non'	1	"[(""'beginning'"", ""'beginnings'"")]"	0	
16	twin place maybe famous rule hair strong twitter tone lesson	1.6	2.0	2.6	0		9	"[(""'twin'"", ""'twin'""), (""'place'"", ""'place'""), (""'maybe'"", ""'maybe'""), (""'famous'"", ""'famous'""), (""'rule'"", ""'rule'""), (""'hair'"", ""'hair'""), (""'strong'"", ""'strong'""), (""'twitter'"", ""'twitter'""), (""'tone'"", ""'tone"")]"	0	
17	remember music ago active lose date gain finally wait help	2.0	2.2	3.0	2	'finally' 'wait'	1	"[(""'remember'"", ""'lose'"")]"	0	
18	rose tail blessing afternoon publish south glue krazy animalsanctuary girder	1.0	2.2	2.0	2	'animalsanctuary' 'girder'	1	"[(""'animalsanctuary'"", ""'animalsanctuary'"")]"	1	'animalsanctuary'
19	conversation picture hard languagelearne use favorite negative rehab balance complain	1.8	2.2	2.2	0		1	"[(""'languagelearne'"", ""'complain'"")]"	1	'languagelearne'
20	twitter joke spend connected future cause bitchy goals loudly discovery	1.8	2.0	3.0	1	'loudly'	1	"[(""'twitter'"", ""'connected'"")]"	0	
21	faithfully watch voter sex morrre gadget thad ago nov hair	1.4	2.4	2.0	2	'thad' 'morrre'	1	"[(""'thad'"", ""'ago'"")]"	2	'morrre' 'thad'
22	okay live negative dog sure actually minded lol old spirit	1.8	2.2	2.0	1	'lol'	1	"[(""'okay'"", ""'sure'"")]"	2	'lol' 'minded'
23	way mandatory embrace adult jean public check date sip ambition	2.0	2.2	2.8	4	'jean' 'date' 'sip' 'check'	3	"[(""'way'"", ""'check'""), (""'public'"", ""'mandatory'""), (""'date'"", ""'ambition'"")]"	0	
24	stay happen exercise man buy beer yeah zona hungover positive	2.0	2.0	2.2	1	'positive'	6	"[(""'beer'"", ""'beer'""), (""'hungover'"", ""'hungover'""), (""'positive'"", ""'positive'""), (""'stay'"", ""'stay'""), (""'happen'"", ""'happen'""), (""'exercise'"", ""'exercise'"")]"	1	'zona'
25	date fat laugh typical everybody prayer fighting woman legacy word	2.0	2.2	2.8	1	'typical'	1	"[(""'date'"", ""'typical'"")]"	0	
