llm_model	topic_model	number of topics	Coherence	Repetitive	Readability	Number of Outliers	Number of Same Concept Pairs	Number of Non-words
gemma	bertopic	100	2.9376	1.9892	3.0	0.8387	3.086	0.1828
gemma	bertopic	50	2.9241	2.0	3.0	0.8103	3.069	0.069
gemma	combinedtm	100	2.64	1.998	2.948	0.85	2.5	0.22
gemma	combinedtm	50	2.592	2.0	2.94	1.14	2.46	0.38
gemma	lda	100	2.406	2.0	2.864	1.38	2.15	0.27
gemma	lda	50	2.476	2.0	2.98	1.14	2.02	0.36
gemma	prodlda	100	2.704	1.99	2.95	0.82	2.73	0.15
gemma	prodlda	50	2.764	1.996	2.94	1.16	2.74	0.2
gemma-large	bertopic	100	2.9677	1.6839	3.0	1.043	1.4516	0.172
gemma-large	bertopic	50	2.9828	1.6379	3.0	0.9483	1.5172	0.1034
gemma-large	combinedtm	100	2.732	1.872	2.94	1.44	1.54	0.09
gemma-large	combinedtm	50	2.716	1.932	2.92	1.28	1.46	0.18
gemma-large	lda	100	2.458	1.938	2.846	1.45	1.31	0.17
gemma-large	lda	50	2.56	1.976	2.98	1.46	1.24	0.04
gemma-large	prodlda	100	2.794	1.886	2.942	1.57	1.5	0.11
gemma-large	prodlda	50	2.784	1.868	2.92	1.38	1.56	0.02
llama	bertopic	100	3.0	1.2559	2.6387	1.6452	2.871	1.0968
llama	bertopic	50	3.0	1.2759	2.6517	1.4828	3.3276	1.0517
llama	combinedtm	100	2.94	1.45	2.554	1.83	3.08	1.06
llama	combinedtm	50	2.908	1.5	2.54	1.66	3.24	1.14
llama	lda	100	2.786	1.634	2.366	1.93	2.55	1.26
llama	lda	50	2.872	1.636	2.568	1.74	2.74	0.78
llama	prodlda	100	2.952	1.426	2.586	1.75	2.69	1.04
llama	prodlda	50	2.944	1.408	2.476	1.58	2.78	0.74
llama-large	bertopic	100	2.9892	1.4688	3.0	1.7849	1.5269	0.8602
llama-large	bertopic	50	2.9828	1.4034	3.0	1.7586	1.8448	0.7241
llama-large	combinedtm	100	2.832	1.678	2.95	2.08	1.69	0.91
llama-large	combinedtm	50	2.788	1.76	2.94	2.04	1.66	0.98
llama-large	lda	100	2.546	1.848	2.91	2.39	1.22	1.35
llama-large	lda	50	2.66	1.864	2.98	2.0	1.34	0.76
llama-large	prodlda	100	2.854	1.634	2.95	1.99	1.77	0.85
llama-large	prodlda	50	2.88	1.692	2.94	2.16	1.52	0.78
mistral	bertopic	100	2.8	2.0129	2.9204	0.4516	3.4086	0.0108
mistral	bertopic	50	2.8345	2.0241	2.931	0.2069	3.3276	0.0345
mistral	combinedtm	100	2.708	2.01	2.904	0.65	3.51	0.03
mistral	combinedtm	50	2.668	2.016	2.88	0.64	3.4	0.06
mistral	lda	100	2.608	2.022	2.83	0.97	3.52	0.12
mistral	lda	50	2.664	2.008	2.904	0.82	3.2	0.02
mistral	prodlda	100	2.722	2.056	2.916	0.56	3.29	0.03
mistral	prodlda	50	2.74	2.04	2.904	0.68	3.64	0.04
mistral-large	bertopic	100	2.9677	1.9613	2.9763	1.2151	1.9677	0.1828
mistral-large	bertopic	50	2.969	1.9483	2.969	1.2069	2.0862	0.1207
mistral-large	combinedtm	100	2.804	2.006	2.934	1.32	1.8	0.29
mistral-large	combinedtm	50	2.748	2.02	2.928	1.3	1.96	0.34
mistral-large	lda	100	2.478	2.102	2.802	1.52	1.46	0.75
mistral-large	lda	50	2.712	2.04	2.948	1.48	1.62	0.2
mistral-large	prodlda	100	2.82	2.01	2.944	1.43	2.07	0.32
mistral-large	prodlda	50	2.852	2.056	2.908	1.34	2.14	0.28
qwen	bertopic	100	2.8946	2.0667	2.9892	1.6452	1.043	0.4946
qwen	bertopic	50	2.9345	2.0586	3.0	1.7586	1.5	0.4483
qwen	combinedtm	100	2.632	2.334	2.93	2.36	0.76	1.17
qwen	combinedtm	50	2.54	2.368	2.96	2.34	0.96	1.04
qwen	lda	100	2.072	2.548	2.882	2.18	0.36	1.81
qwen	lda	50	2.368	2.42	2.924	2.56	0.4	0.78
qwen	prodlda	100	2.708	2.262	2.902	1.97	0.65	0.9
qwen	prodlda	50	2.688	2.272	2.868	1.68	1.1	0.74
qwen-large	bertopic	100	2.9677	2.129	3.0	2.0323	2.2366	0.086
qwen-large	bertopic	50	2.9448	2.1069	3.0	1.7586	2.2586	0.0517
qwen-large	combinedtm	100	2.64	2.34	2.966	2.74	2.26	0.37
qwen-large	combinedtm	50	2.612	2.416	2.96	2.68	2.56	0.36
qwen-large	lda	100	2.248	2.558	2.94	2.7	2.12	0.61
qwen-large	lda	50	2.448	2.484	2.98	2.8	2.26	0.18
qwen-large	prodlda	100	2.684	2.254	2.928	2.4	2.45	0.31
qwen-large	prodlda	50	2.692	2.24	2.94	2.5	2.1	0.26
