ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	learn yoga wanna live fit shape quit job promise fat	2.0	2.0	2.0	4	'wanna' 'quit' 'job' 'promise'	1	"[(""'fit'"", ""'shape'"")]"	2	'wanna' 'quit'
1	dot dick joke nut dramatic phat bmv type liberal repeat	1.0	2.2	1.0	1	'repeat'	0	[]	9	'dot' 'dick' 'joke' 'nut' 'phat' 'bmv' 'type' 'liberal' 'repeat'
2	drink coffee alcohol soda coke whiskey starbucks detox addiction latte	2.0	2.0	3.0	2	detox addiction	2	"[(""'coffee'"", ""'latte'""), (""'coke'"", ""'soda'"")]"	3	'coke' 'detox' 'addiction'
3	tweet twitter instagram facebook gossip socialmedia unfollow phone platform addicted	3.0	2.0	3.0	0		4	"[(""'tweet'"", ""'twitter'""), (""'tweet'"", ""'socialmedia'""), (""'instagram'"", ""'socialmedia'""), (""'facebook'"", ""'socialmedia'"")]"	0	
4	food pizza chicken taco chipotle meal breakfast recipe gluten mcdonald	2.0	2.0	3.0	3	'meal' 'breakfast' 'recipe'	2	"[(""'food'"", ""'meal'""), (""'food'"", ""'breakfast'"")]"	2	'chipotle' 'mcdonald'
5	workout fitness join treadmill fitbit gymlife golf motivation runchat fitnessmotivation	3.0	2.0	3.0	1	'golf'	2	"[(""'workout'"", ""'fitnessmotivation'""), (""'join'"", ""'gymlife'"")]"	0	
6	music listen concert dance mixtape band soundtrack sing musician drum	3.0	2.0	3.0	2	'listen' 'soundtrack'	0	[]	0	
7	blog netflix mondayblog podcast rachelclarkgiveaway blogge blogging simpson facebook friends	2.0	2.0	2.4	2	'mondayblog' 'blogge'	2	"[(""'blog'"", ""'blogging'""), (""'friends'"", ""'simpson'"")]"	3	'mondayblog' 'rachelclarkgiveaway' 'blogge'
8	success plan goals step obstacle task achievable realistic hesitation streak	3.0	2.0	3.0	1	'hesitation'	0	[]	0	
9	sleep nap morning noon sunrise hibernate routine habit snooze evening	2.4	2.0	3.0	1	'hibernate'	0	[]	2	'hibernate' 'snooze'
10	gainz diet fat pretzel loseweight healthy tweak dropthebabyweight twinkie shed	2.0	1.8	2.0	2	'pretzel' 'twinkie'	1	"[(""'loseweight'"", ""'shed'"")]"	3	'gainz' 'dropthebabyweight' 'twinkie'
11	god pray jesus prayer faith bible bless miracle church hug	3.0	2.0	3.0	1	'hug'	0	[]	1	'hug'
12	christmas clean room organize apartment stuff folder gift roommate loveyourlife	3.0	2.0	3.0	1	'organize'	1	"[(""'room'"", ""'apartment'"")]"	0	
13	january newyearnewme calendar newyearseve birthday cyclical sunday jesusyear jules gregorian	2.8	2.2	3.0	3	'cyclical' 'jules' 'jesusyear'	0	[]	4	'newyearnewme' 'jesusyear' 'jules' 'gregorian'
14	game watch laker hockey playoff yankees cheer favorite fuel teamless	2.0	2.0	3.0	1	'yankees'	1	"[(""'game'"", ""'playoff'"")]"	3	'teamless' 'laker' 'yankees'
15	selfie portrait evar ordinarylife foley shatter disposable editing nude jim	1.0	3.0	2.0	4	'evar' 'foley' 'shatter' 'disposable'	1	"[(""'selfie'"", ""'portrait'"")]"	6	'evar' 'foley' 'shatter' 'disposable' 'nude' 'jim'
16	thank pretty bath sexymonday nana enjoy cute beautiful grateful heart	1.4	2.0	3.0	2	'sexymonday' 'nana'	0	[]	2	'sexymonday' 'nana'
17	chapter publisher challenge thrones amreade novel bible cupid newauthor godslovechat	1.0	3.0	2.0	0		0	[]	2	'amreade' 'godslovechat'
18	pack shoe sock sneaker fashion legging dress wardrobe underwear sweat	2.4	2.0	3.0	2	'pack' 'sweat'	0	[]	0	
19	hard lie honest truth govenment fascist secret propaganda confession adventuresinchemistry	1.0	2.8	3.0	1	'adventuresinchemistry'	7	"[(""'hard'"", ""'hard'""), (""'truth'"", ""'truth'""), (""'government'"", ""'government'""), (""'fascist'"", ""'fascist'""), (""'secret'"", ""'secret'""), (""'propaganda'"", ""'propaganda'""), (""'confession'"", ""'conf"")]"	3	'govenment' 'fascist' 'adventuresinchemistry'
20	forgive mistake forget blame excuse apology forgiveness regret guilty unpette	3.0	2.0	2.0	1	'unpette'	1	"[(""'forgive'"", ""'forgiveness'"")]"	1	'unpette'
21	family father mom resolutions sheep taxpayer mombiz sonoma hangry bournemouth	1.0	3.0	3.0	2	'sheep' 'bournemouth'	0	[]	3	'sheep' 'mombiz' 'bournemouth'
22	travel adventure boat vacation trip flight ride york iceland hike	2.6	2.0	3.0	2	'york' 'iceland'	3	"[(""'travel'"", ""'trip'""), (""'boat'"", ""'ride'""), (""'york'"", ""'iceland'"")]"	2	'york' 'iceland'
23	friend friendship sister needafriend london dwl friendzone sweetie pony relationships	2.0	2.0	3.0	2	'dwl' 'pony'	0	[]	3	'dwl' 'sweetie' 'pony'
24	bitch dick feminist motherfucker timb rapper bitchez badder hate rape	1.0	1.4	1.0	1	'rape'	2	"[(""'bitch'"", ""'bitchez'""), (""'bitch'"", ""'badder'"")]"	5	'dick' 'motherfucker' 'bitchez' 'badder' 'rape'
25	meet justin humble battle chicago marry plato singlelife natasha datingadvice	1.2	3.0	3.0	2	'humble' 'plato'	0	[]	1	'plato'
26	chuck jack blair cjohnson lou waldorf beyonc buck irish wwkkd	1.0	2.6	2.4	1	wwkkd	3	"[(""'chuck'"", ""'jack'""), (""'waldorf'"", ""'beyonc'""), (""'buck'"", ""'irish'"")]"	2	'wwkkd' 'cjohnson'
27	degree graduate internship recruit teacher career gradua recommendation greensboro engineer	2.6	2.0	3.0	1	'greensboro'	1	"[(""'degree'"", ""'gradua'"")]"	3	'gradua' 'greensboro' 'engineer'
28	spend debt budget finance account wallet student archive bank goodwill	2.8	2.0	3.0	2	'archive' 'goodwill'	0	[]	1	'goodwill'
29	perf nutshell troll fuckboi heckle commas don license driver bullshit	1.0	3.0	1.0	4	'nutshell' 'troll' 'heckle' 'bullshit'	2	"[(""'perf'"", ""'license'""), (""'perf'"", ""'driver'"")]"	3	'troll' 'fuckboi' 'bullshit'
30	cosplay strokin title terminator genisys goddess cosby checkoutmyvine pancake batwoman	1.0	3.0	2.0	4	'strokin' 'title' 'cosby' 'checkoutmyvine'	0	[]	3	'strokin' 'title' 'checkoutmyvine'
31	club smoke cigarettes stank pete factz hun partying cancer dope	2.2	2.0	2.8	2	'factz' 'hun'	0	[]	3	'stank' 'factz' 'dope'
32	hair shave eyebrow beard eyeliner haircut effort mustache lara trim	2.6	2.0	3.0	1	effort	1	"[(""'shave'"", ""'trim'"")]"	2	'effort' 'lara'
33	follow boyrusher insurgent goingstrong frankie fuckboy coach stuck flip rule	1.0	2.0	1.0	2	'boyrusher' 'fuckboy'	1	"[(""'follow'"", ""'coach'"")]"	2	'boyrusher' 'fuckboy'
34	run mile marathon runnerspace racing wyoming marathontraine marathontraining educator iowa	2.2	2.0	2.2	4	'runnerspace' 'wyoming' 'educator' 'iowa'	4	"[(""'run'"", ""'runnerspace'""), (""'mile'"", ""'marathon'""), (""'marathon'"", ""'marathontraine'""), (""'marathon'"", ""'marathontraining'"")]"	3	'runnerspace' 'wyoming' 'marathontraine'
35	worry fear anxiety stress cookie panic pandora claustrophobic caution happyheart	1.0	2.0	3.0	0		0	[]	3	'pandora' 'claustrophobic' 'happyheart'
36	write memory pen writing memo mathchat javascript ink erase undergrad	2.4	2.0	3.0	3	'mathchat' 'javascript' 'undergrad'	2	"[(""'write'"", ""'writing'""), (""'memo'"", ""'memo'"")]"	3	'memo' 'mathchat' 'javascript'
37	focused stress thoughtless stillquiethour endoftheyear stillness greatness happier comfort vision	2.6	2.0	3.0	2	'thoughtless' 'endoftheyear'	2	"[(""'focused'"", ""'stillness'""), (""'stillquiethour'"", ""'stillness'"")]"	2	'stillquiethour' 'endoftheyear'
38	change anarchy ariel realworld ooc general justice collective mike wave	1.0	3.0	3.0	3	'ariel' 'mike' 'wave'	0	[]	3	'ooc' 'wave' 'mike'
39	hashtag hashtagoftheweek smoking organize hashtagofthe hammer medical sew recycle broad	1.0	2.2	3.0	2	'hammer' 'sew'	2	"[(""'hashtag'"", ""'hashtagoftheweek'""), (""'hashtag'"", ""'hashtagofthe'"")]"	3	'hashtagoftheweek' 'hashtagofthe' 'broad'
