ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	concentration control nutrient solution weed germination herbicide nacl spray foliar	2.8	2.4	3.0	1	'herbicide'	3	"[(""'nutrient'"", ""'solution'""), (""'weed'"", ""'herbicide'""), (""'germination'"", ""'foliar'"")]"	0	
1	area source variability runoff district sediment cultivate expansion cropland width	2.4	2.0	3.0	1	'cultivate'	2	"[(""'area'"", ""'district'""), (""'runoff'"", ""'expansion'"")]"	0	
2	irrigate wastewater treat effluent reuse sewage freshwater industrial reclaimed municipal	3.0	2.4	3.0	1	'industrial'	2	"[(""'wastewater'"", ""'sewage'""), (""'freshwater'"", ""'reclaimed'"")]"	0	
3	land food risk vegetable metal country human health heavy contamination	2.6	2.0	3.0	2	'heavy' 'metal'	5	"[(""'country'"", ""'country'""), (""'vegetable'"", ""'vegetable'""), (""'human'"", ""'human'""), (""'health'"", ""'health'""), (""'metal'"", ""'metal'"")]"	0	
4	root dry leaf fruit number weight leave matter shoot stem	2.8	1.8	3.0	2	'number' 'weight'	3	"[(""'root'"", ""'matter'""), (""'leaf'"", ""'leave'""), (""'number'"", ""'weight'"")]"	0	
5	site variation maximum relationship daily seasonal indicator age cucumber eto	2.6	2.2	2.8	2	'cucumber' 'eto'	2	"[(""'site'"", ""'cucumber'""), (""'daily'"", ""'seasonal'"")]"	0	
6	stress content activity sugar moderate chlorophyll soluble approximately antioxidant enzyme	2.6	1.8	3.0	1	'sugar'	7	"[(""'stress'"", ""'stress'""), (""'content'"", ""'content'""), (""'activity'"", ""'activity'""), (""'sugar'"", ""'sugar'""), (""'moderate'"", ""'moderate'""), (""'chlorophyll'"", ""'chlorophyll'""), (""'soluble'"", ""'sol"")]"	0	
7	different analysis sample test component group sensitivity extraction cluster sampling	2.6	2.2	3.0	0		3	"[(""'analysis'"", ""'test'""), (""'sensitivity'"", ""'sample'""), (""'extraction'"", ""'cluster'"")]"	0	
8	water efficiency resource wue consumption depletion footprint right iwue allocate	2.6	1.8	3.0	2	'right' 'allocate'	3	"[(""'water'"", ""'consumption'""), (""'efficiency'"", ""'allocate'""), (""'resource'"", ""'footprint'"")]"	0	
9	soil depth organic moisture layer profile conductivity infiltration fraction soc	2.6	1.8	3.0	0		4	"[(""'soil'"", ""'soc'""), (""'depth'"", ""'layer'""), (""'organic'"", ""'fraction'""), (""'moisture'"", ""'profile'"")]"	0	
