ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	use work problem need file program run dos bit write	2.8	2.2	2.8	0		8	"[(""'use'"", ""'use'""), (""'work'"", ""'work'""), (""'problem'"", ""'problem'""), (""'need'"", ""'need'""), (""'file'"", ""'file'""), (""'program'"", ""'program'""), (""'run'"", ""'run'""), (""'dos'"", ""'dos'"")]"	0	
1	game team year score pick toronto cup van average shot	2.2	2.0	3.0	2	'average' 'shot'	2	"[(""'game'"", ""'pick'""), (""'team'"", ""'score'"")]"	0	
2	car engine ride tire drive speed rear gear auto transmission	3.0	2.4	3.0	0		3	"[(""'car'"", ""'auto'""), (""'engine'"", ""'drive'""), (""'tire'"", ""'rear'"")]"	0	
3	space nasa orbit moon mission satellite solar flight astronomy planet	3.0	1.6	3.0	0		7	"[(""'moon'"", ""'moon'""), (""'orbit'"", ""'orbit'""), (""'mission'"", ""'mission'""), (""'satellite'"", ""'satellite'""), (""'solar'"", ""'solar'""), (""'flight'"", ""'flight'""), (""'astronomy'"", ""'astr"")]"	0	
4	msg patient doctor disease health treatment medicine symptom headache hospital	3.0	2.2	3.0	0		3	"[(""'doctor'"", ""'healthcare'""), (""'symptom'"", ""'disease'""), (""'treatment'"", ""'medicine'"")]"	0	
5	sale ground circuit stereo radio receiver input box game sony	2.6	2.4	3.0	0		4	"[(""'sale'"", ""'box'""), (""'game'"", ""'input'""), (""'stereo'"", ""'receiver'""), (""'sony'"", ""'radio'"")]"	0	
6	key clipper chip algorithm security encrypt phone scheme block patent	2.8	1.8	3.0	1	'phone'	8	"[(""'key'"", ""'key'""), (""'chip'"", ""'chip'""), (""'algorithm'"", ""'algorithm'""), (""'security'"", ""'security'""), (""'encrypt'"", ""'encrypt'""), (""'phone'"", ""'phone'""), (""'scheme'"", ""'scheme'""), (""'block'"", ""'block'"")]"	0	
7	israel jews jewish nazi war peace palestinians gaza jerusalem zionist	2.8	2.2	2.8	0		2	"[(""'jews'"", ""'jewish'""), (""'gaza'"", ""'jerusalem'"")]"	0	
8	motherboard bus ram card upgrade mac simms processor cpu coprocessor	2.8	2.0	3.0	0		4	"[(""'motherboard'"", ""'card'""), (""'ram'"", ""'simms'""), (""'processor'"", ""'cpu'""), (""'coprocessor'"", ""'cpu'"")]"	0	
9	god church bible faith catholic christians matthew pope judas revelation	3.0	2.4	3.0	0		6	"[(""'god'"", ""'god'""), (""'bible'"", ""'bible'""), (""'faith'"", ""'faith'""), (""'catholic'"", ""'catholic'""), (""'christians'"", ""'christians'""), (""'matthew'"", ""'matt"")]"	0	
10	image colormap program animation bitmap graphics jpeg pixel pixmap convert	2.6	2.2	3.0	0		2	"[(""'image'"", ""'bitmap'""), (""'colormap'"", ""'graphics'"")]"	0	
11	scsi disk controller floppy tape boot mac cable quadra rom	3.0	1.4	2.8	0		4	"[(""'scsi'"", ""'disk'""), (""'controller'"", ""'cable'""), (""'floppy'"", ""'tape'""), (""'boot'"", ""'rom'"")]"	0	
12	gun crime law amendment section state license military arm citizen	2.8	2.0	2.8	1	'military'	3	"[(""'gun'"", ""'arm'""), (""'state'"", ""'state'""), (""'license'"", ""'license'"")]"	0	
13	morality objective atheists political christian human subjective hudson definition absolute	2.6	2.0	3.0	1	'hudson'	6	"[(""'morality'"", ""'human'""), (""'atheists'"", ""'atheist'""), (""'christian'"", ""'christianity'""), (""'subjective'"", ""'subjective'""), (""'objective'"", ""'objective'""), (""'definition'"", ""'definition'"")]"	0	
14	apartment fbi tell building kill shout neighbor door time afraid	2.6	1.6	3.0	1	'afraid'	7	"[(""'afraid'"", ""'fear'""), (""'apartment'"", ""'home'""), (""'building'"", ""'house'""), (""'door'"", ""'entrance'""), (""'fbi'"", ""'police'""), (""'shout'"", ""'yell'""), (""'neighbor'"", ""'ne"")]"	0	
15	turkish turks genocide soviet muslim massacre population history greeks republic	2.6	2.2	3.0	0		2	"[(""'turkish'"", ""'turks'""), (""'greeks'"", ""'greek'"")]"	0	
16	printer deskjet scanner bubblejet driver laserwriter laserjet printing cartridge inkjet	2.8	1.8	3.0	0		2	"[(""'printer'"", ""'deskjet'""), (""'laserwriter'"", ""'laserjet'"")]"	0	
17	homosexual homosexuality percentage study abortion heterosexual abstinence church rape immoral	3.0	2.2	2.8	2	'percentage' 'abortion'	2	"[(""'homosexual'"", ""'homosexuality'""), (""'abortion'"", ""'abortion'"")]"	0	
18	monitor screen centris adapter mac viewsonic resolution spec vram cable	2.8	2.2	3.0	0		7	"[(""'monitor'"", ""'screen'""), (""'adapter'"", ""'cable'""), (""'mac'"", ""'mac'""), (""'viewsonic'"", ""'viewsonic'""), (""'resolution'"", ""'resolution'""), (""'spec'"", ""'spec'""), (""'vram'"", ""'vram"")]"	0	
19	list mail request address grand junk access update car mailbox	2.4	3.0	2.8	1	'car'	2	"[(""'list'"", ""'mailbox'""), (""'mail'"", ""'mailbox'"")]"	0	
20	card driver ati video winmark windows speedstar svga vram genoa	2.4	1.8	2.8	2	'ati' 'genoa'	2	"[(""'card'"", ""'driver'""), (""'ati'"", ""'vram'"")]"	0	
21	court cooper judge cop justice prosecution jury federal testimony lawyer	3.0	2.0	3.0	0		3	"[(""'cop'"", ""'lawyer'""), (""'judge'"", ""'justice'""), (""'testimony'"", ""'lawyer'"")]"	0	
22	modem fax mac cable chipset send hardware connect gateway supply	3.0	1.8	3.0	1	'supply'	2	"[(""'modem'"", ""'connect'""), (""'cable'"", ""'supply'"")]"	0	
23	windows unix application comp mac program gui version toolkit compile	2.8	1.8	3.0	0		2	"[(""'windows'"", ""'mac'""), (""'unix'"", ""'mac'"")]"	0	
24	allocation windows disk swap error ram crash sys fault mathcad	2.4	2.2	3.0	1	'mathcad'	5	"[(""'allocation'"", ""'swap'""), (""'windows'"", ""'sys'""), (""'error'"", ""'fault'""), (""'ram'"", ""'disk'""), (""'crash'"", ""'mathcad'"")]"	0	
25	atheist exist god atheism religion belief universe faith premise agnostic	2.8	2.2	3.0	0		2	"[(""'atheist'"", ""'atheism'""), (""'god'"", ""'faith'"")]"	0	
26	polygon sphere intersection outline ellipse algorithm circle delaunay triangulation perpendicular	2.6	2.4	3.0	0		2	"[(""'polygon'"", ""'outline'""), (""'sphere'"", ""'circle'"")]"	0	
27	mouse driver button windows apple cursor modem logitech fix hardware	2.6	1.6	3.0	0		5	"[(""'mouse'"", ""'apple'""), (""'driver'"", ""'hardware'""), (""'button'"", ""'modem'""), (""'windows'"", ""'logitech'""), (""'cursor'"", ""'fix'"")]"	0	
