ID	Topic words
0	use work problem need file program run dos bit write
1	game team year score pick toronto cup van average shot
2	car engine ride tire drive speed rear gear auto transmission
3	space nasa orbit moon mission satellite solar flight astronomy planet
4	msg patient doctor disease health treatment medicine symptom headache hospital
5	sale ground circuit stereo radio receiver input box game sony
6	key clipper chip algorithm security encrypt phone scheme block patent
7	israel jews jewish nazi war peace palestinians gaza jerusalem zionist
8	motherboard bus ram card upgrade mac simms processor cpu coprocessor
9	god church bible faith catholic christians matthew pope judas revelation
10	image colormap program animation bitmap graphics jpeg pixel pixmap convert
11	scsi disk controller floppy tape boot mac cable quadra rom
12	gun crime law amendment section state license military arm citizen
13	morality objective atheists political christian human subjective hudson definition absolute
14	apartment fbi tell building kill shout neighbor door time afraid
15	turkish turks genocide soviet muslim massacre population history greeks republic
16	printer deskjet scanner bubblejet driver laserwriter laserjet printing cartridge inkjet
17	homosexual homosexuality percentage study abortion heterosexual abstinence church rape immoral
18	monitor screen centris adapter mac viewsonic resolution spec vram cable
19	list mail request address grand junk access update car mailbox
20	card driver ati video winmark windows speedstar svga vram genoa
21	court cooper judge cop justice prosecution jury federal testimony lawyer
22	modem fax mac cable chipset send hardware connect gateway supply
23	windows unix application comp mac program gui version toolkit compile
24	allocation windows disk swap error ram crash sys fault mathcad
25	atheist exist god atheism religion belief universe faith premise agnostic
26	polygon sphere intersection outline ellipse algorithm circle delaunay triangulation perpendicular
27	mouse driver button windows apple cursor modem logitech fix hardware
28	newsreader norman email tip forsale nixon author article need cview
29	islam islamic religion atheism genocide bobby koran argument quran sexist
30	compile doug error sunos font ipx patch icon spss cpp
31	ftp site file zip upload download gateway package assembler tutorial
32	font truetype text display xview print bold printer char mac
33	arrogance truth christians absolute belief faith scripture interpretation evangelical blindly
34	rushdie islam islamic muslim fatwa book secular mohammed religion qur
35	telephone hook ring need yellow device led wire lift machine
36	mormon mormons jews temple church christian belief doctrine joseph religion
37	motif widget toolkit interviews interface bug platform ftp mail application
38	science methodology scientific theory study psychology scientist russell evolution experiment
39	drug cocaine people crack thug crime survey illegal pot student
40	president job secretary work think summer package congress community education
41	split newsgroup aspect article alt ieee read crossposte forum sci
42	nuclear fossil heat river technology stage build contamination cylinder oil
43	des key corporate chip bit hardware crack program smart secure
44	libertarian employment govt liberty subject majority state limited lobby constitution
45	helmet impact bat ride shell damage size surface activity piece
46	sabbath paul worship christian sunday church gentiles scripture jewish change
47	government code trust fractal company japanese swiss liberty capitalist communist
48	jewish greenberg player roger steve era art ron list mike
49	window expose event position handler button widget thickframe border rectangle
50	summer room hotel kitchen vacation sale victoria roommate plenty housing
51	voice modem dsp compression cheap clipper software phone hardware data
