ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	management resource allocation optimal decision plan practice conservation demand supply	3.0	2.0	3.0	2	'practice' 'conservation'	2	"[(""'resource'"", ""'supply'""), (""'demand'"", ""'supply'"")]"	0	
1	drip irrigation sprinkler furrow schedule frequency subsurface regime deficit sdi	3.0	2.2	3.0	1	'deficit'	2	"[(""'drip'"", ""'irrigation'""), (""'subsurface'"", ""'sdi'"")]"	0	
2	mean value range coefficient method correlation variation error time square	3.0	2.4	3.0	2	'time' 'square'	2	"[(""'mean'"", ""'value'""), (""'square'"", ""'error'"")]"	0	
3	drought tolerance stress tolerant salt genotype heat reproductive moderate trait	3.0	2.0	3.0	2	'moderate' 'reproductive'	1	"[(""'tolerance'"", ""'tolerant'"")]"	0	
4	water supply efficiency demand consumption footprint fresh wue saving requirement	3.0	2.0	3.0	1	'footprint'	2	"[(""'supply'"", ""'requirement'""), (""'saving'"", ""'efficiency'"")]"	1	'wue'
5	rice emission cultivation paddy flood lowland n₂o cropping awd methane	3.0	2.0	3.0	2	'n₂o' 'awd'	3	"[(""'paddy'"", ""'rice'""), (""'n₂o'"", ""'emission'""), (""'methane'"", ""'emission'"")]"	1	'n₂o'
6	analysis spatial distribution structure network component cluster reservoir principal function	2.0	2.2	3.0	2	'reservoir' 'principal'	1	"[(""'cluster'"", ""'component'"")]"	0	
7	isolate detect strain bacterial specie disease sequence spp host infection	3.0	2.0	3.0	1	'host'	1	"[(""'specie'"", ""'spp'"")]"	1	'spp'
8	line cultivar variety hybrid environment selection genetic breeding trait location	3.0	2.0	3.0	2	'environment' 'location'	2	"[(""'line'"", ""'variety'""), (""'cultivar'"", ""'hybrid'"")]"	0	
9	research state scheme project knowledge information program technology institute problem	3.0	2.0	3.0	2	'scheme' 'problem'	1	"[(""'project'"", ""'scheme'"")]"	0	
10	crop requirement rotation cover residue evapotranspiration coefficient maize cropping cotton	3.0	2.0	3.0	2	'evapotranspiration' 'coefficient'	1	"[(""'cropping'"", ""'crop'"")]"	0	
11	farm farmer benefit cost farming income adoption access price labor	3.0	2.0	3.0	4	'benefit' 'cost' 'adoption' 'access'	2	"[(""'farm'"", ""'farming'""), (""'farmer'"", ""'labor'"")]"	0	
12	leach nitrate nitrogen phosphorus nutrient fertilization loss uptake solution potassium	3.0	2.0	3.0	3	'leach' 'loss' 'solution'	3	"[(""'nitrate'"", ""'nitrogen'""), (""'nutrient'"", ""'fertilization'""), (""'uptake'"", ""'solution'"")]"	0	
13	development local country rural security people poverty urban sector food	2.4	2.0	3.0	1	'security'	1	"[(""'rural'"", ""'urban'"")]"	0	
14	density weed population specie type row planting disease diversity great	2.0	2.8	3.0	2	'disease' 'great'	2	"[(""'density'"", ""'population'""), (""'specie'"", ""'type'"")]"	0	
15	plant growth uptake vegetative pot nutrient nacl height saline seedling	3.0	2.0	3.0	2	'pot' 'nacl'	3	"[(""'plant'"", ""'seedling'""), (""'growth'"", ""'vegetative'""), (""'nutrient'"", ""'uptake'"")]"	0	
16	concentration level limit exceed solid dissolve range ppm chloride total	3.0	2.0	3.0	3	'level' 'range' 'total'	5	"[(""'level'"", ""'limit'""), (""'exceed'"", ""'limit'""), (""'dissolve'"", ""'solid'""), (""'range'"", ""'level'""), (""'ppm'"", ""'total'"")]"	0	
17	model datum simulation base prediction accuracy weather calibration set optimization	3.0	2.0	3.0	2	'base' 'set'	2	"[(""'datum'"", ""'data'""), (""'set'"", ""'set'"")]"	0	
18	river region basin arid lake delta nile catchment sub yellow	2.8	2.2	3.0	3	'arid' 'sub' 'yellow'	3	"[(""'river'"", ""'delta'""), (""'region'"", ""'basin'""), (""'catchment'"", ""'basin'"")]"	2	'sub' 'yellow'
19	water deficit stage apply irrigation capacity period treatment season control	3.0	2.2	3.0	5	'stage' 'apply' 'capacity' 'treatment' 'control'	3	"[(""'deficit'"", ""'capacity'""), (""'apply'"", ""'treatment'""), (""'period'"", ""'season'"")]"	0	
20	season winter spring wheat grow maize summer late soybean tillage	2.0	2.0	3.0	2	'tillage' 'late'	2	"[(""'wheat'"", ""'maize'""), (""'spring'"", ""'summer'"")]"	0	
21	flow drainage runoff discharge transport drain infiltration sediment loss hydraulic	3.0	2.0	3.0	2	'transport' 'loss'	2	"[(""'drainage'"", ""'drain'""), (""'runoff'"", ""'discharge'"")]"	0	
22	different regime level irrigation salinity method drip saline design plot	3.0	2.8	3.0	3	'regime' 'plot' 'design'	1	"[(""'salinity'"", ""'saline'"")]"	0	
23	potato greenhouse tomato green plastic mulch forage grass pasture alfalfa	2.6	2.0	3.0	4	'plastic' 'forage' 'pasture' 'alfalfa'	6	"[(""'potato'"", ""'potato'""), (""'greenhouse'"", ""'greenhouse'""), (""'tomato'"", ""'tomato'""), (""'green'"", ""'green'""), (""'plastic'"", ""'plastic'""), (""'mulch'"", ""'mulch'"")]"	0	
24	potential stomatal transpiration conductance photosynthetic pressure deficit stem net leaf	3.0	2.4	3.0	2	'stem' 'net'	1	"[(""'leaf'"", ""'stomatal'"")]"	0	
25	application control treatment recommend fertilizer manure dose herbicide foliar apply	3.0	2.0	3.0	2	'control' 'recommend'	1	"[(""'apply'"", ""'application'"")]"	0	
26	fruit tree orchard olive grape rootstock apple citrus wine harvest	3.0	2.0	3.0	2	'wine' 'rootstock'	3	"[(""'olive'"", ""'olive'""), (""'apple'"", ""'apple'""), (""'grape'"", ""'grape'"")]"	0	
27	activity acid sugar protein oil content salinity soluble enzyme antioxidant	2.0	3.0	3.0	2	'activity' 'salinity'	2	"[(""'activity'"", ""'enzyme'""), (""'soluble'"", ""'soluble'"")]"	0	
28	day early stage flowering seed date maximum interval germination percent	3.0	2.4	3.0	4	'date' 'maximum' 'percent' 'interval'	1	"[(""'day'"", ""'date'"")]"	0	
29	irrigate field irrigated non site rainfed trial dryland capacity paddy	2.8	2.0	3.0	4	'non' 'site' 'trial' 'capacity'	2	"[(""'irrigate'"", ""'irrigated'""), (""'rainfed'"", ""'dryland'"")]"	1	'non'
30	treat wastewater effluent chemical reuse sewage waste municipal removal sample	3.0	2.0	3.0	2	'chemical' 'sample'	1	"[(""'wastewater'"", ""'sewage'"")]"	0	
31	production energy consumption product agricultural feed renewable fuel electricity input	3.0	2.0	3.0	2	'product' 'input'	2	"[(""'energy'"", ""'electricity'""), (""'production'"", ""'input'"")]"	0	
32	moisture depth layer profile sandy clay zone conductivity soil loam	3.0	2.6	3.0	0		1	"[(""'soil'"", ""'soil'"")]"	0	
33	temperature measurement air canopy flux evapotranspiration daily radiation estimate thermal	3.0	2.0	3.0	3	'canopy' 'daily' 'thermal'	1	"[(""'temperature'"", ""'thermal'"")]"	0	
34	yield grain component lint wue corn gap produce cotton sorghum	3.0	2.2	3.0	4	'component' 'gap' 'lint' 'wue'	7	"[(""'corn'"", ""'corn'""), (""'cotton'"", ""'cotton'""), (""'grain'"", ""'grain'""), (""'lint'"", ""'lint'""), (""'sorghum'"", ""'sorghum'""), (""'wue'"", ""'wue'""), (""'yield'"", ""'"")]"	0	
35	block design plot week split spray apply half solution medium	2.0	2.6	3.0	3	'week' 'half' 'medium'	2	"[(""'block'"", ""'split'""), (""'apply'"", ""'spray'"")]"	0	
36	high low record net medium ratio produce return value cost	2.0	2.0	3.0	3	'medium' 'produce' 'cost'	2	"[(""'high'"", ""'low'""), (""'return'"", ""'value'"")]"	0	
