ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	super self hoe january mix ordinarylife save hit damn piss	1.2	1.8	2.0	2	'damn' 'piss'	2	"[(""'hoe'"", ""'damn'""), (""'hit'"", ""'piss'"")]"	3	'hoe' 'ordinarylife' 'piss'
1	friend society workout instead health step lot fitness quit week	2.6	2.0	3.0	2	'instead' 'quit'	1	"[(""'workout'"", ""'fitness'"")]"	0	
2	stay woman hour meet friend girl fail twice accomplish fitness	2.0	2.4	3.0	2	'twice' 'fitness'	1	"[(""'fail'"", ""'accomplish'"")]"	0	
3	instagram facebook peace emotion earth wit truth patients black tennis	1.2	2.2	2.8	1	'tennis'	1	"[(""'peace'"", ""'truth'"")]"	0	
4	arm high human writing finish action shoe buy mouth pure	2.0	2.0	2.8	1	'pure'	1	"[(""'finish'"", ""'action'"")]"	0	
5	kiss harmony lmfao nipple currently unproductive page cardio chafe dramatically	1.0	2.4	2.0	2	'nipple' 'page'	1	"[(""'harmony'"", ""'chafe'"")]"	1	'lmfao'
6	stay gym gain focus read look cookie hand study parent	2.0	2.0	3.0	1	'parent'	2	"[(""'stay'"", ""'study'""), (""'study'"", ""'parent'"")]"	0	
7	loosen juice path enjoy condescend writerslife christmas idk properly bacon	1.6	2.4	2.0	0		1	"[(""'juice'"", ""'bacon'"")]"	2	'idk' 'writerslife'
8	jammed list hopefully bae shape weight wheel turbo order coilover	2.2	2.2	2.2	2	'hopefully' 'bae'	1	"[(""'weight'"", ""'coilover'"")]"	1	'bae'
9	home buy real phone record deserve hahaha successfully fit training	1.8	2.2	2.8	2	'hahaha' 'successfully'	4	"[(""'home'"", ""'real'""), (""'buy'"", ""'deserve'""), (""'phone'"", ""'record'""), (""'fit'"", ""'training'"")]"	1	'hahaha'
10	res workinn lazyy imaa ready asf delete wage shall high	2.0	2.4	2.0	2	'asf' 'delete'	1	"[(""'res'"", ""'ready'"")]"	6	'res' 'workinn' 'lazyy' 'imaa' 'asf' 'delete'
11	learn bad weight gym week way read lmfao kiss watch	1.4	2.0	2.2	2	'lmfao' 'kiss'	2	"[(""'bad'"", ""'lmfao'""), (""'read'"", ""'watch'"")]"	1	'lmfao'
12	true rid listen fucking self alcohol job bud focused term	1.8	2.4	2.0	1	'bud'	0	[]	0	
13	bible smoke jesus appreciated draw dont bud fucking workout harbaugh	1.2	2.2	2.0	3	'bud' 'workout' 'harbaugh'	3	"[(""'bible'"", ""'jesus'""), (""'draw'"", ""'bud'""), (""'dont'"", ""'fucking'"")]"	2	'fucking' 'bud'
14	meet bitch game bite poorly ready pack weird pic girl	1.8	2.0	2.0	0		2	"[(""'meet'"", ""'bite'""), (""'ready'"", ""'pack'"")]"	1	'bitch'
15	movie bad workout nervous change shy correct decide hour thankful	1.6	2.6	3.0	1	'workout'	2	"[(""'movie'"", ""'workout'""), (""'nervous'"", ""'shy'"")]"	0	
16	spend gain positive right week funny gym twitter bed hoe	1.8	1.8	2.6	1	'hoe'	1	"[(""'gain'"", ""'spend'"")]"	1	'hoe'
17	wine person book lot nye miss lesson read swollen gym	1.8	2.0	2.0	1	'gym'	1	"[(""'read'"", ""'book'"")]"	2	'nye' 'lesson'
18	week grow club eve hour concert supper read smoke control	2.0	2.0	3.0	2	'control' 'smoke'	1	"[(""'hour'"", ""'eve'"")]"	1	'eve'
19	negative actually success teach publish pinterest gambling kenny imponderabilia content	1.2	2.0	2.2	2	'imponderabilia' 'kenny'	3	"[(""'actually'"", ""'success'""), (""'publish'"", ""'content'""), (""'kenny'"", ""'imponderabilia'"")]"	1	'imponderabilia'
20	hate come relationship hahaha burrito soundtrack use amazing typo complete	1.6	2.4	2.4	1	'typo'	1	"[(""'hahaha'"", ""'typo'"")]"	2	'hahaha' 'typo'
21	vine play cause treat dance better finally dedicated drunk jesus	1.6	2.8	3.0	0		1	"[(""'vine'"", ""'vine'"")]"	0	
22	finally self wish story mistake serve titie laugh grow smoke	1.8	2.2	2.0	2	'titie' 'smoke'	0	[]	1	'titie'
23	gym weight social book goal lose healthy welcome god everyday	2.4	2.4	3.0	2	'god' 'welcome'	3	"[(""'gym'"", ""'weight'""), (""'lose'"", ""'healthy'""), (""'everyday'"", ""'goal'"")]"	0	
24	guess yeah heck mile february pile morning memory penny squat	1.4	2.4	2.2	2	'heck' 'squat'	1	"[(""'mile'"", ""'pile'"")]"	3	'heck' 'yeah' 'squat'
25	wales page cotswolds lake calendar naw ready chore complain film	1.4	2.2	2.4	1	'complain'	3	"[(""'wales'"", ""'cotswolds'""), (""'page'"", ""'calendar'""), (""'chore'"", ""'complain'"")]"	1	'naw'
26	punctuation future drive old sound thank treat wish sleep listen	2.0	2.0	3.0	1	'treat'	1	"[(""'punctuation'"", ""'sound'"")]"	0	
27	reduce sock job account mad follower bitches oregon culture indulge	1.2	2.6	2.0	2	'oregon' 'indulge'	1	"[(""'job'"", ""'account'"")]"	1	'bitches'
28	week bikini haha relationship happen patience friend lol yoga personal	2.0	2.0	3.0	2	'haha' 'lol'	1	"[(""'haha'"", ""'lol'"")]"	2	'haha' 'lol'
29	exercise world careful way goal learn stay list fit care	2.6	2.4	3.0	2	'world' 'list'	1	"[(""'fit'"", ""'exercise'"")]"	0	
30	button head help pain car hug glamour drink laugh mystery	1.6	2.2	3.0	1	'mystery'	1	"[(""'head'"", ""'pain'"")]"	0	
31	live music stick random father zone promise act marry bite	1.2	2.0	2.6	3	'random' 'stick' 'bite'	0	[]	0	
32	positive stay hard right slap lbs look honor criticism energy	1.8	2.0	2.8	2	'slap' 'lbs'	1	"[(""'positive'"", ""'energy'"")]"	1	'lbs'
33	single talk ask future plane tho achieve fall mediocre choose	2.0	2.4	2.6	0		1	"[(""'plane'"", ""'fall'"")]"	1	'tho'
34	great meet stay worth twitter mind relationship sleep share donate	2.0	2.2	3.0	2	'twitter' 'donate'	1	"[(""'stay'"", ""'sleep'"")]"	0	
35	know healthy sure thank right pack spend long music use	1.8	2.2	2.8	1	'pack'	3	"[(""'know'"", ""'sure'""), (""'right'"", ""'sure'""), (""'thank'"", ""'sure'"")]"	0	
36	man gop rino boehnermustgo promulgate establishment garbage mcconnelle ariel meet	1.4	2.0	2.0	2	'ariel' 'meet'	2	"[(""'gop'"", ""'mcconnelle'""), (""'meet'"", ""'promulgate'"")]"	3	'gop' 'rino' 'boehnermustgo'
37	salad seriously channel completely cabin sass mean late live history	1.8	2.6	2.8	2	'seriously' 'completely'	3	"[(""'salad'"", ""'cabin'""), (""'seriously'"", ""'mean'""), (""'channel'"", ""'history'"")]"	0	
38	week leave twice castle accept read turn instead involve create	1.8	2.4	3.0	1	'instead'	0	[]	0	
39	read far thank weight drink type plan continue earlystart identity	2.0	2.0	2.4	1	'weight'	1	"[(""'read'"", ""'read'"")]"	2	'earlystart' 'identity'
40	end write yesterday workout place vow pet month master yoga	2.0	2.2	2.6	2	'vow' 'yoga'	0	[]	0	
41	father real idk pee vow couple invite desire chorgrapher lil	1.6	2.4	2.0	3	'idk' 'pee' 'lil'	5	"[(""'father'"", ""'real'""), (""'idk'"", ""'pee'""), (""'vow'"", ""'couple'""), (""'desire'"", ""'chorgrapher'""), (""'lil'"", ""'invite'"")]"	2	'idk' 'lil'
42	plan shoot look swift cause gelek fun teaching pay bold	2.0	2.2	2.0	2	'gelek' 'bold'	3	"[(""'plan'"", ""'shoot'""), (""'fun'"", ""'teaching'""), (""'pay'"", ""'bold'"")]"	1	'gelek'
43	baby know paint beer attention health upset pound great actually	1.8	2.2	3.0	2	'actually' 'pound'	1	"[(""'actually'"", ""'actually'"")]"	0	
44	hurt forgiveness power chuck neighbor newyearseve unapologetically important screw countdown	1.8	2.0	2.8	2	'chuck' 'screw'	1	"[(""'newyearseve'"", ""'countdown'"")]"	4	'neighbor' 'unapologetically' 'newyearseve' 'screw'
45	weight cigarette gym healthy lose loss stay nap right instead	3.0	2.6	3.0	1	'nap'	1	"[(""'lose'"", ""'loss'"")]"	0	
46	watch close join fun tonight tix week article chop support	2.0	2.6	3.0	2	'chop' 'support'	1	"[(""'tix'"", ""'tickets'"")]"	1	'tix'
47	quit grow maybe stay marry door music binge jesus radio	1.6	2.4	2.8	2	'jesus' 'radio'	0	[]	0	
48	voice drop turn concert wait literally status smell bullshit tithe	1.6	2.0	2.8	1	'tithe'	2	"[(""'turn'"", ""'drop'""), (""'literally'"", ""'bullshit'"")]"	1	'bullshit'
49	gain actually especially reach ironic calendar smoking jesus accomplish ass	1.8	2.8	2.2	1	'jesus'	0	[]	1	'ass'
50	far form dollar music trip mat dogslife apologize scouty philosophy	1.2	2.2	2.0	2	'dogslife' 'scouty'	1	"[(""'trip'"", ""'trip'"")]"	2	'dogslife' 'scouty'
51	enjoy reach appreciate desire free hell shark masterbate fin success	1.8	2.0	2.0	2	'hell' 'masterbate'	3	"[(""'enjoy'"", ""'appreciate'""), (""'free'"", ""'success'""), (""'desire'"", ""'success'"")]"	1	'masterbate'
52	drive youtube ultron res heart post mind unite cydonia hear	2.0	2.2	2.6	0		1	"[(""'res'"", ""'heart'"")]"	3	'ultron' 'res' 'cydonia'
53	goal eve drink come white monday fitness twitter habit ready	2.0	2.0	2.8	1	'twitter'	1	"[(""'goal'"", ""'habit'"")]"	0	
54	tomorrow monday ready fucking pray live big fight suspect energy	2.0	2.0	2.4	1	'fucking'	1	"[(""'fucking'"", ""'ready'"")]"	1	'fucking'
55	music manage cream soon strong hangover currently hefty agree lot	2.0	2.4	2.8	1	'manage'	1	"[(""'music'"", ""'music'"")]"	0	
56	fun beer maybe follower healthy taco read spend drink run	2.0	2.0	3.0	0		2	"[(""'fun'"", ""'beer'""), (""'maybe'"", ""'taco'"")]"	0	
57	dream practice lot treat technology butts way bitch cigarettes bit	1.6	2.2	2.0	2	'butts' 'bitch'	1	"[(""'dream'"", ""'lot'"")]"	3	'butts' 'bitch' 'bit'
58	friend way maybe finish degree face place brtrend workout newyearnewme	2.0	2.2	2.0	2	'brtrend' 'newyearnewme'	1	"[(""'newyearnewme'"", ""'finish'"")]"	2	'brtrend' 'newyearnewme'
59	house past escape drunk meet wind sandal cig toilet white	1.8	2.4	2.8	0		1	"[(""'cig'"", ""'toilet'"")]"	0	
60	attitude realistic planet straighten startup watch dslr recipe project refuse	1.6	2.2	2.8	1	'refuse'	1	"[(""'dslr'"", ""'watch'"")]"	0	
61	fuck week instead feel home resolve actually right edge join	2.0	2.4	2.6	3	'actually' 'edge' 'fuck'	0	[]	0	
62	look kenya commit football friends galaxy excercise upgrade gouda hubby	1.4	2.0	2.4	3	'kenya' 'gouda' 'hubby'	5	"[(""'look'"", ""'kenya'""), (""'commit'"", ""'football'""), (""'friends'"", ""'galaxy'""), (""'excercise'"", ""'upgrade'""), (""'gouda'"", ""'hubby'"")]"	1	'hubby'
63	attention decision proud step straight feeling daughter manage night bring	2.0	2.2	3.0	1	'night'	4	"[(""'attention'"", ""'manage'""), (""'feeling'"", ""'decision'""), (""'daughter'"", ""'straight'""), (""'night'"", ""'bring'"")]"	0	
64	kick baby thank legging white shin able code cookie science	1.8	2.4	2.8	1	'code'	2	"[(""'thank'"", ""'able'""), (""'science'"", ""'code'"")]"	0	
65	thank workout drink girl facebook wana holiday especially ambitious perk	2.0	2.4	2.2	1	'wana'	1	"[(""'drink'"", ""'perk'"")]"	1	'wana'
66	habit ahead accept email share tank scotch change accomplish drink	1.8	2.4	3.0	2	'tank' 'scotch'	1	"[(""'habit'"", ""'drink'"")]"	0	
67	respect spend daily grind awesome struggle quote favorite watch care	2.2	2.0	3.0	2	'quote' 'watch'	3	"[(""'spend'"", ""'watch'""), (""'grind'"", ""'struggle'""), (""'favorite'"", ""'care'"")]"	0	
68	lol ass friend kid fitness guitar wait party leg manipulate	1.6	2.0	2.2	1	'manipulate'	7	"[(""'lol'"", ""'lol'""), (""'ass'"", ""'ass'""), (""'friend'"", ""'friend'""), (""'kid'"", ""'kid'""), (""'fitness'"", ""'fitness'""), (""'guitar'"", ""'guitar'""), (""'wait'"", ""'wait'"")]"	3	'lol' 'ass' 'manipulate'
69	dollar shop avoid business survival haircut loseweight homemade surround series	1.6	2.2	3.0	0		1	"[(""'loseweight'"", ""'survival'"")]"	0	
70	amwriting jack read suspect german concrete fail ono loose buy	1.8	2.6	2.2	1	'ono'	0	[]	2	'ono' 'amwriting'
71	recover spend pityparty partypooper thank surgery ass club grandma apology	1.8	1.8	2.0	2	'pityparty' 'partypooper'	1	"[(""'pityparty'"", ""'partypooper'"")]"	3	'pityparty' 'partypooper' 'ass'
72	right fat smoking healthy instead friendship hug food half college	1.8	2.4	3.0	1	'college'	1	"[(""'healthy'"", ""'food'"")]"	0	
73	positive anymore guy twitter able water control drink personal rise	2.0	2.2	3.0	1	'anymore'	1	"[(""'drink'"", ""'water'"")]"	0	
74	hope worth grow positive everyday laker know fitness house blessed	2.4	2.2	3.0	2	'laker' 'house'	1	"[(""'hope'"", ""'blessed'"")]"	0	
75	sure music stay thank ckokickboxing continue wait god close wrong	1.8	2.2	2.0	1	'wrong'	0	[]	1	'ckokickboxing'
76	focus travel okay talk world drink deep extend positive venture	2.0	2.4	3.0	1	'okay'	1	"[(""'okay'"", ""'okay'"")]"	0	
77	asshole old care final involved notice allow got body constructive	1.8	2.2	2.6	0		1	"[(""'final'"", ""'final'"")]"	0	
78	know follower word drunk actually twitter use level bitch lol	1.8	2.0	2.0	3	'actually' 'lol' 'drunk'	1	"[(""'know'"", ""'word'"")]"	1	'lol'
79	swear wine accept stupid sure okay magcon dancehall daredevil positive	1.6	2.0	2.6	1	'daredevil'	1	"[(""'okay'"", ""'sure'"")]"	0	
80	save hahaha read root sacrifice complete sing finish gym cruise	1.8	2.0	2.4	0		2	"[(""'save'"", ""'complete'""), (""'finish'"", ""'complete'"")]"	1	'hahaha'
81	travel finish wait paper worry friend snooze senryu late book	2.0	2.0	3.0	1	'senryu'	2	"[(""'travel'"", ""'late'""), (""'snooze'"", ""'late'"")]"	0	
82	lose thank book accept follower penny read adult reason taylor	1.8	2.2	2.8	2	'penny' 'taylor'	1	"[(""'lose'"", ""'accept'"")]"	0	
83	artist leg waldorf stick muscle blair lazy high melook florida	1.2	2.4	2.0	2	'blair' 'melook'	0	[]	1	'melook'
84	learn bad resolutions replace dedicate list curse scarves look couch	1.2	2.0	2.6	2	'curse' 'scarves'	1	"[(""'resolutions'"", ""'list'"")]"	0	
85	die workout busy know graduate idgaf lay growth pick victim	1.8	2.0	2.2	2	'idgaf' 'victim'	1	"[(""'graduate'"", ""'idgaf'"")]"	2	'idgaf' 'lay'
86	family yuck tell video voice week shape collective able blue	1.2	2.4	2.8	3	'tell' 'able' 'yuck'	0	[]	1	'yuck'
87	faith forgive math finally rate pray responsive mission salad vegetable	1.2	2.0	3.0	3	'math' 'salad' 'vegetable'	2	"[(""'faith'"", ""'pray'""), (""'salad'"", ""'vegetable'"")]"	0	
88	pretty beat film cool build bigbootyhoe sake track confident prob	1.6	2.2	2.0	2	'bigbootyhoe' 'prob'	1	"[(""'beat'"", ""'track'"")]"	1	'bigbootyhoe'
89	pool choose talent wife tolerance rubbish shine fitness interview short	1.8	2.0	3.0	1	'rubbish'	5	"[(""'pool'"", ""'talent'""), (""'wife'"", ""'tolerance'""), (""'rubbish'"", ""'fitness'""), (""'shine'"", ""'interview'""), (""'short'"", ""'choose'"")]"	0	
90	eve stick attend spend agree damn damnit beer print positive	2.0	2.0	2.0	2	'print' 'positive'	1	"[(""'damn'"", ""'damnit'"")]"	2	'damn' 'damnit'
91	learn visit pbr phone reply moment success rhyme page proud	1.6	2.2	2.6	1	'pbr'	1	"[(""'pbr'"", ""'phone'"")]"	1	'pbr'
92	jesus problem mile burn run walk gym conscience criticize large	1.8	2.2	2.8	2	'jesus' 'mile'	2	"[(""'mile'"", ""'run'""), (""'gym'"", ""'walk'"")]"	0	
93	son stress suck god quit save song hours car bake	2.0	2.4	2.2	2	'god' 'bake'	4	"[(""'son'"", ""'song'""), (""'save'"", ""'suck'""), (""'quit'"", ""'stress'""), (""'car'"", ""'bake'"")]"	3	'suck' 'quit' 'god'
94	single receive neglect fight excited promote rock little wife movie	1.4	2.0	3.0	2	'rock' 'little'	1	"[(""'receive'"", ""'neglect'"")]"	0	
95	future happen entire bad party teach tablet oregon beer loss	1.6	2.4	3.0	3	'tablet' 'oregon' 'beer'	0	[]	0	
96	look rush teach everyday lazy officially boyfriend hahaha believe rank	2.0	2.0	2.6	2	'hahaha' 'rank'	2	"[(""'everyday'"", ""'everyday'""), (""'hahaha'"", ""'hahaha'"")]"	1	'hahaha'
97	way come walk paint baby pick glen fault smoke momma	1.6	2.0	2.4	1	'glen'	0	[]	2	'glen' 'momma'
98	fuck sandal ballet release raise cruel liquor pick adult perspective	1.2	2.0	2.4	1	'pick'	1	"[(""'release'"", ""'raise'"")]"	1	'fuck'
99	finally note run weight hope sun likely stay lose build	2.0	2.4	3.0	1	'build'	1	"[(""'run'"", ""'stay'"")]"	0	
