ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	level sub different regime method research irrigation recommend design test	2.2	2.2	3.0	1	'test'	2	"[(""'research'"", ""'method'""), (""'design'"", ""'test'"")]"	0	
1	receive treatment control herbicide spray post pendimethalin hand pre treat	2.8	2.0	3.0	1	'hand'	2	"[(""'receive'"", ""'treat'""), (""'herbicide'"", ""'spray'"")]"	0	
2	state village respondent district province extension interview university training scheme	2.6	2.0	3.0	3	'interview' 'training' 'university'	2	"[(""'village'"", ""'district'""), (""'province'"", ""'district'"")]"	0	
3	scenario hydrological regional scale multi simulation different model series variable	3.0	2.0	3.0	1	'multi'	1	"[(""'model'"", ""'model'"")]"	0	
4	profile saline moisture layer sandy soil texture clay sodic depth	3.0	2.2	3.0	2	'profile' 'depth'	1	"[(""'profile'"", ""'texture'"")]"	0	
5	cultivate rainfed rain feed cultivation region irrigate production expansion vegetable	3.0	1.6	3.0	2	'feed' 'expansion'	2	"[(""'cultivate'"", ""'cultivation'""), (""'rainfed'"", ""'rain'"")]"	0	
6	phase vegetative stage early degree growth end reproductive flowering late	3.0	1.8	3.0	2	'degree' 'end'	1	"[(""'phase'"", ""'stage'"")]"	0	
7	water potential mpa stem deficit supply midday predawn capacity dawn	2.6	2.2	2.6	0		1	"[(""'dawn'"", ""'midday'"")]"	1	'mpa'
8	block row plastic space split apart design spacing plot bed	2.6	2.0	3.0	2	'plastic' 'split'	1	"[(""'plot'"", ""'bed'"")]"	0	
9	salt saline seedling salinity germination tolerance tolerant quinoa nacl rootstock	3.0	2.0	3.0	1	'rootstock'	2	"[(""'salinity'"", ""'nacl'""), (""'salt'"", ""'nacl'"")]"	0	
10	annual reduction runoff decline decrease loss increase storage percent year	2.8	2.0	3.0	2	'increase' 'storage'	1	"[(""'annual'"", ""'year'"")]"	0	
11	fraction amendment organic biochar clay material manure matter sorption compost	2.8	2.0	3.0	2	'fraction' 'amendment'	1	"[(""'amendment'"", ""'compost'"")]"	0	
12	soil capacity moisture site depth irrigate plot low non field	3.0	2.2	3.0	1	'non'	4	"[(""'capacity'"", ""'moisture'""), (""'low'"", ""'non'""), (""'site'"", ""'plot'""), (""'field'"", ""'plot'"")]"	1	'non'
13	fresh weight decrease sugar shoot leave soluble solid increase length	2.2	2.2	3.0	2	'shoot' 'leave'	2	"[(""'fresh'"", ""'decrease'""), (""'weight'"", ""'increase'"")]"	0	
14	green source product waste industry material environment urban produce consumption	3.0	2.0	3.0	1	'consumption'	3	"[(""'source'"", ""'produce'""), (""'product'"", ""'waste'""), (""'environment'"", ""'urban'"")]"	0	
15	correlate relationship difference correlation number lai height matter index leaf	2.8	1.6	2.8	2	'lai' 'leaf'	1	"[(""'correlate'"", ""'correlation'"")]"	1	'lai'
16	drought recovery stress tolerance expression tolerant heat gene trait genotype	3.0	2.0	3.0	0		4	"[(""'drought'"", ""'heat'""), (""'tolerance'"", ""'tolerant'""), (""'expression'"", ""'trait'""), (""'gene'"", ""'genotype'"")]"	0	
17	local service scale ecosystem ecological relate community adaptation vulnerability landscape	3.0	2.2	3.0	1	'adaptation'	1	"[(""'ecosystem'"", ""'ecological'"")]"	0	
18	operation maintenance power optimal tank operate pump rainwater generation canal	2.8	2.0	3.0	0		1	"[(""'operation'"", ""'operate'"")]"	0	
19	shallow aquifer depletion suitability groundwater seawater origin rock isotopic recharge	3.0	2.2	3.0	1	'isotopic'	1	"[(""'seawater'"", ""'groundwater'"")]"	0	
20	high low produce solid level oil total value vegetable acid	2.4	2.0	3.0	1	'acid'	1	"[(""'low'"", ""'high'"")]"	0	
21	uptake total biomass estimate nutrient nitrogen dry matter efficiency base	3.0	2.0	3.0	1	'base'	3	"[(""'dry'"", ""'matter'""), (""'uptake'"", ""'efficiency'""), (""'total'"", ""'base'"")]"	0	
22	trend seasonal precipitation climatic pattern variability variation series vegetation cover	3.0	2.0	3.0	2	'vegetation' 'cover'	1	"[(""'variability'"", ""'variation'"")]"	0	
23	output price net percent return income benefit input hectare gross	3.0	2.0	3.0	2	'input' 'hectare'	2	"[(""'gross'"", ""'net'""), (""'output'"", ""'input'"")]"	0	
24	soybean yield corn sorghum cotton grain component gap location planting	2.8	1.8	3.0	3	'component' 'gap' 'location'	6	"[(""'soybean'"", ""'corn'""), (""'soybean'"", ""'sorghum'""), (""'soybean'"", ""'cotton'""), (""'corn'"", ""'sorghum'""), (""'corn'"", ""'cotton'""), (""'sorghum'"", ""'cotton"")]"	0	
25	old mixed trial fine sand grass location green grow sandy	2.4	1.8	2.8	3	'trial' 'fine' 'location'	1	"[(""'sand'"", ""'sandy'"")]"	0	
26	regime different growth maize nitrogen uptake potato winter fertilization wheat	2.6	2.0	3.0	2	'different' 'winter'	1	"[(""'maize'"", ""'potato'"")]"	0	
27	irrigation reduce leach source application fertilizer risk pesticide contamination drip	3.0	2.0	3.0	0		1	"[(""'application'"", ""'drip'"")]"	0	
28	oxide emission methane ghg fertilization phosphorus ammonia greenhouse n₂o co₂	3.0	1.8	3.0	2	'fertilization' 'phosphorus'	2	"[(""'oxide'"", ""'n₂o'""), (""'emission'"", ""'co₂'"")]"	0	
29	lowland upland cultivation variety rice aerobic hybrid seeded sri flood	3.0	2.0	3.0	1	'seeded'	1	"[(""'variety'"", ""'hybrid'"")]"	0	
30	plan action transfer local program stakeholder knowledge science problem management	3.0	2.2	3.0	0		1	"[(""'plan'"", ""'action'"")]"	0	
31	relative plant stress growth reduction uptake leaf biomass activity photosynthetic	3.0	2.0	3.0	0		1	"[(""'plant'"", ""'biomass'"")]"	0	
32	exposure health risk human vegetable contaminate contamination cancer heavy safety	3.0	1.8	3.0	0		1	"[(""'contaminate'"", ""'contamination'"")]"	0	
33	irrigation zone wet water dry depth season deep deficit root	3.0	1.8	3.0	2	'deficit' 'root'	2	"[(""'dry'"", ""'wet'""), (""'deep'"", ""'depth'"")]"	0	
34	deep transport table drainage recharge leach nitrate drain shallow no₃	2.6	2.0	2.6	1	'shallow'	2	"[(""'drainage'"", ""'drain'""), (""'no₃'"", ""'nitrate'"")]"	0	
35	level foliar decrease activity increase concentration low leave salinity application	2.4	2.2	3.0	1	'leave'	2	"[(""'decrease'"", ""'increase'""), (""'low'"", ""'increase'"")]"	0	
36	wet summer end dry season rainy normal year monsoon rain	3.0	2.0	3.0	2	'normal' 'year'	3	"[(""'wet'"", ""'rain'""), (""'rain'"", ""'rainy'""), (""'season'"", ""'year'"")]"	0	
37	feddan clm hunan blackgram nmol soyabean prb cobs pfp lrwc	1.6	2.2	2.0	2	'pfp' 'lrwc'	6	"[(""'hunan'"", ""'hunan'""), (""'blackgram'"", ""'blackgram'""), (""'soyabean'"", ""'soyabean'""), (""'prb'"", ""'prb'""), (""'pfp'"", ""'pfp'""), (""'lrwc'"", ""'"")]"	4	'clm' 'pfp' 'lrwc' 'nmol'
38	band vegetation index spectral correlation ndvi red standard edge regression	3.0	2.2	3.0	1	'regression'	2	"[(""'ndvi'"", ""'index'""), (""'red'"", ""'vegetation'"")]"	0	
39	rotation residue corn winter maize soybean barley conventional cropping cover	3.0	2.2	3.0	2	'rotation' 'conventional'	1	"[(""'maize'"", ""'corn'"")]"	0	
40	compound cell extract activity metabolite acid expression bacteria gene pathway	3.0	2.0	3.0	0		1	"[(""'metabolite'"", ""'acid'"")]"	0	
41	sugar soluble phosphorus total potassium solid protein content carbon correlate	2.6	2.2	3.0	2	'total' 'correlate'	3	"[(""'soluble'"", ""'solid'""), (""'total'"", ""'content'""), (""'carbon'"", ""'protein'"")]"	0	
42	component principal type cluster analysis correlation dominant group variable pattern	3.0	1.8	3.0	1	'dominant'	3	"[(""'component'"", ""'type'""), (""'principal'"", ""'dominant'""), (""'cluster'"", ""'group'"")]"	0	
43	zone root uptake shoot plant growth tomato density rot length	2.8	2.2	3.0	2	'rot' 'length'	1	"[(""'shoot'"", ""'plant'"")]"	0	
44	heat flux thermal radiation air measurement chamber solar wind evaporation	3.0	2.2	3.0	2	'wind' 'evaporation'	1	"[(""'heat'"", ""'thermal'"")]"	0	
45	record wue high return low maximum respectively net yield mm	2.4	1.8	2.2	2	'wue' 'mm'	2	"[(""'high'"", ""'low'""), (""'maximum'"", ""'yield'"")]"	2	'wue' 'mm'
46	summer temperature winter reduction decline precipitation scenario early rainfall late	3.0	1.8	3.0	2	'early' 'late'	2	"[(""'summer'"", ""'winter'""), (""'temperature'"", ""'precipitation'"")]"	0	
47	variable time function pressure point sensitivity test infiltration equation flow	3.0	2.0	3.0	3	'sensitivity' 'test' 'infiltration'	2	"[(""'pressure'"", ""'point'""), (""'function'"", ""'equation'"")]"	0	
48	spring line tolerant hybrid late early sorghum variety program durum	2.0	2.2	3.0	1	'program'	2	"[(""'spring'"", ""'early'""), (""'late'"", ""'early'"")]"	0	
49	square mean length range coefficient diameter depth zone volume error	2.4	2.0	3.0	1	'error'	2	"[(""'diameter'"", ""'length'""), (""'volume'"", ""'depth'"")]"	0	
50	clm prb nts hunan nmol blackgram feddan ctw sst soyabean	1.2	1.8	2.0	2	'ctw' 'sst'	1	"[(""'nmol'"", ""'nts'"")]"	6	'clm' 'prb' 'nts' 'nmol' 'ctw' 'sst'
51	detect count bacterial coli bacteria prevalence pathogen spp isolate detection	3.0	2.0	3.0	0		2	"[(""'bacterial'"", ""'bacteria'""), (""'detect'"", ""'detection'"")]"	0	
52	electron photosynthetic transpiration co₂ net reduction stomatal conductance light quantum	3.0	2.0	3.0	2	'net' 'quantum'	1	"[(""'co₂'"", ""'carbon dioxide'"")]"	0	
53	water saline irrigate different irrigation deficit grow capacity regime control	3.0	1.8	3.0	2	'different' 'control'	1	"[(""'saline'"", ""'irrigation'"")]"	0	
54	year harvest fertilizer fruit manure number application apply fertilization yield	3.0	1.8	3.0	2	'number' 'apply'	1	"[(""'fertilizer'"", ""'manure'"")]"	0	
55	effluent removal industrial sewage treat reuse municipal waste wastewater pollutant	3.0	1.8	3.0	0		1	"[(""'waste'"", ""'wastewater'"")]"	0	
56	zone area east district waterlogging shallow province salinization suitable command	2.2	2.0	3.0	2	'suitable' 'command'	1	"[(""'zone'"", ""'area'"")]"	1	'command'
57	limit exceed standard arsenic heavy sample no₃ guideline dissolve range	2.6	2.0	3.0	1	'no₃'	2	"[(""'limit'"", ""'exceed'""), (""'standard'"", ""'guideline'"")]"	1	'no₃'
58	species native fish landscape diversity specie bird abundance forest habitat	3.0	2.0	3.0	0		1	"[(""'species'"", ""'specie'"")]"	1	'specie'
59	percentage ratio sar residual sodium salinity permeability suitable adsorption low	3.0	2.0	3.0	1	'suitable'	1	"[(""'percentage'"", ""'ratio'"")]"	0	
