ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	problem mouse drive boot disk switch fix floppy fine instal	3.0	2.0	3.0	2	ˈfaɪn ˈɪnstæl	2	"[(""'drive'"", ""'disk'""), (""'instal'"", ""'fix'"")]"	0	
1	problem boot drive disk apple windows memory mouse help mac	2.4	2.0	3.0	3	'apple' 'windows' 'mac'	1	"[(""'mac'"", ""'apple'"")]"	0	
2	svhs zach jaws itor toasterhead kelseyyrki montage orientiation cdq torkel	2.0	2.0	2.0	4	'itor' 'cdq' 'orientiation' 'torkel'	1	"[(""'svhs'"", ""'itor'"")]"	0	
3	version software graphic available mail public windows user machine gnu	2.0	2.0	3.0	2	ˈmail ˈpublic	1	"[(""'software'"", ""'gnu'"")]"	0	
4	clipper government announcement white house libertarian chip agency federal citizen	2.0	2.0	3.0	1	chip	3	"[(""'white'"", ""'house'""), (""'federal'"", ""'agency'""), (""'government'"", ""'agency'"")]"	0	
5	hello cube password sphere geometry systems newsreader moselem unresolvable differet	1.0	2.0	2.0	5	'hello' 'newsreader' 'moselem' 'unresolvable' 'differet'	1	"[(""'differet'"", ""'different'"")]"	0	
6	israel peace terrorism fbi favor waste kill reporter sexual jewish	2.0	2.0	2.0	0		1	"[(""'sexual'"", ""'jewish'"")]"	0	
7	drug right usage inalienable people amendment free study bear psychology	2.0	2.0	3.0	3	ˈbear ˈstudy ˈpsychology	3	"[(""'drug'"", ""'usage'""), (""'right'"", ""'free'""), (""'people'"", ""'amendment'"")]"	1	drugs
8	kent daily amusing heart promise atheists dating jon ignorance sink	2.0	2.0	3.0	0		1	"[(""'kent'"", ""'daily'"")]"	0	
9	clipper chip key phone cheap algorithm secure voice acceptance serial	2.0	2.0	3.0	2	ˈcheap ˈacceptance	2	"[(""'chip'"", ""'clipper'""), (""'secure'"", ""'key'"")]"	0	
10	announcement white lobby april washington abc bush prize museum schedule	2.0	2.0	3.0	0		1	"[(""'washington'"", ""'white'"")]"	0	
11	problem window windows disk file run screen error mouse fine	2.4	2.0	3.0	1	fine	1	"[(""'window'"", ""'windows'"")]"	0	
12	thank year work people lot need think program thing want	2.0	2.0	3.0	1	thing	1	"[(""'thing'"", ""'program'"")]"	0	
13	price offer pay sale sell speaker stereo deck buy receiver	3.0	1.0	3.0	4	ˈspeaker ˈstereo ˈdeck ˈreceiver	3	"[(""'sell'"", ""'buy'""), (""'price'"", ""'pay'""), (""'stereo'"", ""'speaker'"")]"	0	
14	graphic thank graphics mail format advance appreciate email internet site	3.0	1.0	3.0	3	'thank' 'appreciate' 'advance'	1	"[(""'graphic'"", ""'graphics'"")]"	0	
15	sustain microcontroller heavily zach trumpet asked kelseyyrki torkel jaws newusers	1.0	2.8	2.0	6	'trumpet' 'jaws' 'asked' 'kelseyyrki' 'torkel' 'newusers'	1	"[(""'kelseyyrki'"", ""'torkel'"")]"	1	kelseyyrki:** Appears to be a username or handle
16	like want know think time people window look ask problem	2.0	2.0	3.0	2	window look	2	"[(""'like'"", ""'want'""), (""'think'"", ""'know'"")]"	0	
17	musical zach enjoyable kelseyyrki iteration ulman torkel newusers explicable kck	2.0	2.0	2.0	4	'iteration' 'explicable' 'newusers' 'kck'	1	"[(""'kelseyyrki'"", ""'kck'"")]"	1	kelseyyrki:** Appears to be a username or handle
18	life god bible jesus christ love sin heaven experience feeling	3.0	1.0	3.0	1	experience	1	"[(""'jesus'"", ""'christ'"")]"	0	
19	team game player play hit year fan score compare bad	3.0	2.0	3.0	0		1	"[(""'play'"", ""'game'"")]"	0	
20	law jews jewish citizenship prevail nazis book great case german	2.8	1.0	2.0	3	ˈgreatˈ ˈbookˈ ˈcaseˈ	1	"[(""'jews'"", ""'jewish'"")]"	0	
21	zach descendent kelseyyrki torkel unresolvable explicable newusers reliogious tims kck	1.0	2.0	2.0	4	'newusers' 'reliogious' 'tims' 'kck'	1	"[(""'tims'"", ""'kck'"")]"	0	
22	sale modem offer printer monitor pin brand manual interested floppy	2.0	2.0	3.0	1	ˈpin	1	"[(""'sale'"", ""'offer'"")]"	0	
23	atheists lobbying apologize concentrate keith cruel rude purge percentage zach	2.0	2.0	3.0	0		1	"[(""'keith'"", ""'zach'"")]"	0	
24	windows use drive file application problem driver disk car division	2.0	2.0	3.0	2	ˈkɑːr dɪˈvɪʒən	1	"[(""'drive'"", ""'disk'"")]"	1	car**: While a valid word
25	gun crime ride fbi rate atf self cop violent watch	3.0	2.0	3.0	0		2	"[(""'cop'"", ""'fbi'""), (""'cop'"", ""'atf'"")]"	0	
26	cup sport pen fan prediction red tie thumb toronto captain	2.0	2.0	3.0	0		2	"[(""'red'"", ""'tie'""), (""'captain'"", ""'toronto'"")]"	0	
27	bush temporary crowley zach kelseyyrki torkel newusers kck stoesser achim	1.0	2.4	2.0	5	'kelseyyrki' 'kck' 'stoesser' 'achim' 'newusers'	1	"[(""'kck'"", ""'kelseyyrki'"")]"	0	
28	viewer cica compile animation cview fashion bitmap terminal anybody thanx	2.0	2.0	2.0	0		1	"[(""'cica'"", ""'cview'"")]"	0	
29	msg christianity church science christian human bible question reason god	3.0	1.0	3.0	0		1	"[(""'christianity'"", ""'christian'"")]"	0	
