ID	Topic words
0	job people work president think year program money congress fund
1	san information billion police angeles francisco los california anti york
2	god jesus bible man christian christ love come word believe
3	people morality objective person death think life moral rule murder
4	stuff moon secure think van sun tony michael happy guess
5	article argument jim science quote ethnic context apr posting statement
6	window hope henrik newsreader peace manager tin display want know
7	program unit music server link cross software disk windows use
8	weapon court expansion legal age capital carry use penalty prison
9	win senior idea bank sign reagan think predict way mix
10	people come know tell think happen start leave woman like
11	government attack minority people force use think state civilian law
12	people believe god religion human church mean exist life christian
13	question post answer newsgroup discussion ask read thread new mike
14	jewish black jews wrong search race delete story know land
15	drug use error correct value plant list crack property line
16	sexual sex double know verdict admit child orientation thing think
17	research secretary president committee organization university material center agency national
18	health care pay private canada condition year average good excellent
19	space earth nasa launch energy orbit mission image satellite flight
20	sound fan left like right screw cheer straight spread funny
21	drive hard tape problem supply internal pin disk work power
22	ground service use radio current box wire switch power need
23	use send mail request address list application user message number
24	chip problem help line count appreciate jordan work memory use
25	steve mark brian dos adam picture peter book date respond
26	palestinians terrorism page torture conference camp final press tank atf
27	gay play pick dog wing warrant reserve free govt record
28	clipper phone patient disease treatment security medical announcement need teacher
29	waste eat favor food big blow perry drug kid bob
30	key game bit algorithm use point block time command method
31	card use bit gaza mode mac fast bus machine ibm
32	file nazi available ftp edu site version archive anonymous format
33	price sell cost sale purchase product staff des market order
34	state people law muslim genocide right government population muslims history
35	good look thank want code help reply know like hear
36	theory screen object speech hole problem time josh light herring
37	crime trial law state police people gay criminal guilty case
38	israel greek people jews kill soldier soviet child come dead
39	fbi read report know local datum news philadelphia accurate suspect
40	study trade cover opinion armed brain parent new river hospital
41	car water good like time ride year new engine mile
42	team think game year lose player play good compromise bad
43	president group troop vote press consider proposal package issue option
44	point liberal medium bias bomb goal zionist conservative bush military
45	write book translation original think sense david marriage read know
46	gun koresh homosexual like tax think right defense shoot time
47	army nazis role iran war movement land libertarian british pain
48	turkish max air von oppress yup sexuality ali biz anxiety
49	run driver build color graphic version kent windows doug like
