ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	problem mouse drive boot disk switch fix floppy fine instal	3.0	1.0	3.0	1	'fine'	1	"[(""'disk'"", ""'floppy'"")]"	1	'instal'
1	problem boot drive disk apple windows memory mouse help mac	2.6	1.8	3.0	1	'apple'	2	"[(""'mac'"", ""'windows'""), (""'disk'"", ""'drive'"")]"	2	'boot' 'mac'
2	svhs zach jaws itor toasterhead kelseyyrki montage orientiation cdq torkel	1.0	2.8	2.0	3	'toasterhead' 'torkel' 'cdq'	1	"[(""'svhs'"", ""'montage'"")]"	2	'kelseyyrki' 'orientiation'
3	version software graphic available mail public windows user machine gnu	3.0	1.8	3.0	2	'mail' 'public'	5	"[(""'gnu'"", ""'windows'""), (""'mail'"", ""'public'""), (""'graphic'"", ""'machine'""), (""'version'"", ""'software'""), (""'user'"", ""'available'"")]"	1	'gnu'
4	clipper government announcement white house libertarian chip agency federal citizen	3.0	2.0	3.0	3	'clipper' 'chip' 'white'	1	"[(""'house'"", ""'white'"")]"	1	'clipper'
5	hello cube password sphere geometry systems newsreader moselem unresolvable differet	2.0	2.0	2.0	5	'password' 'newsreader' 'moselem' 'unresolvable' 'differet'	0	[]	3	'moselem' 'unresolvable' 'differet'
6	israel peace terrorism fbi favor waste kill reporter sexual jewish	2.0	2.0	3.0	3	'waste' 'favor' 'sexual'	0	[]	2	'favor' 'waste'
7	drug right usage inalienable people amendment free study bear psychology	2.4	2.0	3.0	3	'bear' 'study' 'psychology'	1	"[(""'right'"", ""'inalienable'"")]"	1	'inalienable'
8	kent daily amusing heart promise atheists dating jon ignorance sink	2.0	2.2	3.0	3	'kent' 'jon' 'sink'	0	[]	1	'jon'
9	clipper chip key phone cheap algorithm secure voice acceptance serial	2.0	2.0	3.0	3	'algorithm' 'acceptance' 'serial'	1	"[(""'key'"", ""'chip'"")]"	2	'clipper' 'chip'
10	announcement white lobby april washington abc bush prize museum schedule	2.0	2.0	3.0	2	'prize' 'schedule'	0	[]	1	'abc'
11	problem window windows disk file run screen error mouse fine	2.4	1.8	3.0	4	'problem' 'error' 'fine' 'run'	1	"[(""'window'"", ""'windows'"")]"	1	'fine'
12	thank year work people lot need think program thing want	2.0	2.0	3.0	1	'program'	1	"[(""'need'"", ""'want'"")]"	1	'lot'
13	price offer pay sale sell speaker stereo deck buy receiver	3.0	1.0	3.0	4	'speaker' 'stereo' 'deck' 'receiver'	3	"[(""'buy'"", ""'sell'""), (""'stereo'"", ""'receiver'""), (""'deck'"", ""'stereo'"")]"	1	'deck'
14	graphic thank graphics mail format advance appreciate email internet site	3.0	1.0	3.0	2	'thank' 'appreciate'	1	"[(""'email'"", ""'mail'"")]"	2	'thank' 'appreciate'
15	sustain microcontroller heavily zach trumpet asked kelseyyrki torkel jaws newusers	1.0	3.0	2.0	3	'zach' 'kelseyyrki' 'torkel'	0	[]	2	'kelseyyrki' 'torkel'
16	like want know think time people window look ask problem	2.0	2.0	3.0	1	'window'	1	"[(""'know'"", ""'think'"")]"	1	'window'
17	musical zach enjoyable kelseyyrki iteration ulman torkel newusers explicable kck	1.0	2.8	2.0	2	'kck' 'newusers'	1	"[(""'kelseyyrki'"", ""'kck'"")]"	4	'kelseyyrki' 'kck' 'torkel' 'ulman'
18	life god bible jesus christ love sin heaven experience feeling	3.0	1.0	3.0	0		2	"[(""'god'"", ""'jesus'""), (""'jesus'"", ""'christ'"")]"	0	
19	team game player play hit year fan score compare bad	3.0	1.6	3.0	2	'compare' 'bad'	3	"[(""'play'"", ""'player'""), (""'game'"", ""'play'""), (""'play'"", ""'hit'"")]"	1	'bad'
20	law jews jewish citizenship prevail nazis book great case german	3.0	1.2	3.0	2	'book' 'great'	1	"[(""'jews'"", ""'jewish'"")]"	1	'prevail'
21	zach descendent kelseyyrki torkel unresolvable explicable newusers reliogious tims kck	1.0	2.6	2.0	3	'newusers' 'kck' 'kelseyyrki'	1	"[(""'kelseyyrki'"", ""'kck'"")]"	3	'kelseyyrki' 'reliogious' 'kck'
22	sale modem offer printer monitor pin brand manual interested floppy	2.0	1.6	3.0	1	'pin'	0	[]	1	'pin'
23	atheists lobbying apologize concentrate keith cruel rude purge percentage zach	2.0	3.0	3.0	4	'concentrate' 'percentage' 'keith' 'zach'	0	[]	2	'keith' 'zach'
24	windows use drive file application problem driver disk car division	2.0	1.2	3.0	2	'car' 'division'	1	"[(""'disk'"", ""'drive'"")]"	3	'use' 'car' 'division'
25	gun crime ride fbi rate atf self cop violent watch	3.0	1.6	3.0	3	'self' 'ride' 'watch'	2	"[(""'atf'"", ""'fbi'""), (""'cop'"", ""'fbi'"")]"	1	'atf'
26	cup sport pen fan prediction red tie thumb toronto captain	2.0	2.0	3.0	2	'pen' 'red'	0	[]	1	'toronto'
27	bush temporary crowley zach kelseyyrki torkel newusers kck stoesser achim	1.0	3.0	2.0	2	'newusers' 'kck'	2	"[(""'kelseyyrki'"", ""'kck'""), (""'crowley'"", ""'achim'"")]"	4	'kelseyyrki' 'kck' 'stoesser' 'achim'
28	viewer cica compile animation cview fashion bitmap terminal anybody thanx	2.0	2.0	2.0	4	'fashion' 'cica' 'thanx' 'anybody'	2	"[(""'cview'"", ""'viewer'""), (""'cica'"", ""'anybody'"")]"	3	'cica' 'cview' 'thanx'
29	msg christianity church science christian human bible question reason god	3.0	1.0	3.0	4	'science' 'human' 'question' 'reason'	1	"[(""'christian'"", ""'christianity'"")]"	1	'msg'
30	information san law francisco religion include police allege believe new	2.0	2.0	3.0	3	'new' 'believe' 'include'	1	"[(""'san'"", ""'francisco'"")]"	1	'san'
31	anybodys zach likeps radious kelseyyrki differet indecision seldes kubota explicable	1.0	2.0	1.8	4	'kubota' 'explicable' 'zach' 'radious'	1	"[(""'kelseyyrki'"", ""'kubota'"")]"	6	'anybodys' 'likeps' 'radious' 'kelseyyrki' 'differet' 'seldes'
32	mail key use email datum send faq sci information directory	3.0	1.0	3.0	4	'sci' 'key' 'faq' 'directory'	1	"[(""'mail'"", ""'email'"")]"	2	'sci' 'datum'
33	bible christ heaven christians sin teach prayer christian verse promise	3.0	1.0	3.0	3	'sin' 'teach' 'prayer'	2	"[(""'christ'"", ""'christian'""), (""'christians'"", ""'christian'"")]"	2	'christians' 'christian'
34	scsi fast drive monitor mode card mac buy port board	3.0	1.8	3.0	3	'mac' 'buy' 'monitor'	2	"[(""'scsi'"", ""'card'""), (""'mac'"", ""'board'"")]"	0	
35	cica indiana zip anybody utility wallpaper ini download adobe newsreader	2.0	2.2	3.0	2	'cica' 'ini'	1	"[(""'ini'"", ""'indiana'"")]"	1	'ini'
