ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	air trade wave spring ron pool hmmm fairly hot receiver	1.0	3.0	2.0	2	'ron' 'hmmm'	0	[]	4	'hmmm' 'fairly' 'receiver' 'ron'
1	john usa lead baltimore americans good join like cup red	2.0	3.0	3.0	2	'red' 'cup'	1	"[(""'usa'"", ""'americans'"")]"	0	
2	king dos master speak illegal bear world family stand library	1.0	3.0	3.0	2	'dos' 'illegal'	0	[]	2	'dos' 'illegal'
3	person life rule death kill murder people blame independence liberty	2.0	2.0	3.0	3	'rule' 'kill' 'murder'	1	"[(""'person'"", ""'people'"")]"	3	'rule' 'kill' 'murder'
4	think know maybe regard like ask yes people friend good	2.0	2.8	3.0	6	think know maybe regard like yes	0	[]	0	
5	argument quote evidence conclusion true statement logic false imply explain	3.0	2.2	3.0	2	true false	1	"[(""'true'"", ""'false'"")]"	0	
6	window manager application view basically use button review root windows	3.0	2.0	3.0	2	'basically' 'root'	1	"[(""'window'"", ""'windows'"")]"	5	'basically' 'use' 'button' 'review' 'root'
7	unit error cross link brad disk serial byte run generate	1.8	3.0	3.0	3	'brad' 'run' 'generate'	0	[]	5	'brad' 'serial' 'byte' 'run' 'generate'
8	limit use restrict prison multi necessarily probably multiple question know	1.6	2.0	3.0	2	'prison' 'know'	0	[]	0	
9	win bank joke wide mix tell contract laugh yes bit	1.0	3.0	3.0	10	'win' 'bank' 'joke' 'wide' 'mix' 'tell' 'contract' 'laugh' 'yes' 'bit'	0	[]	0	
10	canada btw canadian beat channel joe offense like seriously north	2.0	2.0	3.0	5	'btw' 'beat' 'joe' 'like' 'seriously'	0	[]	3	'btw' 'offense' 'seriously'
11	science blood theory marry strength certain think trace point fantasy	1.0	3.0	3.0	2	'marry' 'fantasy'	0	[]	2	'marry' 'fantasy'
12	president drug congress health history job people world american believe	2.2	2.0	3.0	2	'drug' 'believe'	0	[]	0	
