ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	indecision tin telematic newsreader spang newusers plaform achim withkzip calpoly	1.0	2.2	2.0	3	'withkzip' 'calpoly' 'spang'	1	"[(""'telematic'"", ""'newsreader'"")]"	3	'telematic' 'withkzip' 'calpoly'
1	spang withkzip makega dirtym dosgl newusers achim calpoly kck dempsey	1.2	2.4	1.6	3	'spang' 'dosgl' 'dempsey'	0	[]	6	'withkzip' 'makega' 'dirtym' 'dosgl' 'kck' 'dempsey'
2	florida column minnesota superior bay desire spang withkzip toronto makega	1.0	2.0	2.0	4	'desire' 'spang' 'withkzip' 'makega'	0	[]	2	'withkzip' 'makega'
3	display windows graphic version file video run window manager color	2.8	1.8	3.0	1	'run'	1	"[(""'windows'"", ""'window'"")]"	0	
4	point year good game play team player goal run net	3.0	1.8	3.0	2	'net' 'good'	3	"[(""'game'"", ""'play'""), (""'team'"", ""'player'""), (""'goal'"", ""'net'"")]"	0	
5	max mov main int byte aoj image win allocation offset	2.2	2.2	2.4	2	'aoj' 'win'	2	"[(""'mov'"", ""'main'""), (""'allocation'"", ""'offset'"")]"	0	
6	think believe reason exist way question god mean thing human	3.0	2.0	3.0	0		2	"[(""'think'"", ""'reason'""), (""'believe'"", ""'think'"")]"	0	
7	game team play toronto trade cup chicago lose series montreal	3.0	2.0	3.0	1	'cup'	8	"[(""'team'"", ""'team'""), (""'play'"", ""'play'""), (""'toronto'"", ""'toronto'""), (""'trade'"", ""'trade'""), (""'cup'"", ""'cup'""), (""'chicago'"", ""'chicago'""), (""'lose'"", ""'lose'""), (""'series'"", ""'series"")]"	0	
8	keith enclose backing kent blow atheists mathew jon definitely cco	1.2	2.2	2.0	3	'mathew' 'jon' 'cco'	3	"[(""'keith'"", ""'mathew'""), (""'mathew'"", ""'keith'""), (""'jon'"", ""'jon'"")]"	1	'cco'
9	people want work think talk year program know new kind	2.6	2.2	3.0	0		1	"[(""'work'"", ""'program'"")]"	0	
10	msg sensitivity taste russell nye clinic reaction wish patently eau	1.8	2.0	2.2	1	'eau'	1	"[(""'taste'"", ""'sensitivity'"")]"	1	'eau'
11	thank advance anybody hello appreciate info recommend email greatly interested	2.8	2.0	3.0	0		1	"[(""'thank'"", ""'appreciate'"")]"	0	
12	window display application file openwindow set color manager lib icon	3.0	2.0	2.6	2	'set' 'lib'	2	"[(""'openwindow'"", ""'window'""), (""'file'"", ""'manager'"")]"	1	'openwindow'
