ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	concentration control nutrient solution weed germination herbicide nacl spray foliar	2.8	2.0	3.0	0		2	"[(""'nutrient'"", ""'solution'""), (""'spray'"", ""'foliar'"")]"	0	
1	area source variability runoff district sediment cultivate expansion cropland width	3.0	2.2	3.0	1	'width'	2	"[(""'runoff'"", ""'sediment'""), (""'cropland'"", ""'cultivate'"")]"	0	
2	irrigate wastewater treat effluent reuse sewage freshwater industrial reclaimed municipal	3.0	2.0	3.0	1	'freshwater'	2	"[(""'wastewater'"", ""'sewage'""), (""'freshwater'"", ""'reclaimed'"")]"	0	
3	land food risk vegetable metal country human health heavy contamination	2.4	2.0	3.0	2	'metal' 'heavy'	1	"[(""'country'"", ""'land'"")]"	0	
4	root dry leaf fruit number weight leave matter shoot stem	3.0	1.4	2.8	2	'number' 'weight'	2	"[(""'root'"", ""'stem'""), (""'leave'"", ""'leave'"")]"	2	'leave' 'shoot'
5	site variation maximum relationship daily seasonal indicator age cucumber eto	2.0	2.6	2.8	1	'cucumber'	0	[]	0	
6	stress content activity sugar moderate chlorophyll soluble approximately antioxidant enzyme	2.2	2.4	3.0	0		1	"[(""'activity'"", ""'activity'"")]"	1	'chlorophyll'
7	different analysis sample test component group sensitivity extraction cluster sampling	2.8	2.2	3.0	0		2	"[(""'sample'"", ""'sampling'""), (""'test'"", ""'analysis'"")]"	0	
8	water efficiency resource wue consumption depletion footprint right iwue allocate	3.0	2.0	3.0	2	'right' 'allocate'	1	"[(""'wue'"", ""'iwue'"")]"	1	'iwue'
9	soil depth organic moisture layer profile conductivity infiltration fraction soc	3.0	2.4	3.0	2	'fraction' 'soc'	2	"[(""'depth'"", ""'layer'""), (""'organic'"", ""'soc'"")]"	0	
10	level non irrigated pattern cycle volume mass normal flush greece	2.0	2.2	2.6	1	'greece'	2	"[(""'level'"", ""'mass'""), (""'non'"", ""'normal'"")]"	2	'non' 'greece'
11	production region arid problem suitable climatic dryland hot salinization humid	2.8	2.0	3.0	2	'suitable' 'humid'	2	"[(""'dryland'"", ""'arid'""), (""'humid'"", ""'arid'"")]"	0	
12	zone clay sandy loam sub sand lysimeter fine mixed kg⁻¹	3.0	1.6	2.2	1	'kg⁻¹'	1	"[(""'sand'"", ""'sandy'"")]"	1	'kg⁻¹'
13	respectively regime ha⁻¹ ecosystem saving gain mid million hectare ton	2.4	2.0	2.2	2	'respectively' 'mid'	2	"[(""'million'"", ""'ton'""), (""'ha⁻¹'"", ""'hectare'"")]"	1	'ha⁻¹'
14	ratio benefit storage return operation sugarcane power pump generation punjab	2.8	2.2	3.0	1	'punjab'	1	"[(""'power'"", ""'generation'"")]"	0	
15	rate net structure transpiration hydraulic stomatal transport conductance photosynthetic regulation	3.0	1.6	3.0	0		2	"[(""'rate'"", ""'transport'""), (""'conductance'"", ""'transport'"")]"	0	
16	high low salinity record evaporation alfalfa class mixture turfgrass white	2.0	2.0	3.0	2	'class' 'white'	2	"[(""'high'"", ""'low'""), (""'salinity'"", ""'mixture'"")]"	0	
17	irrigation surface drip drainage saline canal deep subsurface shallow table	3.0	1.6	3.0	1	'table'	1	"[(""'surface'"", ""'shallow'"")]"	0	
18	average type biomass cover annual potato event fish pond movement	2.0	2.0	3.0	2	'event' 'movement'	4	"[(""'biomass'"", ""'cover'""), (""'annual'"", ""'event'""), (""'potato'"", ""'fish'""), (""'pond'"", ""'movement'"")]"	0	
19	increase decrease population decline habitat california stock incorporation agroecosystem fixation	2.0	2.0	3.0	2	'incorporation' 'stock'	2	"[(""'increase'"", ""'decline'""), (""'population'"", ""'stock'"")]"	0	
20	quality loss information ground form suitability vineyard county fuel century	2.0	2.2	3.0	2	'fuel' 'century'	1	"[(""'quality'"", ""'quality'"")]"	0	
21	seed cotton planting date furrow mulch row interval fertigation week	3.0	2.2	3.0	1	'week'	1	"[(""'date'"", ""'week'"")]"	0	
22	application apply fertilizer plot design manure recommend mineral release block	3.0	1.8	3.0	2	'block' 'release'	1	"[(""'application'"", ""'apply'"")]"	0	
23	crop research rainfall requirement winter month schedule optimum june supplemental	2.6	2.0	3.0	2	'schedule' 'supplemental'	1	"[(""'crop'"", ""'requirement'"")]"	0	
24	grow season wet tillage summer spring conventional residue end rotation	2.8	2.0	3.0	1	'end'	2	"[(""'season'"", ""'summer'""), (""'season'"", ""'spring'"")]"	0	
25	treatment cultivar acid oil protein sensor extract compound tuber sunflower	2.6	2.4	3.0	1	'sensor'	1	"[(""'protein'"", ""'extract'"")]"	0	
26	reduce project sprinkler pressure single contribution intensity damage place peak	2.6	2.2	3.0	2	'single' 'peak'	2	"[(""'project'"", ""'intensity'""), (""'place'"", ""'peak'"")]"	0	
27	development farm local farming scheme product income household market sector	3.0	2.0	3.0	2	'market' 'sector'	2	"[(""'development'"", ""'farming'""), (""'local'"", ""'farm'"")]"	0	
28	change groundwater climate river flow basin aquifer reservoir lake adaptation	3.0	2.0	3.0	1	'adaptation'	1	"[(""'river'"", ""'basin'"")]"	0	
29	potential time term scale energy available medium receive pot consume	2.4	2.0	3.0	2	'pot' 'receive'	2	"[(""'potential'"", ""'term'""), (""'pot'"", ""'potential'"")]"	1	'pot'
30	agricultural factor landscape wetland watershed tank guideline transformation section shape	3.0	2.0	3.0	3	'transformation' 'section' 'shape'	1	"[(""'factor'"", ""'section'"")]"	0	
31	value estimate range mean measurement coefficient correlation standard equation prediction	3.0	2.0	3.0	2	'equation' 'prediction'	1	"[(""'measurement'"", ""'estimate'"")]"	0	
32	drought environment salt variety genotype tolerance trait line resistance hybrid	3.0	2.0	3.0	3	'variety' 'line' 'hybrid'	1	"[(""'tolerance'"", ""'resistance'"")]"	0	
33	temperature period relative precipitation canopy trend flux weather air heat	3.0	2.0	3.0	0		1	"[(""'temperature'"", ""'heat'"")]"	0	
34	produce community disease detect microbial removal diversity bacteria lettuce pathogen	3.0	2.0	3.0	1	'lettuce'	2	"[(""'produce'"", ""'lettuce'""), (""'disease'"", ""'pathogen'"")]"	0	
35	method variable size location set state forest like particle plantation	2.0	2.0	3.0	1	'like'	5	"[(""'size'"", ""'size'""), (""'location'"", ""'location'""), (""'forest'"", ""'forest'""), (""'like'"", ""'like'""), (""'plantation'"", ""'plantation'"")]"	0	
36	base datum index difference evapotranspiration spatial green vegetation network regression	2.6	2.4	3.0	2	'regression' 'base'	1	"[(""'base'"", ""'datum'"")]"	0	
37	great parameter reduction distribution cost relate discharge waste initial catchment	2.6	2.2	3.0	1	'initial'	1	"[(""'initial'"", ""'parameter'"")]"	0	
38	management farmer practice technology corn soybean conservation adoption bean knowledge	3.0	2.0	3.0	0		1	"[(""'corn'"", ""'soybean'"")]"	0	
39	growth deficit stage harvest early late vegetative flowering pre post	3.0	1.8	3.0	3	'deficit' 'pre' 'post'	1	"[(""'pre'"", ""'post'"")]"	0	
40	density capacity reach forage rain feed retention erosion behavior proportion	2.4	2.2	3.0	2	'behavior' 'proportion'	3	"[(""'capacity'"", ""'reach'""), (""'rain'"", ""'erosion'""), (""'behavior'"", ""'reach'"")]"	0	
41	year specie grass hydrological head slope legume grassland native perennial	3.0	1.8	2.8	2	'hydrological' 'head'	1	"[(""'grass'"", ""'grassland'"")]"	1	'specie'
42	field emission carbon greenhouse flood global paddy degree co₂ province	3.0	2.0	3.0	2	'paddy' 'province'	1	"[(""'carbon'"", ""'co₂'"")]"	0	
43	rice maize cropping cultivation rainfed lowland upland fallow cereal aerobic	3.0	2.0	3.0	1	'aerobic'	1	"[(""'cropping'"", ""'cultivation'"")]"	0	
44	plant uptake substrate tissue pepper symptom host strawberry micronutrient translocation	2.8	2.0	3.0	2	'symptom' 'host'	1	"[(""'plant'"", ""'host'"")]"	0	
45	day input tomato limit percent recovery vine culture open output	2.0	2.4	3.0	2	'input' 'output'	1	"[(""'input'"", ""'output'"")]"	0	
46	total nitrogen process chemical fertilization nitrate leach phosphorus sodium point	3.0	2.2	3.0	2	'point' 'sodium'	2	"[(""'nitrogen'"", ""'nitrate'""), (""'point'"", ""'process'"")]"	0	
47	yield grain wheat sorghum correlate unit percentage straw barley gap	3.0	2.0	3.0	3	'unit' 'percentage' 'gap'	4	"[(""'yield'"", ""'unit'""), (""'grain'"", ""'wheat'""), (""'grain'"", ""'sorghum'""), (""'grain'"", ""'barley'"")]"	0	
48	tree seedling orchard olive frequency old rootstock apple mature citrus	3.0	1.8	3.0	1	'frequency'	3	"[(""'seedling'"", ""'tree'""), (""'old'"", ""'mature'""), (""'apple'"", ""'fruit'"")]"	0	
49	model supply demand simulation scenario policy decision function optimal regional	3.0	2.0	3.0	0		1	"[(""'model'"", ""'simulation'"")]"	0	
