ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	job people work president think year program money congress fund	2.4	2.0	3.0	2	think year	3	"[(""'job'"", ""'work'""), (""'president'"", ""'year'""), (""'program'"", ""'fund'"")]"	0	
1	san information billion police angeles francisco los california anti york	2.0	2.0	2.0	2	'anti' 'york'	3	"[(""'los'"", ""'angeles'""), (""'los'"", ""'california'""), (""'york'"", ""'new york'"")]"	3	'angeles' 'francisco' 'york'
2	god jesus bible man christian christ love come word believe	3.0	1.4	3.0	0		5	"[(""'god'"", ""'jesus'""), (""'jesus'"", ""'christ'""), (""'bible'"", ""'word'""), (""'bible'"", ""'come'""), (""'christian'"", ""'christ'"")]"	1	'man' - While common
3	people morality objective person death think life moral rule murder	3.0	2.0	3.0	2	think life	2	"[(""'people'"", ""'person'""), (""'morality'"", ""'moral'"")]"	0	
4	stuff moon secure think van sun tony michael happy guess	2.0	2.0	2.0	2	'think' 'guess'	1	"[(""'tony'"", ""'michael'"")]"	0	
5	article argument jim science quote ethnic context apr posting statement	2.0	2.0	3.0	2	jim apr	2	"[(""'article'"", ""'posting'""), (""'jim'"", ""'statement'"")]"	0	
6	window hope henrik newsreader peace manager tin display want know	2.0	2.0	3.0	0		2	"[(""'henrik'"", ""'newsreader'""), (""'window'"", ""'display'"")]"	0	
7	program unit music server link cross software disk windows use	2.0	2.0	3.0	2	'music' 'use'	3	"[(""'program'"", ""'software'""), (""'program'"", ""'unit'""), (""'server'"", ""'windows'"")]"	0	
8	weapon court expansion legal age capital carry use penalty prison	2.0	2.0	3.0	2	'age' 'carry'	4	"[(""'weapon'"", ""'penalty'""), (""'weapon'"", ""'prison'""), (""'court'"", ""'legal'""), (""'capital'"", ""'prison'"")]"	0	
9	win senior idea bank sign reagan think predict way mix	2.0	2.0	3.0	2	'reagan' 'way'	2	"[(""'reagan'"", ""'think'""), (""'bank'"", ""'way'"")]"	0	
10	people come know tell think happen start leave woman like	2.0	2.0	3.0	2	'woman' 'like'	1	"[(""'people'"", ""'woman'"")]"	0	
11	government attack minority people force use think state civilian law	2.0	2.0	3.0	1	think	2	"[(""'government'"", ""'state'""), (""'law'"", ""'state'"")]"	0	
12	people believe god religion human church mean exist life christian	3.0	2.0	3.0	0		2	"[(""'god'"", ""'christian'""), (""'religion'"", ""'church'"")]"	0	
13	question post answer newsgroup discussion ask read thread new mike	3.0	2.0	3.0	1	mike	4	"[(""'question'"", ""'ask'""), (""'post'"", ""'answer'""), (""'post'"", ""'thread'""), (""'newsgroup'"", ""'discussion'"")]"	1	'mike'
