ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	job people work president think year program money congress fund	2.2	2.2	3.0	2	'think' 'year'	2	"[(""'job'"", ""'work'""), (""'fund'"", ""'money'"")]"	0	
1	san information billion police angeles francisco los california anti york	2.0	3.0	3.0	2	'billion' 'anti'	2	"[(""'san'"", ""'francisco'""), (""'los'"", ""'angeles'"")]"	0	
2	god jesus bible man christian christ love come word believe	3.0	2.0	3.0	3	'man' 'come' 'believe'	3	"[(""'god'"", ""'christ'""), (""'jesus'"", ""'christ'""), (""'bible'"", ""'word'"")]"	0	
3	people morality objective person death think life moral rule murder	3.0	2.0	3.0	2	'objective' 'rule'	2	"[(""'people'"", ""'person'""), (""'morality'"", ""'moral'"")]"	0	
4	stuff moon secure think van sun tony michael happy guess	1.0	3.0	3.0	5	'van' 'tony' 'michael' 'secure' 'guess'	1	"[(""'think'"", ""'guess'"")]"	0	
5	article argument jim science quote ethnic context apr posting statement	2.0	3.0	3.0	3	'jim' 'apr' 'posting'	2	"[(""'article'"", ""'posting'""), (""'argument'"", ""'statement'"")]"	0	
6	window hope henrik newsreader peace manager tin display want know	1.0	3.0	3.0	4	'henrik' 'newsreader' 'tin' 'display'	2	"[(""'window'"", ""'display'""), (""'want'"", ""'know'"")]"	0	
7	program unit music server link cross software disk windows use	2.0	2.6	3.0	2	'music' 'cross'	2	"[(""'program'"", ""'software'""), (""'disk'"", ""'server'"")]"	0	
8	weapon court expansion legal age capital carry use penalty prison	2.6	2.2	3.0	2	'expansion' 'age'	3	"[(""'weapon'"", ""'carry'""), (""'court'"", ""'legal'""), (""'penalty'"", ""'prison'"")]"	0	
9	win senior idea bank sign reagan think predict way mix	1.2	3.0	3.0	2	'mix' 'bank'	8	"[(""'win'"", ""'win'""), (""'senior'"", ""'senior'""), (""'idea'"", ""'idea'""), (""'bank'"", ""'bank'""), (""'sign'"", ""'sign'""), (""'reagan'"", ""'reagan'""), (""'think'"", ""'think'""), (""'predict'"", ""'"")]"	0	
10	people come know tell think happen start leave woman like	2.0	2.2	3.0	3	'happen' 'start' 'leave'	1	"[(""'people'"", ""'woman'"")]"	0	
11	government attack minority people force use think state civilian law	2.2	2.2	3.0	2	'think' 'use'	2	"[(""'government'"", ""'state'""), (""'people'"", ""'civilian'"")]"	0	
12	people believe god religion human church mean exist life christian	3.0	2.0	3.0	2	'mean' 'exist'	3	"[(""'god'"", ""'god'""), (""'church'"", ""'church'""), (""'christian'"", ""'christian'"")]"	0	
13	question post answer newsgroup discussion ask read thread new mike	3.0	2.0	3.0	1	'mike'	2	"[(""'question'"", ""'ask'""), (""'post'"", ""'thread'"")]"	0	
14	jewish black jews wrong search race delete story know land	2.0	2.0	2.6	5	'wrong' 'search' 'delete' 'story' 'know'	1	"[(""'jewish'"", ""'jews'"")]"	0	
15	drug use error correct value plant list crack property line	1.0	2.8	3.0	4	'value' 'list' 'property' 'line'	1	"[(""'drug'"", ""'crack'"")]"	1	'crack'
16	sexual sex double know verdict admit child orientation thing think	2.0	2.0	2.6	5	'double' 'verdict' 'admit' 'thing' 'think'	2	"[(""'sexual'"", ""'sex'""), (""'think'"", ""'think'"")]"	0	
17	research secretary president committee organization university material center agency national	2.0	3.0	3.0	2	'secretary' 'material'	2	"[(""'university'"", ""'center'""), (""'national'"", ""'agency'"")]"	0	
18	health care pay private canada condition year average good excellent	2.4	2.8	3.0	4	'year' 'average' 'good' 'excellent'	1	"[(""'good'"", ""'excellent'"")]"	0	
19	space earth nasa launch energy orbit mission image satellite flight	3.0	2.0	3.0	2	'energy' 'image'	2	"[(""'launch'"", ""'flight'""), (""'image'"", ""'satellite'"")]"	0	
20	sound fan left like right screw cheer straight spread funny	1.0	3.0	3.0	2	'cheer' 'funny'	1	"[(""'left'"", ""'right'"")]"	0	
21	drive hard tape problem supply internal pin disk work power	2.0	2.8	3.0	4	'tape' 'supply' 'internal' 'pin'	2	"[(""'drive'"", ""'disk'""), (""'power'"", ""'work'"")]"	0	
22	ground service use radio current box wire switch power need	2.0	2.6	3.0	2	'radio' 'box'	8	"[(""'switch'"", ""'switch'""), (""'power'"", ""'power'""), (""'ground'"", ""'ground'""), (""'service'"", ""'service'""), (""'use'"", ""'use'""), (""'radio'"", ""'radio'""), (""'current'"", ""'current'""), (""'box'"", ""'box'"")]"	0	
23	use send mail request address list application user message number	3.0	2.0	3.0	3	'application' 'user' 'number'	2	"[(""'mail'"", ""'message'""), (""'user'"", ""'user'"")]"	0	
24	chip problem help line count appreciate jordan work memory use	2.0	3.0	3.0	2	'jordan' 'appreciate'	2	"[(""'chip'"", ""'memory'""), (""'work'"", ""'use'"")]"	0	
25	steve mark brian dos adam picture peter book date respond	1.0	3.0	3.0	5	'dos' 'picture' 'book' 'date' 'respond'	4	"[(""'steve'"", ""'mark'""), (""'brian'"", ""'adam'""), (""'picture'"", ""'book'""), (""'date'"", ""'respond'"")]"	1	'dos'
26	palestinians terrorism page torture conference camp final press tank atf	2.0	3.0	3.0	3	'page' 'press' 'atf'	7	"[(""'palestinians'"", ""'palestinians'""), (""'terrorism'"", ""'terrorism'""), (""'page'"", ""'page'""), (""'torture'"", ""'torture'""), (""'conference'"", ""'conference'""), (""'camp'"", ""'camp'""), (""'final'"", ""'"")]"	0	
27	gay play pick dog wing warrant reserve free govt record	1.0	3.0	3.0	3	'play' 'pick' 'wing'	8	"[(""'play'"", ""'play'""), (""'pick'"", ""'pick'""), (""'dog'"", ""'dog'""), (""'wing'"", ""'wing'""), (""'warrant'"", ""'warrant'""), (""'reserve'"", ""'reserve'""), (""'free'"", ""'free'""), (""'govt'"", ""'gov"")]"	0	
28	clipper phone patient disease treatment security medical announcement need teacher	2.0	3.0	3.0	5	'clipper' 'phone' 'security' 'announcement' 'teacher'	2	"[(""'patient'"", ""'medical'""), (""'disease'"", ""'treatment'"")]"	0	
29	waste eat favor food big blow perry drug kid bob	1.0	3.0	3.0	4	'blow' 'perry' 'drug' 'bob'	1	"[(""'eat'"", ""'food'"")]"	0	
30	key game bit algorithm use point block time command method	2.0	2.6	3.0	3	'bit' 'block' 'command'	8	"[(""'key'"", ""'key'""), (""'game'"", ""'game'""), (""'bit'"", ""'bit'""), (""'algorithm'"", ""'algorithm'""), (""'use'"", ""'use'""), (""'point'"", ""'point'""), (""'block'"", ""'block'""), (""'time'"", ""'time'"")]"	0	
31	card use bit gaza mode mac fast bus machine ibm	1.0	3.0	3.0	3	'gaza' 'fast' 'bit'	1	"[(""'mac'"", ""'ibm'"")]"	4	'bit' 'gaza' 'mac' 'ibm'
32	file nazi available ftp edu site version archive anonymous format	2.0	3.0	3.0	3	'nazi' 'edu' 'anonymous'	3	"[(""'file'"", ""'archive'""), (""'ftp'"", ""'site'""), (""'version'"", ""'format'"")]"	0	
33	price sell cost sale purchase product staff des market order	3.0	2.0	3.0	2	'staff' 'des'	3	"[(""'price'"", ""'cost'""), (""'sell'"", ""'sale'""), (""'purchase'"", ""'order'"")]"	1	'des'
34	state people law muslim genocide right government population muslims history	2.2	2.0	3.0	2	'right' 'history'	1	"[(""'muslim'"", ""'muslims'"")]"	0	
35	good look thank want code help reply know like hear	2.0	2.8	3.0	3	'code' 'reply' 'hear'	2	"[(""'thank'"", ""'reply'""), (""'want'"", ""'hear'"")]"	0	
36	theory screen object speech hole problem time josh light herring	1.0	3.0	3.0	2	'josh' 'herring'	1	"[(""'light'"", ""'screen'"")]"	0	
37	crime trial law state police people gay criminal guilty case	3.0	2.0	3.0	2	'people' 'gay'	2	"[(""'crime'"", ""'criminal'""), (""'guilty'"", ""'case'"")]"	0	
38	israel greek people jews kill soldier soviet child come dead	2.0	2.2	3.0	4	'greek' 'soviet' 'child' 'come'	1	"[(""'israel'"", ""'jews'"")]"	0	
39	fbi read report know local datum news philadelphia accurate suspect	2.0	3.0	3.0	2	'datum' 'accurate'	2	"[(""'report'"", ""'news'""), (""'datum'"", ""'accurate'"")]"	0	
40	study trade cover opinion armed brain parent new river hospital	1.0	3.0	3.0	5	'trade' 'cover' 'opinion' 'armed' 'river'	1	"[(""'new'"", ""'new'"")]"	0	
41	car water good like time ride year new engine mile	2.0	2.8	3.0	6	'water' 'good' 'like' 'time' 'new' 'year'	2	"[(""'car'"", ""'ride'""), (""'mile'"", ""'engine'"")]"	0	
42	team think game year lose player play good compromise bad	2.0	2.0	3.0	2	'compromise' 'bad'	2	"[(""'play'"", ""'player'""), (""'good'"", ""'bad'"")]"	0	
43	president group troop vote press consider proposal package issue option	2.2	2.4	3.0	2	'troop' 'package'	1	"[(""'vote'"", ""'consider'"")]"	0	
44	point liberal medium bias bomb goal zionist conservative bush military	2.0	3.0	3.0	2	'medium' 'goal'	1	"[(""'liberal'"", ""'conservative'"")]"	0	
45	write book translation original think sense david marriage read know	2.0	3.0	3.0	2	'david' 'marriage'	2	"[(""'write'"", ""'book'""), (""'read'"", ""'book'"")]"	0	
46	gun koresh homosexual like tax think right defense shoot time	2.0	2.8	3.0	3	'like' 'think' 'time'	2	"[(""'gun'"", ""'shoot'""), (""'right'"", ""'defense'"")]"	0	
47	army nazis role iran war movement land libertarian british pain	2.0	3.0	3.0	2	'libertarian' 'pain'	2	"[(""'army'"", ""'war'""), (""'british'"", ""'army'"")]"	0	
48	turkish max air von oppress yup sexuality ali biz anxiety	1.0	3.0	3.0	4	'max' 'von' 'yup' 'biz'	1	"[(""'yup'"", ""'yup'"")]"	1	'yup'
49	run driver build color graphic version kent windows doug like	1.4	3.0	3.0	3	'kent' 'doug' 'like'	1	"[(""'windows'"", ""'version'"")]"	0	
