ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	gym workout fitness treat fit month healthy drink word smoke	2.2	2.0	3.0	2	'word' 'smoke'	1	"[(""'fitness'"", ""'fit'"")]"	0	
1	dot dick heb laptop competitive chillin bmv nut announcement ironic	1.6	2.2	2.0	1	'ironic'	1	"[(""'dick'"", ""'nut'"")]"	3	'bmv' 'heb' 'nut'
2	food chicken meal chipotle taco gluten recipe mcdonald sandwich restaurant	3.0	2.0	3.0	0		5	"[(""'chicken'"", ""'taco'""), (""'food'"", ""'meal'""), (""'chipotle'"", ""'restaurant'""), (""'mcdonald'"", ""'restaurant'""), (""'sandwich'"", ""'meal'"")]"	1	'mcdonald'
3	loose skinny pretzel skinnyjeansbestfriend loseweight diet cliche weightloss tweak starve	2.8	2.0	2.0	2	'cliche' 'tweak'	2	"[(""'skinny'"", ""'skinnyjeansbestfriend'""), (""'loseweight'"", ""'weightloss'"")]"	1	'skinnyjeansbestfriend'
4	twitter onebluelenz socialmedia follower instagram startup retweet delete code iwantobehip	2.0	2.0	2.4	2	'code' 'iwantobehip'	1	"[(""'twitter'"", ""'instagram'"")]"	2	'onebluelenz' 'iwantobehip'
5	nap wake morning sleeping hibernate makeup habit ijustneedsleep languish dogslife	2.2	2.0	2.0	4	'makeup' 'habit' 'ijustneedsleep' 'dogslife'	3	"[(""'sleeping'"", ""'hibernate'""), (""'morning'"", ""'wake'""), (""'dogslife'"", ""'hibernate'"")]"	2	'ijustneedsleep' 'dogslife'
6	game baseball hockey yankees playoff leagueoflegend cheer state favorite indy	2.2	2.0	2.0	3	'state' 'favorite' 'indy'	1	"[(""'leagueoflegend'"", ""'leagueoflegends'"")]"	2	'leagueoflegend' 'indy'
7	book reading novel publisher challenge picturebook thrones kindle ebooks schedule	3.0	1.8	3.0	1	'schedule'	3	"[(""'book'"", ""'novel'""), (""'picturebook'"", ""'book'""), (""'ebooks'"", ""'book'"")]"	0	
8	thank flawless sexymonday bath shb graduation enjoy beautiful boy job	1.8	2.2	2.0	2	'shb' 'sexymonday'	1	"[(""'beautiful'"", ""'flawless'"")]"	2	'sexymonday' 'shb'
9	pack legging wardrobe warm sneaker underwear sweatpant fashion figfit flatass	2.8	1.8	2.4	1	'flatass'	2	"[(""'legging'"", ""'sweatpant'""), (""'wardrobe'"", ""'figfit'"")]"	2	'figfit' 'flatass'
10	concert soundtrack song cydonia mixtape sing gaga musically duet recordsbeat	2.8	2.2	2.6	2	'cydonia' 'recordsbeat'	3	"[(""'concert'"", ""'song'""), (""'soundtrack'"", ""'song'""), (""'mixtape'"", ""'song'"")]"	1	'recordsbeat'
11	drink alcohol party vodka hangover champagne tequila timetogetserious spending noodle	2.8	1.8	3.0	3	'timetogetserious' 'spending' 'noodle'	1	"[(""'drink'"", ""'alcohol'"")]"	1	'timetogetserious'
12	goals motivation castle realistic level happenings hunters gabe target stage	2.0	2.2	2.8	3	'castle' 'gabe' 'hunters'	1	"[(""'level'"", ""'stage'"")]"	0	
13	god prayer bible faith hillsong john bless fiery hebrews johnathan	3.0	2.0	3.0	2	'johnathan' 'fiery'	3	"[(""'god'"", ""'faith'""), (""'bible'"", ""'john'""), (""'john'"", ""'hebrews'"")]"	0	
14	selfie portrait evar nude introversion jim harbaugh ordinarylife foley disposable	1.0	2.0	2.0	4	'foley' 'disposable' 'jim' 'harbaugh'	1	"[(""'selfie'"", ""'portrait'"")]"	3	'evar' 'ordinarylife' 'foley'
15	bae girlfriend virginity wifey starbswiththegirl marriage maury nikki queen impregnate	2.0	1.8	2.0	3	'starbswiththegirl' 'maury' 'nikki'	2	"[(""'girlfriend'"", ""'wifey'""), (""'queen'"", ""'wifey'"")]"	3	'bae' 'starbswiththegirl' 'impregnate'
16	hair beard haircut skin makeup act effort furry foolsomeofthepeoplesomeofthetime halloween	2.0	2.2	2.0	1	'foolsomeofthepeoplesomeofthetime'	1	"[(""'hair'"", ""'haircut'"")]"	1	'foolsomeofthepeoplesomeofthetime'
17	family parent fingered cityofink sheep childhood nephews oralhistory babysteps unconditional	2.2	2.0	2.2	2	'fingered' 'cityofink'	2	"[(""'family'"", ""'parent'""), (""'childhood'"", ""'nephews'"")]"	2	'fingered' 'cityofink'
18	spend budget debt finance archive rimpoche student account pay nocreditcarddebt	2.8	2.0	2.4	2	'rimpoche' 'archive'	3	"[(""'budget'"", ""'spend'""), (""'account'"", ""'finance'""), (""'debt'"", ""'nocreditcarddebt'"")]"	2	'rimpoche' 'nocreditcarddebt'
19	flight vacation nyc trip coast fun lifeboat newyorkcityrooftop orleans triathlon	2.0	2.0	2.2	2	'lifeboat' 'triathlon'	2	"[(""'nyc'"", ""'newyorkcityrooftop'""), (""'orleans'"", ""'neworleans'"")]"	2	'newyorkcityrooftop' 'orleans'
20	gym workout fierce debate fitfam gymmotivation girlswholift workouthard headphone meathead	2.8	2.0	3.0	2	'debate' 'headphone'	2	"[(""'gym'"", ""'fitfam'""), (""'workout'"", ""'workouthard'"")]"	0	
21	netflix episode film friends movie simpson slate filmisnotdead flatscreen shawshank	2.4	2.0	2.8	2	'slate' 'flatscreen'	1	"[(""'movie'"", ""'film'"")]"	1	'filmisnotdead'
22	meet justin chicago grateful marry valentines singlelife natasha datingadvice grace	2.2	2.4	2.6	1	'grace'	3	"[(""'meet'"", ""'datingadvice'""), (""'marry'"", ""'valentines'""), (""'singlelife'"", ""'datingadvice'"")]"	2	'singlelife' 'datingadvice'
23	eve cosplay pancake jane goddess hailee sysop terminator cosby batwoman	1.2	2.0	2.4	2	'sysop' 'terminator'	5	"[(""'cosplay'"", ""'cosplay'""), (""'hailee'"", ""'hailee'""), (""'terminator'"", ""'terminator'""), (""'cosby'"", ""'cosby'""), (""'batwoman'"", ""'batwoman'"")]"	0	
24	friend friendship needafriend london friende cyrus friendzone fakeness antisocial miley	2.2	1.8	2.0	2	'cyrus' 'miley'	3	"[(""'friend'"", ""'friendship'""), (""'friend'"", ""'friende'""), (""'friendship'"", ""'friende'"")]"	2	'needafriend' 'friende'
25	internship degree graduate job barbie career nurse mba marine prerequisite	2.2	2.0	3.0	2	'barbie' 'marine'	1	"[(""'graduate'"", ""'degree'"")]"	0	
26	bitch boss power badder timb lurk rapper feminist rape racist	1.2	1.8	2.0	0		1	"[(""'power'"", ""'power'"")]"	2	'timb' 'badder'
27	fuck troll perf tucker fuckboi commas license driver mark grind	1.2	2.0	2.0	3	'fuck' 'troll' 'fuckboi'	1	"[(""'fuck'"", ""'fuckboi'"")]"	2	'fuck' 'fuckboi'
28	club smoke cigarettes chimney burn pete mikehardlemonade smokefree retweeet firework	2.0	2.0	2.0	2	'mikehardlemonade' 'retweeet'	3	"[(""'smoke'"", ""'cigarettes'""), (""'smoke'"", ""'smokefree'""), (""'firework'"", ""'burn'"")]"	2	'mikehardlemonade' 'retweeet'
29	social facebook gossip addicted goth instagram popularity participate follobackforfolloback startingto	2.4	2.0	2.0	2	'startingto' 'goth'	1	"[(""'facebook'"", ""'instagram'"")]"	2	'follobackforfolloback' 'startingto'
30	positive negative positivity happiness negativity tolerate pessimistic confrontational despair affirmation	2.2	1.8	3.0	2	'tolerate' 'confrontational'	2	"[(""'positive'"", ""'positivity'""), (""'negative'"", ""'negativity'"")]"	0	
31	liar lovethissong honesty propaganda govenment badly armenian fascist carolina sickofallthehate	2.0	2.0	2.0	2	'carolina' 'sickofallthehate'	3	"[(""'liar'"", ""'honesty'""), (""'propaganda'"", ""'fascist'""), (""'badly'"", ""'sickofallthehate'"")]"	2	'govenment' 'sickofallthehate'
32	follow boyrusher temecula goingstrong frankie insurgent fuckboy coach flip rule	2.0	2.0	2.0	2	'boyrusher' 'fuckboy'	1	"[(""'frankie'"", ""'boyrusher'"")]"	3	'boyrusher' 'goingstrong' 'fuckboy'
33	worry stress scared fear webmd panic symptom claustrophobic caution anxiety	3.0	1.8	3.0	2	'webmd' 'caution'	1	"[(""'worry'"", ""'anxiety'"")]"	0	
34	write writing amwriting screenwriting banking writestuff writerlife memo screenwrite mathchat	2.6	1.8	2.2	2	'banking' 'mathchat'	2	"[(""'write'"", ""'writing'""), (""'screenwriting'"", ""'screenwrite'"")]"	5	'amwriting' 'writestuff' 'writerlife' 'screenwrite' 'mathchat'
35	run mile marathon sign fitness runner racing wyoming marathontraining marathontraine	3.0	1.4	2.4	2	'sign' 'wyoming'	2	"[(""'marathon'"", ""'marathontraine'""), (""'marathontraining'"", ""'marathontraine'"")]"	1	'marathontraine'
36	hashtag hashtagoftheweek soda healthy smoking organize sew hashtagofthe medical mondays	2.0	2.0	2.2	4	'hashtag' 'hashtagoftheweek' 'hashtagofthe' 'mondays'	2	"[(""'hashtag'"", ""'hashtagofthe'""), (""'hashtagofthe'"", ""'hashtagoftheweek'"")]"	2	'hashtagofthe' 'hashtagoftheweek'
37	forgive mistake forgiveness apology regret forget unpette circumstance leaf changeswillbemade	2.6	2.0	2.0	3	'unpette' 'leaf' 'changeswillbemade'	3	"[(""'forgive'"", ""'forgiveness'""), (""'mistake'"", ""'regret'""), (""'forget'"", ""'unpette'"")]"	2	'unpette' 'changeswillbemade'
38	counts confession woooooooooah clumsy adventuresinchemistry kardashian science easily punch opportunity	1.8	2.2	2.0	3	'woooooooooah' 'kardashian' 'punch'	1	"[(""'counts'"", ""'science'"")]"	3	'woooooooooah' 'adventuresinchemistry' 'kardashian'
39	blog mondayblog podcast blogge blogging parody wwwblog fblogger scrum vlog	2.2	1.6	2.2	1	'scrum'	3	"[(""'blog'"", ""'wwwblog'""), (""'blog'"", ""'blogge'""), (""'blog'"", ""'blogging'"")]"	4	'mondayblog' 'blogge' 'wwwblog' 'fblogger'
40	hate ugly hater bitchiness retro uncomplicate ambidextrous cat grumpy horrible	1.2	2.0	2.4	4	'cat' 'ambidextrous' 'retro' 'uncomplicate'	1	"[(""'hate'"", ""'horrible'"")]"	1	'bitchiness'
41	change anarchy ooc realworld ariel gohard general sarcastic justice jean	1.6	2.6	2.2	4	'ooc' 'ariel' 'gohard' 'jean'	1	"[(""'realworld'"", ""'justice'"")]"	2	'ooc' 'gohard'
