ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	project state scheme problem district user action social local stakeholder	2.2	2.2	3.0	2	'scheme' 'action'	2	"[(""'project'"", ""'scheme'""), (""'district'"", ""'local'"")]"	0	
1	irrigation scheme deficit regime schedule district frequency sprinkler drip requirement	2.8	1.8	3.0	0		3	"[(""'irrigation'"", ""'scheme'""), (""'deficit'"", ""'requirement'""), (""'sprinkler'"", ""'drip'"")]"	0	
2	nitrogen fertilizer phosphorus nutrient fertilization uptake apply potassium nitrate urea	3.0	1.8	3.0	0		3	"[(""'nitrogen'"", ""'nitrate'""), (""'fertilizer'"", ""'fertilization'""), (""'phosphorus'"", ""'potassium'"")]"	0	
3	groundwater aquifer recharge shallow table depletion deep alluvial decline rock	2.8	2.2	3.0	0		3	"[(""'groundwater'"", ""'aquifer'""), (""'shallow'"", ""'decline'""), (""'deep'"", ""'depletion'"")]"	0	
4	distribution land pattern spatial variability cover map degradation vegetation cropland	2.8	2.4	3.0	0		4	"[(""'distribution'"", ""'pattern'""), (""'cover'"", ""'cover'""), (""'vegetation'"", ""'vegetation'""), (""'cropland'"", ""'cropland'"")]"	0	
5	base water content scale surface soil model datum parameter zone	2.4	1.6	3.0	0		2	"[(""'base'"", ""'datum'""), (""'zone'"", ""'parameter'"")]"	0	
6	area cultivate command million urban km² suitable hectare irrigated unit	3.0	2.0	2.8	0		3	"[(""'area'"", ""'hectare'""), (""'km²'"", ""'hectare'""), (""'irrigated'"", ""'suitable'"")]"	0	
7	fruit harvest grape berry size wine tomato storage rdi sugar	3.0	1.6	3.0	1	'rdi'	3	"[(""'fruit'"", ""'berry'""), (""'grape'"", ""'wine'""), (""'tomato'"", ""'fruit'"")]"	0	
8	loss reduce drainage runoff leach drain nitrate subsurface reduction surface	3.0	2.0	2.8	0		2	"[(""'drain'"", ""'drainage'""), (""'reduce'"", ""'reduction'"")]"	0	
9	deficit regime irrigation stage apply drip schedule efficiency wue yield	2.6	2.2	3.0	0		7	"[(""'deficit'"", ""'deficit'""), (""'regime'"", ""'regime'""), (""'irrigation'"", ""'irrigation'""), (""'stage'"", ""'stage'""), (""'apply'"", ""'apply'""), (""'drip'"", ""'drip'""), (""'schedule'"", ""'schedule'"")]"	0	
10	medium material substrate form filter cell sand particle solution type	2.4	2.2	3.0	0		2	"[(""'medium'"", ""'substrate'""), (""'particle'"", ""'sand'"")]"	0	
11	soil moisture profile amendment sandy available layer texture heavy clay	3.0	2.0	3.0	0		5	"[(""'soil'"", ""'sandy'""), (""'moisture'"", ""'available'""), (""'profile'"", ""'layer'""), (""'amendment'"", ""'amendment'""), (""'clay'"", ""'clay'"")]"	0	
12	exp core agric deprivation adi apri photosynthate droughte salinized distil	2.4	2.4	2.4	6	'adi' 'apri' 'photosynthate' 'droughte' 'salinized' 'distil'	6	"[(""'agric'"", ""'agric'""), (""'deprivation'"", ""'deprivation'""), (""'adi'"", ""'adi'""), (""'apri'"", ""'apri'""), (""'photosynthate'"", ""'photosynthate'""), (""'droughte'"", ""'drough"")]"	2	'droughte' 'salinized'
13	cost operation benefit optimal network power pump reservoir optimization energy	3.0	1.6	3.0	0		2	"[(""'cost'"", ""'benefit'""), (""'power'"", ""'energy'"")]"	0	
14	datum image map satellite information resolution set classification series weather	3.0	1.6	3.0	2	'datum' 'set'	6	"[(""'datum'"", ""'data'""), (""'image'"", ""'picture'""), (""'satellite'"", ""'satellite'""), (""'classification'"", ""'classification'""), (""'series'"", ""'series'""), (""'weather'"", ""'weather'"")]"	0	
15	salinity salt saline nacl tolerance tolerant sodicity sodic ion chloride	3.0	2.2	2.8	0		2	"[(""'salt'"", ""'nacl'""), (""'salinity'"", ""'sodicity'"")]"	0	
16	drip sprinkler furrow subsurface fertigation mulch emitter plastic uniformity lateral	3.0	2.0	3.0	0		2	"[(""'drip'"", ""'emitter'""), (""'sprinkler'"", ""'emitter'"")]"	0	
17	plant height uptake density pot inoculate tissue leave treat number	2.8	1.8	2.8	1	'leave'	5	"[(""'leave'"", ""'leave'""), (""'height'"", ""'height'""), (""'number'"", ""'number'""), (""'pot'"", ""'pot'""), (""'tissue'"", ""'tissue'"")]"	0	
18	apply time plot interval day sub recommend split dose depth	2.8	2.0	3.0	1	'depth'	3	"[(""'apply'"", ""'time'""), (""'time'"", ""'interval'""), (""'dose'"", ""'depth'"")]"	0	
19	potential deficit stomatal pressure conductance mpa midday stem transpiration osmotic	2.8	2.0	3.0	0		2	"[(""'stomatal'"", ""'pressure'""), (""'conductance'"", ""'transpiration'"")]"	0	
