ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	performer pimental amusement realityengine meteosat cruel incorporated convolution assertaine multiprocessor	1.0	3.0	2.0	4	'pimental' 'realityengine' 'meteosat' 'assertaine'	5	"[(""'performer'"", ""'performer'""), (""'pimental'"", ""'pimental'""), (""'amusement'"", ""'amusement'""), (""'realityengine'"", ""'realityengine'""), (""'meteosat'"", ""'meteosat'"")]"	3	'pimental' 'realityengine' 'assertaine'
1	christian christians heaven sin love bible easter prayer resurrection christ	3.0	2.0	3.0	0		1	"[(""'christian'"", ""'christians'"")]"	0	
2	atf fbi museum terrorism missile enclose surrender affair bosnia backing	2.0	3.0	3.0	3	'enclose' 'affair' 'backing'	2	"[(""'atf'"", ""'fbi'""), (""'surrender'"", ""'enclose'"")]"	0	
3	performer pimental realityengine incorporated abundance meteosat startrek convolution coefficient multiprocessor	1.0	3.0	3.0	8	'pimental' 'realityengine' 'incorporated' 'startrek' 'convolution' 'coefficient' 'multiprocessor' 'meteosat'	5	"[(""'performer'"", ""'performer'""), (""'pimental'"", ""'pimental'""), (""'realityengine'"", ""'realityengine'""), (""'incorporated'"", ""'incorporated'""), (""'abundance'"", ""'abundance'"")]"	4	'pimental' 'realityengine' 'meteosat' 'startrek'
4	window application manager display set font motif problem event user	2.8	2.6	3.0	3	'motif' 'problem' 'event'	5	"[(""'window'"", ""'display'""), (""'application'"", ""'manager'""), (""'set'"", ""'font'""), (""'motif'"", ""'problem'""), (""'event'"", ""'user'"")]"	0	
5	ryan prediction talent performer chop cup realityengine multiprocessor pimental thumb	1.0	3.0	3.0	4	'chop' 'cup' 'multiprocessor' 'thumb'	1	"[(""'pimental'"", ""'pimental'"")]"	2	'realityengine' 'pimental'
6	display window font thank graphic color screen file advance client	2.8	2.6	3.0	2	'thank' 'client'	2	"[(""'display'"", ""'screen'""), (""'color'"", ""'graphic'"")]"	0	
7	team game max player play win cup end fan air	3.0	2.2	3.0	4	'max' 'end' 'fan' 'air'	3	"[(""'team'"", ""'player'""), (""'play'"", ""'win'""), (""'cup'"", ""'game'"")]"	2	'max' 'air'
8	presentation seminar authors sphere address warfare presentations byoh shiek visualization	2.0	2.0	3.0	3	'sphere' 'byoh' 'shiek'	1	"[(""'presentation'"", ""'presentations'"")]"	2	'byoh' 'shiek'
9	ride cool helmet car boom nuclear shift road horse engine	2.0	2.4	3.0	3	'cool' 'boom' 'nuclear'	2	"[(""'ride'"", ""'horse'""), (""'car'"", ""'engine'"")]"	0	
10	team cup fan abc roger toronto player sport game pen	2.0	3.0	3.0	3	'abc' 'roger' 'pen'	2	"[(""'team'"", ""'player'""), (""'cup'"", ""'game'"")]"	0	
11	graphic graphics thank site gif advance email hello domain location	2.0	2.0	3.0	3	'thank' 'hello' 'email'	1	"[(""'graphic'"", ""'graphics'"")]"	0	
12	clipper chip phone announcement key white house communication government legal	2.0	3.0	3.0	2	'clipper' 'white'	1	"[(""'house'"", ""'white'"")]"	0	
13	study sensitivity msg food effect headache medical disease cause flavor	2.0	3.0	3.0	2	'msg' 'flavor'	1	"[(""'food'"", ""'flavor'"")]"	0	
14	daily humor promise ignorance kent performer proud pimental realityengine tammy	1.0	3.0	3.0	4	'kent' 'pimental' 'realityengine' 'tammy'	1	"[(""'pimental'"", ""'tammy'"")]"	2	'pimental' 'realityengine'
15	disk file image problem use windows input case model error	2.0	2.6	3.0	2	'case' 'model'	1	"[(""'error'"", ""'problem'"")]"	0	
16	advance anybody gif viewer thank compile archie indiana download animation	2.0	3.0	3.0	4	'anybody' 'thank' 'archie' 'indiana'	3	"[(""'advance'"", ""'compile'""), (""'gif'"", ""'animation'""), (""'download'"", ""'viewer'"")]"	0	
17	gun libertarian economic tax crime sales spending ban amendment legal	2.2	2.2	3.0	2	'sales' 'spending'	3	"[(""'gun'"", ""'ban'""), (""'economic'"", ""'spending'""), (""'tax'"", ""'sales'"")]"	0	
18	performer pimental multiprocessor incorporated correspnde smattering realityengine drawings meteosat twosie	1.0	3.0	2.0	5	'pimental' 'correspnde' 'realityengine' 'twosie' 'smattering'	4	"[(""'performer'"", ""'pimental'""), (""'multiprocessor'"", ""'incorporated'""), (""'realityengine'"", ""'drawings'""), (""'meteosat'"", ""'twosie'"")]"	3	'correspnde' 'realityengine' 'twosie'
19	right law state amendment second use mean government case people	3.0	2.4	3.0	4	'use' 'mean' 'case' 'people'	1	"[(""'second'"", ""'amendment'"")]"	0	
20	buy car monitor printer price manual service wire cheap portable	2.0	2.8	3.0	4	'monitor' 'printer' 'wire' 'portable'	1	"[(""'price'"", ""'cheap'"")]"	0	
21	genocide today turks mountain escape shoot single soul population homeland	2.0	3.0	3.0	3	'mountain' 'single' 'soul'	7	"[(""'genocide'"", ""'genocide'""), (""'today'"", ""'today'""), (""'turks'"", ""'turks'""), (""'mountain'"", ""'mountain'""), (""'escape'"", ""'escape'""), (""'shoot'"", ""'shoot'""), (""'single'"", ""'single'"")]"	0	
22	car temperature speed mile time light tire high rotate limit	2.2	2.0	3.0	4	'temperature' 'light' 'high' 'rotate'	2	"[(""'mile'"", ""'speed'""), (""'rotate'"", ""'tire'"")]"	0	
23	team player game play year good hit win bad fan	3.0	2.0	3.0	2	'bad' 'fan'	8	"[(""'team'"", ""'team'""), (""'player'"", ""'player'""), (""'game'"", ""'game'""), (""'play'"", ""'play'""), (""'year'"", ""'year'""), (""'good'"", ""'good'""), (""'hit'"", ""'hit'""), (""'win'"", ""'win'"")]"	0	
24	clinic ussr sensitivity risk resident bush taste concentrate nuclear health	2.0	3.0	3.0	4	'ussr' 'bush' 'taste' 'concentrate'	1	"[(""'clinic'"", ""'health'"")]"	0	
