ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	air trade wave spring ron pool hmmm fairly hot receiver	2.4	2.2	2.4	2	'hmmm' 'fairly'	2	"[(""'spring'"", ""'spring'""), (""'hot'"", ""'hot'"")]"	0	
1	john usa lead baltimore americans good join like cup red	2.4	2.6	2.6	2	'cup' 'red'	4	"[(""'john'"", ""'usa'""), (""'baltimore'"", ""'usa'""), (""'americans'"", ""'usa'""), (""'like'"", ""'good'"")]"	0	
2	king dos master speak illegal bear world family stand library	2.4	2.0	2.8	1	'dos'	2	"[(""'king'"", ""'master'""), (""'bear'"", ""'stand'"")]"	0	
3	person life rule death kill murder people blame independence liberty	3.0	2.4	3.0	2	'independence' 'liberty'	2	"[(""'kill'"", ""'murder'""), (""'life'"", ""'death'"")]"	0	
4	think know maybe regard like ask yes people friend good	2.6	1.8	2.8	2	'maybe' 'yes'	2	"[(""'think'"", ""'know'""), (""'good'"", ""'like'"")]"	0	
5	argument quote evidence conclusion true statement logic false imply explain	2.6	2.2	3.0	0		4	"[(""'argument'"", ""'statement'""), (""'true'"", ""'true'""), (""'false'"", ""'false'""), (""'imply'"", ""'imply'"")]"	0	
6	window manager application view basically use button review root windows	2.2	2.0	2.6	0		1	"[(""'window'"", ""'windows'"")]"	0	
7	unit error cross link brad disk serial byte run generate	2.0	1.8	2.8	1	'brad'	8	"[(""'unit'"", ""'unit'""), (""'error'"", ""'error'""), (""'cross'"", ""'cross'""), (""'link'"", ""'link'""), (""'brad'"", ""'brad'""), (""'disk'"", ""'disk'""), (""'serial'"", ""'serial'""), (""'byte'"", ""'byte'"")]"	0	
8	limit use restrict prison multi necessarily probably multiple question know	2.6	2.4	2.4	1	'know'	2	"[(""'limit'"", ""'restrict'""), (""'multi'"", ""'multiple'"")]"	0	
9	win bank joke wide mix tell contract laugh yes bit	2.4	2.2	3.0	1	'contract'	7	"[(""'win'"", ""'win'""), (""'bank'"", ""'bank'""), (""'joke'"", ""'joke'""), (""'wide'"", ""'wide'""), (""'mix'"", ""'mix'""), (""'tell'"", ""'tell'""), (""'contract'"", ""'contract'"")]"	0	
10	canada btw canadian beat channel joe offense like seriously north	2.2	2.2	2.6	0		2	"[(""'canada'"", ""'canadian'""), (""'north'"", ""'northern'"")]"	0	
11	science blood theory marry strength certain think trace point fantasy	2.4	2.2	2.8	2	'marry' 'fantasy'	1	"[(""'strength'"", ""'certain'"")]"	0	
12	president drug congress health history job people world american believe	2.2	2.0	2.8	1	'believe'	6	"[(""'drug'"", ""'drug'""), (""'health'"", ""'health'""), (""'people'"", ""'people'""), (""'world'"", ""'world'""), (""'american'"", ""'american'""), (""'believe'"", ""'believe'"")]"	0	
13	algorithm refer method structure use draw completely copyright reverse region	2.4	2.0	3.0	2	'copyright' 'draw'	2	"[(""'algorithm'"", ""'method'""), (""'use'"", ""'draw'"")]"	0	
14	key translation original talk think instead thing david implement write	2.6	2.0	3.0	1	'david'	2	"[(""'key'"", ""'thing'""), (""'original'"", ""'write'"")]"	0	
15	delete improve minor update random surprise immediately imho surprised dictionary	2.6	2.0	2.4	0		7	"[(""'delete'"", ""'remove'""), (""'improve'"", ""'enhance'""), (""'minor'"", ""'small'""), (""'update'"", ""'refresh'""), (""'random'"", ""'random'""), (""'surprise'"", ""'surprise'""), (""'immediately'"", ""'immediately'"")]"	0	
16	problem pro moon mode card recall solve confuse hang plus	2.2	2.2	2.6	1	'plus'	4	"[(""'problem'"", ""'solve'""), (""'pro'"", ""'problem'""), (""'moon'"", ""'hang'""), (""'recall'"", ""'plus'"")]"	0	
17	university research job work committee organization summer material student professor	2.8	2.0	3.0	1	'summer'	2	"[(""'university'"", ""'organization'""), (""'student'"", ""'professor'"")]"	0	
18	player condition average car pay european excellent sport boy license	2.6	1.8	3.0	1	'license'	2	"[(""'player'"", ""'boy'""), (""'car'"", ""'sport'"")]"	0	
19	space earth image nasa launch orbit mission satellite flight datum	3.0	2.0	3.0	1	'datum'	6	"[(""'earth'"", ""'earth'""), (""'satellite'"", ""'satellite'""), (""'nasa'"", ""'nasa'""), (""'mission'"", ""'mission'""), (""'flight'"", ""'flight'""), (""'datum'"", ""'datum'"")]"	0	
20	fan board remove pin spread cool screw heat huh lift	2.2	2.2	3.0	1	'huh'	1	"[(""'board'"", ""'huh'"")]"	0	
21	power supply display graphic usual backing dump core hard drive	2.4	1.8	3.0	1	'dump'	4	"[(""'power'"", ""'supply'""), (""'drive'"", ""'dump'""), (""'graphic'"", ""'display'""), (""'core'"", ""'hard'"")]"	0	
22	radio switch sale sell reasonable audio manual shipping gain use	2.8	2.0	3.0	0		3	"[(""'radio'"", ""'audio'""), (""'sell'"", ""'gain'""), (""'shipping'"", ""'use'"")]"	0	
23	send list mail address request info email net thank post	3.0	2.6	2.8	0		8	"[(""'send'"", ""'mail'""), (""'email'"", ""'mail'""), (""'address'"", ""'address'""), (""'request'"", ""'request'""), (""'info'"", ""'info'""), (""'net'"", ""'net'""), (""'thank'"", ""'thank'""), (""'post'"", ""'post'"")]"	0	
24	text field share panel item line control eric strange chip	2.2	2.4	2.6	2	'eric' 'chip'	3	"[(""'text'"", ""'item'""), (""'panel'"", ""'panel'""), (""'control'"", ""'control'"")]"	0	
25	day date sit stick success time clock minute wise bat	2.6	2.2	2.8	1	'bat'	3	"[(""'day'"", ""'time'""), (""'date'"", ""'time'""), (""'stick'"", ""'bat'"")]"	0	
26	terrorism conference medical abortion final paper movement december daily body	2.2	2.4	3.0	1	'paper'	6	"[(""'terrorism'"", ""'terrorism'""), (""'conference'"", ""'conference'""), (""'medical'"", ""'medical'""), (""'abortion'"", ""'abortion'""), (""'final'"", ""'final'""), (""'paper'"", ""'paper'"")]"	0	
27	pick hudson charge dog newspaper face reach govt eye roger	2.6	2.0	3.0	1	'hudson'	1	"[(""'face'"", ""'eye'"")]"	0	
28	clipper school standard lock disease survivor chip phone color house	2.0	2.2	2.6	2	'chip' 'phone'	3	"[(""'clipper'"", ""'chip'""), (""'phone'"", ""'phone'""), (""'house'"", ""'house'"")]"	0	
29	range blow twice automatic acquire mess choice expensive huge remind	2.4	2.2	2.4	2	'blow' 'choice'	7	"[(""'range'"", ""'range'""), (""'blow'"", ""'blow'""), (""'twice'"", ""'twice'""), (""'automatic'"", ""'automatic'""), (""'acquire'"", ""'acquire'""), (""'mess'"", ""'mess'""), (""'choice'"", ""'choice'"")]"	0	
30	command status character loss set register use perform setting sequence	2.6	2.4	3.0	0		4	"[(""'command'"", ""'use'""), (""'status'"", ""'setting'""), (""'register'"", ""'setting'""), (""'sequence'"", ""'set'"")]"	0	
31	card chip use bit mac machine memory video bus software	2.6	1.6	3.0	0		2	"[(""'card'"", ""'chip'""), (""'memory'"", ""'bit'"")]"	0	
32	nazi german germany hitler press document party escape magazine write	3.0	1.8	3.0	0		2	"[(""'nazi'"", ""'hitler'""), (""'german'"", ""'germany'"")]"	0	
33	price market tax purchase period warrant japanese staff winner prior	2.6	1.6	3.0	0		7	"[(""'price'"", ""'purchase'""), (""'tax'"", ""'warrant'""), (""'period'"", ""'staff'""), (""'market'"", ""'purchase'""), (""'tax'"", ""'warrant'""), (""'purchase'"", ""'winner'""), (""'period'"", ""'prior'"")]"	0	
34	man male marriage woman event claim having couple dispute objection	2.8	2.0	3.0	3	'event' 'objection' 'claim'	2	"[(""'man'"", ""'male'""), (""'woman'"", ""'female'"")]"	0	
35	look code good somebody like know smith possible use jason	2.4	1.8	2.6	0		8	"[(""'look'"", ""'see'""), (""'code'"", ""'code'""), (""'good'"", ""'good'""), (""'like'"", ""'like'""), (""'know'"", ""'know'""), (""'smith'"", ""'smith'""), (""'possible'"", ""'possible'""), (""'use'"", ""'use'"")]"	0	
36	tyre light screen movie jose film decline park sleep frame	2.8	2.2	3.0	0		5	"[(""'tyre'"", ""'wheel'""), (""'screen'"", ""'monitor'""), (""'movie'"", ""'film'""), (""'jose'"", ""'joe'""), (""'decline'"", ""'decrease'"")]"	0	
37	order previous tony know think folk use correct sure like	2.6	2.0	3.0	0		5	"[(""'order'"", ""'sure'""), (""'previous'"", ""'think'""), (""'tony'"", ""'like'""), (""'know'"", ""'correct'""), (""'folk'"", ""'use'"")]"	0	
38	greek east new culture member election reporter english ancient texas	2.8	2.0	3.0	1	'texas'	2	"[(""'ancient'"", ""'greek'""), (""'east'"", ""'texas'"")]"	0	
39	dangerous version picture newsreader tin datum accurate insist occur candidate	2.4	2.0	2.8	1	'tin'	3	"[(""'dangerous'"", ""'candidate'""), (""'version'"", ""'datum'""), (""'picture'"", ""'newsreader'"")]"	0	
40	cover care kid private parent home hospital figure like extra	2.2	2.2	3.0	1	'extra'	2	"[(""'cover'"", ""'extra'""), (""'private'"", ""'home'"")]"	0	
41	car engine owner mile tire replace good hall cup like	2.6	2.0	3.0	3	'hall' 'cup' 'like'	8	"[(""'car'"", ""'car'""), (""'engine'"", ""'engine'""), (""'owner'"", ""'owner'""), (""'mile'"", ""'mile'""), (""'tire'"", ""'tire'""), (""'replace'"", ""'replace'""), (""'good'"", ""'good'""), (""'hall'"", ""'hall'"")]"	0	
42	lose option yesterday west compromise station think significance healthy won	2.8	1.8	2.4	2	'lose' 'significance'	7	"[(""'lose'"", ""'lost'""), (""'option'"", ""'options'""), (""'yesterday'"", ""'yesterdays'""), (""'west'"", ""'western'""), (""'compromise'"", ""'compromises'""), (""'station'"", ""'stations'""), (""'think'"", ""'thinking'"")]"	0	
43	group public vote proposal issue continue favor propose belong march	2.4	2.0	3.0	0		4	"[(""'group'"", ""'public'""), (""'vote'"", ""'favor'""), (""'proposal'"", ""'propose'""), (""'issue'"", ""'continue'"")]"	0	
44	plane medium liberal bias score goal bomb point conservative legitimate	2.4	2.0	3.0	0		2	"[(""'plane'"", ""'bomb'""), (""'goal'"", ""'point'"")]"	0	
45	block eat robert intelligence boot associate disk use equal lucifer	2.0	2.0	2.6	1	'boot'	3	"[(""'block'"", ""'block'""), (""'use'"", ""'use'""), (""'lucifer'"", ""'lucifer'"")]"	0	
46	piece fit damn suit protection imagine wear like good taste	2.4	2.6	2.8	1	'like'	2	"[(""'piece'"", ""'suit'""), (""'protection'"", ""'like'"")]"	0	
47	role land learn tool army travel horrible spell music fate	2.8	1.8	2.6	0		4	"[(""'role'"", ""'fate'""), (""'army'"", ""'fate'""), (""'tool'"", ""'tool'""), (""'music'"", ""'music'"")]"	0	
48	max yup von biz gen umm atm ahh end mas	2.6	2.0	2.6	1	'umm'	7	"[(""'max'"", ""'max'""), (""'gen'"", ""'gen'""), (""'umm'"", ""'umm'""), (""'atm'"", ""'atm'""), (""'ahh'"", ""'ahh'""), (""'end'"", ""'end'""), (""'mas'"", ""'mas'"")]"	0	
49	relationship quick commitment difference partner security soon concept rob assure	2.2	1.8	3.0	1	'rob'	2	"[(""'relationship'"", ""'partner'""), (""'commitment'"", ""'security'"")]"	0	
50	sound driver edge feed work quickly tape use affect version	2.4	1.8	2.8	0		2	"[(""'sound'"", ""'use'""), (""'version'"", ""'tape'"")]"	0	
51	step mouse load achieve execute transfer scheme bunch buffer hat	2.4	1.8	2.8	1	'hat'	7	"[(""'step'"", ""'step'""), (""'mouse'"", ""'mouse'""), (""'load'"", ""'load'""), (""'achieve'"", ""'achieve'""), (""'execute'"", ""'execute'""), (""'transfer'"", ""'transfer'""), (""'scheme'"", ""'scheme'"")]"	0	
52	stay term repeat think guess know need terminal use let	3.0	2.0	2.8	0		1	"[(""'stay'"", ""'terminal'"")]"	0	
53	center division reality relate bob draft sick naval regular attend	2.4	2.8	3.0	2	'bob' 'sick'	7	"[(""'center'"", ""'center'""), (""'bob'"", ""'bob'""), (""'draft'"", ""'draft'""), (""'reality'"", ""'reality'""), (""'sick'"", ""'sick'""), (""'naval'"", ""'naval'""), (""'regular'"", ""'regular'"")]"	0	
54	model form key object des use bit age reference value	2.4	1.8	3.0	1	'age'	4	"[(""'model'"", ""'des'""), (""'form'"", ""'key'""), (""'age'"", ""'reference'""), (""'use'"", ""'value'"")]"	0	
55	policy race paragraph mistake incident credit shit like kick hear	2.4	1.6	2.8	2	'kick' 'shit'	1	"[(""'policy'"", ""'credit'"")]"	1	'shit'
56	interesting ignore difficult like circuit idea use somewhat personally valuable	2.6	2.6	2.8	1	'ignore'	7	"[(""'interesting'"", ""'interesting'""), (""'difficult'"", ""'difficult'""), (""'like'"", ""'like'""), (""'use'"", ""'use'""), (""'somewhat'"", ""'somewhat'""), (""'personally'"", ""'personally'""), (""'valuable'"", ""'valuable'"")]"	0	
57	big suppose prefer lot like know people want think pretty	2.6	1.6	2.6	0		2	"[(""'big'"", ""'lot'""), (""'know'"", ""'think'"")]"	0	
58	gun war peace weapon shoot defense crime military attack control	3.0	2.2	3.0	0		3	"[(""'gun'"", ""'weapon'""), (""'war'"", ""'military'""), (""'peace'"", ""'control'"")]"	0	
59	law government people state right authority moral society human think	2.8	2.4	3.0	0		7	"[(""'law'"", ""'rule'""), (""'government'"", ""'state'""), (""'people'"", ""'human'""), (""'authority'"", ""'power'""), (""'right'"", ""'entitlement'""), (""'moral'"", ""'ethical'""), (""'society'"", ""'community'"")]"	0	
60	effect force contact straight sign agreement bet rid like visible	2.2	2.6	2.8	1	'rid'	2	"[(""'effect'"", ""'sign'""), (""'contact'"", ""'rid'"")]"	0	
61	senior use official high design low rate section neutral general	2.8	2.0	2.8	1	'low'	2	"[(""'senior'"", ""'high'""), (""'low'"", ""'low'"")]"	0	
62	level white resolution element input signal useful output noise moscow	2.4	1.6	3.0	1	'moscow'	2	"[(""'level'"", ""'element'""), (""'signal'"", ""'useful'"")]"	0	
63	israel jews jesus jewish word man christ come son die	2.8	2.0	2.8	1	'come'	3	"[(""'israel'"", ""'jewish'""), (""'jesus'"", ""'christ'""), (""'son'"", ""'word'"")]"	0	
64	program money work think fund russia government support important package	2.8	2.0	3.0	0		2	"[(""'program'"", ""'package'""), (""'fund'"", ""'fund'"")]"	0	
