ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	guitar everyday learn yes black school big sugar gym motto	2.2	2.0	2.2	3	'everyday' 'yes' 'sugar'	2	"[(""'guitar'"", ""'gym'""), (""'school'"", ""'motto'"")]"	0	
1	smoking gain waste fat ticket lose husband way newyearnewme cookie	2.6	2.0	2.0	2	'gain' 'ticket'	1	[('lose', 'gain')]	2	'newyearnewme' 'cookie'
2	priority effort lose pound watch realistic moment reality super chicken	2.2	2.2	2.0	1	'chicken'	1	[('lose', 'pound')]	1	'chicken'
3	party fail simply half track better york tall channel idk	1.8	2.4	2.0	2	'fail' 'idk'	4	"[(""'party'"", ""'fail'""), (""'simply'"", ""'better'""), (""'track'"", ""'tall'""), (""'york'"", ""'channel'"")]"	1	'idk'
4	share star monday tone definitely come effect homeless learn shit	1.6	2.8	2.0	1	'shit'	1	"[(""'homeless'"", ""'homeless'"")]"	1	'shit'
5	fresh family oop spend eve calendar app yesterday healthy rockin	2.8	2.2	2.0	2	'oop' 'rockin'	1	"[(""'fresh"", ""healthy'"")]"	2	'oop' 'rockin'
6	stuff pack dick buy adventure music haha attitude goal save	2.4	2.0	2.0	2	'dick' 'haha'	1	"[(""'buy'"", ""'save'"")]"	1	'dick'
7	completely fake candy begin pop email trust battle deal emotion	2.0	2.4	2.0	3	'candy' 'email' 'pop'	8	"[(""'completely'"", ""'fully'""), (""'fake'"", ""'phony'""), (""'candy'"", ""'sweets'""), (""'begin'"", ""'start'""), (""'pop'"", ""'bubble'""), (""'email'"", ""'email'""), (""'trust'"", ""'faith'""), (""'battle'"", ""'fight"")]"	1	'candy'
8	travel fucking burn draw tattoo internship band course settle delete	1.8	2.4	2.0	1	'fucking'	4	"[(""'fucking'"", ""'settle'""), (""'burn'"", ""'delete'""), (""'travel'"", ""'internship'""), (""'draw'"", ""'tattoo'"")]"	1	'fucking'
9	habit catch season home difference break wife sleep popular healthy	2.4	2.0	2.6	0		1	"[(""'habit'"", ""'break'"")]"	0	
10	chuck paper special lie state lmao watch dead blair netflix	1.8	2.0	2.0	1	'blair'	2	"[(""'chuck'"", ""'blair'""), (""'paper'"", ""'state'"")]"	1	'lmao'
11	control water clothe box physically mentally res read baseball tough	1.6	2.0	2.0	3	'water' 'baseball' 'clothe'	2	"[(""'water'"", ""'res'""), (""'read'"", ""'physically'"")]"	2	'clothe' 'res'
