ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	time work card need jesus file run write post drive	2.0	2.0	3.0	1	'jesus'	3	"[(""'time'"", ""'need'""), (""'card'"", ""'file'""), (""'run'"", ""'drive'"")]"	1	'jesus' - While a common word
1	game team year fan score pick cup sport average philadelphia	2.4	2.0	3.0	1	'philadelphia'	2	"[(""'team'"", ""'philadelphia'""), (""'sport'"", ""'game'"")]"	0	
2	car engine tire ride mov road drive speed gear driver	3.0	2.0	3.0	1	mov	5	"[(""'car'"", ""'drive'""), (""'car'"", ""'driver'""), (""'engine'"", ""'mov'""), (""'tire'"", ""'road'""), (""'speed'"", ""'ride'"")]"	0	
3	msg patient doctor diet treatment health medicine symptom hospital headache	3.0	2.0	3.0	0		3	"[(""'patient'"", ""'doctor'""), (""'diet'"", ""'treatment'""), (""'medicine'"", ""'treatment'"")]"	0	
4	space nasa orbit mission moon satellite solar astronomy project planet	3.0	2.0	3.0	2	'solar' 'astronomy'	4	"[(""'space'"", ""'planet'""), (""'nasa'"", ""'mission'""), (""'orbit'"", ""'satellite'""), (""'moon'"", ""'planet'"")]"	0	
5	clipper key chip algorithm security phone encrypt pgp scheme patent	2.6	2.0	3.0	2	algorithm patent	2	"[(""'chip'"", ""'key'""), (""'algorithm'"", ""'scheme'"")]"	1	'chip' - While common
6	colormap graphic bitmap program visual pixel postscript convert sphinx pixmap	3.0	2.0	3.0	1	'sphinx'	2	"[(""'colormap'"", ""'pixmap'""), (""'bitmap'"", ""'pixmap'"")]"	0	
7	israel jews war peace palestinians nazis gaza terrorism syria zionist	2.4	2.0	2.0	2	nazis syria	2	"[(""'israel'"", ""'zionist'""), (""'jews'"", ""'nazis'"")]"	1	'nazis' - While a common word
8	gun police crime amendment section state semi license violent ban	3.0	2.0	3.0	0		3	"[(""'gun'"", ""'semi'""), (""'police'"", ""'state'""), (""'crime'"", ""'violent'"")]"	0	
9	printer deskjet ink laserwriter toner printing laserjet inkjet adobe epson	3.0	2.0	3.0	2	'adobe' 'epson'	3	"[(""'printer'"", ""'laserwriter'""), (""'ink'"", ""'toner'""), (""'inkjet'"", ""'laserjet'"")]"	0	
10	turkish turks genocide soviet massacre population greeks history republic turk	3.0	2.0	2.0	2	'history' 'republic'	2	"[(""'turkish'"", ""'turk'""), (""'turks'"", ""'turk'"")]"	0	
11	disk floppy scsi format error install device dos cdrom external	2.6	2.0	3.0	2	cdrom external	3	"[(""'disk'"", ""'floppy'""), (""'scsi'"", ""'dos'""), (""'cdrom'"", ""'external'"")]"	0	
12	clock risc vram ram simms processor cpu coprocessor quadra pentium	2.0	2.0	3.0	1	'simms'	3	"[(""'processor'"", ""'cpu'""), (""'ram'"", ""'vram'""), (""'pentium'"", ""'quadra'"")]"	0	
13	windows unix software microsoft version application database toolkit gui mac	3.0	2.0	3.0	0		2	"[(""'windows'"", ""'mac'""), (""'microsoft'"", ""'windows'"")]"	0	
14	homosexual homosexuality percentage study orientation heterosexual party church princeton group	2.0	2.0	3.0	2	'party' 'church'	6	"[(""'homosexual'"", ""'homosexuality'""), (""'homosexual'"", ""'orientation'""), (""'homosexual'"", ""'heterosexual'""), (""'homosexuality'"", ""'orientation'""), (""'homosexuality'"", ""'heterosexual'""), (""'orientation'"", ""'heterosexual'"")]"	0	
15	monitor centris adapter sony atari cable switch fix interference mitsubishi	2.0	2.0	3.0	2	sony mitsubishi	1	"[(""'sony'"", ""'mitsubishi'"")]"	0	
16	morality moral political objective human omniscient murder absolute jon atheist	2.0	2.0	3.0	2	jon atheist	2	"[(""'morality'"", ""'moral'""), (""'objective'"", ""'absolute'"")]"	0	
17	request mail address junk advertise bounce mailbox usenet company chicago	2.0	2.0	3.0	1	'chicago'	2	"[(""'mailbox'"", ""'company'""), (""'chicago'"", ""'company'"")]"	0	
18	allocation dos windows disk error reboot crash ram sys norton	2.6	2.0	3.0	1	"""norton"""	1	"[(""'dos'"", ""'windows'"")]"	1	'dos' - While a common term
19	islam islamic qur atheism religion koran allah example marital muslims	3.0	2.0	3.0	2	'example' 'marital'	4	"[(""'islam'"", ""'muslims'""), (""'islam'"", ""'koran'""), (""'islam'"", ""'qur'""), (""'islamic'"", ""'religion'"")]"	0	
20	modem fax cable info send hardware kit gateway warranty supply	2.0	2.0	3.0	2	info warranty	4	"[(""'modem'"", ""'gateway'""), (""'modem'"", ""'hardware'""), (""'cable'"", ""'gateway'""), (""'warranty'"", ""'kit'"")]"	0	
21	atheist atheism exist belief religion alt faith universe premise agnostic	3.0	2.0	3.0	2	'exist' 'universe'	3	"[(""'atheist'"", ""'agnostic'""), (""'atheism'"", ""'religion'""), (""'belief'"", ""'faith'"")]"	1	"'alt' - This is a common abbreviation for ""alternative"" but in this context"
22	receiver signal circuit mixer radio input analog meter detect device	3.0	2.0	3.0	0		3	"[(""'receiver'"", ""'device'""), (""'signal'"", ""'meter'""), (""'circuit'"", ""'device'"")]"	0	
23	widget window compile sun display error ipx solaris application openwindow	2.4	2.0	3.0	0		2	"[(""'widget'"", ""'window'""), (""'solaris'"", ""'openwindow'"")]"	0	
24	sale rider cover bag strip silver men jazz avenger interested	2.0	2.0	3.0	1	'interested'	2	"[(""'rider'"", ""'avenger'""), (""'silver'"", ""'strip'"")]"	0	
25	card ati svga screen color speedstar windows vram drivers winmark	2.0	2.0	3.0	2	'speedstar' 'winmark'	3	"[(""'card'"", ""'ati'""), (""'svga'"", ""'screen'""), (""'drivers'"", ""'windows'"")]"	0	
26	trial court verdict judge justice cop jury prosecution federal lawyer	3.0	2.0	3.0	0		2	"[(""'judge'"", ""'lawyer'""), (""'cop'"", ""'lawyer'"")]"	0	
27	scsi quadra isa mac interface controller device cpu driver performance	2.0	2.0	3.0	2	cpu driver	2	"[(""'scsi'"", ""'isa'""), (""'mac'"", ""'isa'"")]"	0	
28	fbi koresh compound murder scott survivor documentary news watch investigation	3.0	2.0	3.0	2	'watch' 'news'	4	"[(""'fbi'"", ""'investigation'""), (""'fbi'"", ""'news'""), (""'koresh'"", ""'murder'""), (""'compound'"", ""'survivor'"")]"	0	
29	church catholic orthodox pope faith doctrine christians bible robertson john	3.0	2.0	3.0	0		6	"[(""'church'"", ""'catholic'""), (""'church'"", ""'orthodox'""), (""'pope'"", ""'catholic'""), (""'faith'"", ""'doctrine'""), (""'bible'"", ""'robertson'""), (""'john'"", ""'christians'"")]"	1	'robertson' - This is a proper noun (a person's name) and while potentially relevant
30	newsreader norman frenzy ftpnuz source email forsale nixon author campaign	2.0	2.0	2.6	2	'forsale' 'author'	2	"[(""'newsreader'"", ""'norman'""), (""'nixon'"", ""'campaign'"")]"	0	
31	mouse com button driver modem logitech card pin apple fix	2.0	2.0	3.0	2	'apple' 'pin'	2	"[(""'mouse'"", ""'logitech'""), (""'button'"", ""'fix'"")]"	0	
32	font panel text type print printer char phonetic mac slant	3.0	2.0	3.0	2	phonetic mac	4	"[(""'font'"", ""'type'""), (""'text'"", ""'char'""), (""'text'"", ""'print'""), (""'printer'"", ""'print'"")]"	0	
33	jesus god sin shall faith bible lord paul christian testimony	3.0	1.2	3.0	2	shall testimony	4	"[(""'jesus'"", ""'lord'""), (""'jesus'"", ""'christian'""), (""'god'"", ""'lord'""), (""'god'"", ""'christian'"")]"	0	
34	objective morality value subjective observable mathew definition frank freedom theory	2.0	2.0	3.0	2	'mathew' 'frank'	2	"[(""'objective'"", ""'subjective'""), (""'mathew'"", ""'frank'"")]"	0	
35	rushdie islam islamic muslim secular book qur muslims religion mohammed	3.0	2.0	3.0	1	'book'	1	"[(""'islam'"", ""'muslim'"")]"	0	
36	motherboard sale kit bios supply serial connector floppy ram upgrade	2.0	2.0	3.0	2	bios floppy	2	"[(""'motherboard'"", ""'bios'""), (""'ram'"", ""'supply'"")]"	0	
37	helmet piece fit ride suit paint want bat protection damage	2.0	2.0	3.0	2	'want' 'bat'	2	"[(""'helmet'"", ""'suit'""), (""'paint'"", ""'damage'"")]"	0	
38	ftp site gateway download zip package sipp freeware unix tutorial	2.2	2.0	3.0	0		3	"[(""'ftp'"", ""'site'""), (""'zip'"", ""'package'""), (""'sipp'"", ""'tutorial'"")]"	0	
39	truth absolute belief arrogant faith scripture interpretation evangelical blindly deny	3.0	2.0	3.0	0		3	"[(""'truth'"", ""'absolute'""), (""'belief'"", ""'faith'""), (""'scripture'"", ""'faith'"")]"	0	
40	atf blast compound fbi raid military flame deer initial happen	2.0	2.0	2.0	2	'deer' 'happen'	2	"[(""'atf'"", ""'fbi'""), (""'raid'"", ""'blast'"")]"	0	
41	polygon algorithm spline draw triangle delaunay triangulation mesh concave geometric	3.0	2.0	3.0	0		2	"[(""'polygon'"", ""'triangle'""), (""'delaunay'"", ""'triangulation'"")]"	0	
42	apartment come shout neighbor building kill crowd door live soldier	2.0	2.0	3.0	2	kill soldier	2	"[(""'apartment'"", ""'building'""), (""'neighbor'"", ""'building'"")]"	0	
