text_id	text
3781	i only want to live in place where afternoon nap for adult be mandatory
136	eat well , exercise more , spend less ..... you know , the usual sh t happy new year
3604	tobacco price up again in nz this come jan. time to quit smoking - happy to help . msg i if you want advice . # ? ?
1438	to be forgive by my sweet brother numpsey
48	get close to the man above ? ? ? ?
1361	be the kindof christian that do not have to tell what they believe . action speak louder than word . ? ?
735	try to be more creative .
1535	so if i wanna lose more weight this year , can i start the year with mcdonald 's breakfast ... ? ? ?
2005	) make few taylor swift joke ) make more bastille joke if you close yo oy
3797	feel like my current job be suck the life outta i . go to add ' find a new job ' to my new years resolution list .
2520	my new years resolution be to become batman . sorry mom and dad .
1973	yesss bae ! ! supper club right now ! ! ! ! stop smoke cigarette
997	for my , i have decide to try to be nice to . and i be go to stalk a little less . maybe ?
62	let leave the word bae , bruh , thot , and fleek in .
1109	do not get shoot stay out of jail do not have any oop baby . simple enough
2406	my new years resolution be to continue to not take anybody 's shit . i advise you adopt this philosophy , also . now , go get em .
96	avoid get jammed in .
479	get money and fuck these bitch ... be do that ... lmfao
4362	do not go out of your way for people who will not go out of their way for you .
4114	my be to make more money . thank to that be possible !
3709	dad do find i an eventing barn . i have always want to try eventing . crosscountry evente equestrian
1102	i resolve to have a baby this year thatsapromise take it to the ?
2747	my new year resolution be to stop call my complex for they to go into my apartment to see if i have unplug my straightener or not .
2171	i do not really have a new years resolution , i just want to continue to better myself in whatever way possible
323	my ? run the marathon ! ! i just sign up today ! marathontraine runsolution
4257	my be to meet new people ! ! ? ?
3143	it be time to leave the past in the past and work on become a well you in the future .
3538	today start a new day a new year , i have no idea what will the plan be but i be pray that life get well for all
4928	a work relate resolution for the new year worklife havingitall workingmom sticktoit
2925	make a new years resolution to start blogge weekly so here we go w post ! thnx for reading ) happy new year
1150	no more mr . nice guy ! ! i have work , contribute volunteer too much of my life to people and organization . no more
3619	positive vibe ... do sweat the small stuff . newyear come early this year .
292	new years resolution be to stop argue sport and to stop be a piece of shit
3642	finish the book i have start and forget about
3677	my be to spend all of my free time work out and perfect my dreambody work gym happylife
534	i be go to save up all my money and get the heck outta stafford .
3735	merry christmas ! love , ? ? ? ? ? ? ? ? i really wish those be vegan .
2649	new years resolution meet zalfie
4813	my new years resolution be to take more nap nap allnapsallthetime
1984	? ? ? supper club right now ! ! ! ! stop smoke cigarette ? ?
2933	new years resolution no more chai latte 's from starbucks or other coffee place .
1537	what well day than today to spend time in prayer & amp ; the word in order to hear his plan for your . new beginnings ne ? ?
4537	eat less risotto , but more risotta naked
4020	i be go to tell every woman that their legging be see - through because they all be
3361	my new year 's resolution be to drink wine daily . i have start early and i be super proud of how well it be go !
3667	my protest til white america acknowledge that black lives matter seattle ferguson shutitdown
4007	. and my be to become slut
4461	do you have any career resolution ? today i start mine early .. be more organized ! desk be now clean & amp ; organize !
587	my be to go to as many game as possible . happy new year
3257	read a proverb when you wake up each day for . mediate . apply . encouragement you be worth it
2299	new year resolution drink less coffee lol jk i have already have cup
3990	go to become more grounded in historical fact , so when marty mcfly arrive this year from i know what to ask he
585	be more like kanye
2424	my new years resolution be to be less hang over today .
