ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	air trade wave spring ron pool hmmm fairly hot receiver	2.0	2.0	2.0	4	ˈron hmmm fairly receiver	1	"[(""'ron'"", ""'receiver'"")]"	0	
1	john usa lead baltimore americans good join like cup red	2.0	2.0	3.0	1	ˈkʌp	1	"[(""'usa'"", ""'americans'"")]"	1	cup:** While a valid word
2	king dos master speak illegal bear world family stand library	2.0	2.0	3.0	2	'bear' 'library'	1	"[(""'king'"", ""'master'"")]"	0	
3	person life rule death kill murder people blame independence liberty	3.0	2.0	3.0	0		3	"[(""'death'"", ""'murder'""), (""'kill'"", ""'murder'""), (""'liberty'"", ""'independence'"")]"	0	
4	think know maybe regard like ask yes people friend good	2.0	2.0	3.0	2	'yes' 'good'	1	"[(""'yes'"", ""'good'"")]"	0	
5	argument quote evidence conclusion true statement logic false imply explain	3.0	2.0	3.0	2	ˈtrue ˈfalse	1	"[(""'true'"", ""'false'"")]"	0	
6	window manager application view basically use button review root windows	3.0	1.0	3.0	0		1	"[(""'window'"", ""'windows'"")]"	1	basically**: While a valid English word
7	unit error cross link brad disk serial byte run generate	2.0	2.0	3.0	1	ˈbrad	1	"[(""'serial'"", ""'byte'"")]"	0	
8	limit use restrict prison multi necessarily probably multiple question know	2.0	2.0	3.0	5	'multi' 'necessarily' 'probably' 'multiple' 'know'	1	"[(""'multi'"", ""'multiple'"")]"	0	
9	win bank joke wide mix tell contract laugh yes bit	2.0	2.0	3.0	0		1	"[(""'yes'"", ""'win'"")]"	0	
10	canada btw canadian beat channel joe offense like seriously north	2.0	2.0	2.0	0		1	"[(""'canada'"", ""'canadian'"")]"	0	
11	science blood theory marry strength certain think trace point fantasy	2.0	2.0	3.0	2	ˈmæri ˈfæntəsi	1	"[(""'science'"", ""'theory'"")]"	0	
12	president drug congress health history job people world american believe	2.0	2.0	3.0	3	history job believe	1	"[(""'people'"", ""'american'"")]"	0	
13	algorithm refer method structure use draw completely copyright reverse region	2.0	2.0	3.0	2	ˈkɒpirait riˈvɜːrs	1	"[(""'reverse'"", ""'completely'"")]"	1	completely:** While a valid word
14	key translation original talk think instead thing david implement write	2.0	2.0	3.0	3	'david' 'implement' 'write'	1	"[(""'original'"", ""'translation'"")]"	0	
15	delete improve minor update random surprise immediately imho surprised dictionary	2.0	2.0	3.0	0		1	"[(""'surprised'"", ""'surprise'"")]"	0	
16	problem pro moon mode card recall solve confuse hang plus	2.0	2.0	2.0	0		1	"[(""'pro'"", ""'problem'"")]"	3	'pro'**: While 'pro' *can* be a valid abbreviation (e.g. professional) it's unclear and potentially a truncated
17	university research job work committee organization summer material student professor	3.0	2.0	3.0	0		1	"[(""'job'"", ""'work'"")]"	0	
18	player condition average car pay european excellent sport boy license	2.0	2.0	3.0	0		1	"[(""'player'"", ""'boy'"")]"	0	
19	space earth image nasa launch orbit mission satellite flight datum	3.0	2.0	3.0	0		1	"[(""'image'"", ""'datum'"")]"	0	
20	fan board remove pin spread cool screw heat huh lift	2.0	2.0	3.0	1	ˈhuh	1	"[(""'remove'"", ""'lift'"")]"	0	
21	power supply display graphic usual backing dump core hard drive	2.0	2.0	3.0	3	ˈusual ˈbacking ˈdump	1	"[(""'hard'"", ""'drive'"")]"	0	
22	radio switch sale sell reasonable audio manual shipping gain use	2.0	2.0	3.0	1	ˈseɪl	1	"[(""'sell'"", ""'sale'"")]"	0	
23	send list mail address request info email net thank post	3.0	1.0	3.0	2	'post' 'thank'	1	"[(""'mail'"", ""'email'"")]"	0	
24	text field share panel item line control eric strange chip	2.0	2.0	3.0	0		1	"[(""'text'"", ""'line'"")]"	0	
25	day date sit stick success time clock minute wise bat	2.0	2.0	3.0	1	ˈbæt	3	"[(""'day'"", ""'date'""), (""'time'"", ""'minute'""), (""'time'"", ""'clock'"")]"	1	bat**: While a valid word
