ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	super self hoe january mix ordinarylife save hit damn piss	1.2	2.6	2.0	1	'hit'	3	"[(""'super'"", ""'ordinarylife'""), (""'save'"", ""'damn'""), (""'hit'"", ""'piss'"")]"	1	'piss'
1	friend society workout instead health step lot fitness quit week	3.0	1.6	3.0	3	'society' 'week' 'instead'	1	"[(""'workout'"", ""'fitness'"")]"	0	
2	stay woman hour meet friend girl fail twice accomplish fitness	2.8	2.0	2.2	1	'hour'	2	"[(""'stay'"", ""'meet'""), (""'woman'"", ""'girl'"")]"	0	
3	instagram facebook peace emotion earth wit truth patients black tennis	2.0	1.6	2.2	1	'tennis'	4	[('instagram', 'facebook'), ('peace', 'patients'), ('earth', 'black'), ('tennis', 'wit')]	1	'wit'
4	arm high human writing finish action shoe buy mouth pure	2.0	1.6	2.2	1	'shoe'	2	"[(""'high'"", ""'pure'""), (""'buy'"", ""'shoe'"")]"	0	
5	kiss harmony lmfao nipple currently unproductive page cardio chafe dramatically	1.4	2.2	2.0	3	'lmfao' 'nipple' 'chafe'	1	"[(""'kiss'"", ""'nipple'"")]"	1	'lmfao'
6	stay gym gain focus read look cookie hand study parent	3.0	1.4	2.8	1	'cookie'	3	"[(""'gym'"", ""'study'""), (""'read'"", ""'study'""), (""'focus'"", ""'study'"")]"	1	'cookie'
7	loosen juice path enjoy condescend writerslife christmas idk properly bacon	1.2	2.2	2.0	2	'juice' 'bacon'	0	[]	2	'idk' 'writerslife'
8	jammed list hopefully bae shape weight wheel turbo order coilover	2.2	1.8	2.0	0		2	"[(""'list'"", ""'order'""), (""'bae'"", ""'hopefully'"")]"	2	'bae' 'coilover'
9	home buy real phone record deserve hahaha successfully fit training	2.2	2.2	2.2	1	'hahaha'	2	"[(""'buy'"", ""'record'""), (""'real'"", ""'successfully'"")]"	2	'hahaha' 'successfully'
10	res workinn lazyy imaa ready asf delete wage shall high	2.2	2.2	2.0	0		2	"[(""'res'"", ""'wage'""), (""'workinn'"", ""'ready'"")]"	5	'workinn' 'lazyy' 'imaa' 'asf' 'delete'
11	learn bad weight gym week way read lmfao kiss watch	2.4	2.2	2.0	2	'kiss' 'lmfao'	3	"[(""'bad'"", ""'lmfao'""), (""'learn'"", ""'read'""), (""'weight'"", ""'watch'"")]"	1	'lmfao'
12	true rid listen fucking self alcohol job bud focused term	2.2	1.8	2.0	2	'rid' 'fucking'	3	[('rid', 'job'), ('self', 'bud'), ('alcohol', 'fucking')]	1	'fucking'
13	bible smoke jesus appreciated draw dont bud fucking workout harbaugh	1.6	2.0	2.0	3	'workout' 'harbaugh' 'bud'	1	"[(""'jesus'"", ""'bible'"")]"	2	'jesus' 'fucking'
14	meet bitch game bite poorly ready pack weird pic girl	2.0	2.2	2.0	1	'poorly'	2	"[(""'meet'"", ""'meet'""), (""'game'"", ""'pic'"")]"	2	'bitch' 'pic'
15	movie bad workout nervous change shy correct decide hour thankful	2.2	2.2	2.2	2	'bad' 'shy'	1	[('movie', 'change')]	1	'bad'
16	spend gain positive right week funny gym twitter bed hoe	2.2	2.6	2.0	0		7	"[(""'spend'"", ""'gain'""), (""'gain'"", ""'gain'""), (""'right'"", ""'right'""), (""'week'"", ""'week'""), (""'funny'"", ""'funny'""), (""'gym'"", ""'gym'""), (""'twitter'"", ""'twitter'"")]"	1	'hoe'
17	wine person book lot nye miss lesson read swollen gym	2.2	2.2	2.0	3	'nye' 'gym' 'swollen'	3	"[(""'wine'"", ""'nye'""), (""'person'"", ""'miss'""), (""'book'"", ""'lot'"")]"	1	'nye'
18	week grow club eve hour concert supper read smoke control	2.6	2.0	2.2	2	'hour' 'supper'	1	"[(""'week'"", ""'hour'"")]"	1	'smoke'
19	negative actually success teach publish pinterest gambling kenny imponderabilia content	1.6	2.4	2.0	2	'kenny' 'pinterest'	1	"[(""'success"", ""gambling'"")]"	1	'imponderabilia'
20	hate come relationship hahaha burrito soundtrack use amazing typo complete	1.8	2.0	2.0	3	'hahaha' 'burrito' 'typo'	2	"[(""'hate'"", ""'hahaha'""), (""'relationship'"", ""'complete'"")]"	2	'hahaha' 'typo'
21	vine play cause treat dance better finally dedicated drunk jesus	1.8	2.0	2.0	0		5	"[(""'better'"", ""'better'""), (""'dance'"", ""'dance'""), (""'drunk'"", ""'drunk'""), (""'finally'"", ""'finally'""), (""'jesus'"", ""'jesus'"")]"	1	'jesus'
22	finally self wish story mistake serve titie laugh grow smoke	1.6	2.2	2.0	1	'smoke'	9	[('self', 'self'), ('laugh', 'laugh'), ('mistake', 'mistake'), ('smoke', 'smoke'), ('serve', 'serve'), ('story', 'story'), ('grow', 'grow'), ('finally', 'finally'), ('wish', 'wish')]	1	'titie'
23	gym weight social book goal lose healthy welcome god everyday	3.0	1.6	2.0	3	'welcome' 'god' 'social'	2	"[(""'weight'"", ""'lose'""), (""'healthy'"", ""'wellness'"")]"	1	'god'
24	guess yeah heck mile february pile morning memory penny squat	1.8	2.6	2.0	2	'morning' 'february'	3	"[(""'guess'"", ""'heck'""), (""'mile'"", ""'pile'""), (""'morning'"", ""'memory'"")]"	1	'heck'
25	wales page cotswolds lake calendar naw ready chore complain film	3.0	1.6	2.0	1	'film'	1	"[(""'cotswolds'"", ""'wales'"")]"	1	'naw'
26	punctuation future drive old sound thank treat wish sleep listen	2.2	1.8	2.8	1	'listen'	1	"[(""'drive'"", ""'drive'"")]"	0	
27	reduce sock job account mad follower bitches oregon culture indulge	1.8	2.2	2.0	3	'sock' 'job' 'oregon'	1	"[(""'job'"", ""'account'"")]"	1	'bitches'
28	week bikini haha relationship happen patience friend lol yoga personal	2.2	2.0	2.0	2	'lol' 'haha'	2	"[(""'bikini'"", ""'week'""), (""'haha'"", ""'lol'"")]"	2	'lol' 'haha'
29	exercise world careful way goal learn stay list fit care	3.0	1.6	3.0	3	'world' 'careful' 'list'	2	"[(""'exercise'"", ""'fit'""), (""'care'"", ""'careful'"")]"	1	'careful'
30	button head help pain car hug glamour drink laugh mystery	2.0	1.8	2.6	2	'car' 'drink'	4	"[(""'button'"", ""'head'""), (""'help'"", ""'hug'""), (""'pain'"", ""'laugh'""), (""'car'"", ""'drink'"")]"	0	
31	live music stick random father zone promise act marry bite	2.0	2.2	2.2	1	'stick'	4	"[(""'live'"", ""'act'""), (""'marry'"", ""'live'""), (""'bite'"", ""'stick'""), (""'random'"", ""'zone'"")]"	2	'stick' 'marry'
32	positive stay hard right slap lbs look honor criticism energy	2.0	1.8	2.0	2	'slap' 'lbs'	4	[('positive', 'honor'), ('slap', 'hard'), ('stay', 'look'), ('right', 'lbs')]	1	'slap'
33	single talk ask future plane tho achieve fall mediocre choose	1.8	2.4	2.0	2	'plane' 'fall'	4	"[(""'single'"", ""'ask'""), (""'single'"", ""'choose'""), (""'future'"", ""'plane'""), (""'future'"", ""'achieve'"")]"	1	'tho'
34	great meet stay worth twitter mind relationship sleep share donate	2.6	2.0	3.0	2	'share' 'donate'	6	"[(""'great'"", ""'meet'""), (""'worth'"", ""'worth'""), (""'relationship'"", ""'relationship'""), (""'share'"", ""'share'""), (""'donate'"", ""'donate'""), (""'stay'"", ""'stay'"")]"	1	'twitter'
35	know healthy sure thank right pack spend long music use	2.2	1.8	2.4	1	'pack'	3	"[(""'know'"", ""'use'""), (""'right'"", ""'sure'""), (""'pack'"", ""'long'"")]"	0	
36	man gop rino boehnermustgo promulgate establishment garbage mcconnelle ariel meet	2.6	2.2	1.8	0		2	"[(""'man'"", ""'rino'""), (""'gop'"", ""'establishment'"")]"	3	'boehnermustgo' 'mcconnelle' 'rino'
37	salad seriously channel completely cabin sass mean late live history	1.6	2.8	2.0	2	'completely' 'late'	2	"[(""'seriously'"", ""'mean'""), (""'live'"", ""'late'"")]"	2	'seriously' 'completely'
38	week leave twice castle accept read turn instead involve create	1.8	2.4	2.2	1	'twice'	2	"[(""'leave'"", ""'twice'""), (""'read'"", ""'create'"")]"	1	'twice'
39	read far thank weight drink type plan continue earlystart identity	2.2	2.6	2.0	2	'weight' 'drink'	3	"[(""'read'"", ""'continue'""), (""'plan'"", ""'continue'""), (""'earlystart'"", ""'continue'"")]"	1	'earlystart'
40	end write yesterday workout place vow pet month master yoga	2.6	2.4	2.2	0		1	"[(""'workout'"", ""'yoga'"")]"	1	'vow'
41	father real idk pee vow couple invite desire chorgrapher lil	1.0	2.4	2.0	2	'pee' 'idk'	1	"[(""'father"", ""real'"")]"	2	'idk' 'pee'
42	plan shoot look swift cause gelek fun teaching pay bold	1.8	2.4	2.0	1	'gelek'	4	"[(""'plan'"", ""'shoot'""), (""'look'"", ""'look'""), (""'cause'"", ""'cause'""), (""'pay'"", ""'pay'"")]"	1	'gelek'
43	baby know paint beer attention health upset pound great actually	2.0	2.2	2.0	2	'beer' 'pound'	1	"[(""'baby"", ""child'"")]"	2	'beer' 'pound'
44	hurt forgiveness power chuck neighbor newyearseve unapologetically important screw countdown	2.0	2.6	2.0	2	'chuck' 'screw'	4	"[(""'hurt'"", ""'screw'""), (""'chuck'"", ""'countdown'""), (""'forgiveness'"", ""'unapologetically'""), (""'power'"", ""'important'"")]"	2	'chuck' 'screw'
45	weight cigarette gym healthy lose loss stay nap right instead	3.0	1.4	2.0	1	'nap'	6	"[(""'weight'"", ""'lose'""), (""'loss'"", ""'lose'""), (""'lose'"", ""'loss'""), (""'weight'"", ""'loss'""), (""'weight'"", ""'lose'""), (""'loss'"", ""'weight'"")]"	1	'nap'
46	watch close join fun tonight tix week article chop support	2.0	2.4	2.2	0		2	"[(""'watch'"", ""'tonight'""), (""'tix'"", ""'support'"")]"	2	'tix' 'chop'
47	quit grow maybe stay marry door music binge jesus radio	1.6	2.2	2.0	3	'quit' 'jesus' 'binge'	3	"[(""'quit'"", ""'stay'""), (""'maybe'"", ""'maybe'""), (""'binge'"", ""'binge'"")]"	2	'binge' 'jesus'
48	voice drop turn concert wait literally status smell bullshit tithe	1.4	2.4	2.0	1	'smell'	2	"[(""'voice'"", ""'wait'""), (""'drop'"", ""'smell'"")]"	2	'literally' 'bullshit'
49	gain actually especially reach ironic calendar smoking jesus accomplish ass	1.2	2.6	2.0	3	'actually' 'calendar' 'jesus'	2	"[(""'gain'"", ""'accomplish'""), (""'actually'"", ""'especially'"")]"	1	'ass'
50	far form dollar music trip mat dogslife apologize scouty philosophy	2.6	2.0	2.0	2	'dollar' 'mat'	4	"[(""'trip'"", ""'trip'""), (""'music'"", ""'music'""), (""'philosophy'"", ""'philosophy'""), (""'form'"", ""'form'"")]"	2	'dogslife' 'scouty'
51	enjoy reach appreciate desire free hell shark masterbate fin success	1.8	2.4	2.0	4	'hell' 'shark' 'masterbate' 'fin'	4	"[(""'enjoy'"", ""'appreciate'""), (""'desire'"", ""'enjoy'""), (""'free'"", ""'success'""), (""'fin'"", ""'shark'"")]"	1	'hell'
52	drive youtube ultron res heart post mind unite cydonia hear	2.0	1.8	2.0	1	'cydonia'	4	"[(""'drive'"", ""'drive'""), (""'youtube'"", ""'unite'""), (""'res'"", ""'post'""), (""'heart'"", ""'hear'"")]"	2	'ultron' 'cydonia'
53	goal eve drink come white monday fitness twitter habit ready	2.0	2.2	2.0	1	'twitter'	3	"[(""'goal'"", ""'habit'""), (""'fitness'"", ""'habit'""), (""'ready'"", ""'come'"")]"	1	'eve'
54	tomorrow monday ready fucking pray live big fight suspect energy	1.6	2.0	2.0	1	'pray'	1	"[(""'tomorrow'"", ""'monday'"")]"	1	'fucking'
55	music manage cream soon strong hangover currently hefty agree lot	1.8	2.2	2.0	0		2	"[(""'manage'"", ""'manage'""), (""'strong'"", ""'strong'"")]"	0	
56	fun beer maybe follower healthy taco read spend drink run	2.4	2.0	2.0	0		4	"[(""'fun'"", ""'beer'""), (""'maybe'"", ""'taco'""), (""'healthy'"", ""'read'""), (""'spend'"", ""'drink'"")]"	1	'maybe'
57	dream practice lot treat technology butts way bitch cigarettes bit	1.6	2.4	2.0	2	'cigarettes' 'butts'	2	"[(""'dream'"", ""'butts'""), (""'practice'"", ""'treat'"")]"	3	'butts' 'bitch' 'cigarettes'
58	friend way maybe finish degree face place brtrend workout newyearnewme	2.2	2.4	2.0	2	'brtrend' 'newyearnewme'	2	"[(""'newyearnewme'"", ""'new year'""), (""'friend'"", ""'friends'"")]"	2	'brtrend' 'newyearnewme'
59	house past escape drunk meet wind sandal cig toilet white	1.4	2.2	2.0	2	'sandal' 'white'	2	"[(""'house'"", ""'sandal'""), (""'toilet'"", ""'sandal'"")]"	2	'sandal' 'cig'
60	attitude realistic planet straighten startup watch dslr recipe project refuse	1.8	1.6	2.0	2	'watch' 'dslr'	0	[]	2	'dslr' 'startup'
61	fuck week instead feel home resolve actually right edge join	2.0	2.6	2.0	1	'fuck'	1	"[(""'fuck'"", ""'home'"")]"	1	'fuck'
62	look kenya commit football friends galaxy excercise upgrade gouda hubby	1.8	2.8	2.0	2	'gouda' 'hubby'	3	"[(""'look'"", ""'gouda'""), (""'galaxy'"", ""'upgrade'""), (""'football'"", ""'hubby'"")]"	1	'gouda'
