ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	indecision tin telematic newsreader spang newusers plaform achim withkzip calpoly	1.0	3.0	1.6	2	'tin' 'withkzip'	0	[]	2	'tin' 'withkzip'
1	spang withkzip makega dirtym dosgl newusers achim calpoly kck dempsey	1.0	3.0	1.0	3	'withkzip' 'makega' 'dosgl'	0	[]	3	'withkzip' 'makega' 'dosgl'
2	florida column minnesota superior bay desire spang withkzip toronto makega	1.0	3.0	1.0	0		0	[]	2	'withkzip' 'makega'
3	display windows graphic version file video run window manager color	3.0	1.4	3.0	0		2	"[(""'display'"", ""'window'""), (""'window'"", ""'window'"")]"	0	
4	point year good game play team player goal run net	3.0	2.4	3.0	1	'year'	1	"[(""'point'"", ""'goal'"")]"	0	
5	max mov main int byte aoj image win allocation offset	1.6	3.0	2.0	2	'aoj' 'win'	1	"[(""'mov'"", ""'win'"")]"	2	'mov' 'aoj'
6	think believe reason exist way question god mean thing human	3.0	2.0	3.0	1	'exist'	2	"[(""'think'"", ""'reason'""), (""'exist'"", ""'exist'"")]"	0	
7	game team play toronto trade cup chicago lose series montreal	2.6	2.0	3.0	2	'trade' 'lose'	1	"[(""'toronto'"", ""'montreal'"")]"	0	
8	keith enclose backing kent blow atheists mathew jon definitely cco	1.0	3.0	3.0	2	atheists cco	0	[]	1	'cco'
9	people want work think talk year program know new kind	3.0	2.0	3.0	2	'year' 'program'	0	[]	0	
10	msg sensitivity taste russell nye clinic reaction wish patently eau	1.0	3.0	3.0	4	'russell' 'nye' 'clinic' 'eau'	0	[]	3	'msg' 'eau' 'patently'
11	thank advance anybody hello appreciate info recommend email greatly interested	3.0	2.8	3.0	2	'email' 'anybody'	0	[]	0	
12	window display application file openwindow set color manager lib icon	3.0	2.0	3.0	1	'lib'	1	"[(""'openwindow'"", ""'window'"")]"	1	'openwindow'
13	like time know think work need people want look try	2.0	2.0	3.0	2	like think	1	"[(""'like'"", ""'want'"")]"	0	
14	window windows problem file run program use display manager screen	3.0	1.0	3.0	1	'problem'	2	"[(""'window'"", ""'windows'""), (""'display'"", ""'screen'"")]"	0	
15	mail price software sale shipping upgrade output complete company access	2.0	3.0	3.0	2	'output' 'complete'	0	[]	0	
