ID	Topic words
0	management resource allocation optimal decision plan practice conservation demand supply
1	drip irrigation sprinkler furrow schedule frequency subsurface regime deficit sdi
2	mean value range coefficient method correlation variation error time square
3	drought tolerance stress tolerant salt genotype heat reproductive moderate trait
4	water supply efficiency demand consumption footprint fresh wue saving requirement
5	rice emission cultivation paddy flood lowland n₂o cropping awd methane
6	analysis spatial distribution structure network component cluster reservoir principal function
7	isolate detect strain bacterial specie disease sequence spp host infection
8	line cultivar variety hybrid environment selection genetic breeding trait location
9	research state scheme project knowledge information program technology institute problem
10	crop requirement rotation cover residue evapotranspiration coefficient maize cropping cotton
11	farm farmer benefit cost farming income adoption access price labor
12	leach nitrate nitrogen phosphorus nutrient fertilization loss uptake solution potassium
13	development local country rural security people poverty urban sector food
14	density weed population specie type row planting disease diversity great
15	plant growth uptake vegetative pot nutrient nacl height saline seedling
16	concentration level limit exceed solid dissolve range ppm chloride total
17	model datum simulation base prediction accuracy weather calibration set optimization
18	river region basin arid lake delta nile catchment sub yellow
19	water deficit stage apply irrigation capacity period treatment season control
20	season winter spring wheat grow maize summer late soybean tillage
21	flow drainage runoff discharge transport drain infiltration sediment loss hydraulic
22	different regime level irrigation salinity method drip saline design plot
23	potato greenhouse tomato green plastic mulch forage grass pasture alfalfa
24	potential stomatal transpiration conductance photosynthetic pressure deficit stem net leaf
25	application control treatment recommend fertilizer manure dose herbicide foliar apply
26	fruit tree orchard olive grape rootstock apple citrus wine harvest
27	activity acid sugar protein oil content salinity soluble enzyme antioxidant
28	day early stage flowering seed date maximum interval germination percent
29	irrigate field irrigated non site rainfed trial dryland capacity paddy
30	treat wastewater effluent chemical reuse sewage waste municipal removal sample
31	production energy consumption product agricultural feed renewable fuel electricity input
32	moisture depth layer profile sandy clay zone conductivity soil loam
33	temperature measurement air canopy flux evapotranspiration daily radiation estimate thermal
34	yield grain component lint wue corn gap produce cotton sorghum
35	block design plot week split spray apply half solution medium
36	high low record net medium ratio produce return value cost
37	risk health human heavy source contamination vegetable pollution metal exposure
38	organic carbon microbial soil matter soc available term amendment aggregate
39	period year annual rainfall average month precipitation seasonal event september
40	exp ssd replenishment msi ¹³c adi burial maximise mineralize nar
41	increase decrease reduce decline trend reduction demand fold wue rate
42	groundwater aquifer shallow sodium recharge suitability ratio ion sar carbonate
43	practice agricultural reduce term scale factor input base management potential
44	adi k₂o ssd maximise h₂o dma nar litre magnetized msi
45	root dry zone shoot weight length total fresh great mass
46	change climate variability scenario adaptation pattern climatic global trend regional
47	adi litre aerate iwp discount sprinkling cessation terminate apri i₁₀₀
48	area land cover cultivate map forest cropland suitable farmland urban
49	index leaf number difference height chlorophyll biomass weight lai parameter
