ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	management resource allocation optimal decision plan practice conservation demand supply	3.0	2.2	3.0	1	'practice'	1	"[(""'resource'"", ""'resource'"")]"	0	
1	drip irrigation sprinkler furrow schedule frequency subsurface regime deficit sdi	3.0	2.2	3.0	1	frequency	1	"[(""'drip'"", ""'sdi'"")]"	0	
2	mean value range coefficient method correlation variation error time square	2.4	2.2	3.0	2	'time' 'square'	2	"[(""'value'"", ""'mean'""), (""'coefficient'"", ""'correlation'"")]"	0	
3	drought tolerance stress tolerant salt genotype heat reproductive moderate trait	3.0	2.0	3.0	1	'stress'	1	"[(""'tolerance'"", ""'tolerant'"")]"	0	
4	water supply efficiency demand consumption footprint fresh wue saving requirement	3.0	2.0	3.0	0		3	"[(""'water'"", ""'water'""), (""'supply'"", ""'requirement'""), (""'efficiency'"", ""'saving'"")]"	1	'wue'
5	rice emission cultivation paddy flood lowland n₂o cropping awd methane	3.0	2.0	3.0	1	'awd'	0	[]	1	'awd'
6	analysis spatial distribution structure network component cluster reservoir principal function	3.0	2.8	3.0	0		1	"[(""'structure'"", ""'principal'"")]"	0	
7	isolate detect strain bacterial specie disease sequence spp host infection	3.0	2.0	3.0	2	'spp' 'host'	1	"[(""'strain'"", ""'spp'"")]"	1	'spp'
8	line cultivar variety hybrid environment selection genetic breeding trait location	3.0	2.0	3.0	2	'line' 'environment'	1	"[(""'cultivar'"", ""'variety'"")]"	0	
9	research state scheme project knowledge information program technology institute problem	3.0	2.2	3.0	1	state	0	[]	0	
10	crop requirement rotation cover residue evapotranspiration coefficient maize cropping cotton	3.0	2.0	3.0	1	'coefficient'	0	[]	0	
11	farm farmer benefit cost farming income adoption access price labor	3.0	2.0	3.0	2	'benefit' 'cost'	2	"[(""'farm'"", ""'farming'""), (""'farmer'"", ""'farmer'"")]"	0	
12	leach nitrate nitrogen phosphorus nutrient fertilization loss uptake solution potassium	3.0	2.0	3.0	2	'leach' 'solution'	1	"[(""'nutrient'"", ""'fertilization'"")]"	0	
13	development local country rural security people poverty urban sector food	3.0	2.0	3.0	1	'sector'	1	"[(""'rural'"", ""'urban'"")]"	0	
14	density weed population specie type row planting disease diversity great	2.2	2.4	3.0	1	'great'	0	[]	4	'weed' 'specie' 'row' 'disease'
15	plant growth uptake vegetative pot nutrient nacl height saline seedling	3.0	2.0	3.0	2	'nacl' 'saline'	0	[]	1	'nacl'
16	concentration level limit exceed solid dissolve range ppm chloride total	3.0	2.0	3.0	2	'solid' 'dissolve'	0	[]	0	
17	model datum simulation base prediction accuracy weather calibration set optimization	3.0	2.0	3.0	2	'base' 'set'	0	[]	0	
18	river region basin arid lake delta nile catchment sub yellow	3.0	2.0	3.0	1	'sub'	6	"[(""'river'"", ""'delta'""), (""'river'"", ""'nile'""), (""'river'"", ""'catchment'""), (""'lake'"", ""'nile'""), (""'region'"", ""'arid'""), (""'region'"", ""'sub'"")]"	3	'arid' 'sub' 'yellow'
19	water deficit stage apply irrigation capacity period treatment season control	3.0	2.4	3.0	2	'stage' 'treatment'	0	[]	0	
20	season winter spring wheat grow maize summer late soybean tillage	3.0	2.4	3.0	2	'season' 'late'	0	[]	0	
21	flow drainage runoff discharge transport drain infiltration sediment loss hydraulic	3.0	2.0	3.0	0		0	[]	0	
22	different regime level irrigation salinity method drip saline design plot	2.8	2.2	3.0	6	different regime level method design plot	1	"[(""'saline'"", ""'salinity'"")]"	0	
23	potato greenhouse tomato green plastic mulch forage grass pasture alfalfa	2.0	2.0	3.0	2	'plastic' 'forage'	0	[]	0	
24	potential stomatal transpiration conductance photosynthetic pressure deficit stem net leaf	3.0	2.8	3.0	3	'potential' 'pressure' 'deficit'	0	[]	0	
25	application control treatment recommend fertilizer manure dose herbicide foliar apply	3.0	2.0	3.0	1	'recommend'	0	[]	0	
26	fruit tree orchard olive grape rootstock apple citrus wine harvest	3.0	2.0	3.0	2	'olive' 'rootstock'	5	"[(""'fruit'"", ""'apple'""), (""'fruit'"", ""'grape'""), (""'fruit'"", ""'olive'""), (""'fruit'"", ""'citrus'""), (""'tree'"", ""'rootstock'"")]"	0	
27	activity acid sugar protein oil content salinity soluble enzyme antioxidant	1.4	3.0	3.0	2	'activity' 'content'	0	[]	0	
28	day early stage flowering seed date maximum interval germination percent	3.0	3.0	3.0	0		0	[]	0	
29	irrigate field irrigated non site rainfed trial dryland capacity paddy	3.0	2.0	3.0	2	non site	2	"[(""'irrigate'"", ""'irrigated'""), (""'rainfed'"", ""'dryland'"")]"	3	'non' 'site' 'paddy'
30	treat wastewater effluent chemical reuse sewage waste municipal removal sample	3.0	2.0	3.0	2	'treat' 'reuse'	2	"[(""'wastewater'"", ""'sewage'""), (""'effluent'"", ""'waste'"")]"	0	
31	production energy consumption product agricultural feed renewable fuel electricity input	3.0	2.0	3.0	2	'product' 'feed'	0	[]	0	
32	moisture depth layer profile sandy clay zone conductivity soil loam	3.0	2.0	3.0	2	'depth' 'zone'	1	"[(""'sandy'"", ""'loam'"")]"	0	
33	temperature measurement air canopy flux evapotranspiration daily radiation estimate thermal	3.0	2.2	3.0	2	'canopy' 'thermal'	0	[]	0	
34	yield grain component lint wue corn gap produce cotton sorghum	2.4	2.2	2.4	2	'wue' 'gap'	1	"[(""'corn'"", ""'cotton'"")]"	1	'wue'
35	block design plot week split spray apply half solution medium	2.0	3.0	3.0	1	'week'	0	[]	5	'split' 'spray' 'apply' 'half' 'medium'
36	high low record net medium ratio produce return value cost	2.0	2.6	3.0	2	'record' 'ratio'	3	"[(""'high'"", ""'medium'""), (""'high'"", ""'low'""), (""'record'"", ""'ratio'"")]"	0	
37	risk health human heavy source contamination vegetable pollution metal exposure	3.0	2.0	3.0	1	'human'	0	[]	0	
