ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	problem mouse drive boot disk switch fix floppy fine instal	2.8	1.4	2.0	2	'fine' 'instal'	3	"[(""'boot'"", ""'drive'""), (""'disk'"", ""'floppy'""), (""'instal'"", ""'install'"")]"	1	'instal'
1	problem boot drive disk apple windows memory mouse help mac	3.0	1.2	2.0	2	'apple' 'mac'	4	"[(""'disk'"", ""'drive'""), (""'apple'"", ""'mac'""), (""'windows'"", ""'problem'""), (""'mouse'"", ""'help'"")]"	3	'boot' 'drive' 'disk'
2	svhs zach jaws itor toasterhead kelseyyrki montage orientiation cdq torkel	2.2	2.2	1.8	0		3	"[(""'svhs'"", ""'toasterhead'""), (""'zach'"", ""'torkel'""), (""'kelseyyrki'"", ""'cdq'"")]"	3	'kelseyyrki' 'cdq' 'torkel'
3	version software graphic available mail public windows user machine gnu	3.0	1.0	2.2	2	'mail' 'public'	3	"[(""'version'"", ""'software'""), (""'public'"", ""'available'""), (""'machine'"", ""'windows'"")]"	1	'gnu'
4	clipper government announcement white house libertarian chip agency federal citizen	2.6	1.8	2.0	0		3	"[(""'clipper'"", ""'chip'""), (""'government'"", ""'agency'""), (""'white'"", ""'house'"")]"	1	'chip'
5	hello cube password sphere geometry systems newsreader moselem unresolvable differet	2.6	2.4	2.0	2	'newsreader' 'moselem'	2	"[(""'hello'"", ""'hello'""), (""'cube'"", ""'sphere'"")]"	2	'moselem' 'differet'
6	israel peace terrorism fbi favor waste kill reporter sexual jewish	2.2	1.6	2.0	3	'waste' 'reporter' 'sexual'	0	[]	0	
7	drug right usage inalienable people amendment free study bear psychology	3.0	1.4	2.6	1	'bear'	2	"[(""'drug'"", ""'usage'""), (""'people'"", ""'right'"")]"	2	'inalienable' 'psychology'
8	kent daily amusing heart promise atheists dating jon ignorance sink	2.0	2.0	2.0	4	'kent' 'dating' 'jon' 'sink'	2	"[(""'dating'"", ""'kent'""), (""'atheists'"", ""'ignorance'"")]"	1	'atheists'
9	clipper chip key phone cheap algorithm secure voice acceptance serial	3.0	2.0	2.0	2	'chip' 'serial'	3	"[(""'clipper'"", ""'chip'""), (""'phone'"", ""'serial'""), (""'voice'"", ""'key'"")]"	4	'chip' 'serial' 'clipper' 'cheap'
10	announcement white lobby april washington abc bush prize museum schedule	2.2	2.2	2.2	3	'white' 'april' 'bush'	0	[]	1	'abc'
11	problem window windows disk file run screen error mouse fine	2.8	1.4	2.0	1	'fine'	3	"[(""'problem'"", ""'error'""), (""'window'"", ""'windows'""), (""'mouse'"", ""'screen'"")]"	1	'disk'
12	thank year work people lot need think program thing want	2.6	1.8	2.0	1	'year'	2	"[(""'want'"", ""'need'""), (""'year'"", ""'lot'"")]"	0	
13	price offer pay sale sell speaker stereo deck buy receiver	3.0	1.0	3.0	0		5	"[(""'price'"", ""'pay'""), (""'offer'"", ""'sell'""), (""'buy'"", ""'sell'""), (""'price'"", ""'sale'""), (""'buy'"", ""'pay'"")]"	3	'speaker' 'stereo' 'deck'
14	graphic thank graphics mail format advance appreciate email internet site	3.0	1.4	2.0	2	'thank' 'appreciate'	2	"[(""'graphic'"", ""'graphics'""), (""'mail'"", ""'email'"")]"	0	
15	sustain microcontroller heavily zach trumpet asked kelseyyrki torkel jaws newusers	1.0	2.8	2.0	4	'zach' 'kelseyyrki' 'torkel' 'newusers'	6	"[(""'sustain'"", ""'sustain'""), (""'microcontroller'"", ""'microcontroller'""), (""'heavily'"", ""'heavily'""), (""'zach'"", ""'zach'""), (""'trumpet'"", ""'trumpet'""), (""'asked'"", ""'ask"")]"	2	'kelseyyrki' 'torkel'
16	like want know think time people window look ask problem	2.4	1.6	2.8	2	'window' 'look'	3	"[(""'know'"", ""'think'""), (""'like'"", ""'want'""), (""'ask'"", ""'look'"")]"	0	
17	musical zach enjoyable kelseyyrki iteration ulman torkel newusers explicable kck	2.2	2.4	2.0	3	'zach' 'kelseyyrki' 'torkel'	2	"[('""kelseyyrki""', '""kck""'), ('""torkel""', '""ulman""')]"	5	'zach' 'kelseyyrki' 'ulman' 'torkel' 'kck'
18	life god bible jesus christ love sin heaven experience feeling	3.0	1.2	3.0	1	'feeling'	3	"[(""'life'"", ""'experience'""), (""'god'"", ""'jesus'""), (""'jesus'"", ""'christ'"")]"	0	
19	team game player play hit year fan score compare bad	3.0	1.4	2.2	2	'bad' 'year'	3	"[(""'play'"", ""'player'""), (""'game'"", ""'play'""), (""'hit'"", ""'score'"")]"	0	
20	law jews jewish citizenship prevail nazis book great case german	3.0	1.8	2.0	2	'book' 'great'	2	"[(""'jews'"", ""'jewish'""), (""'nazis'"", ""'german'"")]"	1	'prevail'
21	zach descendent kelseyyrki torkel unresolvable explicable newusers reliogious tims kck	1.8	3.0	2.0	0		4	"[(""'zach'"", ""'tims'""), (""'descendent'"", ""'kelseyyrki'""), (""'newusers'"", ""'explicable'""), (""'reliogious'"", ""'unresolvable'"")]"	3	'kelseyyrki' 'tims' 'kck'
