ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	team cup toronto watch fan quebec sport chicago vancouver adams	2.0	1.6	3.0	2	'watch' 'adams'	0	[]	1	'adams'
1	use right time like good mean question problem thing state	2.0	2.0	3.0	2	'like' 'state'	1	"[(""'thing'"", ""'state'"")]"	0	
2	god believe belief question exist claim true christians idea truth	3.0	1.0	3.0	0		2	"[(""'believe'"", ""'belief'""), (""'exist'"", ""'true'"")]"	0	
3	svhs numner matting crystalize recommene toasterhead bequidistant itor mtd craftsman	1.0	1.4	1.8	4	'toasterhead' 'bequidistant' 'itor' 'mtd'	1	"[(""'svhs'"", ""'mtd'"")]"	4	'numner' 'recommene' 'bequidistant' 'itor'
4	disease concern response newsgroup kent easter translator patient forum science	2.0	2.0	3.0	3	'kent' 'easter' 'translator'	1	"[(""'disease'"", ""'patient'"")]"	1	'kent'
5	numner zipws mtd anthology bequidistant specualtion carlsbad matting recommene archiver	1.0	1.4	1.2	1	'carlsbad'	3	"[(""'numner'"", ""'mtd'""), (""'bequidistant'"", ""'recommene'""), (""'specualtion'"", ""'anthology'"")]"	7	'numner' 'zipws' 'bequidistant' 'specualtion' 'recommene' 'archiver' 'mtd'
6	svhs matting numner crystalize corporeal toasterhead itor cdq disemination anthology	1.0	2.4	2.0	3	'toasterhead' 'cdq' 'itor'	3	"[(""'svhs'"", ""'corporeal'""), (""'crystalize'"", ""'corporeal'""), (""'numner'"", ""'corporeal'"")]"	5	'numner' 'crystalize' 'toasterhead' 'itor' 'disemination'
7	numner sceptic syn probablity inb shadow daresbury corporeal baraff dresden	1.6	2.0	1.8	4	'dresden' 'baraff' 'daresbury' 'shadow'	6	"[(""'numner'"", ""'number'""), (""'sceptic'"", ""'skeptic'""), (""'syn'"", ""'sin'""), (""'probablity'"", ""'probability'""), (""'inb'"", ""'in'""), (""'baraff'"", ""'barf'"")]"	7	'numner' 'sceptic' 'probablity' 'inb' 'baraff' 'daresbury' 'syn'
8	know like time want think tell people thing look come	2.0	2.0	3.0	1	'thing'	2	"[(""'know'"", ""'think'""), (""'like'"", ""'want'"")]"	10	'know' 'like' 'time' 'want' 'think' 'tell' 'people' 'thing' 'look' 'come'
9	sale monitor offer card printer appreciate screen video meg upgrade	2.0	1.4	3.0	3	'appreciate' 'card' 'meg'	1	"[(""'monitor'"", ""'screen'"")]"	1	'meg'
