ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	use work problem need file program run dos bit write	2.6	2.4	3.0	1	'bit'	1	"[(""'file'"", ""'program'"")]"	0	
1	game team year score pick toronto cup van average shot	3.0	2.0	3.0	0		4	"[(""'team'"", ""'cup'""), (""'score'"", ""'average'""), (""'van'"", ""'toronto'""), (""'game'"", ""'year'"")]"	1	'van'
2	car engine ride tire drive speed rear gear auto transmission	3.0	2.0	3.0	1	'ride'	1	"[(""'car'"", ""'auto'"")]"	0	
3	space nasa orbit moon mission satellite solar flight astronomy planet	3.0	2.0	3.0	0		2	"[(""'space'"", ""'astronomy'""), (""'orbit'"", ""'solar'"")]"	0	
4	msg patient doctor disease health treatment medicine symptom headache hospital	3.0	2.0	3.0	1	'msg'	7	"[(""'patient'"", ""'patient'""), (""'doctor'"", ""'doctor'""), (""'disease'"", ""'disease'""), (""'health'"", ""'health'""), (""'treatment'"", ""'treatment'""), (""'medicine'"", ""'medicine'""), (""'symptom'"", ""'sympt"")]"	0	
5	sale ground circuit stereo radio receiver input box game sony	2.4	1.8	3.0	1	'game'	1	"[(""'stereo'"", ""'receiver'"")]"	0	
6	key clipper chip algorithm security encrypt phone scheme block patent	3.0	2.4	3.0	2	'phone' 'patent'	2	"[(""'chip'"", ""'algorithm'""), (""'security'"", ""'encrypt'"")]"	0	
7	israel jews jewish nazi war peace palestinians gaza jerusalem zionist	3.0	1.8	3.0	2	'peace' 'zionist'	1	"[(""'israel'"", ""'jewish'"")]"	0	
8	motherboard bus ram card upgrade mac simms processor cpu coprocessor	3.0	1.4	3.0	1	'mac'	1	"[(""'processor'"", ""'cpu'"")]"	1	'simms'
9	god church bible faith catholic christians matthew pope judas revelation	3.0	1.6	3.0	2	'judas' 'revelation'	1	"[(""'god'"", ""'faith'"")]"	0	
10	image colormap program animation bitmap graphics jpeg pixel pixmap convert	3.0	2.0	3.0	2	'program' 'convert'	1	"[(""'bitmap'"", ""'pixmap'"")]"	0	
11	scsi disk controller floppy tape boot mac cable quadra rom	2.6	2.0	3.0	1	'mac'	3	"[(""'disk'"", ""'tape'""), (""'floppy'"", ""'disk'""), (""'boot'"", ""'rom'"")]"	1	'quadra'
12	gun crime law amendment section state license military arm citizen	3.0	1.8	3.0	2	'military' 'arm'	3	"[(""'gun'"", ""'arm'""), (""'crime'"", ""'law'""), (""'amendment'"", ""'section'"")]"	0	
13	morality objective atheists political christian human subjective hudson definition absolute	2.6	2.0	3.0	2	'hudson' 'definition'	1	"[(""'atheists'"", ""'christian'"")]"	0	
14	apartment fbi tell building kill shout neighbor door time afraid	2.0	2.0	3.0	2	'tell' 'afraid'	1	"[(""'apartment'"", ""'building'"")]"	0	
15	turkish turks genocide soviet muslim massacre population history greeks republic	2.6	1.8	3.0	2	'greeks' 'republic'	1	"[(""'turkish'"", ""'turks'"")]"	0	
16	printer deskjet scanner bubblejet driver laserwriter laserjet printing cartridge inkjet	3.0	2.0	3.0	1	'driver'	4	"[(""'printer'"", ""'laserjet'""), (""'printer'"", ""'deskjet'""), (""'printer'"", ""'bubblejet'""), (""'printer'"", ""'inkjet'"")]"	0	
17	homosexual homosexuality percentage study abortion heterosexual abstinence church rape immoral	2.0	2.0	3.0	4	'abortion' 'abstinence' 'rape' 'immoral'	1	"[(""'homosexual'"", ""'homosexuality'"")]"	0	
18	monitor screen centris adapter mac viewsonic resolution spec vram cable	3.0	1.8	3.0	2	'centris' 'mac'	1	"[(""'monitor'"", ""'screen'"")]"	0	
