ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	action science national program department plan knowledge transfer state local	2.8	1.2	2.8	2	'action' 'plan'	3	[('science', 'knowledge'), ('state', 'national'), ('local', 'state')]	0	
1	actual series station fao meteorological classification weather eto aerial uav	3.0	1.2	2.4	2	'uav' 'fao'	8	"[(""'actual'"", ""'actual'""), (""'series'"", ""'series'""), (""'station'"", ""'station'""), (""'fao'"", ""'fao'""), (""'meteorological'"", ""'meteorological'""), (""'classification'"", ""'classification'""), (""'weather'"", ""'weather'""), (""'eto'"", ""'"")]"	1	'fao'
2	square mean correlation coefficient relationship error deviation length correlate linear	3.0	1.0	3.0	1	'length'	1	"[(""'correlation'"", ""'coefficient'"")]"	0	
3	expansion degradation cultivate cropland urban farmland arable land area forest	3.0	1.4	2.2	1	'urban'	5	"[(""'expansion'"", ""'degradation'""), (""'cultivate'"", ""'cropland'""), (""'land'"", ""'area'""), (""'farmland'"", ""'arable'""), (""'urban'"", ""'land'"")]"	1	'cultivate'
4	feed import product milk export industry cultivation dairy fuel cycle	3.0	1.4	3.0	2	'cycle' 'fuel'	3	"[(""'feed'"", ""'milk'""), (""'import'"", ""'export'""), (""'product'"", ""'fuel'"")]"	1	'cycle'
5	conventional practice rice weed paddy pest cultivation pesticide field technology	3.0	1.6	2.8	2	'weed' 'pest'	4	"[(""'conventional'"", ""'practice'""), (""'paddy'"", ""'rice'""), (""'pest'"", ""'pesticide'""), (""'cultivation'"", ""'field'"")]"	2	'weed' 'pest'
6	shallow seawater origin isotopic suitability dominant rock isotope district hard	3.0	1.6	2.2	1	'hard'	1	"[(""'seawater'"", ""'isotopic'"")]"	2	'isotopic' 'suitability'
7	block receive herbicide spray emergence week pre split plot control	2.8	1.4	2.0	2	'week' 'pre'	3	"[(""'herbicide'"", ""'spray'""), (""'plot'"", ""'block'""), (""'control'"", ""'pre'"")]"	1	'emergence'
8	cluster group principal structure component variance pattern analysis sampling type	3.0	1.6	3.0	1	'principal'	1	[('cluster', 'group')]	1	'principal'
9	rainfed lowland paddy trial upland university wet mixed irri institute	3.0	1.0	2.2	2	'university' 'institute'	3	"[(""'rainfed'"", ""'irri'""), (""'lowland'"", ""'paddy'""), (""'wet'"", ""'mixed'"")]"	1	'irri'
