ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	team cup toronto watch fan quebec sport chicago vancouver adams	2.4	2.8	3.0	1	'adams'	2	"[(""'team'"", ""'sport'""), (""'fan'"", ""'chicago'"")]"	0	
1	use right time like good mean question problem thing state	2.4	2.4	3.0	1	'mean'	8	"[(""'use'"", ""'use'""), (""'right'"", ""'right'""), (""'time'"", ""'time'""), (""'good'"", ""'good'""), (""'mean'"", ""'mean'""), (""'question'"", ""'question'""), (""'problem'"", ""'problem'""), (""'thing'"", ""'thing'"")]"	0	
2	god believe belief question exist claim true christians idea truth	3.0	2.2	3.0	0		3	"[(""'god'"", ""'christians'""), (""'belief'"", ""'truth'""), (""'truth'"", ""'true'"")]"	0	
3	svhs numner matting crystalize recommene toasterhead bequidistant itor mtd craftsman	2.0	1.6	2.0	4	'numner' 'bequidistant' 'itor' 'mtd'	6	"[(""'svhs'"", ""'svhs'""), (""'numner'"", ""'numner'""), (""'matting'"", ""'matting'""), (""'crystalize'"", ""'crystalize'""), (""'recommene'"", ""'recommene'""), (""'toasterhead'"", ""'"")]"	3	'numner' 'bequidistant' 'itor'
4	disease concern response newsgroup kent easter translator patient forum science	2.4	1.8	2.8	2	'easter' 'translator'	4	"[(""'disease'"", ""'patient'""), (""'concern'"", ""'response'""), (""'newsgroup'"", ""'forum'""), (""'science'"", ""'translator'"")]"	0	
5	numner zipws mtd anthology bequidistant specualtion carlsbad matting recommene archiver	2.2	2.0	2.0	3	'recommene' 'numner' 'anthology'	4	"[(""'numner'"", ""'number'""), (""'mtd'"", ""'matt'""), (""'carlsbad'"", ""'carlsbad'""), (""'recommene'"", ""'recommend'"")]"	4	'numner' 'recommene' 'zipws' 'archiver'
6	svhs matting numner crystalize corporeal toasterhead itor cdq disemination anthology	2.2	1.6	1.8	4	'numner' 'itor' 'cdq' 'disemination'	4	"[(""'svhs'"", ""'cdq'""), (""'matting'"", ""'disemination'""), (""'numner'"", ""'itor'""), (""'crystalize'"", ""'anthology'"")]"	4	'numner' 'itor' 'disemination' 'cdq'
7	numner sceptic syn probablity inb shadow daresbury corporeal baraff dresden	2.0	1.6	2.0	2	'numner' 'baraff'	4	"[(""'numner'"", ""'probablity'""), (""'sceptic'"", ""'daresbury'""), (""'syn'"", ""'corporeal'""), (""'inb'"", ""'baraff'"")]"	3	'numner' 'inb' 'baraff'
8	know like time want think tell people thing look come	2.4	2.4	2.8	0		2	"[(""'know'"", ""'think'""), (""'like'"", ""'want'"")]"	0	
9	sale monitor offer card printer appreciate screen video meg upgrade	2.4	2.2	2.8	2	'appreciate' 'meg'	2	"[(""'monitor'"", ""'screen'""), (""'upgrade'"", ""'meg'"")]"	0	
10	thank appreciate advance pointer anybody ini suggestion utility greatly fix	2.4	2.2	2.8	1	'pointer'	2	"[(""'thank'"", ""'appreciate'""), (""'suggestion'"", ""'utility'"")]"	0	
11	sale new offer sell price win shipping player van stevens	2.6	2.2	2.8	2	'van' 'stevens'	8	"[(""'price'"", ""'price'""), (""'new'"", ""'new'""), (""'sale'"", ""'sale'""), (""'offer'"", ""'offer'""), (""'sell'"", ""'sell'""), (""'win'"", ""'win'""), (""'shipping'"", ""'shipping'""), (""'player'"", ""'player'"")]"	0	
12	numner anthology matting crystalize bequidistant dispell mtd toasterhead carlsbad itor	2.4	2.2	1.8	4	'numner' 'toasterhead' 'carlsbad' 'itor'	2	"[(""'matting'"", ""'mtd'""), (""'crystalize'"", ""'itor'"")]"	0	
13	year think want work talk cost program people pay care	3.0	2.2	3.0	0		3	"[(""'year'"", ""'time'""), (""'work'"", ""'job'""), (""'pay'"", ""'salary'"")]"	0	
14	government information state san year new police political francisco law	3.0	2.2	2.8	2	'san' 'francisco'	2	"[(""'government'"", ""'political'""), (""'information'"", ""'state'"")]"	0	
15	think use bit question people dos mov mean right way	2.8	2.2	2.8	2	'dos' 'mov'	2	"[(""'think'"", ""'people'""), (""'use'"", ""'way'"")]"	0	
16	key chip use number bit clipper message encrypt algorithm public	2.4	2.4	2.8	0		2	"[(""'key'"", ""'public'""), (""'bit'"", ""'number'"")]"	0	
17	svhs matting crystalize toasterhead itor cdq disemination orientiation sceptic welbon	2.4	2.0	2.2	3	'cdq' 'welbon' 'itor'	3	"[(""'svhs'"", ""'toasterhead'""), (""'cdq'"", ""'disemination'""), (""'orientiation'"", ""'welbon'"")]"	5	'crystalize' 'itor' 'cdq' 'orientiation' 'welbon'
18	rear luck chicago somebody toronto clean shop btw expensive hot	2.6	2.2	2.8	2	'btw' 'expensive'	1	"[(""'clean'"", ""'shop'"")]"	0	
19	use file run program support like available ftp need mail	2.6	1.8	3.0	0		8	"[(""'use'"", ""'use'""), (""'file'"", ""'file'""), (""'run'"", ""'run'""), (""'program'"", ""'program'""), (""'support'"", ""'support'""), (""'like'"", ""'like'""), (""'available'"", ""'available'""), (""'ftp'"", ""'ftp'"")]"	0	
20	god jesus man life day christ thing come world church	2.6	2.0	3.0	2	'thing' 'come'	8	"[(""'god'"", ""'jesus'""), (""'day'"", ""'day'""), (""'man'"", ""'man'""), (""'life'"", ""'life'""), (""'come'"", ""'come'""), (""'thing'"", ""'thing'""), (""'world'"", ""'world'""), (""'church'"", ""'church'"")]"	0	
21	time good like way year problem cause result think help	2.2	1.8	3.0	2	'like' 'help'	2	"[(""'time'"", ""'year'""), (""'like'"", ""'think'"")]"	0	
