ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	action science national program department plan knowledge transfer state local	2.0	2.0	3.0	0		2	"[(""'action'"", ""'program'""), (""'state'"", ""'local'"")]"	0	
1	actual series station fao meteorological classification weather eto aerial uav	2.0	2.0	3.0	2	'fao' 'eto'	2	"[(""'station'"", ""'station'""), (""'weather'"", ""'weather'"")]"	0	
2	square mean correlation coefficient relationship error deviation length correlate linear	3.0	2.0	3.0	1	length	2	"[(""'mean'"", ""'coefficient'""), (""'linear'"", ""'correlation'"")]"	0	
3	expansion degradation cultivate cropland urban farmland arable land area forest	3.0	2.0	3.0	2	urban forest	2	"[(""'land'"", ""'area'""), (""'cropland'"", ""'farmland'"")]"	1	'urban' - While a common word
4	feed import product milk export industry cultivation dairy fuel cycle	2.0	2.0	3.0	2	fuel cycle	3	"[(""'feed'"", ""'milk'""), (""'dairy'"", ""'milk'""), (""'industry'"", ""'product'"")]"	0	
5	conventional practice rice weed paddy pest cultivation pesticide field technology	3.0	2.0	3.0	1	technology	2	"[(""'rice'"", ""'paddy'""), (""'weed'"", ""'pest'"")]"	0	
6	shallow seawater origin isotopic suitability dominant rock isotope district hard	2.0	2.0	3.0	0		2	"[(""'isotope'"", ""'rock'""), (""'isotope'"", ""'origin'"")]"	0	
7	block receive herbicide spray emergence week pre split plot control	2.8	2.0	3.0	2	'week' 'pre'	2	"[(""'block'"", ""'plot'""), (""'pre'"", ""'control'"")]"	0	
8	cluster group principal structure component variance pattern analysis sampling type	3.0	2.0	3.0	3	variance sampling type	3	"[(""'cluster'"", ""'group'""), (""'principal'"", ""'component'""), (""'variance'"", ""'structure'"")]"	0	
9	rainfed lowland paddy trial upland university wet mixed irri institute	2.0	2.0	3.0	3	'trial' 'university' 'institute'	1	"[(""'paddy'"", ""'irri'"")]"	0	
10	irrigation reduce drainage water practice saline efficiency management source loss	3.0	2.0	3.0	0		3	"[(""'water'"", ""'drainage'""), (""'water'"", ""'source'""), (""'water'"", ""'loss'"")]"	1	'saline' - While a valid word
