ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	job people work president think year program money congress fund	2.4	2.0	3.0	1	'program'	1	"[(""'job'"", ""'work'"")]"	0	
1	san information billion police angeles francisco los california anti york	2.2	2.2	2.2	0		3	"[(""'angeles'"", ""'francisco'""), (""'los'"", ""'angeles'""), (""'san'"", ""'francisco'"")]"	2	'san' 'los'
2	god jesus bible man christian christ love come word believe	3.0	1.8	3.0	2	'man' 'come'	2	"[(""'jesus'"", ""'christ'""), (""'bible'"", ""'word'"")]"	0	
3	people morality objective person death think life moral rule murder	2.8	2.0	3.0	2	'objective' 'rule'	1	"[(""'people'"", ""'person'"")]"	0	
4	stuff moon secure think van sun tony michael happy guess	2.0	2.2	2.8	2	'tony' 'michael'	0	[]	0	
5	article argument jim science quote ethnic context apr posting statement	2.0	2.2	2.6	2	'jim' 'apr'	2	"[(""'article'"", ""'posting'""), (""'statement'"", ""'quote'"")]"	1	'apr'
6	window hope henrik newsreader peace manager tin display want know	1.6	2.0	3.0	1	'tin'	0	[]	0	
7	program unit music server link cross software disk windows use	2.2	2.0	3.0	2	'music' 'link'	3	"[(""'server'"", ""'disk'""), (""'server'"", ""'software'""), (""'server'"", ""'windows'"")]"	0	
8	weapon court expansion legal age capital carry use penalty prison	2.6	2.0	3.0	0		3	"[(""'weapon'"", ""'carry'""), (""'court'"", ""'legal'""), (""'penalty'"", ""'prison'"")]"	0	
9	win senior idea bank sign reagan think predict way mix	2.0	2.4	2.8	1	'reagan'	1	"[(""'senior'"", ""'reagan'"")]"	0	
10	people come know tell think happen start leave woman like	2.4	2.4	3.0	1	'like'	2	"[(""'know'"", ""'tell'""), (""'start'"", ""'leave'"")]"	0	
11	government attack minority people force use think state civilian law	2.6	2.0	3.0	1	'use'	1	"[(""'government'"", ""'state'"")]"	0	
12	people believe god religion human church mean exist life christian	3.0	1.6	3.0	2	'mean' 'exist'	2	"[(""'god'"", ""'religion'""), (""'religion'"", ""'christian'"")]"	0	
13	question post answer newsgroup discussion ask read thread new mike	3.0	2.0	3.0	1	'mike'	3	"[(""'question'"", ""'ask'""), (""'post'"", ""'thread'""), (""'discussion'"", ""'thread'"")]"	1	'mike'
14	jewish black jews wrong search race delete story know land	2.0	1.8	2.8	3	'wrong' 'search' 'delete'	1	"[(""'jewish'"", ""'jews'"")]"	0	
15	drug use error correct value plant list crack property line	1.8	2.2	3.0	2	'plant' 'line'	1	"[(""'use'"", ""'value'"")]"	1	'crack'
16	sexual sex double know verdict admit child orientation thing think	2.0	2.0	3.0	0		1	"[(""'sexual'"", ""'sex'"")]"	0	
17	research secretary president committee organization university material center agency national	2.6	2.0	3.0	2	'material' 'center'	1	"[(""'university'"", ""'center'"")]"	0	
18	health care pay private canada condition year average good excellent	2.8	2.0	3.0	2	'good' 'excellent'	1	"[(""'health'"", ""'care'"")]"	0	
19	space earth nasa launch energy orbit mission image satellite flight	3.0	2.0	3.0	1	'energy'	2	"[(""'earth'"", ""'orbit'""), (""'mission'"", ""'flight'"")]"	0	
20	sound fan left like right screw cheer straight spread funny	2.0	2.2	3.0	0		3	"[(""'left'"", ""'right'""), (""'straight'"", ""'spread'""), (""'funny'"", ""'cheer'"")]"	0	
21	drive hard tape problem supply internal pin disk work power	2.6	2.4	3.0	1	'power'	1	"[(""'disk'"", ""'tape'"")]"	0	
