ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	super self hoe january mix ordinarylife save hit damn piss	1.0	2.0	2.0	4	'hoe' 'piss' 'damn' 'january'	1	"[(""'super'"", ""'self'"")]"	1	'hoe'**: While a word
1	friend society workout instead health step lot fitness quit week	2.0	2.0	3.0	3	ˈɪnˈsted ˈlɒt ˈkwɪt	2	"[(""'fitness'"", ""'workout'""), (""'health'"", ""'fitness'"")]"	1	instead:** While a valid word
2	stay woman hour meet friend girl fail twice accomplish fitness	2.0	2.0	3.0	0		1	"[(""'woman'"", ""'girl'"")]"	0	
3	instagram facebook peace emotion earth wit truth patients black tennis	1.8	2.0	3.0	0		1	"[(""'peace'"", ""'truth'"")]"	0	
4	arm high human writing finish action shoe buy mouth pure	1.4	2.0	3.0	1	ˈʃuː	1	"[(""'human'"", ""'mouth'"")]"	1	'pure' - While a valid word
5	kiss harmony lmfao nipple currently unproductive page cardio chafe dramatically	1.0	2.0	2.0	6	'lmfao' 'currently' 'unproductive' 'page' 'cardio' 'dramatically'	1	"[(""'kiss'"", ""'harmony'"")]"	0	
6	stay gym gain focus read look cookie hand study parent	2.0	2.0	3.0	0		1	"[(""'hand'"", ""'hand'"")]"	0	
7	loosen juice path enjoy condescend writerslife christmas idk properly bacon	1.0	2.0	2.6	3	ˈidk properly condescend	1	"[(""'idk'"", ""'properly'"")]"	0	
8	jammed list hopefully bae shape weight wheel turbo order coilover	2.0	2.0	2.0	0		1	"[(""'coilover'"", ""'turbo'"")]"	0	
9	home buy real phone record deserve hahaha successfully fit training	2.0	2.0	3.0	4	ˈhahahaˈ ˈsuccessfullyˈ ˈfitˈ ˈtrainingˈ	1	"[(""'home'"", ""'real'"")]"	0	
10	res workinn lazyy imaa ready asf delete wage shall high	2.0	2.0	1.8	4	'lazyy' 'delete' 'shall' 'high'	1	"[(""'res'"", ""'delete'"")]"	0	
11	learn bad weight gym week way read lmfao kiss watch	2.0	2.0	2.0	3	'lmfao' 'kiss' 'read'	1	"[(""'lmfao'"", ""'kiss'"")]"	0	
12	true rid listen fucking self alcohol job bud focused term	2.0	2.0	2.0	2	ˈfʌkɪŋ ˈrid	1	"[(""'true'"", ""'rid'"")]"	1	'rid'**: While it *can* be a word
13	bible smoke jesus appreciated draw dont bud fucking workout harbaugh	1.0	2.0	2.0	0		1	"[(""'dont'"", ""'fucking'"")]"	1	'fucking'**: While a valid word
14	meet bitch game bite poorly ready pack weird pic girl	2.0	2.0	2.0	4	'poorly' 'ready' 'pack' 'pic'	1	"[(""'girl'"", ""'bitch'"")]"	0	
