	model	number of topics	topic id	topic words	text id	paper id	text	labels	llm_model	llm_model	under_coverage_example	over_coverage_example	under_coverage	over_coverage
0	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	138593	40549	the result be as follow :	equations | water conservation | soil aggregates | air drying | alkaline soils | soil structure | maize | soil organic matter | particle size | straw | irrigation | organic matter	gemma	gemma	"[']', ']', ']', ']\n\n**Reasoning:**\n\nThe document simply states ""the result be as follow :"". It doesn\'t provide any actual content or information', '][]\n\n**Explanation:**\n\nThe document ""the result be as follow :"" doesn\'t contain any of the words provided in the topic word set.']"	"['][]\n\n**Reasoning:**\n\nThe document ""the result be as follow :"" is a very short, incomplete sentence. It doesn\'t provide any', '][]\n\n**Reasoning:**\n\nThe document fragment ""the result be as follow :"" is extremely short and lacks context. It simply indicates that results are', '][]\n\n**Reasoning:**\n\nThe document snippet ""the result be as follow :"" is extremely short and lacks context. It\'s simply a phrase', '][]\n\n**Reasoning:**\n\nThe document fragment ""the result be as follow :"" is extremely short and lacks context. It simply states ""the result', '][]\n\n**Reasoning:**\n\nThe document ""the result be as follow :"" is a very short, incomplete phrase. It doesn\'t provide any']"	0.0	0.0
1	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	287062	47616	experiment in control condition include treatment combination of experimental factor , with two intensity of sand burial , rhizobial inoculation and two type of NaCl treatment ( soil irrigation and foliar spray ) .	Anthyllis | biocenosis | biocoenosis | biomass | botany | chlorophylls | enzyme activity | irrigation | peroxidases | petioles | physiological response | salinity | sand | soil | symbiosis	gemma	gemma	"[""'experiment', \n'control condition', \n'treatment', \n'combination', \n'factor', \n'rhiz"", ""'experiment', 'condition', 'treatment', 'combination', 'factor', 'rhizobial', 'inoculation', 'type', '"", ""'experiment', \n'control condition', \n'treatment', \n'factor', \n'rhizobial inoculation',"", ""'experiment', \n'treatment', \n'combination', \n'factor', \n'rhizobial', \n'"", ""'experiment', 'treatment', 'combination', 'factor', 'rhizobial', 'inoculation', 'soil', 'irrigation',""]"	"[""'concentration', \n'nutrient', \n'solution', \n'weed', \n'germination', \n'herbicide"", ""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide'\n]\n\n**"", ""'concentration', \n'nutrient', \n'solution', \n'weed', \n'germination', \n'herbicide"", ""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide'\n]\n<end_of_turn>"", ""'concentration', \n'nutrient', \n'solution', \n'weed', \n'germination', \n'herbicide""]"	7.2	6.0
2	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	106831	12509	seepage loss from these unlined channel can be significantly alter relative to untreated control by manipulate the sediment particle size and concentration and pam concentration of irrigation water inflow .	irrigation canals | soil amendments | polyacrylamide | drainage water | clay | irrigation water	gemma	gemma	"[""'sediment', 'particle size', 'irrigation', 'channel' \n]"", ""'sediment', 'particle size', 'channel', 'irrigation'\n]"", ""'sediment', 'particle size', 'irrigation', 'channel', 'loss'\n]"", ""'sediment', 'particle size', 'irrigation', 'channel', 'loss'\n]"", ""'sediment', 'particle size', 'channel', 'irrigation'\n]""]"	"[""'nutrient', \n'solution', \n'weed', \n'germination', \n'herbicide', \n'n"", ""'nutrient', \n'solution', \n'weed', \n'germination', \n'herbicide', \n'n"", ""'nutrient', \n'solution', \n'weed', \n'germination', \n'herbicide', \n'n"", ""'nutrient', \n'solution', \n'weed', \n'germination', \n'herbicide', \n'n"", ""'nutrient', \n'solution', \n'weed', \n'germination', \n'herbicide', \n'n""]"	4.4	6.0
3	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	106406	31638	reduction in hydraulic conductivity from the control be determine as both observe and predict datum .	irrigation systems | models | planning | hydraulic conductivity | dispersions | sodium | swelling | water quality | electrolytes | guidelines | irrigation water	gemma	gemma	"[""'hydraulic conductivity', 'datum', 'observe', 'predict' \n]"", ""'hydraulic conductivity', 'datum', 'observe', 'predict' \n]"", ""'hydraulic conductivity', 'datum', 'observe', 'predict' \n]"", ""'hydraulic conductivity', 'datum' \n]"", ""'hydraulic conductivity', 'datum'\n]""]"	"[""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide',\n'nacl"", ""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide',\n'nacl"", ""'concentration', \n'nutrient', \n'solution', \n'weed', \n'germination', \n'herbicide"", ""'concentration', \n'nutrient', \n'solution', \n'weed', \n'germination', \n'herbicide"", ""'concentration',\n'nutrient',\n'solution',\n'weed',\n'germination',\n'herbicide',\n'nacl""]"	3.2	6.6
4	lda	50	0	concentration control nutrient solution weed germination herbicide nacl spray foliar	20109	30066	result show that seed germination be not negatively affect by Al , but the germination rate decrease in both cultivar .	aluminium | roots | cultivars | irrigation water | proline | germination | vigour | vigor | seeds | Lactuca sativa | municipal wastewater | seed germination | aluminum | shoots | toxicity | seedlings | crop yield | irrigation rates | acid soils	gemma	gemma	"[""'concentration', 'nutrient', 'solution' \n]"", ""'concentration', 'nutrient', 'solution'\n]"", ""'concentration', 'nutrient', 'solution'\n]"", ""'concentration', 'nutrient', 'solution' \n]"", ""'concentration', 'nutrient', 'solution'\n]""]"	"[""'concentration', \n'control', \n'nutrient', \n'solution', \n'weed', \n'herbicide',"", ""'concentration', \n'control', \n'nutrient', \n'solution', \n'weed', \n'herbicide',"", ""'concentration', \n'control', \n'nutrient', \n'solution', \n'weed', \n'herbicide',"", ""'concentration', \n'control', \n'nutrient', \n'solution', \n'weed', \n'herbicide',"", ""'concentration', \n'control', \n'nutrient', \n'solution', \n'weed', \n'herbicide',""]"	3.0	7.0
5	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	438338	41845	for this purpose , the target area be identify after the development of a land - use map for the basin .	irrigation systems | rapeseed | drought | risk | cost benefit analysis | ecosystems | lakes | land use | environment | soybeans | basins | watersheds | Iran (Islamic Republic of) | Carthamus tinctorius	gemma	gemma	"[""'variability', \n'runoff', \n'sediment'\n]"", ""'variability', \n'runoff', \n'sediment' \n]"", ""'variability', 'runoff', 'sediment'\n]"", ""'variability', \n'runoff', \n'sediment'\n]"", ""'runoff',\n'sediment'\n]""]"	"[""'source', \n'variability', \n'runoff', \n'district', \n'sediment', \n'cult"", ""'source', \n'variability', \n'runoff', \n'district', \n'sediment', \n'cult"", ""'source', \n'variability', \n'runoff', \n'district', \n'sediment', \n'cult"", ""'source', \n'variability', \n'runoff', \n'district', \n'sediment', \n'cult"", ""'source', \n'variability', \n'runoff', \n'district', \n'sediment', \n'cult""]"	2.8	6.0
6	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	226728	29297	it be suggest that the chemical component of sediment and groundwater be mainly originate from source rock and seawater intrusion , with the minor impact of irrigation and industry .	iron | multivariate analysis | silicon | manganese | saltwater intrusion | strontium | irrigation | industry | neural networks | principal component analysis | calcium | sodium | aluminum | chlorides | potassium | silicones | groundwater | magnesium | watersheds	gemma	gemma	"[""'variability', \n'runoff', \n'district',\n'cultivate',\n'expansion',\n'cropland'"", ""'variability', \n'runoff', \n'cultivate', \n'expansion', \n'cropland' \n]"", ""'variability', \n'runoff' \n]"", ""'variability', \n'runoff', \n'cultivate', \n'expansion', \n'cropland' \n]"", ""'variability', 'runoff', 'district', 'cultivate', 'expansion', 'cropland' \n]\n\n**Reasoning:**""]"	"[""'area', \n'variability', \n'runoff', \n'district', \n'cultivate', \n'expansion"", ""'area', \n'variability', \n'runoff', \n'district', \n'cultivate', \n'expansion"", ""'area', \n'variability', \n'runoff', \n'district', \n'cultivate', \n'expansion"", ""'area', \n'variability', \n'runoff', \n'district', \n'cultivate', \n'expansion"", ""'area', \n'variability', \n'runoff', \n'district', \n'cultivate', \n'expansion""]"	4.8	6.0
7	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	150472	47234	the Villavicencio region ( Colombia ) be an equatorial area where rainfall ( near mm / year ) and temperature ( average ° c ) be high .	Colombia | agricultural land | arable soils | climatic factors | ecosystems | environmental assessment | heavy metals | irrigated soils | irrigation | leaching | organic matter | public health | rain | river water | rivers | soil properties | temperature | toxicity | trace elements | wastes | wastewater irrigation | water pollution	gemma	gemma	"[""'variability', \n'runoff', \n'sediment' \n]"", ""'variability', \n'runoff', \n'sediment', \n'cultivate', \n'expansion', \n'"", ""'variability', \n'runoff', \n'sediment', \n'cultivate', \n'expansion', \n'"", ""'variability', \n'runoff', \n'sediment' \n]"", ""'variability', \n'runoff', \n'sediment' \n]""]"	"[""'source', \n'variability', \n'runoff', \n'sediment', \n'cultivate', \n'"", ""'source', \n'variability', \n'runoff', \n'sediment', \n'cultivate', \n'"", ""'source', \n'variability', \n'runoff', \n'sediment', \n'cultivate', \n'"", ""'source', \n'variability', \n'runoff', \n'sediment', \n'cultivate', \n'"", ""'source', \n'variability', \n'runoff', \n'sediment', \n'cultivate', \n'""]"	4.2	6.0
8	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	105437	26336	specie composition and spatio - temporal abundance of Anopheles ( Diptera : Culicidae ) larvae and their relationship with environmental variable be study in an endemic malarious area of northwestern Argentina , where Anopheles pseudopunctipennis be the main vector involve in malaria transmission .	environmental factors | Argentina (fish) | irrigation canals | risk | longitudinal studies | ponds | species diversity | Argentina | spring | habitats | larvae | water temperature | malaria | control methods | autumn | regression analysis	gemma	gemma	"[""'spatie - temporal abundance', 'larvae', 'relationship', 'environmental variable', 'malaria transmission'\n]"", ""'spatie - temporal abundance', 'larvae', 'relationship', 'environmental variable', 'malaria transmission'\n]"", ""'spatie - temporal abundance', 'larvae', 'relationship', 'environmental variable', 'malaria transmission'\n]"", ""'spatie - temporal abundance', 'larvae', 'relationship', 'environmental variable', 'vector', 'malaria transmission'\n]"", ""'spatie - temporal abundance',\n'specie composition',\n'relationship'\n]""]"	"[""'source', \n'variability', \n'district', \n'sediment', \n'cultivate', \n'"", ""'source', \n'variability', \n'district', \n'sediment', \n'cultivate', \n'"", ""'source', \n'variability', \n'district', \n'sediment', \n'cultivate', \n'"", ""'source',\n'variability',\n'district',\n'sediment',\n'cultivate',\n'expansion',\n'cro"", ""'source', \n'variability', \n'district', \n'sediment', \n'cultivate', \n'""]"	4.8	6.2
9	lda	50	1	area source variability runoff district sediment cultivate expansion cropland width	170739	43036	in Europe , soybean still play a minor role and be cultivate mainly in the South and East .	rice | wheat | cotton | protein content | tofu | soybeans | soy protein | yield stability | proteins | cultivars | agronomy | irrigation | climate | temperature | Germany	gemma	gemma	"[""'variability', 'runoff', 'sediment'\n]"", ""'variability', \n'runoff', \n'sediment' \n]"", ""'variability', \n'runoff', \n'sediment'\n]"", ""'variability', \n'runoff', \n'sediment' \n]"", ""'variability', \n'runoff', \n'sediment' \n]""]"	"[""'variability',\n'runoff',\n'sediment',\n'expansion',\n'width'\n]"", ""'variability', \n'runoff', \n'sediment', \n'expansion', \n'width' \n]"", ""'variability', \n'runoff', \n'sediment', \n'expansion', \n'width'\n]\n<end_of_turn>"", ""'variability', \n'runoff', \n'sediment', \n'expansion', \n'width' \n]"", ""'variability', \n'runoff', \n'sediment', \n'expansion', \n'width' \n]""]"	3.0	5.0
