ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	guitar everyday learn yes black school big sugar gym motto	2.0	2.0	3.0	2	'yes' 'motto'	1	"[(""'yes'"", ""'no'"")]"	0	
1	smoking gain waste fat ticket lose husband way newyearnewme cookie	2.0	2.0	3.0	3	'ticket' 'husband' 'cookie'	2	"[(""'newyearnewme'"", ""'way'""), (""'cookie'"", ""'way'"")]"	0	
2	priority effort lose pound watch realistic moment reality super chicken	2.0	2.0	2.0	2	'super' 'chicken'	2	"[(""'priority'"", ""'super'""), (""'moment'"", ""'reality'"")]"	0	
3	party fail simply half track better york tall channel idk	2.0	2.0	2.0	2	'idk' 'york'	1	"[(""'york'"", ""'york'"")]"	0	
4	share star monday tone definitely come effect homeless learn shit	1.2	2.0	1.6	2	'homeless' 'shit'	1	"[(""'monday'"", ""'come'"")]"	0	
5	fresh family oop spend eve calendar app yesterday healthy rockin	2.0	2.0	3.0	4	'oop' 'calendar' 'app' 'yesterday'	2	"[(""'family'"", ""'eve'""), (""'healthy'"", ""'fresh'"")]"	0	
6	stuff pack dick buy adventure music haha attitude goal save	2.0	2.0	2.0	2	'haha' 'attitude'	2	"[(""'pack'"", ""'stuff'""), (""'attitude'"", ""'haha'"")]"	0	
7	completely fake candy begin pop email trust battle deal emotion	2.0	2.0	3.0	2	begin emotion	2	"[(""'candy'"", ""'pop'""), (""'trust'"", ""'fake'"")]"	0	
8	travel fucking burn draw tattoo internship band course settle delete	2.0	2.0	2.0	2	internship settle	2	"[(""'burn'"", ""'delete'""), (""'tattoo'"", ""'draw'"")]"	0	
9	habit catch season home difference break wife sleep popular healthy	2.0	2.0	3.0	2	'wife' 'popular'	2	"[(""'habit'"", ""'healthy'""), (""'home'"", ""'wife'"")]"	0	
10	chuck paper special lie state lmao watch dead blair netflix	2.0	2.0	2.0	2	'netflix' 'lmao'	2	"[(""'chuck'"", ""'blair'""), (""'netflix'"", ""'watch'"")]"	0	
11	control water clothe box physically mentally res read baseball tough	2.0	2.0	2.2	2	'baseball' 'tough'	2	"[(""'control'"", ""'res'""), (""'water'"", ""'res'"")]"	0	
12	fast beat involve able truth advice winter instagram potato twitter	2.0	2.0	3.0	4	'winter' 'potato' 'instagram' 'twitter'	1	"[(""'instagram'"", ""'twitter'"")]"	2	'instagram' 'twitter'
13	mistake meet long accept fuck sorry passion great niggas release	2.0	2.0	1.0	2	'passion' 'great'	2	"[(""'sorry'"", ""'mistake'""), (""'passion'"", ""'great'"")]"	2	'fuck' 'niggas'
14	house asshole mouth consider little today creative drop free heart	2.0	2.0	2.0	0		1	"[(""'house'"", ""'heart'"")]"	0	
15	ball song weight hear energy toilet believe challenge increase god	2.0	2.0	3.0	1	'god'	1	"[(""'god'"", ""'believe'"")]"	0	
16	instead shoe sock treat visit community officially crack rich earth	2.0	2.0	2.0	2	'rich' 'earth'	2	"[(""'shoe'"", ""'sock'""), (""'rich'"", ""'earth'"")]"	1	'officially' - While a valid word
17	car january complain birthday guy amazing use look laugh bad	2.0	2.0	2.0	2	'january' 'birthday'	2	"[(""'car'"", ""'guy'""), (""'bad'"", ""'laugh'"")]"	1	'january' - While a valid word
18	baby early active bit shoot clear fall gym bullshit goal	2.0	2.0	2.0	0		2	"[(""'baby'"", ""'goal'""), (""'early'"", ""'bullshit'"")]"	0	
19	hashtag week favorite gossip meat reason tonight watch team text	2.0	2.0	3.0	2	'meat' 'text'	2	"[(""'hashtag'"", ""'text'""), (""'week'"", ""'tonight'"")]"	0	
20	open photo problem level block quit publish cup hair film	2.0	2.0	3.0	0		2	"[(""'photo'"", ""'film'""), (""'cup'"", ""'level'"")]"	0	
21	ready complete dance true afraid dad chorgrapher mom god dream	2.0	2.0	3.0	2	'dance' 'dream'	2	"[(""'dad'"", ""'mom'""), (""'god'"", ""'true'"")]"	0	
