ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	guitar everyday learn yes black school big sugar gym motto	2.0	2.0	3.0	3	ˈblæk ˈdʒɪm ˈmɒtoʊ	1	"[(""'yes'"", ""'learn'"")]"	0	
1	smoking gain waste fat ticket lose husband way newyearnewme cookie	2.0	2.0	3.0	0		1	"[(""'gain'"", ""'lose'"")]"	0	
2	priority effort lose pound watch realistic moment reality super chicken	2.0	2.0	3.0	0		1	"[(""'reality'"", ""'realistic'"")]"	0	
3	party fail simply half track better york tall channel idk	1.0	2.0	2.0	3	'idk' 'tall' 'channel'	1	"[(""'idk'"", ""'fail'"")]"	0	
4	share star monday tone definitely come effect homeless learn shit	1.0	2.0	2.0	1	ˈʃɪt	1	"[(""'definitely'"", ""'come'"")]"	1	'shit'**: While a valid word
5	fresh family oop spend eve calendar app yesterday healthy rockin	2.0	2.0	3.0	2	oop rockin	1	"[(""'yesterday'"", ""'eve'"")]"	0	
6	stuff pack dick buy adventure music haha attitude goal save	2.0	2.0	2.0	1	ˈdɪk	1	"[(""'buy'"", ""'save'"")]"	0	
7	completely fake candy begin pop email trust battle deal emotion	2.0	2.0	3.0	0		1	"[(""'fake'"", ""'completely'"")]"	0	
8	travel fucking burn draw tattoo internship band course settle delete	2.0	2.0	2.0	5	ˈfucking delete course settle internship	1	"[(""'delete'"", ""'burn'"")]"	1	'fucking'**: While a valid word
9	habit catch season home difference break wife sleep popular healthy	2.0	2.0	3.0	4	'catch' 'season' 'difference' 'popular'	1	"[(""'habit'"", ""'healthy'"")]"	0	
10	chuck paper special lie state lmao watch dead blair netflix	2.0	2.0	2.0	2	'lmao' 'dead'	1	"[(""'dead'"", ""'lie'"")]"	0	
11	control water clothe box physically mentally res read baseball tough	2.0	2.0	2.0	4	'baseball' 'read' 'tough' 'res'	1	"[(""'physically'"", ""'mentally'"")]"	1	'clothe'**: While a word
12	fast beat involve able truth advice winter instagram potato twitter	1.2	2.0	3.0	4	'potato' 'winter' 'instagram' 'twitter'	1	"[(""'twitter'"", ""'instagram'"")]"	0	
