ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	team cup toronto watch fan quebec sport chicago vancouver adams	2.0	3.0	3.0	1	'adams'	7	"[(""'team'"", ""'team'""), (""'cup'"", ""'cup'""), (""'toronto'"", ""'toronto'""), (""'watch'"", ""'watch'""), (""'fan'"", ""'fan'""), (""'quebec'"", ""'quebec'""), (""'sport'"", ""'sport'"")]"	0	
1	use right time like good mean question problem thing state	2.0	2.6	3.0	5	'like' 'mean' 'question' 'problem' 'thing'	8	"[(""'use'"", ""'use'""), (""'right'"", ""'right'""), (""'time'"", ""'time'""), (""'like'"", ""'like'""), (""'good'"", ""'good'""), (""'mean'"", ""'mean'""), (""'question'"", ""'question'""), (""'problem'"", ""'problem'"")]"	0	
2	god believe belief question exist claim true christians idea truth	3.0	2.0	3.0	3	'claim' 'idea' 'question'	2	"[(""'believe'"", ""'belief'""), (""'true'"", ""'truth'"")]"	0	
3	svhs numner matting crystalize recommene toasterhead bequidistant itor mtd craftsman	1.0	3.0	1.0	5	'numner' 'recommene' 'toasterhead' 'bequidistant' 'itor'	6	"[(""'svhs'"", ""'svhs'""), (""'numner'"", ""'numner'""), (""'matting'"", ""'matting'""), (""'crystalize'"", ""'crystalize'""), (""'recommene'"", ""'recommene'""), (""'toasterhead'"", ""'"")]"	2	'numner' (likely a typo for 'number') 'recommene' (likely a typo for 'recommend')
4	disease concern response newsgroup kent easter translator patient forum science	2.0	3.0	3.0	4	'kent' 'easter' 'translator' 'forum'	4	"[(""'disease'"", ""'patient'""), (""'concern'"", ""'response'""), (""'newsgroup'"", ""'forum'""), (""'translator'"", ""'science'"")]"	0	
5	numner zipws mtd anthology bequidistant specualtion carlsbad matting recommene archiver	1.0	3.0	1.0	7	'numner' 'zipws' 'mtd' 'bequidistant' 'specualtion' 'recommene' 'archiver'	2	"[(""'numner'"", ""'recommene'""), (""'zipws'"", ""'archiver'"")]"	0	
6	svhs matting numner crystalize corporeal toasterhead itor cdq disemination anthology	1.0	3.0	2.0	3	'toasterhead' 'cdq' 'itor'	1	"[(""'svhs'"", ""'cdq'"")]"	4	'numner' 'itor' 'toasterhead' 'cdq'
7	numner sceptic syn probablity inb shadow daresbury corporeal baraff dresden	1.0	3.0	1.2	4	'numner' 'sceptic' 'inb' 'baraff'	2	"[(""'numner'"", ""'probablity'""), (""'sceptic'"", ""'corporeal'"")]"	4	'numner' 'sceptic' 'inb' 'baraff'
8	know like time want think tell people thing look come	2.0	2.0	3.0	2	'look' 'come'	4	"[(""'think'"", ""'know'""), (""'think'"", ""'like'""), (""'think'"", ""'want'""), (""'think'"", ""'tell'"")]"	0	
9	sale monitor offer card printer appreciate screen video meg upgrade	2.0	2.8	3.0	2	'appreciate' 'meg'	1	"[(""'monitor'"", ""'screen'"")]"	1	'meg'
10	thank appreciate advance pointer anybody ini suggestion utility greatly fix	2.0	3.0	3.0	2	'ini' 'fix'	2	"[(""'thank'"", ""'appreciate'""), (""'advance'"", ""'fix'"")]"	1	'ini'
11	sale new offer sell price win shipping player van stevens	2.0	2.6	3.0	3	'player' 'van' 'stevens'	2	"[(""'sale'"", ""'sell'""), (""'price'"", ""'offer'"")]"	0	
12	numner anthology matting crystalize bequidistant dispell mtd toasterhead carlsbad itor	1.0	3.0	1.0	7	'numner' 'matting' 'crystalize' 'bequidistant' 'dispell' 'toasterhead' 'itor'	2	"[(""'numner'"", ""'itor'""), (""'carlsbad'"", ""'crystalize'"")]"	0	
13	year think want work talk cost program people pay care	1.8	3.0	3.0	2	'talk' 'care'	8	"[(""'year'"", ""'year'""), (""'think'"", ""'think'""), (""'want'"", ""'want'""), (""'work'"", ""'work'""), (""'talk'"", ""'talk'""), (""'cost'"", ""'cost'""), (""'program'"", ""'program'""), (""'people'"", ""'people'"")]"	0	
14	government information state san year new police political francisco law	2.0	2.8	3.0	2	'san' 'francisco'	3	"[(""'government'"", ""'state'""), (""'san'"", ""'francisco'""), (""'political'"", ""'law'"")]"	0	
15	think use bit question people dos mov mean right way	2.0	2.8	3.0	2	'dos' 'mov'	1	"[(""'think'"", ""'mean'"")]"	2	'dos' 'mov'
16	key chip use number bit clipper message encrypt algorithm public	3.0	2.0	3.0	2	'clipper' 'public'	1	"[(""'key'"", ""'public'"")]"	0	
17	svhs matting crystalize toasterhead itor cdq disemination orientiation sceptic welbon	1.0	3.0	1.6	2	'toasterhead' 'welbon'	6	"[(""'svhs'"", ""'svhs'""), (""'matting'"", ""'matting'""), (""'crystalize'"", ""'crystalize'""), (""'toasterhead'"", ""'toasterhead'""), (""'itor'"", ""'itor'""), (""'cdq'"", ""'cdq'"")]"	7	'svhs' 'toasterhead' 'itor' 'cdq' 'disemination' 'orientiation' 'welbon'
18	rear luck chicago somebody toronto clean shop btw expensive hot	1.0	3.0	3.0	2	'luck' 'btw'	7	"[(""'rear'"", ""'rear'""), (""'luck'"", ""'luck'""), (""'chicago'"", ""'chicago'""), (""'somebody'"", ""'somebody'""), (""'toronto'"", ""'toronto'""), (""'clean'"", ""'clean'""), (""'shop'"", ""'shop'"")]"	0	
19	use file run program support like available ftp need mail	2.0	3.0	3.0	2	'like' 'need'	8	"[(""'use'"", ""'use'""), (""'file'"", ""'file'""), (""'run'"", ""'run'""), (""'program'"", ""'program'""), (""'support'"", ""'support'""), (""'like'"", ""'like'""), (""'available'"", ""'available'""), (""'ftp'"", ""'ftp'"")]"	0	
20	god jesus man life day christ thing come world church	3.0	2.0	3.0	3	'day' 'thing' 'come'	4	"[(""'god'"", ""'jesus'""), (""'jesus'"", ""'christ'""), (""'man'"", ""'life'""), (""'come'"", ""'come'"")]"	0	
