ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	awesome fun mom promise band sure respect urge happen gossip	1.0	3.0	3.0	2	'promise' 'sure'	0	[]	1	'gossip'
1	tweet right book daily live smoke plan tomorrow week supper	1.0	3.0	3.0	2	'right' 'plan'	1	"[(""'live'"", ""'supper'"")]"	0	
2	fatnesstofitness chase florida distance project lame blog research supplement blake	1.0	3.0	1.0	3	'chase' 'lame' 'blake'	0	[]	4	'fatnesstofitness' 'lame' 'supplement' 'blake'
3	learn write wait maybe play remember hour everyday exercise tweet	1.0	2.8	3.0	0		1	"[(""'learn'"", ""'maybe'"")]"	3	'maybe' 'hour' 'everyday'
4	look cursing past apology mentally alcohol share blog involve ultron	1.0	3.0	3.0	1	'ultron'	0	[]	2	'cursing' 'ultron'
5	win look sure care entrepreneur christmas newyearseve fuck gift self	1.2	3.0	2.0	1	'fuck'	0	[]	1	'fuck'
6	pant mentally instagram weather typo simple ass hit selfimprovement follow	1.0	3.0	2.0	2	'mentally' 'ass'	0	[]	2	'mentally' 'ass'
7	quit write step shape ignore follow post wear hurt maybe	1.0	3.0	3.0	3	'quit' 'ignore' 'follow'	0	[]	0	
8	smoke goal tweet drink read right club supper cigarette stay	2.0	2.0	3.0	4	'goal' 'right' 'club' 'stay'	1	"[(""'smoke'"", ""'cigarette'"")]"	0	
9	forreal lowcarb value lowcal distance experience economic tagof hash shed	1.0	2.8	1.0	5	forreal experience economic tagof hash	0	[]	4	'forreal' 'tagof' 'hash' 'shed'
10	unstoppable half screenwriting focus resume jack pretty enjoy body jewelry	1.0	3.0	3.0	2	'jack' 'jewelry'	0	[]	1	'jack'
11	glass forreal bowl team approval bite growth little awesome girl	1.0	3.0	3.0	2	'forreal' 'bite'	0	[]	1	'forreal'
12	little awesome chance forward future past false win meet grow	2.0	2.8	3.0	1	'false'	0	[]	1	'false'
13	right cigarette club supper smoke gym fitness read fit stay	2.0	2.0	3.0	4	'right' 'cigarette' 'supper' 'smoke'	0	[]	0	
14	come use read wait book quit eve month family live	1.8	2.8	3.0	0		0	[]	0	
15	roll pack bucketlist december ready school word follow invest anybody	1.0	3.0	3.0	4	'bucketlist' 'december' 'invest' 'anybody'	0	[]	0	
16	fatnesstofitness lame windbreaker outdoors kindle distance alllllll boomshakalaka amen supplement	1.0	3.0	1.0	3	'lame' 'boomshakalaka' 'amen'	0	[]	4	'lame' 'alllllll' 'boomshakalaka' 'amen'
17	son resolve grow meet pant win way great future workhard	2.0	3.0	3.0	1	'pant'	0	[]	1	'pant'
18	gym tomorrow friend lose weight workout cigarette smoke read book	2.0	2.6	3.0	2	'smoke' 'cigarette'	0	[]	2	'cigarette' 'smoke'
19	hard run nap write family share hopefully wait personal music	1.8	3.0	3.0	0		0	[]	2	'hopefully' 'wait'
20	use drink instead learn stay know family post continue coffee	2.0	2.6	3.0	8	use drink instead learn stay know continue coffee	0	[]	0	
21	lame fatnesstofitness windbreaker cary forreal segment laziness speak bake bedroom	1.0	3.0	2.0	4	'lame' 'cary' 'forreal' 'laziness'	0	[]	2	'lame' 'forreal'
22	fit game workout spend kick lose watch gym look today	2.6	2.0	3.0	2	'game' 'watch'	0	[]	5	'kick' 'lose' 'gym' 'look' 'today'
23	hard way body lol finish smart matter drink addiction cross	1.0	3.0	3.0	2	'lol' 'cross'	0	[]	1	'lol'
24	stay daily gym fat month read week healthy workout tweet	3.0	2.0	3.0	1	'tweet'	0	[]	0	
25	right book goal finish club learn supper read smoke cigarette	2.0	2.0	3.0	6	right goal finish club learn supper	0	[]	3	'right' 'finish' 'learn'
26	eve cigarette quit friend gym write positive fat smoke watch	2.0	2.0	3.0	2	'write' 'positive'	0	[]	0	
27	break white awesome wife smile matter carry boob perfect tix	1.0	3.0	1.0	3	'white' 'boob' 'tix'	0	[]	1	'boob'
28	goal lose healthy right gym book week weight smoke tweet	2.6	2.0	3.0	2	'book' 'tweet'	0	[]	5	'lose' 'gym' 'week' 'smoke' 'tweet'
29	meet car marry man wit list gabe cup hilover doubt	1.0	3.0	1.8	1	'hilover'	1	"[(""'meet'"", ""'list'"")]"	5	'hilover' 'doubt' 'marry' 'wit' 'gabe'
30	support script finally story great date drive hit baseball visit	1.4	3.0	3.0	2	'finally' 'script'	0	[]	0	
31	gym week goal lose read diet weight workout healthy friend	3.0	2.0	3.0	2	'read' 'friend'	0	[]	0	
32	body complete job shit wedding reduce destroy cupcake saturday band	1.0	3.0	3.0	3	'job' 'shit' 'destroy'	8	"[(""'body'"", ""'body'""), (""'complete'"", ""'complete'""), (""'job'"", ""'job'""), (""'shit'"", ""'shit'""), (""'wedding'"", ""'wedding'""), (""'reduce'"", ""'reduce'""), (""'destroy'"", ""'destroy'""), (""'cupcake'"", ""'cup"")]"	2	'shit' 'destroy'
33	argue gossip discover kindle lil respect rich mentally forreal fart	1.0	3.0	2.0	1	'fart'	0	[]	2	'lil' 'fart'
34	sleep place shoot tradition startup app purchase appreciate accomplish hawk	1.0	3.0	3.0	2	'shoot' 'hawk'	0	[]	2	'shoot' 'hawk'
35	tweet workout fitness week lose shape book game hope weight	3.0	2.0	3.0	0		1	"[(""'tweet'"", ""'tweet'"")]"	0	
36	moment edm clean athlete drunk room contact sunday stunt situation	1.0	3.0	3.0	2	'drunk' 'contact'	0	[]	0	
37	right club supper cigarette smoke change goal month read finally	2.0	2.6	3.0	10	'right' 'club' 'supper' 'cigarette' 'smoke' 'change' 'goal' 'month' 'read' 'finally'	0	[]	2	'cigarette' 'smoke'
38	organize smile film okay travel nice hurt studio fight generous	1.0	3.0	3.0	2	'okay' 'fight'	0	[]	0	
39	break pray meet evident sex degree boyfriend lady touch culture	1.0	3.0	3.0	1	'degree'	0	[]	0	
40	twitter gain diet tweet write hard friend daily lose lbs	2.4	2.0	3.0	1	'hard'	0	[]	0	
41	run early tweet workout friend everyday leg social gym weight	3.0	2.0	3.0	1	'tweet'	2	"[(""'run'"", ""'workout'""), (""'leg'"", ""'weight'"")]"	0	
42	action comfortable kill care decide water plan excited help real	1.0	3.0	3.0	1	'kill'	0	[]	0	
43	kind christmas car group produce important tape youtube adventure apartment	1.0	3.0	3.0	3	'produce' 'tape' 'youtube'	0	[]	0	
44	tshirt forreal jersey hear song number quarter send god fatnesstofitness	1.0	2.8	2.0	8	'forreal' 'hear' 'song' 'number' 'quarter' 'send' 'god' 'fatnesstofitness'	0	[]	5	'forreal' 'hear' 'send' 'god' 'fatnesstofitness'
45	healthy gym diet right workout twitter yoga tweet lose exercise	3.0	2.0	3.0	2	'twitter' 'tweet'	0	[]	3	'right' 'twitter' 'tweet'
