ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	time work card need jesus file run write post drive	2.0	2.0	3.0	1	'jesus'	1	"[(""'run'"", ""'drive'"")]"	1	'jesus'
1	game team year fan score pick cup sport average philadelphia	3.0	2.0	3.0	2	'cup' 'average'	0	[]	0	
2	car engine tire ride mov road drive speed gear driver	3.0	1.4	3.0	1	'mov'	3	"[(""'mov'"", ""'car'""), (""'ride'"", ""'drive'""), (""'driver'"", ""'drive'"")]"	1	'mov'
3	msg patient doctor diet treatment health medicine symptom hospital headache	3.0	1.6	3.0	1	'msg'	2	"[(""'treatment'"", ""'medicine'""), (""'doctor'"", ""'hospital'"")]"	1	'msg'
4	space nasa orbit mission moon satellite solar astronomy project planet	3.0	1.4	3.0	1	'project'	1	"[(""'space'"", ""'astronomy'"")]"	0	
5	clipper key chip algorithm security phone encrypt pgp scheme patent	3.0	1.4	3.0	2	'phone' 'patent'	2	"[(""'pgp'"", ""'encrypt'""), (""'clipper'"", ""'chip'"")]"	1	'pgp'
6	colormap graphic bitmap program visual pixel postscript convert sphinx pixmap	3.0	1.0	3.0	2	'program' 'sphinx'	1	"[(""'bitmap'"", ""'pixmap'"")]"	1	'sphinx'
7	israel jews war peace palestinians nazis gaza terrorism syria zionist	3.0	1.0	3.0	0		1	"[(""'israel'"", ""'zionist'"")]"	1	'nazis'
8	gun police crime amendment section state semi license violent ban	3.0	1.2	3.0	1	'semi'	1	"[(""'state'"", ""'section'"")]"	1	'semi'
9	printer deskjet ink laserwriter toner printing laserjet inkjet adobe epson	3.0	1.0	3.0	1	'adobe'	2	"[(""'inkjet'"", ""'ink'""), (""'laserjet'"", ""'laserwriter'"")]"	1	'laserwriter'
10	turkish turks genocide soviet massacre population greeks history republic turk	3.0	1.0	3.0	2	'soviet' 'republic'	1	"[(""'turks'"", ""'turk'"")]"	0	
11	disk floppy scsi format error install device dos cdrom external	3.0	2.0	3.0	2	'error' 'install'	2	"[(""'disk'"", ""'floppy'""), (""'cdrom'"", ""'external'"")]"	1	'scsi'
12	clock risc vram ram simms processor cpu coprocessor quadra pentium	3.0	1.0	3.0	2	'quadra' 'vram'	2	"[(""'risc'"", ""'cpu'""), (""'ram'"", ""'vram'"")]"	2	'quadra' 'risc'
13	windows unix software microsoft version application database toolkit gui mac	3.0	1.2	3.0	2	'unix' 'mac'	2	"[(""'windows'"", ""'microsoft'""), (""'unix'"", ""'mac'"")]"	1	'gui'
14	homosexual homosexuality percentage study orientation heterosexual party church princeton group	3.0	1.0	3.0	3	'party' 'church' 'princeton'	1	"[(""'homosexual'"", ""'homosexuality'"")]"	1	'princeton'
15	monitor centris adapter sony atari cable switch fix interference mitsubishi	2.6	2.0	3.0	3	'sony' 'mitsubishi' 'atari'	2	"[(""'sony'"", ""'mitsubishi'""), (""'atari'"", ""'centris'"")]"	1	'centris'
16	morality moral political objective human omniscient murder absolute jon atheist	3.0	1.4	3.0	2	'jon' 'atheist'	1	"[(""'moral'"", ""'morality'"")]"	1	'jon'
17	request mail address junk advertise bounce mailbox usenet company chicago	3.0	1.4	3.0	2	'chicago' 'company'	2	"[(""'mail'"", ""'mailbox'""), (""'usenet'"", ""'company'"")]"	1	'usenet'
18	allocation dos windows disk error reboot crash ram sys norton	3.0	1.0	3.0	1	'dos'	3	"[(""'dos'"", ""'windows'""), (""'crash'"", ""'error'""), (""'reboot'"", ""'crash'"")]"	3	'dos' 'sys' 'norton'
19	islam islamic qur atheism religion koran allah example marital muslims	3.0	1.0	3.0	3	'atheism' 'example' 'marital'	2	"[(""'islam'"", ""'islamic'""), (""'koran'"", ""'qur'"")]"	2	'qur' 'koran'
20	modem fax cable info send hardware kit gateway warranty supply	3.0	1.4	3.0	2	'info' 'warranty'	3	"[(""'modem'"", ""'cable'""), (""'fax'"", ""'modem'""), (""'cable'"", ""'modem'"")]"	1	'info'
21	atheist atheism exist belief religion alt faith universe premise agnostic	3.0	1.0	3.0	3	'alt' 'premise' 'universe'	1	"[(""'atheist'"", ""'atheism'"")]"	1	'alt'
22	receiver signal circuit mixer radio input analog meter detect device	3.0	2.0	3.0	1	'meter'	5	"[(""'circuit'"", ""'device'""), (""'signal'"", ""'input'""), (""'radio'"", ""'receiver'""), (""'analog'"", ""'meter'""), (""'mixer'"", ""'detect'"")]"	0	
