ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	wanna support city excuse york dslr penny flip rhino photograph	1.0	3.0	3.0	5	'wanna' 'excuse' 'penny' 'flip' 'rhino'	1	"[(""'photograph'"", ""'dslr'"")]"	0	
1	lose weight kick excited positive imma thought reading lbs effect	2.0	3.0	3.0	5	'kick' 'excited' 'imma' 'thought' 'reading'	2	"[(""'lose'"", ""'weight'""), (""'imma'"", ""'thought'"")]"	1	'imma'
2	hair stuff effort drive pretend peace business high load force	1.0	2.2	3.0	2	'pretend' 'peace'	2	"[(""'effort'"", ""'force'""), (""'load'"", ""'force'"")]"	0	
3	watch netflix kill episode friends pet eye season head stack	2.0	2.4	3.0	5	'kill' 'pet' 'eye' 'head' 'stack'	1	"[(""'episode'"", ""'season'"")]"	0	
4	today listen sugar cookie homeless cross rule cheek disappoint low	1.0	3.0	3.0	3	'sugar' 'cookie' 'cheek'	7	"[(""'sugar'"", ""'sugar'""), (""'cookie'"", ""'cookie'""), (""'today'"", ""'today'""), (""'listen'"", ""'listen'""), (""'homeless'"", ""'homeless'""), (""'cross'"", ""'cross'""), (""'rule'"", ""'rule'"")]"	0	
5	nice school weird neighbor small fix manage express compassion poorly	1.0	3.0	3.0	5	'fix' 'manage' 'express' 'poorly' 'weird'	1	"[(""'nice'"", ""'compassion'"")]"	0	
6	daily lie everybody community party root refer stay dress west	1.0	3.0	3.0	5	'lie' 'root' 'refer' 'dress' 'west'	1	"[(""'everybody'"", ""'community'"")]"	0	
7	drink coffee head kiss ball screw cold pen pot case	1.0	2.6	3.0	6	'head' 'kiss' 'ball' 'screw' 'pen' 'case'	8	"[(""'pen'"", ""'pen'""), (""'case'"", ""'case'""), (""'cold'"", ""'cold'""), (""'ball'"", ""'ball'""), (""'kiss'"", ""'kiss'""), (""'screw'"", ""'screw'""), (""'pot'"", ""'pot'""), (""'head'"", ""'"")]"	0	
8	cotton umm jointhefamily consistent search newjob dont dirt submit bedscroll	1.0	3.0	2.0	4	'umm' 'jointhefamily' 'newjob' 'bedscroll'	1	"[(""'dont'"", ""'dont'"")]"	3	'umm' 'jointhefamily' 'bedscroll'
9	healthy travel increase inspiration patient chance emotional smoothie physical brown	1.0	3.0	3.0	2	'smoothie' 'brown'	2	"[(""'healthy'"", ""'physical'""), (""'emotional'"", ""'patient'"")]"	0	
10	quit fast food lmfao sign star procrastination potato couch cigarette	1.0	3.0	3.0	0		1	"[(""'quit'"", ""'cigarette'"")]"	1	'lmfao'
11	pray account hug somebody blessing twitter engage tennis resolut touch	1.0	2.8	3.0	4	'account' 'twitter' 'tennis' 'resolut'	1	"[(""'touch'"", ""'hug'"")]"	1	'resolut'
12	girl kind pack notice beautiful vacation fam material history prob	1.0	3.0	3.0	3	'pack' 'material' 'prob'	1	"[(""'girl'"", ""'fam'"")]"	2	'fam' 'prob'
13	long shoe sock miss embrace paper wash instead hurt mind	1.0	3.0	3.0	1	'mind'	8	"[(""'long'"", ""'long'""), (""'shoe'"", ""'shoe'""), (""'sock'"", ""'sock'""), (""'miss'"", ""'miss'""), (""'embrace'"", ""'embrace'""), (""'paper'"", ""'paper'""), (""'wash'"", ""'wash'""), (""'instead'"", ""'"")]"	0	
14	game food job list feel seriously sad vow suck add	1.0	3.0	3.0	2	'vow' 'add'	1	"[(""'vow'"", ""'vow'"")]"	0	
15	finish draw breakfast adult meal intensely novel write excited run	1.4	3.0	3.0	6	'adult' 'intensely' 'excited' 'run' 'breakfast' 'meal'	1	"[(""'write'"", ""'novel'"")]"	0	
16	thank look morning video routine podcast eve check solidify ultron	1.2	3.0	3.0	1	'ultron'	1	"[(""'look'"", ""'check'"")]"	0	
17	bad wait super complain attention realize situation jump january pay	1.0	3.0	3.0	4	'super' 'jump' 'january' 'pay'	1	"[(""'bad'"", ""'complain'"")]"	0	
18	yesterday app arm expect remind delete button financially false facebook	1.0	3.0	3.0	3	'arm' 'financially' 'false'	1	"[(""'false'"", ""'false'"")]"	0	
19	post photo sound upset meat tomorrow goal gunna today yoga	1.0	3.0	3.0	3	'sound' 'upset' 'gunna'	1	"[(""'today'"", ""'tomorrow'"")]"	1	'gunna'
20	smell code soul countdown succeed judgmental document script resoluti wear	1.0	3.0	3.0	4	'soul' 'countdown' 'judgmental' 'wear'	1	"[(""'code'"", ""'script'"")]"	1	'resoluti'
21	place boyfriend important store email welcome midnight newsletter unsubscribe kill	1.0	3.0	3.0	2	'boyfriend' 'kill'	1	"[(""'welcome'"", ""'welcome'"")]"	0	
22	bacon ground article burger desk real fish organized beyonc obama	1.0	3.0	2.6	4	'desk' 'organized' 'beyonc' 'obama'	1	"[(""'beyonc'"", ""'obama'"")]"	2	'beyonc' 'obama'
23	buy forward dance adventure look consume till master honor honest	1.0	3.0	3.0	1	'till'	1	"[(""'honor'"", ""'honest'"")]"	0	
24	gym visit achieve grateful quote stupid text tomorrow reply vision	1.8	3.0	3.0	3	'stupid' 'text' 'reply'	2	"[(""'visit'"", ""'reply'""), (""'achieve'"", ""'vision'"")]"	0	
25	live improve moment christ debt bless fruit center quality family	2.0	3.0	3.0	3	'debt' 'center' 'quality'	4	"[(""'live'"", ""'moment'""), (""'improve'"", ""'quality'""), (""'bless'"", ""'fruit'""), (""'center'"", ""'family'"")]"	0	
26	learn instead use nyr debate plus cig salad jordan hard	1.0	3.0	2.0	4	'nyr' 'cig' 'salad' 'jordan'	1	"[(""'cig'"", ""'nyr'"")]"	2	'nyr' 'cig'
27	pizza matter dog winter glass public parent classic calendar celebrate	1.0	3.0	3.0	4	'matter' 'public' 'classic' 'calendar'	8	"[(""'pizza'"", ""'pizza'""), (""'matter'"", ""'matter'""), (""'dog'"", ""'dog'""), (""'winter'"", ""'winter'""), (""'glass'"", ""'glass'""), (""'public'"", ""'public'""), (""'parent'"", ""'parent'""), (""'classic'"", ""'classic'"")]"	0	
28	fucking single song pick drop busy edit properly dip publish	1.0	3.0	2.0	4	'fucking' 'busy' 'edit' 'properly'	2	"[(""'song'"", ""'publish'""), (""'drop'"", ""'dip'"")]"	1	'fucking'
29	workout run bring early wake fall child cardio night fairly	2.0	2.0	3.0	4	'bring' 'fairly' 'child' 'fall'	8	"[(""'run'"", ""'run'""), (""'workout'"", ""'workout'""), (""'bring'"", ""'bring'""), (""'early'"", ""'early'""), (""'wake'"", ""'wake'""), (""'fall'"", ""'fall'""), (""'child'"", ""'child'""), (""'cardio'"", ""'card"")]"	0	
30	past save ask future date begin focused stay alot intake	2.0	2.8	3.0	4	'save' 'ask' 'intake' 'alot'	1	"[(""'past'"", ""'future'"")]"	1	'alot'
31	bitch water remove folk dad girlfriend punch tired pop savage	1.0	3.0	2.0	5	'water' 'remove' 'folk' 'pop' 'tired'	1	"[(""'bitch'"", ""'savage'"")]"	0	
32	close decide bit completely reality release husband hungry popular cake	1.0	3.0	3.0	3	'husband' 'hungry' 'cake'	1	"[(""'cake'"", ""'hungry'"")]"	0	
33	yes night black faith sport mcdonald matter chapter piece value	1.0	3.0	3.0	3	'mcdonald' 'chapter' 'piece'	8	"[(""'yes'"", ""'yes'""), (""'night'"", ""'night'""), (""'black'"", ""'black'""), (""'faith'"", ""'faith'""), (""'sport'"", ""'sport'""), (""'mcdonald'"", ""'mcdonald'""), (""'matter'"", ""'matter'""), (""'chapter'"", ""'"")]"	0	
34	goal eve ass fun set clear mind truly gay meet	1.0	3.0	2.0	4	'eve' 'ass' 'fun' 'gay'	1	"[(""'set'"", ""'set'"")]"	4	'eve' 'ass' 'truly' 'gay'
35	focus gain avoid fail true january way accomplish come drama	1.6	3.0	3.0	2	'january' 'drama'	8	"[(""'focus'"", ""'focus'""), (""'gain'"", ""'gain'""), (""'avoid'"", ""'avoid'""), (""'fail'"", ""'fail'""), (""'true'"", ""'true'""), (""'january'"", ""'january'""), (""'way'"", ""'way'""), (""'accomplish'"", ""'"")]"	0	
36	man cut share wine short hater pinterest apartment journal reflect	1.0	3.0	3.0	2	'pinterest' 'hater'	7	"[(""'man'"", ""'man'""), (""'cut'"", ""'cut'""), (""'share'"", ""'share'""), (""'wine'"", ""'wine'""), (""'short'"", ""'short'""), (""'hater'"", ""'hater'""), (""'pinterest'"", ""'pinterest'"")]"	0	
37	smoking quit bang writing march dedicate jan gainz bridge tobacco	2.0	3.0	3.0	6	'bang' 'writing' 'march' 'dedicate' 'jan' 'bridge'	1	"[(""'smoking'"", ""'tobacco'"")]"	1	'gainz'
38	lot half pant waste wear horrible match fun sneaker fact	1.0	3.0	3.0	5	'half' 'waste' 'horrible' 'fun' 'fact'	2	"[(""'pant'"", ""'wear'""), (""'sneaker'"", ""'wear'"")]"	0	
39	play end guitar house learn toilet prosper totally video doable	1.0	3.0	3.0	5	'end' 'toilet' 'prosper' 'totally' 'doable'	7	"[(""'play'"", ""'play'""), (""'end'"", ""'end'""), (""'guitar'"", ""'guitar'""), (""'house'"", ""'house'""), (""'learn'"", ""'learn'""), (""'toilet'"", ""'toilet'""), (""'prosper'"", ""'prosper'"")]"	0	
40	world music enjoy advice achievable wedding hope agree extra selfimprovement	1.6	3.0	3.0	3	'wedding' 'extra' 'world'	7	"[(""'world'"", ""'world'""), (""'music'"", ""'music'""), (""'enjoy'"", ""'enjoy'""), (""'advice'"", ""'advice'""), (""'achievable'"", ""'achievable'""), (""'wedding'"", ""'wedding'""), (""'hope'"", ""'hope'"")]"	0	
41	real fitness online soon negativity learn language movie inspire goal	2.0	3.0	3.0	2	'negativity' 'movie'	8	"[(""'real'"", ""'real'""), (""'fitness'"", ""'fitness'""), (""'online'"", ""'online'""), (""'soon'"", ""'soon'""), (""'negativity'"", ""'negativity'""), (""'learn'"", ""'learn'""), (""'language'"", ""'language'""), (""'movie'"", ""'movie'"")]"	0	
42	stay actually decision literally goals haha got hell ice track	1.0	3.0	3.0	3	'haha' 'hell' 'ice'	1	"[(""'haha'"", ""'haha'"")]"	2	'haha' 'hell'
43	twice career youtube summer position aim february workhard wars week	1.0	3.0	3.0	2	'wars' 'workhard'	7	"[(""'twice'"", ""'twice'""), (""'career'"", ""'career'""), (""'youtube'"", ""'youtube'""), (""'summer'"", ""'summer'""), (""'position'"", ""'position'""), (""'aim'"", ""'aim'""), (""'february'"", ""'february'"")]"	1	'workhard'
44	leave diet negative rid add coke min crap vice zero	2.0	2.4	3.0	3	'vice' 'crap' 'min'	1	"[(""'zero'"", ""'zero'"")]"	0	
45	far order foot limit idgaf beginnings hear prayer location abs	1.0	3.0	3.0	2	'idgaf' 'abs'	1	"[(""'idgaf'"", ""'idgaf'"")]"	1	'idgaf'
46	step simple old attitude voice lord butt difference shut phrase	1.0	3.0	3.0	3	'lord' 'butt' 'phrase'	8	"[(""'lord'"", ""'lord'""), (""'step'"", ""'step'""), (""'simple'"", ""'simple'""), (""'old'"", ""'old'""), (""'attitude'"", ""'attitude'""), (""'voice'"", ""'voice'""), (""'butt'"", ""'butt'""), (""'difference'"", ""'difference'"")]"	0	
47	resolve guy stick mom slap cigarettes smoke quit right planning	2.0	2.2	3.0	4	'guy' 'mom' 'slap' 'planning'	2	"[(""'cigarettes'"", ""'smoke'""), (""'quit'"", ""'resolve'"")]"	0	
48	bed baby yoga mile throw roll push air practice dance	1.2	3.0	3.0	5	'mile' 'throw' 'push' 'air' 'roll'	1	"[(""'dance'"", ""'practice'"")]"	0	
49	pound treat create gain way outside project mixtape image record	2.0	2.8	3.0	3	'way' 'outside' 'image'	1	"[(""'record'"", ""'mixtape'"")]"	0	
50	word speak action bae treat able use mix handle relate	1.6	2.6	3.0	2	'bae' 'mix'	7	"[(""'speak'"", ""'speak'""), (""'action'"", ""'action'""), (""'bae'"", ""'bae'""), (""'treat'"", ""'treat'""), (""'able'"", ""'able'""), (""'use'"", ""'use'""), (""'mix'"", ""'mix'"")]"	1	'bae'
51	great white skinny lifestyle blood journey pressure goal plant base	1.0	3.0	3.0	5	'skinny' 'lifestyle' 'journey' 'goal' 'base'	7	"[(""'great'"", ""'great'""), (""'white'"", ""'white'""), (""'skinny'"", ""'skinny'""), (""'lifestyle'"", ""'lifestyle'""), (""'blood'"", ""'blood'""), (""'journey'"", ""'journey'""), (""'pressure'"", ""'pressure'"")]"	0	
52	photo entire passion buy group save music tbt iphone background	1.4	3.0	3.0	4	'entire' 'passion' 'tbt' 'background'	1	"[(""'photo'"", ""'background'"")]"	0	
53	meet soda free unplug especially cunt convince internet regular fast	1.0	3.0	2.0	2	'cunt' 'convince'	1	"[(""'fast'"", ""'fast'"")]"	1	'cunt'
54	little body tomorrow anymore trust attend shoot certification receive male	1.0	3.0	3.0	3	'shoot' 'certification' 'receive'	7	"[(""'trust'"", ""'trust'""), (""'little'"", ""'little'""), (""'body'"", ""'body'""), (""'tomorrow'"", ""'tomorrow'""), (""'anymore'"", ""'anymore'""), (""'attend'"", ""'attend'""), (""'shoot'"", ""'shoot'"")]"	0	
55	grow blog strong relationship pretty jesus son motto invest deep	1.0	3.0	3.0	4	'pretty' 'jesus' 'son' 'motto'	8	"[(""'grow'"", ""'grow'""), (""'blog'"", ""'blog'""), (""'strong'"", ""'strong'""), (""'relationship'"", ""'relationship'""), (""'pretty'"", ""'pretty'""), (""'jesus'"", ""'jesus'""), (""'son'"", ""'son'""), (""'motto'"", ""'m"")]"	0	
56	spend accept burn second nye funny bye way vanilla onlinedate	1.0	3.0	3.0	2	'vanilla' 'onlinedate'	1	"[(""'bye'"", ""'bye'"")]"	1	'onlinedate'
57	hate build win problem personal rest check habit friendship cause	1.0	3.0	3.0	5	'build' 'win' 'rest' 'habit' 'check'	5	"[(""'hate'"", ""'problem'""), (""'build'"", ""'habit'""), (""'win'"", ""'rest'""), (""'personal'"", ""'friendship'""), (""'check'"", ""'cause'"")]"	0	
