ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	awesome fun mom promise band sure respect urge happen gossip	2.0	2.0	3.0	1	'gossip'	0	[]	0	
1	tweet right book daily live smoke plan tomorrow week supper	2.0	2.0	3.0	2	'smoke' 'supper'	3	"[(""'book'"", ""'supper'""), (""is not a pair but ('tomorrow'"", ""'week'""), (""'daily'"", ""'tomorrow'"")]"	1	'supper'
2	fatnesstofitness chase florida distance project lame blog research supplement blake	2.0	2.0	2.4	4	'chase' 'florida' 'lame' 'blake'	0	[]	1	'fatnesstofitness'
3	learn write wait maybe play remember hour everyday exercise tweet	2.0	2.0	3.0	2	'maybe' 'tweet'	0	[]	1	'maybe'
4	look cursing past apology mentally alcohol share blog involve ultron	2.0	2.0	3.0	3	'ultron' 'blog' 'share'	0	[]	1	'ultron'
5	win look sure care entrepreneur christmas newyearseve fuck gift self	2.0	2.0	2.0	2	'fuck' 'entrepreneur'	0	[]	1	'fuck'
6	pant mentally instagram weather typo simple ass hit selfimprovement follow	2.0	2.0	2.0	3	'weather' 'ass' 'hit'	0	[]	1	'selfimprovement'
7	quit write step shape ignore follow post wear hurt maybe	2.0	2.0	3.0	2	'maybe' 'hurt'	0	[]	1	'maybe'
8	smoke goal tweet drink read right club supper cigarette stay	2.0	2.0	3.0	3	'goal' 'read' 'right'	1	"[(""'smoke'"", ""'cigarette'"")]"	1	'supper'
9	forreal lowcarb value lowcal distance experience economic tagof hash shed	2.0	1.8	2.0	3	'tagof' 'hash' 'shed'	1	"[(""'lowcarb'"", ""'lowcal'"")]"	4	'forreal' 'lowcarb' 'lowcal' 'tagof'
10	unstoppable half screenwriting focus resume jack pretty enjoy body jewelry	2.0	2.8	3.0	3	'jack' 'jewelry' 'body'	0	[]	1	'jack'
11	glass forreal bowl team approval bite growth little awesome girl	2.0	2.0	3.0	2	'forreal' 'bite'	0	[]	1	'forreal'
12	little awesome chance forward future past false win meet grow	2.0	2.0	3.0	2	'false' 'past'	0	[]	10	'little' 'awesome' 'chance' 'forward' 'future' 'past' 'false' 'win' 'meet' 'grow'
13	right cigarette club supper smoke gym fitness read fit stay	2.0	1.4	3.0	1	'read'	1	"[(""'right'"", ""'fit'"")]"	1	'supper'
14	come use read wait book quit eve month family live	2.0	2.0	3.0	3	'quit' 'eve' 'month'	2	"[(""'come'"", ""'live'""), (""is not a pair but ('wait'"", ""'month'"")]"	1	'eve'
15	roll pack bucketlist december ready school word follow invest anybody	2.0	2.0	3.0	3	'word' 'school' 'invest'	0	[]	1	'bucketlist'
16	fatnesstofitness lame windbreaker outdoors kindle distance alllllll boomshakalaka amen supplement	2.0	2.0	2.0	4	'kindle' 'alllllll' 'boomshakalaka' 'amen'	0	[]	2	'alllllll' 'boomshakalaka'
17	son resolve grow meet pant win way great future workhard	2.0	2.0	3.0	1	'pant'	1	"[(""'meet'"", ""'meet'"")]"	0	
18	gym tomorrow friend lose weight workout cigarette smoke read book	2.0	1.6	3.0	4	'cigarette' 'smoke' 'read' 'book'	2	"[(""'workout'"", ""'gym'""), (""'cigarette'"", ""'smoke'"")]"	1	'cigarette'
19	hard run nap write family share hopefully wait personal music	2.0	2.0	3.0	1	'music'	0	[]	1	'hopefully'
20	use drink instead learn stay know family post continue coffee	2.0	2.0	3.0	1	'post'	0	[]	0	
21	lame fatnesstofitness windbreaker cary forreal segment laziness speak bake bedroom	2.0	2.0	2.0	7	'cary' 'forreal' 'segment' 'speak' 'bake' 'bedroom' 'windbreaker'	0	[]	1	'cary'
22	fit game workout spend kick lose watch gym look today	3.0	1.2	3.0	2	'spend' 'watch'	1	"[(""'workout'"", ""'gym'"")]"	3	'spend' 'kick' 'watch'
23	hard way body lol finish smart matter drink addiction cross	2.0	2.0	3.0	2	'lol' 'drink'	1	"[(""'hard'"", ""'way'"")]"	1	'lol'
24	stay daily gym fat month read week healthy workout tweet	3.0	1.8	3.0	2	'read' 'tweet'	1	"[(""'gym'"", ""'workout'"")]"	1	'tweet'
25	right book goal finish club learn supper read smoke cigarette	2.0	2.0	3.0	3	'supper' 'cigarette' 'smoke'	1	"[(""'smoke'"", ""'cigarette'"")]"	1	'supper'
26	eve cigarette quit friend gym write positive fat smoke watch	2.0	1.8	3.0	3	'gym' 'write' 'watch'	0	[]	1	'eve'
27	break white awesome wife smile matter carry boob perfect tix	2.0	2.0	2.0	2	'boob' 'tix'	0	[]	2	'boob' 'tix'
28	goal lose healthy right gym book week weight smoke tweet	2.0	1.8	3.0	2	'book' 'tweet'	1	"[(""'lose'"", ""'weight'"")]"	1	'tweet'
29	meet car marry man wit list gabe cup hilover doubt	2.0	2.0	2.0	3	'car' 'cup' 'doubt'	1	"[(""'meet'"", ""'marry'"")]"	1	'hilover'
30	support script finally story great date drive hit baseball visit	2.0	2.0	3.0	4	'script' 'drive' 'visit' 'date'	1	"[(""'baseball'"", ""'hit'"")]"	1	'finally'
31	gym week goal lose read diet weight workout healthy friend	3.0	1.2	3.0	2	'read' 'friend'	1	"[(""'gym'"", ""'workout'"")]"	0	
32	body complete job shit wedding reduce destroy cupcake saturday band	1.0	2.2	3.0	2	'cupcake' 'saturday'	0	[]	1	'shit'
33	argue gossip discover kindle lil respect rich mentally forreal fart	2.0	2.0	2.0	2	'lil' 'fart'	0	[]	2	'lil' 'forreal'
34	sleep place shoot tradition startup app purchase appreciate accomplish hawk	2.0	2.0	3.0	2	'hawk' 'shoot'	2	"[(""'app'"", ""'appreciate'""), (""'shoot'"", ""'hawk'"")]"	1	'hawk'
35	tweet workout fitness week lose shape book game hope weight	3.0	1.8	3.0	3	'book' 'game' 'hope'	0	[]	0	
36	moment edm clean athlete drunk room contact sunday stunt situation	2.0	2.0	3.0	3	'clean' 'room' 'contact'	0	[]	1	'edm'
37	right club supper cigarette smoke change goal month read finally	2.0	2.0	3.0	3	'change' 'month' 'read'	0	[]	1	'supper'
38	organize smile film okay travel nice hurt studio fight generous	2.0	2.0	3.0	2	'hurt' 'fight'	0	[]	1	'okay'
