ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	concentration control nutrient solution weed germination herbicide nacl spray foliar	2.2	2.0	3.0	3	'control' 'spray' 'foliar'	1	"[(""'spray'"", ""'foliar'"")]"	0	
1	area source variability runoff district sediment cultivate expansion cropland width	2.2	3.0	3.0	2	'district' 'width'	3	"[(""'area'"", ""'width'""), (""'runoff'"", ""'sediment'""), (""'cultivate'"", ""'cropland'"")]"	0	
2	irrigate wastewater treat effluent reuse sewage freshwater industrial reclaimed municipal	3.0	2.0	3.0	1	'industrial'	2	"[(""'wastewater'"", ""'sewage'""), (""'treat'"", ""'reclaimed'"")]"	0	
3	land food risk vegetable metal country human health heavy contamination	2.0	2.2	3.0	2	'metal' 'heavy'	3	"[(""'land'"", ""'country'""), (""'food'"", ""'vegetable'""), (""'health'"", ""'human'"")]"	0	
4	root dry leaf fruit number weight leave matter shoot stem	2.6	2.0	3.0	2	'number' 'weight'	1	"[(""'leave'"", ""'leaf'"")]"	0	
5	site variation maximum relationship daily seasonal indicator age cucumber eto	2.0	3.0	3.0	2	'cucumber' 'eto'	1	"[(""'site'"", ""'eto'"")]"	1	'eto'
6	stress content activity sugar moderate chlorophyll soluble approximately antioxidant enzyme	1.0	3.0	3.0	7	'stress' 'content' 'activity' 'sugar' 'moderate' 'soluble' 'approximately'	1	"[(""'stress'"", ""'moderate'"")]"	0	
7	different analysis sample test component group sensitivity extraction cluster sampling	3.0	2.4	3.0	2	'extraction' 'cluster'	2	"[(""'sample'"", ""'sampling'""), (""'component'"", ""'cluster'"")]"	0	
8	water efficiency resource wue consumption depletion footprint right iwue allocate	3.0	2.0	3.0	2	'right' 'allocate'	1	"[(""'wue'"", ""'iwue'"")]"	2	'wue' 'iwue'
9	soil depth organic moisture layer profile conductivity infiltration fraction soc	3.0	2.2	3.0	2	'conductivity' 'fraction'	1	"[(""'soil'"", ""'soc'"")]"	0	
10	level non irrigated pattern cycle volume mass normal flush greece	1.8	3.0	3.0	2	'non' 'greece'	8	"[(""'level'"", ""'level'""), (""'non'"", ""'non'""), (""'irrigated'"", ""'irrigated'""), (""'pattern'"", ""'pattern'""), (""'cycle'"", ""'cycle'""), (""'volume'"", ""'volume'""), (""'mass'"", ""'mass'""), (""'normal'"", ""'"")]"	2	'non' 'greece'
11	production region arid problem suitable climatic dryland hot salinization humid	2.6	2.0	3.0	2	'problem' 'salinization'	2	"[(""'arid'"", ""'dryland'""), (""'hot'"", ""'humid'"")]"	0	
12	zone clay sandy loam sub sand lysimeter fine mixed kg⁻¹	3.0	2.4	3.0	2	'lysimeter' 'kg⁻¹'	1	"[(""'sand'"", ""'sandy'"")]"	1	'kg⁻¹'
13	respectively regime ha⁻¹ ecosystem saving gain mid million hectare ton	2.0	3.0	2.0	3	'ha⁻¹' 'mid' 'ton'	1	"[(""'million'"", ""'hectare'"")]"	1	'ha⁻¹'
14	ratio benefit storage return operation sugarcane power pump generation punjab	2.0	3.0	3.0	3	'benefit' 'return' 'punjab'	1	"[(""'power'"", ""'generation'"")]"	0	
