ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	gym workout fitness treat fit month healthy drink word smoke	2.0	2.0	3.0	3	'treat' 'word' 'smoke'	3	"[(""'gym'"", ""'workout'""), (""'fit'"", ""'fitness'""), (""'fit'"", ""'healthy'"")]"	2	'treat' 'smoke'
1	dot dick heb laptop competitive chillin bmv nut announcement ironic	2.0	2.0	2.0	3	'laptop' 'announcement' 'ironic'	2	"[(""'dot'"", ""'dick'""), (""'heb'"", ""'nut'"")]"	0	
2	food chicken meal chipotle taco gluten recipe mcdonald sandwich restaurant	3.0	2.0	3.0	2	gluten recipe	3	"[(""'chicken'"", ""'sandwich'""), (""'chipotle'"", ""'taco'""), (""'mcdonald'"", ""'restaurant'"")]"	0	
3	loose skinny pretzel skinnyjeansbestfriend loseweight diet cliche weightloss tweak starve	2.0	2.0	2.0	2	'cliche' 'tweak'	3	"[(""'skinny'"", ""'skinnyjeansbestfriend'""), (""'loseweight'"", ""'weightloss'""), (""'diet'"", ""'loseweight'"")]"	0	
4	twitter onebluelenz socialmedia follower instagram startup retweet delete code iwantobehip	2.0	2.0	2.0	2	'code' 'iwantobehip'	3	"[(""'twitter'"", ""'instagram'""), (""'twitter'"", ""'socialmedia'""), (""'follower'"", ""'retweet'"")]"	0	
5	nap wake morning sleeping hibernate makeup habit ijustneedsleep languish dogslife	2.4	2.0	3.0	0		1	"[(""'nap'"", ""'sleeping'"")]"	0	
6	game baseball hockey yankees playoff leagueoflegend cheer state favorite indy	2.0	2.0	2.0	4	'leagueoflegend' 'cheer' 'state' 'favorite'	2	"[(""'yankees'"", ""'indy'""), (""'yankees'"", ""'leagueoflegend'"")]"	0	
7	book reading novel publisher challenge picturebook thrones kindle ebooks schedule	2.0	2.0	3.0	2	'thrones' 'schedule'	4	"[(""'book'"", ""'ebooks'""), (""'book'"", ""'kindle'""), (""'book'"", ""'novel'""), (""'reading'"", ""'schedule'"")]"	1	'thrones' - While a common word
8	thank flawless sexymonday bath shb graduation enjoy beautiful boy job	2.0	2.0	2.4	2	'shb' 'boy'	2	"[(""'boy'"", ""'job'""), (""'bath'"", ""'shb'"")]"	0	
9	pack legging wardrobe warm sneaker underwear sweatpant fashion figfit flatass	2.0	2.0	2.0	2	fashion flatass	3	"[(""'legging'"", ""'underwear'""), (""'sneaker'"", ""'warm'""), (""'sweatpant'"", ""'warm'"")]"	0	
10	concert soundtrack song cydonia mixtape sing gaga musically duet recordsbeat	2.0	2.0	3.0	2	'cydonia' 'recordsbeat'	3	"[(""'song'"", ""'sing'""), (""'song'"", ""'recordsbeat'""), (""'song'"", ""'mixtape'"")]"	0	
11	drink alcohol party vodka hangover champagne tequila timetogetserious spending noodle	2.0	2.0	2.0	1	'noodle'	3	"[(""'vodka'"", ""'tequila'""), (""'alcohol'"", ""'drink'""), (""'hangover'"", ""'spending'"")]"	0	
12	goals motivation castle realistic level happenings hunters gabe target stage	2.0	2.0	3.0	0		3	"[(""'goals'"", ""'stage'""), (""'goals'"", ""'target'""), (""'level'"", ""'stage'"")]"	0	
13	god prayer bible faith hillsong john bless fiery hebrews johnathan	3.0	2.0	3.0	0		1	"[(""'john'"", ""'johnathan'"")]"	0	
14	selfie portrait evar nude introversion jim harbaugh ordinarylife foley disposable	2.0	2.0	2.0	5	'introversion' 'jim' 'harbaugh' 'foley' 'ordinarylife'	2	"[(""'jim'"", ""'harbaugh'""), (""'ordinarylife'"", ""'disposable'"")]"	0	
15	bae girlfriend virginity wifey starbswiththegirl marriage maury nikki queen impregnate	2.0	1.0	1.0	2	'maury' 'nikki'	2	"[(""'girlfriend'"", ""'wifey'""), (""'virginity'"", ""'impregnate'"")]"	3	'starbswiththegirl' 'maury' 'nikki'
16	hair beard haircut skin makeup act effort furry foolsomeofthepeoplesomeofthetime halloween	2.0	2.0	2.0	3	'act' 'effort' 'halloween'	3	"[(""'hair'"", ""'beard'""), (""'haircut'"", ""'makeup'""), (""'haircut'"", ""'skin'"")]"	1	'foolsomeofthepeoplesomeofthetime'
17	family parent fingered cityofink sheep childhood nephews oralhistory babysteps unconditional	2.0	2.0	3.0	2	'sheep' 'cityofink'	2	"[(""'family'"", ""'childhood'""), (""'parent'"", ""'nephews'"")]"	0	
18	spend budget debt finance archive rimpoche student account pay nocreditcarddebt	2.0	2.0	3.0	2	rimpoche student	6	"[(""'budget'"", ""'account'""), (""'budget'"", ""'finance'""), (""'debt'"", ""'account'""), (""'debt'"", ""'finance'""), (""'finance'"", ""'account'""), (""'rimpoche'"", ""'student'"")]"	0	
19	flight vacation nyc trip coast fun lifeboat newyorkcityrooftop orleans triathlon	2.0	2.0	3.0	2	'lifeboat' 'triathlon'	3	"[(""'flight'"", ""'trip'""), (""'nyc'"", ""'newyorkcityrooftop'""), (""'nyc'"", ""'orleans'"")]"	0	
20	gym workout fierce debate fitfam gymmotivation girlswholift workouthard headphone meathead	2.4	2.0	3.0	3	'debate' 'headphone' 'meathead'	2	"[(""'gym'"", ""'gym'""), (""'workout'"", ""'workouthard'"")]"	0	
21	netflix episode film friends movie simpson slate filmisnotdead flatscreen shawshank	3.0	2.0	3.0	2	'friends' 'slate'	7	"[(""'netflix'"", ""'episode'""), (""'netflix'"", ""'film'""), (""'netflix'"", ""'movie'""), (""'friends'"", ""'movie'""), (""'friends'"", ""'simpson'""), (""'film'"", ""'movie'""), (""'simpson'"", ""'shawshank'"")]"	0	
22	meet justin chicago grateful marry valentines singlelife natasha datingadvice grace	2.0	2.0	3.0	2	'natasha' 'grace'	2	"[(""'justin'"", ""'natasha'""), (""'valentines'"", ""'grace'"")]"	0	
23	eve cosplay pancake jane goddess hailee sysop terminator cosby batwoman	2.0	2.0	3.0	2	pancake cosby	2	"[(""'eve'"", ""'jane'""), (""'hailee'"", ""'batwoman'"")]"	0	
24	friend friendship needafriend london friende cyrus friendzone fakeness antisocial miley	2.0	2.0	3.0	3	'london' 'cyrus' 'miley'	3	"[(""'friend'"", ""'friende'""), (""'friend'"", ""'friendzone'""), (""'friend'"", ""'miley'"")]"	0	
25	internship degree graduate job barbie career nurse mba marine prerequisite	2.0	2.0	3.0	2	'barbie' 'marine'	3	"[(""'degree'"", ""'graduate'""), (""'degree'"", ""'prerequisite'""), (""'job'"", ""'career'"")]"	0	
