ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	level sub different regime method research irrigation recommend design test	2.0	3.0	3.0	4	'sub' 'regime' 'recommend' 'test'	1	"[(""'test'"", ""'test'"")]"	0	
1	receive treatment control herbicide spray post pendimethalin hand pre treat	2.8	2.2	3.0	2	'post' 'hand'	2	"[(""'pre'"", ""'treat'""), (""'receive'"", ""'treatment'"")]"	0	
2	state village respondent district province extension interview university training scheme	2.0	3.0	3.0	4	'interview' 'university' 'training' 'scheme'	2	"[(""'state'"", ""'province'""), (""'village'"", ""'district'"")]"	0	
3	scenario hydrological regional scale multi simulation different model series variable	3.0	3.0	3.0	4	'multi' 'different' 'series' 'variable'	8	"[(""'scenario'"", ""'scenario'""), (""'hydrological'"", ""'hydrological'""), (""'regional'"", ""'regional'""), (""'scale'"", ""'scale'""), (""'multi'"", ""'multi'""), (""'simulation'"", ""'simulation'""), (""'different'"", ""'different'""), (""'model'"", ""'"")]"	0	
4	profile saline moisture layer sandy soil texture clay sodic depth	3.0	2.6	3.0	3	'profile' 'sodic' 'depth'	1	"[(""'sodic'"", ""'sodic'"")]"	0	
5	cultivate rainfed rain feed cultivation region irrigate production expansion vegetable	3.0	2.0	3.0	1	'vegetable'	2	"[(""'cultivate'"", ""'cultivation'""), (""'rain'"", ""'rainfed'"")]"	0	
6	phase vegetative stage early degree growth end reproductive flowering late	3.0	2.2	3.0	1	'degree'	2	"[(""'early'"", ""'vegetative'""), (""'late'"", ""'reproductive'"")]"	0	
7	water potential mpa stem deficit supply midday predawn capacity dawn	2.0	3.0	3.0	3	'mpa' 'stem' 'dawn'	1	"[(""'predawn'"", ""'dawn'"")]"	2	'mpa' 'dawn'
8	block row plastic space split apart design spacing plot bed	2.0	2.4	3.0	5	'plastic' 'split' 'apart' 'plot' 'bed'	1	"[(""'space'"", ""'spacing'"")]"	0	
9	salt saline seedling salinity germination tolerance tolerant quinoa nacl rootstock	3.0	2.0	3.0	1	'rootstock'	2	"[(""'salt'"", ""'nacl'""), (""'salinity'"", ""'saline'"")]"	0	
