ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	problem mouse drive boot disk switch fix floppy fine instal	2.6	2.0	2.8	2	'fine' 'instal'	1	"[(""'disk'"", ""'floppy'"")]"	1	'instal'
1	problem boot drive disk apple windows memory mouse help mac	2.2	2.0	3.0	0		1	"[(""'apple'"", ""'mac'"")]"	0	
2	svhs zach jaws itor toasterhead kelseyyrki montage orientiation cdq torkel	1.0	2.2	1.8	3	'toasterhead' 'torkel' 'cdq'	1	"[(""'jaws'"", ""'toasterhead'"")]"	6	'itor' 'toasterhead' 'kelseyyrki' 'orientiation' 'cdq' 'torkel'
3	version software graphic available mail public windows user machine gnu	2.2	2.0	3.0	2	'mail' 'public'	1	"[(""'software'"", ""'gnu'"")]"	0	
4	clipper government announcement white house libertarian chip agency federal citizen	2.2	2.0	3.0	3	'clipper' 'libertarian' 'chip'	1	"[(""'house'"", ""'government'"")]"	0	
5	hello cube password sphere geometry systems newsreader moselem unresolvable differet	1.6	2.4	2.0	3	'moselem' 'unresolvable' 'differet'	5	"[(""'hello'"", ""'newsreader'""), (""'cube'"", ""'sphere'""), (""'geometry'"", ""'systems'""), (""'password'"", ""'moselem'""), (""'unresolvable'"", ""'differet'"")]"	2	'moselem' 'differet'
6	israel peace terrorism fbi favor waste kill reporter sexual jewish	2.2	1.8	2.6	2	'favor' 'waste'	2	"[(""'fbi'"", ""'fbi'""), (""'reporter'"", ""'reporter'"")]"	0	
7	drug right usage inalienable people amendment free study bear psychology	2.0	2.2	2.2	3	'bear' 'study' 'psychology'	6	"[(""'drug'"", ""'drug'""), (""'usage'"", ""'usage'""), (""'people'"", ""'people'""), (""'study'"", ""'study'""), (""'bear'"", ""'bear'""), (""'psychology'"", ""'psychology'"")]"	0	
8	kent daily amusing heart promise atheists dating jon ignorance sink	1.6	2.0	2.4	1	'sink'	0	[]	0	
9	clipper chip key phone cheap algorithm secure voice acceptance serial	2.2	2.0	3.0	2	'cheap' 'acceptance'	3	"[(""'key'"", ""'key'""), (""'serial'"", ""'serial'""), (""'algorithm'"", ""'algorithm'"")]"	0	
10	announcement white lobby april washington abc bush prize museum schedule	1.8	2.2	3.0	1	'april'	1	"[(""'washington'"", ""'washington'"")]"	1	'abc'
11	problem window windows disk file run screen error mouse fine	2.6	1.6	3.0	1	'fine'	1	"[(""'window'"", ""'windows'"")]"	0	
12	thank year work people lot need think program thing want	2.4	2.0	3.0	1	'program'	1	"[(""'year'"", ""'year'"")]"	0	
13	price offer pay sale sell speaker stereo deck buy receiver	2.8	2.0	3.0	4	'speaker' 'stereo' 'deck' 'receiver'	5	"[(""'sale'"", ""'offer'""), (""'buy'"", ""'sell'""), (""'pay'"", ""'buy'""), (""'speaker'"", ""'stereo'""), (""'stereo'"", ""'deck'"")]"	0	
14	graphic thank graphics mail format advance appreciate email internet site	3.0	2.0	3.0	2	'appreciate' 'advance'	1	"[(""'graphic'"", ""'graphics'"")]"	0	
15	sustain microcontroller heavily zach trumpet asked kelseyyrki torkel jaws newusers	1.2	2.6	2.0	4	'jaws' 'newusers' 'kelseyyrki' 'torkel'	1	"[(""'zach'"", ""'kelseyyrki'"")]"	2	'kelseyyrki' 'torkel'
16	like want know think time people window look ask problem	2.0	2.0	3.0	1	'window'	2	"[(""'like'"", ""'want'""), (""'know'"", ""'think'"")]"	0	
17	musical zach enjoyable kelseyyrki iteration ulman torkel newusers explicable kck	1.2	2.4	2.0	2	'iteration' 'newusers'	1	"[(""'kelseyyrki'"", ""'ulman'"")]"	2	'kelseyyrki' 'kck'
18	life god bible jesus christ love sin heaven experience feeling	3.0	2.0	3.0	2	'experience' 'feeling'	1	"[(""'jesus'"", ""'christ'"")]"	0	
19	team game player play hit year fan score compare bad	3.0	1.8	3.0	1	'bad'	3	"[(""'team'"", ""'game'""), (""'player'"", ""'play'""), (""'score'"", ""'compare'"")]"	0	
20	law jews jewish citizenship prevail nazis book great case german	2.4	1.8	3.0	2	'book' 'great'	2	"[(""'jews'"", ""'jewish'""), (""'book'"", ""'case'"")]"	0	
21	zach descendent kelseyyrki torkel unresolvable explicable newusers reliogious tims kck	1.0	2.4	2.0	4	'kelseyyrki' 'kck' 'torkel' 'tims'	3	"[(""'zach'"", ""'kelseyyrki'""), (""'torkel'"", ""'tims'""), (""'unresolvable'"", ""'explicable'"")]"	3	'kelseyyrki' 'reliogious' 'kck'
22	sale modem offer printer monitor pin brand manual interested floppy	2.0	2.0	3.0	1	'pin'	1	"[(""'modem'"", ""'pin'"")]"	0	
