model	number of topics	topic id	topic words	text id	paper id	text	labels
lda	50	0	job people work president think year program money congress fund	10796	-	clinton background briefing in vancouver the white house vancouver british columbia background briefing by senior administration official april canada place vancouver british columbia pst folks we be about to start the background briefing on the aid package senior administration official good morning the president president clinton and president yeltsin agree yesterday on series of american initiative to support economic and political reform in russia and it be value at billion before take your question and run through the basic outline of this package want to make few point first this be the maximum that the clinton administration can do with available fund to support russian reform all of the fund have be allocate and appropriate by the congress there be no need for the administration to go back to the congress to fund any of these program all our fiscal year fund currently be available so in effect all of these program can begin tomorrow the second point be that this package be design to support russian reformer all of the initiative in the package be direct at reformer and for their benefit and all have be work out with prior consultation with the russian government third the president be determined that we will deliver on these commitment this year the package be design want to avoid make commitment that we could not meet and we feel very confident that we can meet all of these commitment in front of you fourth would like to note the special importance of trade and investment think it be fair to say that russia capital and technology need throughout the next decade extend well into the hundred of billion of dollar no collection of government can meet those need only the private sector can do so and so the president and president yeltsin agree to make trade and investment major priority in the relationship they also agree that there would be new joint commission on energy and space form head on the side by vice president gore on the russian side by prime minister chernomyrdin and the goal of this effort be to break through the barrier to trade and investment on both side and to promote vastly expand relationship if it would be helpful would be prepared to run down the first page which be summary of assistance and just give you some general background on what these program be will do it quickly and then will be glad to take question the first group of initiative be humanitarian food and medical assistance this be part of our effort which have be underway for several year to provide basic humanitarian grant food assistance so that the russian government can assure there be at least minimal amount of bread on the shelf in the major city that be million in grant that be from food for progress the grant portion of food for progress we will also be continue our grant assistance in medicine and pharmaceutical supply and that be million the second item be concessional food sale as you know the united states have have long term grain relationship with russia it be important to we and it be important to russia that we continue that relationship the president have choose the food for progress program which be concessional loan program the value over the next seven month be million these be concessional term the exact term have not be work out but think it be fair to say there will be grace period on principal of six or seven year and concessional rate thereafter for the life of the deal the third program be collection of private sector support we think this be one of the most important thing we be go to do privatization and the creation of small business be the number one priority of the reform government in moscow and so the president have decide to create russian american enterprise fund capitalize this year at million and the goal of this fund be to make direct loan to small business in russia to take equity position in those business the president have also decide to create privatization fund which would work directly with the russian government in its priority objective of try to convert state enterprise from state own basis to private basis he have also agree the president have also agree to establish eurasia foundation this would be private foundation lead by prominent americans to fund democratization project in russia the fourth grouping you see there in the summary page be democratization itself think it be fair to say that this administration have give new impetus to the goal of pursue democratization in russia you see that we have total of million in program various program the detailed table give an indication of some of the program that we be launch the president be also call for the development of democracy corps which will be an overarch umbrella group to try to incorporate all of the disparate private and public effort now underway from the united states to support reform in russia the fifth program you see be russian office of resettlement this be new initiative create and conceptualize by this administration this be demonstration project what we would like to do be work with the russian military state and other part of the former soviet union we want to make sure that we work out the good way to do that whether it be with russian labor and russian material or use prefab american construction and so we have decide to fund on demonstration basis the construction of housing unit we will be work very closely with the russian military on this and would say that we have long term commitment to this project the sixth area be energy in the environment they be two issue that the president feel strongly about our initial effort will be feasibility study to look into the possibility of enhance their energy production both oil and gas and equally important try to cut down on the leakage in the oil and gas pipeline system which cause so much environmental damage have talk little bit about trade and investment about the new group be create that the vice president will chair on our side secretary ron brown will also be cochaire with deputy prime minister shohkin business development committee which will work in all other sector of the economy trade and investment we be also go to appoint full time investment ombudsman in the american government to work on this problem full time and the point would like to make here be trade and investment in the be every bit as important to draw an analogy as arm reduction be in the and and we just think that in look at this we need to make commitment within our own government to have people work on it senior people on full time basis because it be terribly important you will notice that the united states be go to support russia membership in the gatt russia have have observer status russia have request our support and in fact request our advice in become member of the gatt we think that the long term goal of draw russia into the global economy be paramount very important goal and that be why we be support the membership in the gatt we be also support their access to gsp the generalized system of preferences you will note that ex im have extend million in credit for caterpillar deal in siberia that opic have extend million in credit and loan guarantee for conoco oil project would like to emphasize that we be very close to an agreement between russia and the united states for billion framework facility through the ex im bank that would finance russian purchase of american oil and gas equipment and service we think this be very important development we think we will get there by april which be the opening day of the tokyo conference the conference before take any further question would like to defer to my colleague who will review the security assistance objective with you senior administration official our major unfinished agenda with the russians and with their counterpart in ukraine kazakhstan and belarus be in the area of the safe and secure dismantlement of the nuclear arsenal on their territory under the term of the start and start ii agreement recently we complete in moscow three think very important agreement that devote significant chunk of nunn lugar funding million for the strategic nuclear delivery vehicle dismantlement program that be for submarine for icbm dismantlement and for bomber dismantlement million the second be million tranche of funding for the construction of facility to store nuclear material remove contribute to the overall design and the early phase of the construction of that storage facility and finally million tranche of money to help in the establishment of monitoring system for the nuclear material as they be withdraw from the weapon system so we add that million total to the extant nunn lugar assistance which have be flow about million for some overall safety improvement for various kind of equipment and safety measure that we have be work out with the russians over the last couple of year so this be an area where we will be go lot more work with not only the russians but with the ukrainians kazhak and belarussians belarus for example have just in the last couple of week receive up to million in fund for safety security and dismantlement program on belarussian territory and this be in the wake of their ratification of start an agreement to accede to npt so we be work very hard with all the party to the lisbon protocol and will continue to work very hard with they and look upon these three recent agreement with russia as very important step in that process the opic fund to be that for the field in kazhakstan and conoco already sign this deal with kazhakstan why do you feel now it be necessary if it be the same one why do you feel it be necessary senior administration official it be not the same deal chevron sign deal with kazhakstan the tenges oil field this be new investment project it be polar light oil development and renovation project and it be be announce today so it be completely new can you tell we more about what be involve senior administration official yes conoco like other american oil company have be search for way to do two thing one to prospect for new oil in siberia west siberia and two to try to get into the business of renovate oil well and renovate pipeline both oil and gas in russia the objective here obviously be to take advantage of the natural resource in russia increase energy production which will in turn increase hard currency revenue which be what russia need so we think this deal be very very good development for russia the russians do as well and it be good for an american company and the american government have play lead role in pull this together through the credit facility in opic and through the loan guarantee so it be to search and also to renovate field that be already there senior administration official that be right on that point should other american company expect to get administration support for such deal or should they now go to the ex im and try to get the money out of the billion senior administration official well as you know ex im be part of the government and various part of the government have be push include the state department and the white house for this deal to be consummate and we think it will and if we arrive at this agreement by april there will be billion in financing available for american company to sell their equipment and sell their service that should take up all of the rest of the deal and their will not be and their will or there will not be support for opic sort of deal such as this conoco senior administration official there be tremendous amount of interest on the part of american oil and gas company to invest in russia we think that the ex im oil and gas facility the billion facility once it be conclude will soak up lot of that interest but think the interest may even extend beyond that and if so the government will respond what be the current year budget cost of that billion agreement should it go forward and be there any current year budget cost senior administration official will have to refer you to ex im for that do not know the detail of that the concessional food sale be there any current year cost to that or be it delay until the year in which the payment be due senior administration official the concessional food sale be from food for progress which be usda program usda have the fund we do not need to go back to the congress to expend those fund there will be hit in the budget would refer you to usda and omb for the detail on that can you talk about the democracy corps and the private sector how many folk be go to be involve in that senior administration official why do not start with the democracy corps first think the administration felt come into office that there be literally thousand of organization private organization in the united states that in one way or another be work at the goal of try to achieve democratization in russia help on farmer to farmer basis and there be literally or government agency that have variety of program in this area and so the administration feel the president feel it be important to try some coherence to the effort and to give some impetus to the effort and so this be presidential initiative it will be head by ambassador tom simons who will soon take up his duty as the coordinator for assistance in the former soviet union and we be very hopeful that we might use this democracy corps not only to draw upon the resource of our own government but the resource of the american private sector and school and community across the nation any kind of commitment yet any kind of word yet on and any new money that need to be appropriate besides the million the president talk about senior administration official the administration be request additional fund in of million what the president have do this weekend be to consult really intensively yesterday with president yeltsin about additional measure the united states could take in some of these area to support reform he will be consult with the congress when he return to washington he will be consult also with the other ally government and we will make decision at that time two question about the billion agricultural money first of all think it be the sort of consensus that what russia do not need be more loan for food so why do you decide to do it that way secondly could you explain agriculture have be stop from make further loan for food because of russia inability to pay how do this fit into that situation senior administration official as you know the united states for long time have be major supplier of grain and food commodity agricultural product to russia think between and we have extend little bit of history here about billion in credit credit guarantee through the commodity credit corporation that be the principal vehicle last year the russian government stop its payment on that program they be now in arrear to we on that program and therefore by law the united states can not continue that program and so the president work with secretary espy and other official in the cabinet look for other way that we could promote american grain sale and think we have two way to do that we have announce today million in grant food assistance through the food for progress program but we do not have sufficient authority to spend million in grant food and so we look for concessional loan program think everybody agree that russia that short term loan program for russia would not make sense now but long term concessional loan program would and that be what this program be it will provide once the final detail be work out for six to seven year grace period on payment of principal and then from year seven through which be the life of the deal it will provide for concessional rate of interest generally around three to four percent and so we believe and the russian government believe this be good deal for they because it will avoid the imperative of early payment and put they into the out year but it will also continue this very important grain relationship which be important for they and it be important for the american farm community gather from what you say that this could make it explicit the russians failure to pay the interest on ecc loan do not in any way affect this kind of loan go through be that right senior administration official let be explicit about that we be prevent under the law to from continue the commodity credit corporation short term credit program because of russia arrearage to the united states all of you know about those arrearage they total about think around million usda can give you an exact figure so having take that into consideration and want to preserve american market share and long term grain relationship want to respond to specific request from the russian government for major food assistance know that we could not take it from the grant program because we do not have sufficient authority there we look at food for progress which be program we have use to great effect in other part of the world and we consult with the russian government and arrive at this solution think the russians be pleased because it provide they with the food but also give they little bit of relief on the short term payment where do those fund actually come from senior administration official they come from the food for progress program which be program under usda authority usda have the authority to spend these fund we do not need to go back to the congress for these fund and want the billion package comprise fund that have already be allocate and appropriate by the congress the administration can begin to spend these monie tomorrow and it be very important in our eye that we expend all the fund this year that we meet these commitment and we be confident we will be able to do so how do you arrive at the figure of million do that max out that program or do you actually have range from to senior administration official there be reason for it the reason be that the russian government tell we that be about the amount of grain that they need between now and harvest time and so the idea be that we would begin the shipment probably million per month from now until the harvest in the autumn at which time russia will not require the same level of food import from the west would imagine there be go to be some considerable envy and jealousy on the part of some of the other republic because of the size and the scope of this with russia have you give any consideration to advance negotiation for the same kind of project with the ukraine with georgia with some of the other republic senior administration official yes we be very conscience of the fact that we also have an interest in extend american support to the other country of the former soviet union we have tell ourselves and we have plan that in the area of technical assistance the grant technical assistance that you see roughly percent of the funding will go to russia and roughly percent to the other country in the area of food sale we have be active with ukraine in grant food assistance with georgia and armenia we will continue that and think it be fair to say that after this summit we will go back and look at all of our program with the other country to ensure that they be adequate and they be productive and they be hard hit have anything happen at the summit to lead american energy company and other company to believe that russia be go to be more user friendly toward they in term of tax legality bureaucracy senior administration official well one of our primary objective come into this summit be to highlight not only the economic agenda but also trade and investment and would like to refer to the point make at the beginning we be convinced in talk about this problem the problem of how to support russia long term we be convinced that no collection of western government have the financial resource over the next decade to fuel the continuation of reform that only the private sector can do that we look at our own society and we see tremendous capability in resource in the oil and gas sector it be very good match with what the russians need now which be financial investment in the exist oil and gas well and pipeline and new technology and new capital to finance new production that be what the russian government have tell we it want to do and so that be why we have make such major emphasis on it that be why trade and investment be prominent issue on the first day of these talk and in fact figure prominently last night in the meeting between president yeltsin and president clinton and we be hope that together we might send strong signal to the american business community that we support their effort to invest in russia that the united states through ex and opec and the department of commerce will be there to support they my question be be yeltsin in any position to deliver on make russia more senior administration official we think he be would note that president yeltsin prime minister mr chernomyrdin work for year in the russian oil and gas sector he will now chair high level commission with the vice president vice president gore to try to break through the barrier that currently exist to western investment in the oil and gas sector we believe we have commitment to make that committee an important committee and we be look forward to the work what type of mechanism be already in place to administer the private sector portion of the program and will the be directly involve in the tail end of distribution of the actual fund or be the money simply turn over to the russian government for distribution at their will senior administration official be you talk about the variety of program list here it depend on the program itself in most case though we be either work through americanbo or american government agency to ensure that the money obviously be well spend that the money get to the intend source that be an obligation we have to the congress to ensure the money be well spend and that we can account for the money we have do that in the last couple of month intensively and we will continue to do it for each of these program but they be all quite different for instance in the area of grant food and medical assistance for grant food it be carry out through usda and usda account for the delivery of the food for grant medical assistance we have be work through project hope which be private organization for the housing for instance the resettlement of russian officer we will be work with group of americanbo on some of the democratization project we be work directly with russian private individual and private foundation we be work with journalist in russia on media project that you may have notice so we literally have here to different activity under all these rubric and they be all go to be carry out in slightly different way some directly with the russian government some with russian citizen the jackson vanik restriction that remain and on the cocom restriction that remain can you tell we what the president have to do on that senior administration official well as george note yesterday president yeltsin raise these as irritant in the relationship the president have note that think it be fair to say we will go back now in our own government when we return to washington and look at both of these question and we will get back to the russian government you be not prepared for these question when you get here senior administration official we be prepare for these question we have look at they but we be not prepared to make quick decision this weekend they require let just explain particularly on jackson vanik they require consultation with the congress they require consultation with the american jewish community and we be very sensitive to those concern and so we will want to go back and talk to they before we take any action be this package design so that you will not have to go to congress for anything at this point senior administration official as say at the beginning the advantage of this particular package be that all the fund have be allocate and appropriate by the congress so the administration will not have to go back to the congress to seek any additional authority to fund any of these effort in effect they can all begin tomorrow and know that many of the agency responsible for these project will begin tomorrow and that be the advantage of this particular initiative if this as the president say be long term long haul thing and member of congress be at this moment head for moscow why be not you talk about go to congress and suggest to the president of russia that you be prepared to go to congress for various thing senior administration official think we have be clear about that the president be discuss this weekend with president yeltsin some additional idea that we have for american funding of additional project and idea that he have we have major congressional delegation that leave last night head by representative gephardt and we will want to consult with that delegation and other member of congress before do anything and we will also want to consult with our ally so that be where it stand now we have be tell repeatedly that number of these item represent different or new way of spend the money already appropriate could you just tick off which of these item represent reprogramme or at least spend money in way that it be not previously set to be senior administration official think that we have say that these be all project that either congress have allocate money for through the freedom support act there be some fund that be leave over from and this administration take office and have some new idea about how the fund might be expend we do not use just the freedom support act fund or the fund we go into some of the agency allocation ex im opic and usda and try to look for creative way to further our program and example of that be the food for progress concessional loan we have hit brick wall with another type of funding through usda we could not go forward legally and so we look for more creative way to ensure continued american market share and ensure continued grain sale and we think we find it where for example be you get the money for this russian officer resettlement senior administration official that be from the freedom support act fund in other word all of the money be be directly spend in new way so to speak senior administration official most of the grant project that you see if you look at the general chart the second chart it be break down into grant and credit and if you look under grant the technical cooperation project that total million that be almost all freedom support act funding little bit of it be leftover fund from fiscal year the nunn lugar fund of course you know about the legislative history of those fund cooperation senior administration official fromy do not have the exact figure it be not considerable figure could you tell we please have anything happen here this weekend that will break the log jam between ukraine and russia over start for start and ii as result of what be happen here senior administration official both president president yeltsin and president clinton will be discuss this issue this morning in fact we have not yet get to security and arm control related issue that will be this morning session know that president clinton will be very strongly reinforce that this be top priority for we we have be talk to the russians and the ukrainians over the last couple of week about way that we might help to facilitate the discussion between they up to this point this have be very important negotiation that be be go on essentially between moscow and kiev and we be at the point now of essentially discuss with they if there be way that we could contribute but in term of what be come out of this weekend do not yet know in couple hour we will know just follow up on the financing here be any of this rob peter to pay boris since it be all current year appropriation have you take it from anyplace that be be earmark and put it into this fund senior administration official there be smoke and mirror here and think it be an important point to note we could have give you page of assistance number that include out year funding we be go to make long term commitment to many of these project for instance the enterprise fund the privatization effort the housing effort and we have already talk to the russians about our long term commitment we could have put in really big number and this could have be big package but we want to make point this package bey it be fund that we have and we be go to do what we say we be go to do and the president feel very strongly about that in the past there be legacy that the western government the combination of government put up large budget figure and for any number of reason we be not able to meet they we be determine and the president be determine to carry out every single program in this package and we will do it but we do have long term commitment and that be part of the discussion on economic this weekend we be look for russian idea on what it be we can do to most effectively support reform and we have tell they that we do have commitment on some of these program beyond this fiscal year take it way from any senior administration official no we have not okay the question be have we reprogramme any of these fund so have we take it from other country to pay for program in russia the answer be no we have not do so in term of funding there be no available monie leave and you simply find creative way to find money somewhere else do not that in fact support the theory senior administration official not at all do not think it do that be particular example and the example be grain sale the commodity credit corporation credit guarantee program be short term loan that russia have to pay back within to month you all know about russia debt problem and russia be unable to meet those commitment so we look for way to do two thing to meet russia requirement for grain they be net grain importer on massive scale and also meet our objective of make sure that the american farmer have chance to sell their product to russia and we simply look for another way to finance that and we have legislative authority to do it this program have be successful in other area we have not try it before in the former soviet union but we think we should now be not this really the bush clinton aid package for russia since these fund be really first derive by initiative put forward by president bush senior administration official no do not think that be fair characterization lot of these fund be appropriate by the congress be in this administration take office and inherit some obligation that the bush administration have make but we have long six to seven week review of this program we decide to meet the commitment that have be make by the previous administration but we have go well beyond they in fund the enterprise fund which be just an idea but the idea have not be fill out with program there be no number attach to it in group together some project and try to make they into coherent whole in the privatization effort would say be another clinton initiative far we listen to the russian government and listen to the russian military who tell we that the resettlement of their officer be important to they for political and economic and social reason and president clinton have respond to that and we be make long term commitment that beyond this demonstration project we be go to figure out way to do much more in try to settle those officer would also say that the president have give impetus to all of we in the agency to think much more broadly about what it be we can do on democratization because there we have some experience and some comparative advantage that lend itself to the russian experience and in call for the creation of democracy corps which be another new initiative we be hopeful that we can take the resource of the private sector as well as the american government to achieve that objective so would not characterize it that way at all and as most of you know be career civil servant be in the last administration be very familiar with what the last administration do and would characterize this as clinton assistance package for russia there be be lot of criticism that aid in the past have not get to the people be there anything in this outside of the ombudsman that will guarantee that this money will not just disappear because it be be administer by the russian government senior administration official think that know that the president and other senior official of our government be concerned that american money be spend wisely and that it get to the source that it be intend for which it be intend and so we be go to take great care aid and the state department will take great care in make sure that the fund be expend properly and that they be reach their source would not that this package be not simply package of support solely to the russian government some of these project especially in democratization and exchange be go to be work out directly with russian private individual with business the private enterprise support be another example of that senior administration official if could just add word on this point with regard to the ssd relate program one area that we have be look at very very closely be consideration of actually use russian firm in subcontract for these kind of program they would be work very closely of course with the american firm who would be the prime contractor but this be fine example think of more of imaginative and flexible approach toward get some of that funding down to the grassroots level down to the ground in russia but at the same time ensure that it be spend efficiently and for the purpose for which it be intend when would the democracy corps start exactly when do you see this happen how would get it off the ground senior administration official well the president be today call for the creation of democracy corps think it be fair to say that we be go to work out its framework over the next couple of week ambassador simons take up his duty on may but in effect we have already start because over the last couple of week the administration have begin to reach out to people in the private sector who have come to we ask we that we will be helpful we have also try to kind of coordinate in much more effective way the activity of our own government we do have or agency that be active in russia in one way or another we think it make sense to draw they together and to focus their effort excuse how much of this billion will actually be spend in the united states by american make good senior administration official do not have any figure for you now but perhaps we could try to work something up in the next couple of day on that this figure be large than the figure that have be in the press do this program grow yesterday as result of the discussion or have we just be that far off the mark senior administration official no think unfortunately the press have be little bit off the mark and be sorry to say that no this package president clinton put we to work about seven week ago on this package and he be brief intensively on this he contribute lot of the intellectual leadership in this package he contribute lot of the idea in the package and think it be fair to say that we have this rough package work out about two week ago we have be refine it ever since we spend couple of day last week go over it with the russian government both the embassy in washington and the government in moscow through our own embassy and so it be be evolve but this particular package have be together for about two week where be yeltsin input into this then there be so much talk before about the president want to get yeltsin view about specifically what be need and so forth be that in the out year senior administration official no it be both president yeltsin have on several occasion tell we for instance that support for the creation of private business be important important and that first and foremost the effort to privatize the state industry be important to they and so what we do be to try to make those the centerpiece of our technical assistance part the package we listen to he on the privatization effort we have be work with the russian government for month on this try to work out all the detail so the russian government on most of these program be involve every step of the way but let get at the other part of your question the president be also use this weekend to talk about broad set of initiative that we might undertake and we be look for his idea the president have bring his own idea to the table for instance on energy and the environment and in housing but we be look for russian idea not we need to consult with the congress and we need to consult with the other ally government that be also active there be essentially nothing that happen in the last day and half that measurably alter the package that you come in with senior administration official this particular package as say be work out and be ready about two week ago we have since then consult with the russian government on the final stage of its development and so this weekend we have primarily talk about future about what more the united states and other western country can do to support reform in russia which be our base objective here notice that you that money appropriate what about job training for worker who be displace by privatization senior administration official you be right we have program to train russian young russians in banking and financial service in the united states part of the housing initiative it be not just to build housing unit it be to retrain russian officer who be retire into other profession money for job training for worker whose job be disappear because of privatization senior administration official we have not yet allocate any money for that why not of the million be go to build housing unit be not that lot of money per unit give what the western dollar will buy in the former soviet union senior administration official if you want to do housing the right way it be not just the building the framework of house you have get to think about all the utility you have get to think about the purchase of land you have get to think about sewage and gas and electricity and so forth and it be also retrain it be not enough to put retire an officer come out of riga or tallin or vilnius in house in western russia we think we have an obligation to try to retrain those officer as well this be respond to request from the russian government of the million will go to retrain senior administration official that be right be you talk about apartment building or single senior administration official we be talk about single individual dwelling you be say that only family will be serve by this senior administration official what want to think point out early this be demonstration project what we do not want to do give the experience that the germans and the turks and the italians have have in build housing in western russian we do not want to leap into it with huge amount of money what we want to do be work over the next couple of month and try to figure out with american organization in the private sector the good way to get this job do note that we have long term commitment to that and so would expect that we would put lot more money into this in the future but we want to do it wisely we want to spend the money wisely what be it about this program that convince you that it will protect russia reform and that russia will be in position to may back the money they be suppose to pay back especially consider their other debt problem senior administration official well look think it be important to note that the united states on its own do not have the capability to fuel continuation of russian reform it be get to be collective western effort and we be look to our ally to do more as well but beyond that it be really what the russians do that be go to decide the fate of reform we can simply play role and we feel we have an obligation to do so which be consistent with our national interest do the president say that the value of the contribution be that it would create security and prosperity for the united states so what be it about this program that do this senior administration official think you have to go back to the fundamental objective of our policy toward russia and that be we want to do everything we can to support the continuation of reform we be convinced that if reformer stay in power then we will be able to continue the drawdown of nuclear force foreign policy cooperation and economic interaction which be the three benefit to the united states from reform in russia so it be not simple question you can not just say that this program be the answer it be long term question and we have to make long term commitment to it and then on the question of russia ability to repay what convince you they will be able to pay seven to year from now senior administration official well the russian government have make commitment to repay and what we be hope be that if reform continue and if they can continue to improve their oil and gas sector and earn additional hard currency revenue that russia will be in position six or seven year substantial government to government loan we have ever get into with the russians senior administration official do not want to answer authoritatively on that do not go back or year on this but in the last four or five year yes it be because the previous way that we finance grain export be really to just ensure private bank loan this be different type of effort government loan in any other sector that you recall know it be not do in senior administration official think it be fair pdt	['talk.politics.misc']
lda	50	0	job people work president think year program money congress fund	8584	-	re mars observer update attend colloquium at goddard last fall where the head of the operation section of nasa be talk about what future mission be go to be fund do not remember his name or title off hand and have discard the colloquia announcement in any case he be ask about that very matter why can not we spend few million more his responce be that there be only so many available to he and the lead time on an instrument like cobe magellan hubble etc be year minumum if he spend all that could be spend on use current instrument in the current budget enviroment he would have very little to nothing for future project if he do that sure in the short run the science would be wonderful and he would be popular however start few year after he have retire he would become one of the great villan ever see in the space community for not fund the early stage of the next generation of instrument just as he have benefit from his predicessor funding choice he owe it mission even at the expense of cut off some instrument before the last drop of possible science have be wring out of they	['sci.space']
lda	50	0	job people work president think year program money congress fund	8654	-	aerospace company cooperate in reusable vehicle market what would all of you out there in net land think of the big martin mariatta boeing mcdonell douglas general dynamics lockheed rockwell get together and form consortium to study exactly what the market price pint be for build reusable launch vehicle and spending say to do that recognize that most of the military requirement for launch vehicle be pull out of hat somewhere say have the shuttle ever really use that crossrange capability you get the idea figure out how many how often where to etc then take this datum and form sematech type company bad example know but at least its an example to develop between and craft design then to take all of those design and figure out exactly what the technology be and demonstrate those technology in order to eliminate design that can not be build today and let say that this portion again fund by the gov cost about million and from here all of these company go their separate way with the intention of take all of the market datum and the design datum to wall street and say want to build this vehicle and here be the number that show roi fund now many of you think that this be joke but have it on good authority that just this project be shape up in the background it seem that the aerospace company have learn that everyone yell similar but different thing end up in many program that do nothing much and get cancel nasp nls als dcy etc they need to work more in the japaneese and european spirit of initial cooperation they have also learn that design requirement that be phony some general idea of what space vehicle ought to be end up getting chop up in congress because it be not real requirement any feedback john	['sci.space']
