text_id	text
3781	I only want to live in places where afternoon naps for adults are mandatory #NewYearsResolution
136	Eat better, exercise more, spend less.....you know, the usual sh*t #NewYearsResolution #HappyNewYear
3604	RT @MarewaGlover: Tobacco prices up 10% again in NZ this coming 1 Jan. Time to #quit #smoking - happy to help. Msg me if you want advice. #??_
1438	#NewYearsResolution To be forgiven by my sweet brother Numpsey @Brindleboxers @mccoyderek @urban_teacher @sarahdateechur @iamDrWill
48	#NewYearsResolution get closer to the man above _??_??
1361	#NewYearsResolution Be the kindof Christian that doesn't have to tell what they believe. Actions speak louder than words. _??_
735	Try to be more creative. #NewYearsResolution
1535	So if I wanna lose more weight this year, can I start the year with McDonald's breakfast... #NewYearsResolution _???
2005	1) Make fewer Taylor Swift jokes 2) Make more Bastille jokes If you close yo oys #NewYearsResolution
3797	Feel like my current job is sucking the life outta me. Gonna add 'find a new job' to my New Years resolution list. #NewYearsResolution
2520	My New Years Resolution is to become batman. Sorry Mom and Dad.
1973	"Yesss bae!! ""@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes"""
997	For my #NewYearsResolution, I've decided to try to be nicer to @AlmostShawn. And I'm going to stalk @imcorinnemec a little less. #Maybe?
62	Lets leave the words bae, bruh, thot, and fleek in 2014. #NewYearsResolution #stupidwordsof2014
1109	RT @leevonperry69: #NewYearsResolution : Don't get shot/stay out of jail/ don't have any oops babies. #SimpleEnough
2406	RT @RDavis12: My New Years resolution is to continue to not take anybody's shit. I advise you adopt this philosophy, also. Now, go get em.
96	"""@parksandrecnbc: Avoid getting Jammed in 2015. #NewYearsResolution"" @calmedoctorhuey"
479	#NewYearsResolution get money and fuck these bitches... Been doing that... #lmfao
4362	Don't go out of your way for people who won't go out of their way for you. #NewYearsResolution
4114	My #NewYearsResolution is to make more money. Thanks to @l00tapp that is possible!
3709	Dad did find me an eventing barn. I've always wanted to try eventing. #crosscountry #eventing #equestrian #NewYearsResolution
1102	I resolve to have a baby this year #NewYearsResolution #40weeks #thatsapromise take it to the _?_
2747	my new years resolution is to stop calling my complex for them to go into my apartment to see if I've unplugged my straightener or not.
2171	RT @babylexx_3: I don't really have a New Years resolution, I just want to continue to better myself in whatever ways possible
323	My #NewYearsResolution? Run the @GSVCommunities Marathon!! I just signed up today! #marathontraining #runsolution
4257	My #NewYearsResolution is to meet new people!! _??
3143	"#NewYearsResolution It's time to leave the past in the past and work on becoming a better you in the future."""
3538	Today starts a new day a new year, I have no idea what will the plans be but I'm praying that life gets better for all #NewYearsResolution
4928	A work related #resolution for the New Year #worklife #havingitall #newyearsresolution #workingmoms #sticktoit
2925	Made a New Years resolution to start blogging weekly so here we go w/ post #1! Thnx for reading :) Happy New Year |
1150	"#NewYearsResolution NO MORE MR. NICE GUY!! I've worked, contributed / volunteered too much of my life to people and organizations. ""No More"""
3619	Positive vibes...done sweating the small stuff. #newyears came early this year. #NewYearsResolution
292	2015 New Years resolution is to stop arguing sports and to stop being a piece of shit #NewYearsResolution
3642	#NewYearsResolution finish the books I've started and forgotten about
3677	My #NewYearsResolution is to spend all of my free time working out and perfecting my #dreambody #work #gym #happylife
534	I'm gonna save up all my money and get the heck outta stafford. #NewYearsResolution
3735	"""@saymorris: MERRY CHRISTMAS! Love, @krispykreme _?_?_?_?_?_?_?? I really wished those were vegan. #NewYearsResolution"
2649	RT @briannanoel24: New Years resolution: meet zalfie
4813	My New Years resolution is to take more naps #NewYearsResolution #naps #allnapsallthetime
1984	???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes??
2933	New Years Resolution #1: No more Chai Latte's from Starbucks or other coffee places.
1537	RT @Hall_Bruce: What better day than today to spend time in prayer &amp; the Word in order to hear His plans for your #2015. #NewBeginnings #Ne??_
4537	eat less risotto, but more risotta naked #NewYearsResolution
4020	RT @robinthede: #NewYearsResolution I'm going to tell every woman that their leggings are see-through BECAUSE THEY ALL ARE
3361	My New Year's resolution is to drink wine daily. I've started early and I'm super proud of how well it is going! #NewYearsResolution
3667	My #NewYearsResolution: protest til white America acknowledges that #BlackLivesMatter #seattle #ferguson #shutitdown
4007	.@HazelL0ver and my #NewYearsResolution is to become sluts
4461	Do you have any #career resolutions? Today I started mine early.. being more organized! Desk is now clean &amp; organized! #NewYearsResolution
587	@MLBPAClubhouse my #NewYearsResolution is to go to as many @Padres games as possible. #HappyNewYear
3257	Read a proverb when you wake up each day for 2015. Mediate. Apply. #NewYearsResolution #Encouragement #YouAreWorthIt
2299	RT @AbbieJudson: New years resolution: Drink less coffee LOL JK I've already had 3 cups
3990	#NewYearsResolution Gonna become more grounded in historical facts, so when Marty McFly arrives this year from 1985 I know what to ask him
585	Be more like Kanye #NewYearsResolution
2424	My New Years resolution is to be less hung over today.
1392	My #NewYearsResolution To pray more, to lift people up who need the Lord.
4528	"name all my children ""Children"" #NewYearsResolution"
4923	My New Years resolution is to get my grades up, be fit and healthy, be myself ????? #NewYearsResolution
4803	@AuntieAnnes to lose weight and buy more pretzel dogs haha! Addicted to auntie anne's. #NewYearsResolution
3241	I can promise that I will never let myself get this way ever again. Never ever ever. #NewYearsResolution
4009	I??m making my #NewYearsResolution now: I??m not making any resolutions.
3339	425am and I forgot to go to bed. I think I know what my #NewYearsResolution will be...
3221	Don't forget lessons learned and good times had in 2014 and skinny dip as often as possible. #NewYearsResolution
2112	my new years resolution is to make my momma proud of me. I will
1175	#NewYearsResolution I wanna know God as well as I know my significant other, what makes him happy, know what makes him upset.. #believe _??_???
4865	#NewYearsResolution SHAVE EVANS MUSTACHE
4275	RT @dma0064: My #NewYearsResolution Being more simple w texting. One sentence texts/replies _??? GONNA b hard for me _???_???
1868	Happy new years had a great time with @Skyys_The_Way #mikehardlemonade #pinklemonade #newyearskiss #NewYearsResolution is to stop smoking ?????
2615	RT @AngelJOlvera: New Years resolution #1: be nicer to boys
3868	RT @SoLovedByGod1: Let's all enter 2015 with a positive mind! Prayers, blessings, prosperity and hugs around for everyone! #NewYearsResolut??_
4926	And while I'm all for self improvement, I don't need YOUR Yoga, crossfit, sobriety and kale shoved down my throat #NewYearsResolution
3780	2015 is going to be the year of Mike. So many changes, who knows, maybe I'll get bangs too!! Jk #NewYearsResolution
4679	Want to take the moment to say that after 2015 I will stop stalking people ???_??? #NewYearsResolution
2417	my new years resolution was to not complain so much, but this super sized hangover is making that really hard
71	#NewYearsResolution 3. Love better
4883	get the dead skin off my feet. #newyearsresolution
1127	#NewYearsResolution leave the fake people behind.
4026	#NewYearsResolution...consistency!
